K-Shell Value,Global Relative Change in Avg Clustering,Subgraph centrality,P Value,MDD Value,I-GSM Values,Local Gravity Model Centrality,Second order centrality,Eccentricity Centrality,Coreness Centrality,GGC Values,Extended Degree,GSM,Betweenness Centrality,HVGc Index,Density Centrality,Semi local centrality,MCGM Values,Leverage Centrality,Constraint Coefficients,Closeness Centrality,Isolating Centrality,EIGSM Values,Gravity Index Centrality,EHCC Value
4,0.031651939,116.6883439,35,7.6,103.3422197,710,-111.1060276,0.166666667,36,292.5087751,34.4,101.2955095,0.05716644,27477.63709,47.72727273,1970,47.15363257,0.208815041,-0.197426414,0.005988024,10,835.8715113,211.0,16.36311001
3,0.011181942,31.93081144,29,4.4,60.79706028,195,-155.9370508,0.142857143,17,108.5789301,18.6,83.53882144,0.03269476,6930.320474,15.11363636,1053,16.48006304,-0.1160831,-0.2478955,0.005181347,0,405.6122271,98.25,7.521918941
4,0.00977825,126.8846201,36,8.0,118.2149802,891,-98.6552012,0.166666667,41,448.5188065,39.0,108.4953483,0.138569789,34703.07676,58.625,2203,55.66414714,0.221387407,-0.158441052,0.006535948,0,922.0578972,241.0,17.70967742
4,0.018008859,62.54482001,31,6.5,78.86894975,424,-126.3576917,0.142857143,28,207.1798787,26.0,92.63030674,0.045352239,12855.09477,31.81818182,1462,29.81032781,0.160504202,-0.20601653,0.005405405,8,602.7860578,174.0,11.41935484
4,0.006162275,55.10686359,33,6.4,80.3767284,378,-133.312107,0.142857143,24,218.955189,25.8,91.56366396,0.062830604,13131.34459,27.84090909,1434,28.91203134,0.036799106,-0.188167412,0.005524862,0,550.6804495,168.0,10.6674938
4,0.019892137,66.37746266,37,6.4,93.7365061,448,-121.6460942,0.142857143,28,245.6550935,29.8,98.67461584,0.033411035,20096.66806,30.625,1706,35.85082739,-0.115639306,-0.19599438,0.005747126,0,641.1604649,204.0,12.66914806
4,0.006048088,25.93183053,29,4.0,61.37619107,148,-160.6138164,0.166666667,16,84.45166271,17.2,88.49579615,0.019234345,5798.487806,11.77272727,994,17.54368977,-0.387820513,-0.306857639,0.005617978,0,378.9341478,139.0,7.738626964
4,0.03758967,68.24336908,39,6.1,85.45021752,406,-128.8722475,0.142857143,28,125.9303147,27.4,95.1191399,0.0148549,15987.5473,27.84090909,1521,31.78883006,-0.07069238,-0.283510939,0.005524862,0,601.6195951,187.0,13.00413565
4,0.077171501,124.3718877,39,8.0,110.3207617,847,-104.6590188,0.142857143,43,338.076838,37.4,103.3856215,0.040670441,30896.63516,55.125,2070,51.40582689,0.240278839,-0.196489737,0.005681818,0,876.1063611,233.0,18.3738627
2,0.026291184,6.837845169,7,2.0,31.86565481,34,-231.7938215,0.142857143,8,39.23080957,8.0,68.87931549,0.00087747,917.6808881,3.181818182,413,4.037459091,-0.611111111,-0.5,0.004444444,0,152.024286,36.5,3.338296112
4,0.023371087,22.9556682,24,4.7,57.45008863,170,-148.7826344,0.166666667,19,104.5472367,16.6,88.67356995,0.020332775,5024.614654,14.31818182,905,15.80183172,-0.109848485,-0.291780514,0.005617978,0,377.8496908,135.0,7.260545906
4,0.022874705,12.77178423,13,4.4,54.15956826,145,-148.4234431,0.2,19,105.6615562,14.6,92.51348396,0.118238619,3802.662705,15.11363636,646,10.89239172,-0.057264957,-0.277130612,0.005988024,0,293.6445434,146.0,5.215880893
4,0.077949446,30.23548295,25,6.1,80.03545647,322,-113.2846043,0.2,25,347.7360551,22.6,104.1221129,0.248237196,10070.91231,31.18181818,1227,26.63048518,0.091666667,-0.152157299,0.006849315,0,515.879279,205.0,9.398676592
4,0.012173086,12.33132477,14,4.4,44.42343517,130,-147.3031576,0.2,20,63.54628664,13.4,84.70921427,0.033050461,2936.091222,11.93181818,583,8.060483983,-0.014141414,-0.3037,0.005291005,0,271.76676,118.0,4.583126551
4,0.019659195,53.91008708,27,6.3,90.27269627,504,-105.4339428,0.166666667,35,363.4979916,27.8,106.0065152,0.10264574,16072.46924,42.95454545,1490,36.44499579,0.189350356,-0.159245927,0.006410256,0,657.4484331,227.0,12.53928867
4,0.002627041,15.434065,18,4.7,59.33809648,170,-139.1953719,0.2,20,105.2313433,16.6,94.07789337,0.066756955,4813.134057,15.90909091,815,13.44053369,-0.13966034,-0.283698765,0.005988024,0,337.3426485,156.0,6.113316791
4,0.018955802,46.19937833,21,6.6,67.33514144,432,-159.4497239,0.166666667,28,171.7364787,24.6,84.99365235,0.114300163,9402.772406,34.36363636,840,11.67833199,0.314262372,-0.184594286,0.005076142,18,428.0728482,149.0,8.125723739
4,0.066384573,29.18924187,19,5.9,71.05908855,360,-128.2945503,0.2,30,223.0253833,22.8,97.63336931,0.213324436,8453.337565,31.18181818,913,15.01671374,0.194337036,-0.182518198,0.006097561,0,442.9453328,178.0,8.023986766
4,0.022343403,38.30129775,21,5.7,55.66497958,252,-180.4122583,0.166666667,22,55.0406641,20.4,74.9672102,0.029372537,6394.56381,17.18181818,705,7.568258009,-0.032783883,-0.300954358,0.004385965,0,339.857492,120.0,6.971877585
4,0.061381703,46.77726606,21,5.8,56.82080151,308,-177.6236728,0.142857143,25,60.76274183,21.8,72.80852838,0.02089438,6532.209865,21.15909091,729,8.166097887,0.085664336,-0.331748866,0.004132231,0,370.5782256,122.0,7.591397849
4,0.086553116,58.30988047,21,6.2,65.26963392,400,-168.9133582,0.166666667,29,82.15561514,24.8,78.87823373,0.052846328,8829.305287,27.36363636,848,10.20154196,0.14714893,-0.313723171,0.004444444,0,426.7263187,142.0,8.663358147
1,0.02041283,2.726128066,4,1.0,18.96235287,9,-338.6801064,0.142857143,4,11.24153909,4.2,56.92022787,0.0,142.3693437,0.954545455,145,0.586131972,-0.8,-1.0,0.003891051,0,67.33514144,10.75,1.361455749
3,0.007170216,7.358276636,8,3.0,28.13916546,51,-225.8205672,0.166666667,10,11.5514985,8.6,64.58396306,0.001644115,851.7533978,4.772727273,289,2.514139422,-0.25,-0.551824417,0.0041841,0,141.5433627,49.5,2.617866005
3,0.088412083,14.29231445,10,4.4,46.00244172,140,-177.5129653,0.2,18,58.21409922,14.2,81.342207,0.02923686,2746.263862,13.125,514,6.052120685,-0.003296703,-0.377052469,0.005181347,0,248.8987433,88.5,4.373862696
1,0.02041283,2.726128066,4,1.0,18.96235287,9,-338.6801064,0.142857143,4,11.24153909,4.2,56.92022787,0.0,142.3693437,0.954545455,145,0.586131972,-0.8,-1.0,0.003891051,0,67.33514144,10.75,1.361455749
4,0.052940989,59.09798942,21,6.6,67.1920317,441,-159.6531154,0.166666667,30,126.4241552,25.0,83.89145481,0.084204683,9618.259195,32.93181818,866,11.43791315,0.290612982,-0.24300485,0.004950495,9,453.7530745,148.0,8.862696443
4,0.024604308,11.24041569,12,4.0,42.96523544,100,-170.8328041,0.2,16,37.12990964,12.4,81.86483352,0.013314394,2258.943099,8.909090909,508,6.161841931,-0.207070707,-0.394063297,0.005181347,0,234.2390176,110.0,4.139784946
3,0.008928698,6.899069511,9,3.0,28.20577957,48,-221.5196808,0.166666667,10,11.99478734,8.2,68.97469295,0.004362477,761.3744735,4.534090909,301,2.621361835,-0.234848485,-0.556304012,0.004545455,0,145.2006957,51.0,2.523573201
4,0.018524985,30.7637533,20,5.0,54.46625606,195,-177.5284536,0.166666667,20,40.288859,18.6,79.48266464,0.023251601,5551.083714,12.72727273,693,7.119665166,-0.216117216,-0.345118103,0.004878049,0,324.9384813,118.0,6.526054591
4,0.024252612,38.44382602,20,5.8,64.59692559,315,-150.5585981,0.2,28,100.358735,22.2,88.44246401,0.099121647,8015.683287,22.82954545,832,10.65593295,0.060664336,-0.269594199,0.005319149,0,410.7767935,152.0,7.812241522
4,0.024216072,33.33621694,26,5.1,72.17802518,264,-133.8958424,0.166666667,23,166.4794815,21.2,95.48230637,0.022365738,8844.947784,21.47727273,1189,23.44909431,-0.045513963,-0.24998787,0.005952381,0,479.6379022,171.0,8.956989247
3,0.001549114,14.55931647,22,3.0,48.05040632,84,-184.0697676,0.166666667,12,50.53674518,13.0,81.48215058,0.042182786,2993.724541,6.681818182,709,9.057954022,-0.503296703,-0.377786961,0.005464481,0,271.1063356,76.5,5.732009926
2,0.024130763,4.668102662,7,2.0,35.17551361,32,-226.3313211,0.2,8,46.12066692,7.6,77.83748715,0.070516779,805.4727161,3.5,331,2.950270452,-0.595959596,-0.5,0.005494505,0,147.2274882,41.5,2.746071133
3,0.032320265,12.88541942,11,3.7,46.60487116,104,-166.9610175,0.142857143,14,92.14827107,12.8,81.08980875,0.012037806,2865.336584,10.5,653,9.970962162,-0.207264957,-0.281262056,0.005102041,0,264.2734127,87.75,5.105045492
2,0.030269464,6.69199119,7,2.7,35.78375727,51,-206.3249343,0.142857143,9,74.26095372,8.6,75.0588064,0.014194983,1230.28426,5.965909091,436,5.378749346,-0.171428571,-0.333333333,0.004950495,0,176.0545907,43.0,3.005789909
2,0.022422524,3.984169507,5,2.0,23.50490415,20,-247.9596861,0.125,6,31.69705152,5.2,63.83957549,0.001193078,406.375542,2.386363636,227,2.472082196,-0.377777778,-0.5,0.004255319,0,116.1604857,24.5,2.153846154
4,0.034826341,77.39100303,39,7.3,80.75011743,530,-123.3548301,0.142857143,31,259.0157236,27.2,92.89696744,0.084677255,16011.15513,42.95454545,1440,33.90281549,0.369944555,-0.180686665,0.005405405,20,662.6136026,177.0,13.82216708
1,0.020262103,3.217506171,5,1.0,22.0941025,10,-323.2590511,0.125,4,12.84818714,4.6,60.68401866,0.0,169.2245429,1.034090909,230,1.389570045,-0.818181818,-1.0,0.004081633,0,80.75011743,11.5,1.923904053
1,0.020262103,3.217506171,5,1.0,22.0941025,10,-323.2590511,0.125,4,12.84818714,4.6,60.68401866,0.0,169.2245429,1.034090909,230,1.389570045,-0.818181818,-1.0,0.004081633,0,80.75011743,11.5,1.923904053
4,0.017684568,63.94295665,38,6.0,82.98716941,348,-135.4691984,0.142857143,24,102.3935397,26.8,91.20811637,0.012700654,15737.22625,21.95454545,1534,29.22050523,-0.227526395,-0.277191714,0.005464481,0,583.733683,166.0,12.37551696
3,0.003904464,18.16138208,11,3.7,35.65627188,104,-213.1965083,0.142857143,14,23.62784597,12.8,62.94962195,0.0043803,2217.451746,7.318181818,423,3.389511795,-0.164335664,-0.3567418,0.00390625,0,207.925425,57.75,4.298593879
2,0.011871632,8.504528987,7,2.7,24.99391098,48,-260.1610924,0.142857143,9,16.96019771,8.2,56.36787509,0.032786885,837.172365,4.295454545,255,1.818267905,-0.118181818,-0.396860828,0.003546099,3,130.0139471,29.5,2.701406121
2,0.064927545,4.757566922,6,2.0,18.64295784,20,-271.3403535,0.142857143,7,16.47665295,5.2,54.38837243,0.000136612,388.1796222,2.068181818,165,1.16653326,-0.416666667,-0.5,0.003496503,0,91.32125146,24.0,1.94210091
1,0.022924947,3.007452004,4,1.0,18.76755092,9,-338.7759101,0.142857143,4,9.740773425,4.2,56.12415769,0.0,139.0584288,0.954545455,148,0.599959942,-0.8,-1.0,0.003816794,0,67.1920317,11.25,1.372208437
1,0.05859701,1.752495062,1,1.0,7.923511708,3,-396.1865646,0.125,2,2.889861112,1.8,42.1893,0.0,16.55457485,0.477272727,39,0.191657403,-0.5,-1.0,0.002923977,0,24.99391098,4.0,0.452440033
1,0.020915253,3.052944504,4,1.0,21.84459814,9,-321.5676847,0.125,4,12.28247856,4.2,61.59381315,0.0,155.6130036,0.954545455,223,1.409205779,-0.8,-1.0,0.004016064,0,85.65538645,12.0,1.919768404
1,0.021668889,3.825682791,5,1.0,24.65339838,10,-318.7860558,0.142857143,4,14.81101867,4.6,64.54217642,0.0,239.1216368,1.034090909,278,1.892328261,-0.818181818,-1.0,0.004405286,0,103.3422197,12.75,2.014888337
2,0.029054513,3.142321423,2,2.0,18.69684997,14,-269.1954085,0.125,5,22.67488327,4.0,60.15597924,0.000928962,195.3028724,2.068181818,161,1.784265541,-0.214285714,-0.5,0.004048583,0,83.13776345,19.5,1.559966915
1,0.022422524,2.853779294,2,1.0,20.23313789,8,-324.4168095,0.125,4,12.0665583,3.8,60.83645763,0.0,129.4935633,0.875,205,1.25805506,-0.777777778,-1.0,0.004081633,0,78.86894975,10.75,1.598842018
2,0.022422524,3.601788054,3,2.0,22.34070317,18,-265.1127168,0.125,6,29.63601799,4.8,63.03056136,0.003008467,311.1502284,2.386363636,202,2.374072353,-0.277777778,-0.5,0.004201681,0,99.07357837,24.5,1.845326716
