MCGM Values,H-GSM_1,Extended Improved Gravity Index Values,Betweenness Centrality,Extended Degree,Leverage Centrality,GGC Values,Societal Capital Scores,EHCC Value,LGC Scores,Constraint Coefficients,Volume Centrality,Coreness Centrality,GIN Values,I-GSM Values,HVGc Index,Eigenvector Centrality,Node H-Index,EIGSM Values,Laplacian Centrality,MDD Value,K-Shell Value,Density Centrality,Gravity Model Centrality,PageRank Centrality
5.849642332,13.48686891,42.75,0.096507076,5.4,0.019047619,34.5,12,4.696969697,2925,-0.333333333,19,5,27.77188448,13.63107073,103.1805087,0.002492324,2,33.15694458,30,2.4,2,4.295454545,39.44153742,0.01622053
0.916489577,9.982742195,16.5,0.0,1.8,-0.5,4.25,4,1.537878788,288,-1.0,8,2,22.03320674,6.942263463,5.518191618,0.000880609,1,11.01545834,8,1.0,1,0.477272727,6.859123583,0.006502463
1.134659402,11.38169402,17.5,0.0,1.8,-0.5,4.5,4,1.666666667,308,-1.0,9,2,25.23989154,7.442193559,6.621829941,0.015896948,1,12.10086405,8,1.0,1,0.477272727,7.353066564,0.006425944
15.5833531,17.09438388,52.5,0.231054903,4.6,0.166666667,30.0,10,6.257575758,2444,-0.333333333,19,5,35.93582295,14.44778352,90.28294513,0.28812968,2,41.04544579,26,2.4,2,3.818181818,41.80469791,0.015405492
2.72613871,12.75396961,20.0,0.0,1.8,-0.5,4.5,4,2.257575758,328,-1.0,9,2,28.78840641,8.58171067,6.621829941,0.111970758,1,14.44778352,8,1.0,1,0.477272727,8.478936927,0.006172458
18.13019717,17.11378987,59.0,0.218659038,5.4,0.0,36.0,12,7.454545455,3150,-0.333333333,21,6,36.53780211,15.99749498,122.5268541,0.302304535,3,42.33643655,30,2.4,2,4.295454545,46.28879193,0.014825187
10.94220232,16.47603411,51.5,0.412175048,4.6,0.133333333,28.5,10,6.636363636,2158,-0.333333333,17,6,34.23241731,13.6988672,90.28294513,0.172973548,2,38.36556499,26,2.4,2,3.818181818,39.63770665,0.015096143
5.939463028,15.14471942,35.5,0.397470641,3.6,-0.2,16.5,8,4.659090909,1260,-0.5,15,4,32.89204654,12.52545777,47.30939146,0.093104817,2,26.12312676,18,2.0,2,1.909090909,24.45449368,0.010389352
10.54462419,15.97388703,42.5,0.116832279,4.6,0.166666667,27.0,10,5.696969697,2041,-0.333333333,15,5,32.94627019,12.98886891,68.78700582,0.180293579,2,35.13602732,26,2.4,2,3.818181818,37.58332483,0.015972164
8.511673857,15.4884866,39.0,0.3152163,3.6,-0.2,17.0,8,5.196969697,1350,-0.5,16,4,33.92879517,12.85123831,50.94857542,0.171707309,2,28.06408663,18,2.0,2,1.909090909,25.09054215,0.010233021
6.753063372,15.81053751,49.0,0.388136104,4.2,0.2,24.75,9,5.25,1752,-0.333333333,15,6,32.35839338,12.42425957,77.38538154,0.06660898,2,36.26267577,24,2.1,2,3.579545455,35.94962627,0.015191345
4.334817854,13.92994542,32.5,0.084311954,3.6,-0.2,16.0,8,3.575757576,1188,-0.5,14,4,29.99979912,11.4896941,40.03102354,0.038596201,2,23.9118618,18,2.0,2,1.909090909,22.43228607,0.010709563
4.502186003,14.59876066,36.0,0.272508281,3.6,-0.2,16.5,8,4.022727273,1269,-0.5,15,4,31.66239881,12.2475239,47.30939146,0.039700462,2,26.06270896,18,2.0,2,1.909090909,23.91186027,0.010395419
0.974472615,10.63995619,17.5,0.0,1.8,-0.5,4.5,4,1.666666667,308,-1.0,9,2,23.55529834,7.189677168,6.621829941,0.003101118,1,11.76912468,8,1.0,1,0.477272727,7.103574285,0.00643834
6.172468675,14.40967235,52.5,0.103733815,5.2,0.419047619,36.0,11,5.272727273,2941,-0.25,15,6,27.16102149,11.81941012,93.45609397,0.002890749,2,41.85194493,34,2.8,2,6.045454545,45.05323072,0.022099602
1.108152435,10.25652958,18.0,0.0,2.2,-0.6,5.5,5,2.015151515,490,-1.0,10,2,22.96098439,8.031699331,7.357588823,0.001126762,1,11.81941012,10,1.0,1,0.556818182,7.935512472,0.006503764
1.108152435,10.25652958,18.0,0.0,2.2,-0.6,5.5,5,2.015151515,490,-1.0,10,2,22.96098439,8.031699331,7.357588823,0.001126762,1,11.81941012,10,1.0,1,0.556818182,7.935512472,0.006503764
2.413370163,11.23836442,27.75,0.071364047,3.6,-0.2,16.5,8,3.022727273,1233,-0.5,15,3,24.31354242,10.32207612,47.30939146,0.00124359,2,20.67196375,18,2.0,1,1.909090909,20.15264831,0.011814567
2.07427897,10.60364213,15.75,0.048479374,3.4,0.4,14.25,7,2.507575758,830,-0.333333333,7,3,20.27568353,7.040893021,34.39350291,0.00069715,1,21.410802,20,2.1,1,3.102272727,20.37284165,0.019101887
0.658988257,8.380124344,4.75,0.0,1.8,-0.5,3.75,4,1.143939394,212,-1.0,6,1,18.09233136,5.544362937,4.414553294,0.000271945,1,7.040893021,8,1.0,1,0.477272727,5.47796418,0.007219108
0.658988257,8.380124344,4.75,0.0,1.8,-0.5,3.75,4,1.143939394,212,-1.0,6,1,18.09233136,5.544362937,4.414553294,0.000271945,1,7.040893021,8,1.0,1,0.477272727,5.47796418,0.007219108
5.278797205,14.63398086,41.25,0.074375188,4.2,0.233333333,24.0,9,3.939393939,1704,-0.333333333,14,5,29.5490912,11.48760223,60.9051614,0.032708412,2,32.50379227,24,2.4,2,3.579545455,33.23940591,0.016226504
6.379992541,14.9667216,43.5,0.103282144,5.0,0.066666667,31.5,11,4.757575758,2478,-0.333333333,18,5,30.9496779,13.68171472,103.1805087,0.032859142,2,35.88819075,28,2.1,2,4.056818182,39.58807591,0.015615221
1.05996759,11.0047937,16.0,0.0,1.8,-0.5,4.25,4,1.537878788,284,-1.0,8,2,24.42043112,7.332383455,5.518191618,0.012711027,1,11.48760223,8,1.0,1,0.477272727,7.244571535,0.006405026
6.457720205,15.71376416,54.0,0.283649503,4.6,0.133333333,29.25,10,5.128787879,2249,-0.333333333,18,6,32.5048104,13.63844939,100.3143835,0.035549859,2,38.01973331,26,2.4,2,3.818181818,39.46288759,0.015117511
3.99658461,14.03923162,36.0,0.216802168,3.6,-0.2,16.5,8,3.75,1269,-0.5,15,4,30.34610098,12.09049469,47.30939146,0.018918298,2,25.25326118,18,2.0,2,1.909090909,23.60527906,0.010515285
5.260036868,14.26645083,48.5,0.198735321,4.2,0.2,24.75,9,4.522727273,1740,-0.333333333,15,6,28.83801467,11.61481179,77.38538154,0.013130981,2,33.75038469,24,2.1,2,3.579545455,33.6074871,0.015613605
3.602282226,12.56598765,32.5,0.078289672,3.6,-0.2,16.0,8,3.393939394,1188,-0.5,14,4,26.89562288,10.829945,40.03102354,0.007435093,2,22.01534542,18,2.0,2,1.909090909,21.14420298,0.010987075
3.602282226,12.56598765,32.5,0.078289672,3.6,-0.2,16.0,8,3.393939394,1188,-0.5,14,4,26.89562288,10.829945,40.03102354,0.007435093,2,22.01534542,18,2.0,2,1.909090909,21.14420298,0.010987075
1.233093831,11.70899465,9.25,0.0,1.8,-0.5,4.5,4,1.484848485,316,-1.0,9,1,25.97148162,7.746169394,6.621829941,0.039779359,1,12.80295712,8,1.0,1,0.477272727,7.653402013,0.006664631
4.522781518,13.92268179,19.75,0.094850949,4.6,0.166666667,25.5,10,3.303030303,1794,-0.333333333,13,3,28.8513138,11.49191078,60.18863009,0.062881709,2,28.50714002,26,2.4,1,3.818181818,33.25187271,0.017985236
1.032829941,10.87178014,8.5,0.0,1.8,-0.5,4.5,4,1.439393939,304,-1.0,9,1,23.9328821,7.103069232,6.621829941,0.024436655,1,11.49191078,8,1.0,1,0.477272727,7.018003558,0.006902532
3.041285652,12.52329982,16.5,0.048479374,3.8,0.333333333,18.0,8,2.666666667,1111,-0.333333333,9,3,24.86218426,8.601113667,42.99187863,0.035011552,1,23.87217331,22,2.4,1,3.340909091,24.88734401,0.019243715
12.34336363,16.33807824,46.5,0.131938171,4.6,0.166666667,28.5,10,5.954545455,2223,-0.333333333,17,5,33.96601644,13.5234336,77.38538154,0.220904347,2,37.12925998,26,2.4,2,3.818181818,39.1300891,0.015897068
2.22545249,12.24270521,19.0,0.0,1.8,-0.5,4.5,4,2.212121212,320,-1.0,9,2,27.49456386,8.142896082,6.621829941,0.085846111,1,13.5234336,8,1.0,1,0.477272727,8.045377541,0.006311752
4.599390288,12.80346745,39.75,0.059018368,4.2,0.233333333,24.0,9,3.893939394,1668,-0.333333333,14,5,25.38784644,10.40053363,60.9051614,0.00600074,2,29.1539098,24,2.4,2,3.579545455,30.09397019,0.016781705
5.304233693,12.50803177,37.5,0.049984944,5.0,0.066666667,29.25,11,4.098484848,2142,-0.333333333,15,5,25.18324259,11.67665662,80.25150678,0.005673537,2,28.26209376,28,2.1,2,4.056818182,33.78643528,0.016689037
0.933551848,9.614333958,16.0,0.0,1.8,-0.5,4.25,4,1.537878788,284,-1.0,8,2,21.20993336,6.647308173,5.518191618,0.002332082,1,10.40053363,8,1.0,1,0.477272727,6.567700649,0.006562672
2.64794948,12.4412663,25.75,0.071364047,3.6,-0.2,16.0,8,2.984848485,1161,-0.5,14,3,27.10159808,10.76213913,43.6702075,0.016295758,2,21.10397134,18,2.0,1,1.909090909,21.01181994,0.011591314
2.218853772,11.64166501,15.5,0.048479374,3.4,0.4,14.25,7,2.507575758,820,-0.333333333,7,3,22.67901848,7.422256619,34.39350291,0.009073468,1,22.44527735,20,2.1,1,3.102272727,21.47631818,0.018918526
0.692299113,9.253746649,4.75,0.0,1.8,-0.5,3.75,4,1.143939394,212,-1.0,6,1,20.10478921,5.84156911,4.414553294,0.003526122,1,7.422256619,8,1.0,1,0.477272727,5.77161104,0.007167289
0.692299113,9.253746649,4.75,0.0,1.8,-0.5,3.75,4,1.143939394,212,-1.0,6,1,20.10478921,5.84156911,4.414553294,0.003526122,1,7.422256619,8,1.0,1,0.477272727,5.77161104,0.007167289
0.834298866,9.943062503,6.0,0.0,1.8,-0.5,4.0,4,1.227272727,244,-1.0,7,1,21.61860723,6.190131266,5.518191618,0.013605946,1,8.601113667,8,1.0,1,0.477272727,6.115998849,0.007260159
0.834298866,9.943062503,6.0,0.0,1.8,-0.5,4.0,4,1.227272727,244,-1.0,7,1,21.61860723,6.190131266,5.518191618,0.013605946,1,8.601113667,8,1.0,1,0.477272727,6.115998849,0.007260159
1.822538219,10.09949837,22.25,0.024390244,2.8,0.066666667,11.0,6,2.166666667,644,-0.5,10,3,20.99398785,7.461026501,24.26122639,0.002597215,1,16.40534179,14,1.7,1,1.590909091,14.56678301,0.012635912
4.599390288,12.80346745,39.75,0.059018368,4.2,0.233333333,24.0,9,3.893939394,1668,-0.333333333,14,5,25.38784644,10.40053363,60.9051614,0.00600074,2,29.1539098,24,2.4,2,3.579545455,30.09397019,0.016781705
0.540703109,8.289349967,5.5,0.0,1.4,-0.333333333,2.75,3,0.886363636,126,-1.0,5,1,17.71647966,4.728685169,2.943035529,0.001009373,1,7.461026501,6,1.0,1,0.397727273,4.67205489,0.007178151
0.933551848,9.614333958,16.0,0.0,1.8,-0.5,4.25,4,1.537878788,284,-1.0,8,2,21.20993336,6.647308173,5.518191618,0.002332082,1,10.40053363,8,1.0,1,0.477272727,6.567700649,0.006562672
9.724606215,16.3835863,42.5,0.185486299,3.6,-0.2,17.5,8,5.28030303,1440,-0.5,17,4,36.01920992,13.67565655,54.58775937,0.205752722,2,30.76434454,18,2.0,2,1.909090909,26.70012249,0.010146567
16.28274442,17.39506088,58.5,0.268593797,4.6,0.133333333,30.0,10,7.121212121,2405,-0.333333333,19,6,36.6780442,14.68673929,105.3301027,0.291762433,2,43.35553461,26,2.4,2,3.818181818,42.49611703,0.014554549
10.17581174,15.90823871,40.0,0.250727692,3.6,-0.2,17.0,8,5.333333333,1368,-0.5,16,4,35.01201878,13.21363793,50.94857542,0.217870214,2,29.05195872,18,2.0,2,1.909090909,25.79808508,0.01007956
15.24664155,16.96951639,58.0,0.331727391,4.6,0.133333333,30.0,10,7.121212121,2392,-0.333333333,19,6,35.72398565,14.36521943,105.3301027,0.268873852,2,42.06237122,26,2.4,2,3.818181818,41.56579852,0.014639495
1.947573272,11.99907887,18.0,0.0,1.8,-0.5,4.5,4,2.166666667,312,-1.0,9,2,26.84510819,7.913726528,6.621829941,0.070064275,1,12.98886891,8,1.0,1,0.477272727,7.818952499,0.00633232
