Coreness Centrality,Node H-Index,Density Centrality,MDD Value,GSM,Degree Centrality,Leverage Centrality,Global Relative Change in Avg Degree,DIL Centrality,Societal Capital Scores,DNC Scores,H-GSM_1,Volume Centrality,GGC Values,Subgraph centrality,Eigenvector Centrality,Isolating Centrality,GIN Values,Eccentricity Centrality,Local-Global Centrality,H Values,Improved Gravity Index Values,Gravity Model Centrality,MCGM Values,Closeness Centrality
23,3,8.590909091,3.0,126.5041798,0.073170732,-0.646153846,0.004172015,3.0,52,4.418130018,437.8886237,255,14.06447706,287.4137247,0.067074836,0,177.7001547,0.2,3.965847457,1.542721224,301.5,313.6575,4.59479577,0.01
15,3,4.295454545,3.0,94.47984452,0.073170732,-0.433333333,0.004172015,3.0,26,5.03968254,38.16222092,80,4.673472293,42.42191338,0.020649926,0,129.3503896,0.166666667,3.046848508,0.309748896,111.75,177.6433333,1.042786184,0.007633588
27,4,15.11363636,4.1,125.0363232,0.12195122,-0.137114846,0.009306804,18.22807018,46,8.378030303,110.3914956,218,55.40386551,174.1765713,0.051405952,0,176.0036807,0.25,6.571209279,1.387960692,255.75,470.5208333,4.288589859,0.010416667
9,3,3.818181818,3.0,86.47823586,0.073170732,-0.25,0.004172015,3.0,18,4.6,16.07303131,49,3.108239433,8.887396783,0.005728538,0,117.1779201,0.2,2.85142204,0.051556838,70.5,142.485,0.533557294,0.007575758
81,9,42.95454545,9.0,182.7490481,0.219512195,-0.17958486,0.036264442,9.0,134,14.86339146,3181.526984,267,61.6484958,2923.182512,0.215671599,0,253.7837064,0.25,14.63981892,17.46939953,1444.5,1469.875,23.83261386,0.012048193
67,8,34.36363636,8.0,169.1739419,0.195121951,-0.194229692,0.029525032,8.0,114,13.55177529,1978.419616,261,49.64614399,1988.811591,0.177377238,0,235.5127106,0.25,12.428196,11.88427495,1158.0,1186.777778,18.33721703,0.011494253
15,3,5.011363636,3.0,104.7548409,0.073170732,-0.2,0.004172015,3.0,21,5.590909091,55.27941512,140,5.928969917,43.4291373,0.024527914,0,139.6611874,0.2,3.255720918,0.367918712,145.5,194.6783333,1.724222452,0.008474576
15,3,5.011363636,3.0,104.7548409,0.073170732,-0.2,0.004172015,3.0,21,5.590909091,55.27941512,140,5.928969917,43.4291373,0.024527914,0,139.6611874,0.2,3.255720918,0.367918712,145.5,194.6783333,1.724222452,0.008474576
25,3,9.068181818,3.0,128.6522627,0.073170732,-0.633333333,0.004172015,3.0,51,4.634291634,436.8953094,261,13.81075049,307.8399274,0.06954541,0,178.2371754,0.2,4.004742306,1.73863524,303.75,313.9075,4.772528311,0.010204082
29,5,17.10227273,5.0,135.4899801,0.12195122,-0.294642857,0.009306804,5.0,63,8.107163207,630.6888657,256,24.29833922,295.0603385,0.06469186,0,190.8724716,0.2,6.894253151,1.876063949,537.5,556.0958333,6.568048672,0.010309278
15,3,8.75,4.1,89.70036016,0.12195122,0.15,0.009306804,6.0,24,9.0,21.5895947,47,10.78982394,14.1536243,0.005924501,0,124.0192335,0.2,4.918614055,0.088867513,78.0,249.975,0.786082554,0.007692308
76,8,40.80681818,7.8,174.618157,0.219512195,-0.132992889,0.036264442,16.22222222,126,15.32702782,2456.308726,260,76.94371364,2464.514903,0.19785553,0,247.3823273,0.25,14.32479962,15.03702024,1222.0,1407.125,21.05022137,0.011627907
45,4,28.39772727,6.1,143.9062929,0.170731707,-0.06549864,0.022785623,16.9671123,85,11.95202782,777.658623,262,100.3785415,883.9631035,0.118482421,0,214.0231281,0.25,10.33450397,5.331708944,496.0,893.1805556,10.28185157,0.011363636
9,3,3.340909091,3.0,68.20163085,0.073170732,-0.166666667,0.004172015,3.0,16,5.2,8.236483568,21,1.656954792,6.741205394,0.001179924,0,91.49042921,0.166666667,2.293711042,0.010619315,45.0,96.00583333,0.270485025,0.005952381
9,3,3.340909091,3.0,68.20163085,0.073170732,-0.166666667,0.004172015,3.0,16,5.2,8.236483568,21,1.656954792,6.741205394,0.001179924,0,91.49042921,0.166666667,2.293711042,0.010619315,45.0,96.00583333,0.270485025,0.005952381
29,5,17.10227273,5.0,135.4899801,0.12195122,-0.294642857,0.009306804,5.0,63,8.107163207,630.6888657,256,24.29833922,295.0603385,0.06469186,0,190.8724716,0.2,6.894253151,1.876063949,537.5,556.0958333,6.568048672,0.010309278
29,5,17.10227273,5.0,135.4899801,0.12195122,-0.294642857,0.009306804,5.0,63,8.107163207,630.6888657,256,24.29833922,295.0603385,0.06469186,0,190.8724716,0.2,6.894253151,1.876063949,537.5,556.0958333,6.568048672,0.010309278
81,9,42.95454545,9.0,182.7490481,0.219512195,-0.17958486,0.036264442,9.0,134,14.86339146,3181.526984,267,61.6484958,2923.182512,0.215671599,0,253.7837064,0.25,14.63981892,17.46939953,1444.5,1469.875,23.83261386,0.012048193
37,5,27.28409091,6.1,139.9956743,0.170731707,-0.022338936,0.022785623,9.248809524,73,12.10716321,806.7514762,254,61.18076442,380.6276382,0.072421016,0,203.7256032,0.2,9.97050705,2.67957759,565.0,817.0341667,8.065023101,0.010526316
15,3,8.75,4.1,89.70036016,0.12195122,0.15,0.009306804,6.0,24,9.0,21.5895947,47,10.78982394,14.1536243,0.005924501,0,124.0192335,0.2,4.918614055,0.088867513,78.0,249.975,0.786082554,0.007692308
15,3,5.488636364,3.0,104.4863305,0.073170732,-0.333333333,0.004172015,3.0,25,5.054112554,51.09340717,143,6.712420227,68.26706285,0.031538746,0,141.7197668,0.2,3.299581086,0.473081196,156.75,203.9075,1.936564362,0.008403361
11,2,2.704545455,2.0,99.84300371,0.048780488,-0.346153846,0.010911425,2.0,15,3.672727273,44.97758485,136,3.640468615,32.97926018,0.021838084,2,133.4036772,0.2,2.103053618,0.240218927,87.5,121.3966667,1.134827629,0.008333333
11,2,2.704545455,2.0,99.84300371,0.048780488,-0.346153846,0.010911425,2.0,15,3.672727273,44.97758485,136,3.640468615,32.97926018,0.021838084,2,133.4036772,0.2,2.103053618,0.240218927,87.5,121.3966667,1.134827629,0.008333333
15,3,5.488636364,3.0,104.4863305,0.073170732,-0.333333333,0.004172015,3.0,25,5.054112554,51.09340717,143,6.712420227,68.26706285,0.031538746,0,141.7197668,0.2,3.299581086,0.473081196,156.75,203.9075,1.936564362,0.008403361
