Density Centrality,GIN Values,Betweenness Centrality,Global Relative Change in Avg Clustering,DNC Scores,I-GSM Values,Improved Gravity Index Values,K-Shell Value,HVGc Index,Gravity Model Centrality,Eccentricity Centrality,HCC Value,MDD Value,H Values,EHCC Value,Leverage Centrality,PE Values,Gravity Index Centrality,Eigenvector Centrality,H-GSM_1,Constraint Coefficients,Coreness Centrality,Extended Degree,GGC Values,CLC Values
5.011363636,338.4605688,0.0253024,0.001153544,3.261904762,76.94330125,41.5,2,373.4493766,229.4379688,0.0625,0.310810298,2.7,0.000110124,1.266181322,-0.180952381,0.044255889,20.0,1.84e-05,83.68897383,-0.429846939,6,7.4,25.25158604,117.5111349
1.75,280.6864039,0.004040404,0.003020933,2.166666667,49.06928468,8.25,1,45.48979948,97.74364608,0.058823529,0.079816479,1.7,6.12e-06,0.425586774,0.0,0.016594074,4.25,2.04e-06,69.85267156,-0.5,3,3.2,12.89535519,48.0
3.818181818,283.7177382,0.027988386,0.003020933,3.166666667,51.78101386,11.0,1,98.88132086,154.4063025,0.058823529,0.11689986,2.4,8.25e-06,0.586281424,0.185714286,0.027024302,5.5,2.06e-06,71.40711885,-0.333333333,4,4.6,27.59303279,63.0
0.795454545,324.5983797,0.0,0.00224894,1.095238095,66.55072043,12.5,1,51.50312176,66.41668075,0.0625,0.1592917,1.0,3.22e-05,0.570393964,-0.75,0.019485408,5.5,1.61e-05,78.14307867,-1.0,2,3.4,8.856513374,90.0
4.056818182,326.5805977,0.004040404,0.006157198,4.095238095,68.7199601,29.0,2,179.0197815,204.9167089,0.0625,0.288211428,2.4,9.15e-05,1.024608501,0.1,0.029551877,15.5,1.83e-05,80.11598223,-0.506235828,5,5.8,15.28615291,89.56641382
2.227272727,326.4248526,0.0,0.006157198,2.428571429,68.83256147,29.5,2,134.1429291,137.1111393,0.0625,0.282561711,2.0,7.24e-05,0.981875403,-0.377777778,0.027485774,14.0,1.81e-05,79.29262463,-0.770975057,4,5.2,2.826892667,44.14553294
17.65909091,388.750032,0.047316105,0.00130886,10.11746032,125.2101385,289.0,4,15006.05844,742.2277442,0.0625,1.279642058,5.4,0.032920993,9.002426724,-0.145173454,0.07975627,209.0,0.000889757,93.3265738,-0.302166871,37,24.8,46.41120616,547.3409228
11.13636364,447.1090865,0.119657515,0.003637834,4.552813853,131.1961657,95.0,2,1576.292785,520.5695478,0.071428571,0.588783984,3.7,0.003492387,2.7319228,-0.034848485,0.071318189,46.0,0.000388043,105.6717178,-0.25,9,11.6,111.3468495,451.0
0.477272727,254.469863,0.0,0.002020202,1.0,39.85410492,5.0,1,8.829106588,39.77383485,0.0625,0.042733098,1.0,4.51e-07,0.264892125,-0.5,0.011278157,3.0,2.25e-07,64.09336489,-1.0,2,1.8,4.408476281,31.0
4.295454545,299.5827111,0.023496748,0.006423418,3.433333333,60.08222637,31.0,2,189.164266,179.1597678,0.066666667,0.222159026,2.7,1.04e-05,0.900276798,0.083333333,0.032535037,16.0,2.08e-06,76.20067059,-0.333333333,5,5.4,33.83546828,103.0
12.32954545,299.8758972,0.051134734,0.000781844,5.766666667,66.70892857,53.0,2,720.1219853,330.1991882,0.071428571,0.324574375,3.8,5.4e-06,1.64478823,0.18975469,0.056495618,31.5,5.4e-07,78.36235179,-0.253611111,10,10.2,72.86154497,168.2997598
7.636363636,285.1446182,0.036217435,0.006586083,5.4,59.18656045,43.5,2,543.5731863,234.8446758,0.066666667,0.314336632,3.4,0.000186571,1.483031889,0.066666667,0.042844889,26.5,2.07e-05,73.20982386,-0.40625,9,8.8,28.85106186,117.5111349
14.31818182,266.7411987,0.024971105,0.006586083,7.6,53.58018845,42.5,2,732.4906427,317.615673,0.0625,0.325636067,4.5,3.15e-05,1.734501194,0.438095238,0.059354011,29.5,2.86e-06,70.73894593,-0.247299383,11,10.0,58.09586411,149.6546376
16.70454545,291.0270447,0.048876139,0.000181406,8.866666667,67.71056122,94.5,3,1253.02085,401.3784963,0.066666667,0.462670155,4.5,4.04e-05,2.572289842,0.174747475,0.060534923,57.75,2.69e-06,77.02413801,-0.316766975,15,14.0,65.88585187,200.6732247
2.068181818,247.2279843,0.0,0.004184329,2.466666667,43.12494936,26.0,2,144.4422389,85.9028171,0.0625,0.215447617,2.0,1.01e-05,0.855420316,-0.416666667,0.024205931,12.5,2.52e-06,62.97271523,-0.730902778,4,5.2,2.4439408,36.78794412
2.068181818,295.0274553,0.036276969,0.004021664,2.333333333,56.43662986,23.5,2,93.4057216,112.419042,0.071428571,0.164941417,2.0,0.000745276,0.649869184,-0.266666667,0.020398308,13.0,0.000186319,73.42017047,-0.5,4,4.0,16.80039591,70.0
0.715909091,230.3768739,0.0,0.002420494,1.133333333,36.29296214,9.75,1,30.90187306,36.21986456,0.058823529,0.126796345,1.0,6.11e-07,0.452432412,-0.714285714,0.012927773,4.5,3.05e-07,58.62669773,-1.0,2,3.0,6.80662412,57.0
2.386363636,233.3519129,0.012072138,0.006423418,2.466666667,39.54566851,27.0,2,109.1755187,78.77306245,0.058823529,0.162818034,2.0,1.24e-06,0.63326129,-0.35,0.017339602,14.5,3.09e-07,60.16767898,-0.5,4,4.8,16.46442152,72.0
0.715909091,230.3768739,0.0,0.002420494,1.133333333,36.29296214,9.75,1,30.90187306,36.21986456,0.058823529,0.126796345,1.0,6.11e-07,0.452432412,-0.714285714,0.012927773,4.5,3.05e-07,58.62669773,-1.0,2,3.0,6.80662412,57.0
7.318181818,321.1552344,0.016817377,0.001182137,4.7,69.72636423,39.0,2,395.3536517,276.6652646,0.066666667,0.350017063,3.1,1.02e-05,1.599628408,0.091269841,0.041122356,23.0,1.28e-06,79.37255232,-0.333767361,8,8.0,38.38634147,119.3539232
7.0,341.7709464,0.021106109,0.001982721,4.5,75.06885659,35.0,2,300.8125611,297.8635886,0.071428571,0.332006218,3.1,5.31e-05,1.607060251,0.154761905,0.044354349,22.0,6.64e-06,84.34049259,-0.333767361,8,7.2,38.84071308,109.1961425
4.056818182,308.29989,0.001583756,0.002020202,3.666666667,62.42609669,30.0,2,236.4939117,186.1489772,0.066666667,0.327418193,3.0,5.8e-06,1.349220794,-0.095238095,0.031395299,17.0,9.67e-07,75.71251557,-0.458333333,6,6.2,15.97828882,78.81844416
11.13636364,312.5846052,0.026455989,0.003183598,6.333333333,70.75237295,47.5,2,807.564881,350.2136312,0.0625,0.38497706,3.5,1.19e-05,1.947863345,0.166666667,0.049654608,28.0,1.19e-06,77.10545892,-0.307222222,10,10.2,47.75307603,153.9213816
2.068181818,301.6720791,0.00664643,0.007023856,2.5,60.43801778,26.5,2,114.6342947,120.3896135,0.066666667,0.205209874,2.0,1.25e-05,0.972358094,-0.266666667,0.023006541,14.0,3.12e-06,73.55449543,-0.5,4,4.0,16.8621635,86.0
4.772727273,384.0533412,0.025190246,0.003421225,3.3,92.60617188,42.0,2,293.7778373,276.1432332,0.076923077,0.320706783,2.7,0.000337156,1.411367687,0.007936508,0.040498782,22.5,5.62e-05,92.14152513,-0.333333333,6,6.2,46.99831346,203.0
2.386363636,322.0780578,0.00501802,0.003421225,2.266666667,66.72307362,28.5,2,125.5518466,132.9091413,0.066666667,0.276911993,2.0,1.48e-05,0.932089637,-0.380952381,0.023146603,14.5,3.7e-06,78.52224139,-0.5,4,4.8,21.80490848,93.0
3.340909091,268.4546997,0.004040404,0.003984183,3.666666667,46.96414236,17.5,2,75.95257007,140.0428271,0.055555556,0.143745497,2.7,3.73e-07,0.522352406,0.166666667,0.01943012,12.0,7.47e-08,67.31733329,-0.50617284,5,4.6,7.708182003,38.69269077
0.477272727,232.6172977,0.0,0.006023125,1.333333333,33.31228128,4.5,1,6.621829941,33.24518708,0.052631579,0.042733098,1.0,1.59e-08,0.186478596,-0.5,0.005349135,3.0,7.97e-09,57.7591883,-1.0,2,1.8,2.310377036,18.0
3.340909091,268.4546997,0.004040404,0.003984183,3.666666667,46.96414236,17.5,2,75.95257007,140.0428271,0.055555556,0.143745497,2.7,3.73e-07,0.522352406,0.166666667,0.01943012,12.0,7.47e-08,67.31733329,-0.50617284,5,4.6,7.708182003,38.69269077
4.534090909,317.3069489,0.016063469,0.002783306,4.066666667,69.3172184,40.5,2,289.3431241,206.6976792,0.058823529,0.192128313,2.4,4.32e-06,1.255943579,-0.111111111,0.027978356,23.0,6.17e-07,77.90461733,-0.50617284,7,6.6,16.52780269,108.9127592
0.397727273,207.7590429,0.0,0.002020202,1.0,26.47611267,2.75,1,2.943035529,26.42278719,0.058823529,0.023660562,1.0,7.82e-10,0.077693095,-0.333333333,0.00565464,1.5,7.82e-10,51.62813886,-1.0,1,1.4,2.385062839,15.0
1.590909091,236.4066238,0.004040404,0.006023125,2.333333333,36.62588707,7.25,1,41.24408486,72.95699879,0.0625,0.054032533,1.7,2.18e-08,0.474690024,0.066666667,0.015165263,4.5,7.27e-09,58.71338649,-0.5,3,2.8,9.386202085,35.0
5.25,276.901281,0.00806445,0.000295775,3.385714286,57.36686694,43.5,2,397.4994475,171.0628114,0.066666667,0.396996929,2.7,4.68e-07,1.624350662,-0.168181818,0.033061525,26.5,6.68e-08,68.24221402,-0.411736111,7,7.8,20.05467355,107.4796966
0.477272727,232.6172977,0.0,0.006023125,1.333333333,33.31228128,4.5,1,6.621829941,33.24518708,0.052631579,0.042733098,1.0,1.59e-08,0.186478596,-0.5,0.005349135,3.0,7.97e-09,57.7591883,-1.0,2,1.8,2.310377036,18.0
9.943181818,327.035538,0.015874482,0.001982721,6.133333333,75.12565162,43.5,2,694.068759,371.8607045,0.071428571,0.327759451,3.8,0.002851256,2.019906723,0.291269841,0.059361957,28.5,0.000285126,80.30618227,-0.299044444,10,9.0,42.8754082,168.6585351
43.75,369.6487029,0.043691981,0.000159312,19.3,131.5430725,674.0,8,32450.62061,1415.236875,0.071428571,1.48940204,7.7,0.031154808,14.53107345,0.238495277,0.116456037,588.0,0.000445069,98.95876299,-0.256568144,70,37.8,79.05820446,591.9830843
9.545454545,341.7695393,0.004708632,0.0044148,5.360606061,91.03667153,91.0,2,1887.006592,361.2218289,0.071428571,0.540742426,3.7,0.004831045,3.256777765,-0.136507937,0.053090185,67.5,0.00032207,80.83464845,-0.431097337,15,12.0,26.37659944,203.187771
0.636363636,273.0665913,0.0,0.002820787,1.2,48.10837418,8.5,1,22.07276647,48.0114792,0.066666667,0.101012399,1.0,6.08e-05,0.42877185,-0.666666667,0.010569698,4.25,3.04e-05,66.09466835,-1.0,2,2.6,5.290557056,63.0
3.818181818,283.6772196,0.004040404,0.000819325,3.7,56.71430731,29.5,2,224.9918099,169.1169376,0.066666667,0.227808744,2.7,0.000327484,1.139043719,0.035714286,0.029335676,17.0,6.55e-05,69.11040777,-0.444722222,5,5.8,12.65639489,93.14907037
2.068181818,280.3460253,0.004759124,0.002820787,2.2,52.21075443,22.5,2,76.42286312,104.0013021,0.066666667,0.151518599,2.0,0.000125137,0.611724112,-0.214285714,0.018570064,13.0,3.13e-05,68.97698593,-0.5,4,4.0,15.51417673,80.0
0.636363636,267.3533387,0.0,0.002420494,1.1,46.49653015,8.5,1,23.91216368,46.40288158,0.066666667,0.101012399,1.0,1.17e-07,0.516020172,-0.666666667,0.014172381,4.25,5.83e-08,64.90995556,-1.0,2,2.6,6.358152849,53.0
11.13636364,319.2365767,0.055281561,0.000295775,5.619047619,72.6117869,47.5,2,653.3391259,359.4174513,0.071428571,0.415007773,3.8,5.42e-06,2.182762674,0.356227106,0.057220558,32.5,5.42e-07,78.8782621,-0.241736111,10,9.0,54.48992108,168.2997598
0.636363636,267.3533387,0.0,0.002420494,1.1,46.49653015,8.5,1,23.91216368,46.40288158,0.066666667,0.101012399,1.0,1.17e-07,0.516020172,-0.666666667,0.014172381,4.25,5.83e-08,64.90995556,-1.0,2,2.6,6.358152849,53.0
3.5,375.2792375,0.05888848,0.002784396,2.372727273,98.5451229,74.0,2,630.7918861,196.2971272,0.076923077,0.410419747,2.0,2.87e-05,1.971144731,-0.56043956,0.041895229,34.0,4.79e-06,87.93347221,-0.5,6,7.6,41.66024803,306.0
24.18181818,284.9574169,0.031963358,0.015506883,13.63333333,68.25183185,128.0,4,2292.396631,537.2786082,0.066666667,0.758313427,5.6,1.74e-06,5.043036439,0.376689977,0.067806455,103.0,7.23e-08,74.78682057,-0.295980903,24,16.8,55.43214644,235.96387
0.397727273,301.0342929,0.0,0.002020202,1.0,57.50757069,5.0,1,9.56486547,57.3917448,0.071428571,0.023660562,1.0,0.002971138,0.423842566,-0.333333333,0.015344341,2.25,0.002971138,70.54360459,-1.0,1,1.4,3.49427717,48.0
3.022727273,374.5467332,0.004040404,0.002438689,2.348484848,101.7796793,44.0,1,985.612322,202.7402074,0.076923077,0.400182004,1.7,0.167166763,2.183369355,-0.19047619,0.036851161,18.75,0.027861127,84.75591929,-0.5,6,6.4,46.28978683,468.0
78.27272727,512.1551496,0.019293187,0.000507473,15.51786906,232.1823249,871.25,5,109772.7938,2719.589007,0.083333333,1.759526789,9.9,13.431072,19.47677549,0.134924186,0.350178672,410.0,0.258289846,121.5693682,-0.146238826,52,57.6,539.7733577,3295.88336
4.056818182,250.5238804,0.0,0.00518506,4.566666667,47.41055264,54.75,3,313.8556899,141.3739822,0.0625,0.377924392,3.0,3.29e-06,1.607742767,-0.194444444,0.029585937,33.0,3.66e-07,64.80426302,-0.718765432,9,7.4,4.001457405,51.50312176
9.147727273,250.5259651,0.008072629,0.000181406,7.266666667,47.09704436,53.25,3,480.2172229,233.1233037,0.0625,0.389223827,3.8,4.11e-06,1.809767565,0.348484848,0.040760783,37.5,3.74e-07,66.6129566,-0.371111111,11,8.6,24.74485221,108.1594602
4.056818182,250.5238804,0.0,0.00518506,4.566666667,47.41055264,54.75,3,313.8556899,141.3739822,0.0625,0.377924392,3.0,3.29e-06,1.607742767,-0.194444444,0.029585937,33.0,3.66e-07,64.80426302,-0.718765432,9,7.4,4.001457405,51.50312176
2.704545455,379.1861516,0.015384034,0.003621371,2.5,94.43390191,50.5,2,393.6383982,188.1077734,0.071428571,0.301634247,2.0,8.37e-05,1.715125318,-0.464285714,0.033580501,27.5,1.39e-05,88.28831657,-0.5,6,5.6,27.06681055,194.0
10.34090909,356.9151395,0.022160149,0.00518506,6.1,84.71935187,39.0,2,547.1278709,419.3480814,0.066666667,0.323171425,3.8,0.000246259,1.744435597,0.342857143,0.058533766,27.0,2.74e-05,87.18356025,-0.2676,9,8.2,55.26048033,146.5836617
21.47727273,461.3057417,0.044081187,0.001642004,8.698917749,157.3187219,329.0,4,10294.96282,932.5628217,0.076923077,1.090319645,5.7,0.002669953,7.438175407,-0.078384687,0.11118117,179.0,0.000102691,107.3011755,-0.262554655,26,22.8,101.1955139,773.5493331
1.909090909,295.6132528,0.004040404,0.002420494,2.1,55.14309955,8.75,1,54.58775937,109.8423921,0.0625,0.112311834,1.7,9.08e-06,0.459143821,-0.047619048,0.015424465,5.0,3.03e-06,71.88850723,-0.5,3,3.6,14.3694697,60.0
2.227272727,319.1677547,0.0,0.00518506,2.2,68.74967271,30.5,2,155.7607219,136.9460289,0.0625,0.282561711,2.0,0.000101403,1.053577522,-0.428571429,0.032575875,16.0,2.54e-05,76.96532695,-0.72,4,5.2,3.026508098,41.57037685
13.92045455,361.5540014,0.024692804,0.00301681,7.044444444,99.56493006,97.5,2,1919.156224,492.8314662,0.0625,0.447844386,3.8,0.003067083,3.142683805,0.174603175,0.053345629,71.0,0.000204472,87.30511636,-0.2676,15,11.8,76.642399,316.6930963
5.727272727,219.5621578,0.016104363,0.002020202,4.0,31.45256556,7.0,1,62.30406265,124.7997435,0.052631579,0.103477041,2.8,1.02e-07,0.424866341,0.466666667,0.027276864,4.5,2.56e-08,57.42438422,-0.25,4,4.8,28.0,33.0
1.75,197.0824015,0.004040404,0.002020202,2.0,25.58327129,6.0,1,18.19591979,50.96064128,0.05,0.079816479,1.7,5.62e-09,0.206954082,0.0,0.011102116,2.75,2.81e-09,50.8128521,-0.5,2,3.2,12.0,25.0
0.556818182,196.5184552,0.0,0.002020202,1.0,24.8915658,5.25,1,5.886071059,24.84143175,0.05,0.068517044,1.0,2.78e-09,0.171994085,-0.6,0.008000366,1.75,2.78e-09,50.04216292,-1.0,1,2.2,5.25,20.0
0.556818182,196.5184552,0.0,0.002020202,1.0,24.8915658,5.25,1,5.886071059,24.84143175,0.05,0.068517044,1.0,2.78e-09,0.171994085,-0.6,0.008000366,1.75,2.78e-09,50.04216292,-1.0,1,2.2,5.25,20.0
2.068181818,247.9466802,0.020038441,0.002020202,2.0,40.38010955,9.25,1,42.45714618,80.43522873,0.055555556,0.104538733,2.0,4.54e-07,0.324915633,-0.266666667,0.017120516,3.5,2.27e-07,62.77096571,-0.5,2,4.0,17.93306262,43.0
0.397727273,177.4447156,0.0,0.002020202,1.0,19.28718863,3.0,1,3.678794412,19.24834234,0.047619048,0.023660562,1.0,3.05e-10,0.103477041,-0.333333333,0.006847433,1.25,3.05e-10,45.43440035,-1.0,1,1.4,3.0,8.0
1.590909091,272.1957226,0.004040404,0.002020202,2.0,47.3314371,5.5,1,24.26122639,94.2819376,0.071428571,0.054032533,1.7,0.002042892,0.180108444,0.066666667,0.013313309,3.0,0.001021446,65.86452863,-0.5,2,2.8,9.735758882,37.0
0.397727273,234.8438443,0.0,0.002020202,1.0,33.4047363,2.75,1,2.943035529,33.33745589,0.066666667,0.023660562,1.0,0.000108928,0.077693095,-0.333333333,0.00565464,1.25,0.000108928,57.26551404,-1.0,1,1.4,2.75,10.0
4.056818182,326.2399502,0.020087515,0.005022394,3.5,73.43710732,18.25,1,286.6125242,218.9828155,0.076923077,0.102415349,2.4,0.047347175,1.269025139,0.085714286,0.030729748,9.25,0.009469435,77.22308778,-0.333333333,5,5.0,32.59025608,167.0
28.39772727,494.8197219,0.108405409,0.001110656,8.130952381,164.6336739,203.25,3,5599.896336,1136.285733,0.083333333,0.754407917,5.8,0.062801601,5.248397983,0.108558109,0.155436469,96.75,0.003488978,117.6651812,-0.218867139,18,20.6,205.327666,721.1367794
22.43181818,486.0363418,0.042964709,0.000983181,7.081135531,165.394621,237.75,3,7792.331089,980.4355932,0.076923077,0.854017366,5.4,0.015992813,5.727258939,0.002930403,0.152011093,108.0,0.00088849,112.805068,-0.214853592,18,20.8,201.5254286,969.3772116
32.45454545,479.3791364,0.052657618,0.002597456,9.39047619,155.2233087,183.75,3,5320.437247,1221.918313,0.083333333,0.736397073,5.6,0.071498254,5.282675464,0.295382395,0.158632344,93.0,0.003763066,115.461966,-0.192214516,19,20.0,230.2686494,716.013447
21.47727273,475.2576697,0.084922832,0.005093875,7.015873016,151.5668483,182.25,3,4181.537058,898.4665396,0.083333333,0.715921586,5.1,0.008742891,4.919273499,0.071775447,0.13974913,91.5,0.000514288,112.9183596,-0.203256488,17,17.2,190.6051786,701.8890019
7.636363636,391.8962847,0.00806445,0.011746994,6.416666667,100.1663111,56.0,2,940.3575596,397.447067,0.076923077,0.478936791,3.4,0.007935693,2.288325181,0.015151515,0.056287984,29.0,0.000793569,93.58394075,-0.441984216,10,10.0,35.74685888,265.1165849
4.295454545,383.4912018,0.008072629,0.002592048,3.238095238,90.69390837,18.5,1,257.9512718,270.4410363,0.076923077,0.18189057,2.4,0.001903638,1.021764684,0.2,0.034437266,9.25,0.000380728,90.98251155,-0.333333333,5,5.4,39.1359642,186.0
30.06818182,497.1895962,0.130171403,0.00056676,8.6,172.2013749,253.5,3,7939.023705,1188.517275,0.076923077,0.780191863,5.8,0.512678575,6.310810298,0.143837535,0.149134209,133.5,0.023303572,115.834651,-0.18746966,22,21.0,248.5818619,953.5656897
111.3636364,563.3777555,0.090457165,0.010584041,19.50627706,248.4703401,698.0,4,50989.76401,3381.771642,0.076923077,1.458954233,9.8,0.015380871,16.85974292,0.308328393,0.345274056,365.0,0.000290205,135.550474,-0.146590273,53,52.4,837.5649288,2752.064798
28.39772727,474.7940566,0.007557737,0.002295495,9.586691087,169.5121562,378.0,4,14358.06887,1169.956547,0.076923077,1.080764418,6.1,0.004507125,8.76293937,-0.008803451,0.18138521,180.0,0.000180285,110.7730983,-0.241331364,25,26.6,188.3832602,1241.03223
0.715909091,373.4687166,0.0,0.00262064,1.2,86.80274722,16.5,1,92.70561918,86.62791798,0.071428571,0.126796345,1.0,0.000284249,0.980813711,-0.714285714,0.025558522,7.25,9.47e-05,86.58218447,-1.0,3,3.0,10.91209732,178.0
0.875,330.4131618,0.0,0.002449087,1.214285714,69.31679202,15.5,1,76.51892376,69.17718121,0.071428571,0.205209874,1.0,0.000925636,0.875213286,-0.777777778,0.017894686,7.25,0.000308545,78.74928157,-1.0,3,3.8,9.456622253,123.0
2.386363636,331.2473294,0.004040404,0.002449087,2.214285714,70.09815485,16.25,1,152.8457262,139.6321402,0.071428571,0.216509309,1.7,0.001248379,0.910173283,-0.133333333,0.020996436,8.25,0.000312095,79.57790638,-0.5,4,4.8,20.41324451,132.0
2.227272727,332.58605,0.0,0.00183976,2.880952381,72.21779569,36.5,2,272.194476,143.8543624,0.071428571,0.36097524,2.0,0.0034348,1.620824328,-0.466666667,0.027890049,18.5,0.000572467,79.74035897,-0.70703125,6,6.0,2.823025265,69.89709382
5.488636364,375.6193831,0.001758508,0.000104517,3.357142857,93.10108084,57.0,2,800.1888469,277.619007,0.076923077,0.428430592,2.7,0.005187357,2.00436052,-0.218181818,0.053962193,28.5,0.00064842,90.13362357,-0.396860828,8,8.6,29.92270609,209.2271427
4.772727273,395.2893498,0.000644956,0.000619179,3.766666667,101.3257328,81.0,3,653.8223537,302.1441756,0.076923077,0.49095666,3.0,0.001203182,2.320517196,-0.242063492,0.05261779,44.25,0.000133687,93.36279488,-0.444722222,9,7.8,27.12150438,233.5892072
16.70454545,457.8910459,0.006642893,0.00403596,6.834920635,147.2651685,203.25,3,5575.133971,728.9404903,0.076923077,0.802108217,4.7,0.002670785,5.393963523,-0.164335664,0.10654983,110.25,0.000140568,106.6510119,-0.245714342,19,17.4,122.2306253,686.0963711
59.65909091,516.9419746,0.147617832,0.007185413,11.73719614,189.8329233,317.25,3,12350.35052,1860.439701,0.076923077,0.981154969,7.6,0.002751025,7.842225003,0.402872128,0.209861959,160.5,0.000114626,123.8143845,-0.114311938,24,26.8,540.5770332,1315.227016
0.477272727,314.4177726,0.0,0.002020202,1.0,58.01383074,5.5,1,11.03638324,57.8969852,0.071428571,0.042733098,1.0,1.2e-05,0.363439882,-0.5,0.013347443,3.25,5.99e-06,75.64575383,-1.0,2,1.8,4.865423818,40.0
0.636363636,214.5727664,0.0,0.004421956,1.6,32.69864546,10.25,1,38.62734132,32.63278719,0.058823529,0.101012399,1.0,5.01e-09,0.797178933,-0.666666667,0.008283207,8.0,1.25e-09,52.74559516,-1.0,4,2.6,3.282570635,49.0
9.943181818,249.036461,0.004040404,0.00246879,7.885714286,52.722585,101.0,4,1233.297716,260.9688859,0.0625,0.696166534,4.1,1.98e-07,3.632692526,0.131623932,0.04206001,77.0,1.16e-08,63.66576227,-0.459675,17,11.8,14.90942954,125.6778647
7.0,249.0389257,0.0,0.005470983,6.485714286,52.86842083,102.0,4,1023.890263,209.7751087,0.0625,0.690516816,4.0,1.84e-07,3.531680127,-0.138888889,0.036648352,74.0,1.15e-08,62.64559602,-0.625585937,16,11.2,5.475578833,82.40499482
9.943181818,249.036461,0.004040404,0.00246879,7.885714286,52.722585,101.0,4,1233.297716,260.9688859,0.0625,0.696166534,4.1,1.98e-07,3.632692526,0.131623932,0.04206001,77.0,1.16e-08,63.66576227,-0.459675,17,11.8,14.90942954,125.6778647
