Extended Degree,Extended Improved Gravity Index Values,EIGSM Values,PE Values,Isolating Centrality,Local Gravity Model Centrality,Degree Centrality,HCC Value,Second order centrality,Gravity Model Centrality,Semi local centrality,Node H-Index,GGC Values,CLC Values,Volume Centrality,PageRank Centrality,Coreness Centrality,Subgraph centrality,Gravity Index Centrality,H-GSM_1,Leverage Centrality,Betweenness Centrality,Clustering Coefficient,Laplacian Centrality,I-GSM Values
51.2,4798.0,3697.832422,0.270209566,80,1664,0.021052632,1.121722469,-2541.981043,5291.431565,5802,5,2898.41809,5658.74811,526,0.006897449,32,83.69907558,212.25,244.3353821,0.548862575,0.064893197,0.025,480,337.7413447
7.0,628.5,337.7413447,0.031660851,0,16,0.001315789,0.442638161,-7014.555839,160.7923143,736,1,39.15020809,736.0,119,0.000563457,3,3.443079367,10.75,172.0357926,-0.882352941,0.0,0.0,34,161.003744
64.8,7311.0,5768.511023,0.433224644,216,3024,0.031578947,1.218031464,-2051.044135,8443.316973,7577,7,4742.328262,7387.24618,554,0.01001216,49,179.4080734,260.25,259.2697326,0.68994595,0.074511187,0.025362319,852,363.076711
16.6,1326.5,1053.980065,0.076631182,5,170,0.006578947,0.57587737,-4046.909621,1038.76216,1351,3,382.2981323,1351.0,219,0.002323589,12,9.078362243,75.75,194.3144871,0.011904762,0.014048713,0.0,98,209.1219223
7.0,628.5,337.7413447,0.031660851,0,16,0.001315789,0.442638161,-7014.555839,160.7923143,736,1,39.15020809,736.0,119,0.000563457,3,3.443079367,10.75,172.0357926,-0.882352941,0.0,0.0,34,161.003744
7.0,628.5,337.7413447,0.031660851,0,16,0.001315789,0.442638161,-7014.555839,160.7923143,736,1,39.15020809,736.0,119,0.000563457,3,3.443079367,10.75,172.0357926,-0.882352941,0.0,0.0,34,161.003744
21.2,2680.0,1275.702068,0.09926713,0,188,0.005263158,0.794130698,-3682.181091,1007.127489,2801,3,221.9000432,2007.004201,359,0.001516626,13,20.7197229,112.5,204.6242391,-0.380519481,0.003448422,0.333333333,114,253.1087828
7.0,628.5,337.7413447,0.031660851,0,16,0.001315789,0.442638161,-7014.555839,160.7923143,736,1,39.15020809,736.0,119,0.000563457,3,3.443079367,10.75,172.0357926,-0.882352941,0.0,0.0,34,161.003744
7.0,628.5,337.7413447,0.031660851,0,16,0.001315789,0.442638161,-7014.555839,160.7923143,736,1,39.15020809,736.0,119,0.000563457,3,3.443079367,10.75,172.0357926,-0.882352941,0.0,0.0,34,161.003744
67.4,5887.5,4307.321969,0.314930059,85,2431,0.022368421,1.342476805,-2343.630894,6723.268683,7992,7,4006.52612,7703.512052,709,0.007156421,36,125.4668865,268.5,261.3512512,0.482371282,0.135493673,0.036764706,592,404.4205937
12.0,683.5,818.4209808,0.048036716,30,126,0.007894737,0.472488907,-6974.299508,983.9205527,841,1,257.4012485,841.0,119,0.003517101,8,8.145735709,15.75,176.530651,0.519480519,0.013123223,0.0,84,165.2848003
13.2,1179.75,650.4940954,0.059781204,0,60,0.002631579,0.554981848,-4965.479166,389.1439229,1428,2,135.1270786,1428.0,203,0.000915214,6,7.373413957,40.5,184.6817106,-0.763888889,0.001375264,0.0,66,195.0839926
56.6,4577.5,3783.442803,0.273982593,136,1972,0.022368421,1.376744655,-2625.863355,5723.339116,6355,5,3223.770072,6216.351015,504,0.007653513,33,86.1130241,215.25,248.4076571,0.592122121,0.073868473,0.022058824,538,344.2724532
9.2,745.0,524.8428813,0.039754466,0,40,0.002631579,0.477833804,-5439.123371,329.9212954,925,2,85.0595009,925.0,127,0.000955254,5,5.029952612,26.5,173.9458881,-0.555555556,0.000269534,0.0,46,165.3947544
8.8,636.5,431.6097889,0.033958212,0,38,0.002631579,0.454578459,-6990.42986,327.167962,761,2,84.80041618,761.0,123,0.001114204,4,4.257382321,12.25,173.4343828,-0.488888889,0.007873934,0.0,44,164.0144649
83.6,12269.5,5723.511387,0.454684099,36,3276,0.023684211,1.569987898,-1831.135234,7874.047372,12148,8,4546.749329,11379.40417,784,0.006544864,56,345.350844,452.0,273.8840067,0.383615501,0.084646184,0.065359477,706,447.9173899
5.0,333.25,412.260124,0.018942838,3,24,0.003947368,0.154457443,-6272.351366,346.5294638,281,2,48.65093681,281.0,52,0.001489754,6,3.558430586,18.5,149.9496943,0.15,0.002803955,0.0,28,115.9660807
3.6,272.5,356.757721,0.020366676,0,12,0.002631579,0.138745462,-6352.498331,254.5698016,321,2,31.02898857,321.0,51,0.000963617,4,2.705094934,14.0,156.6632589,-0.2,0.001040676,0.0,18,127.6198609
20.6,1925.0,1113.133068,0.080542652,5,220,0.006578947,0.828701089,-4120.847858,1053.324486,2277,3,282.667657,1864.249925,260,0.00209976,13,25.47976067,98.25,187.4484496,-0.016486202,0.007219574,0.2,118,212.0535863
1.8,38.0,115.9660807,0.004205254,0,3,0.001315789,0.038967326,-9060.061681,72.49135623,48,1,4.337900058,48.0,10,0.000619231,2,1.650694366,3.25,123.2820203,-0.5,0.0,0.0,8,72.58667686
18.2,2579.5,999.1622526,0.085881801,0,123,0.003947368,0.786748689,-4461.422332,719.5327938,2790,2,299.2166953,2790.0,346,0.001215545,10,25.12423483,72.5,196.9192532,-0.421428571,0.003794085,0.0,94,240.7916403
74.8,10658.5,5249.638308,0.395521973,18,2880,0.023684211,1.450262203,-1959.840391,6827.250102,11222,8,3349.00894,10174.01501,588,0.006177345,55,435.96468,396.0,252.9380105,0.454750874,0.023183863,0.098039216,662,388.370034
98.2,13588.5,6561.931613,0.510387675,42,4494,0.027631579,1.660951997,-1758.97059,9870.448839,14692,9,6071.467744,13942.22738,835,0.007837628,60,509.7815892,510.0,286.1328343,0.456603748,0.107934463,0.052380952,890,483.1723577
82.2,10977.0,4589.537947,0.395831576,26,2418,0.017105263,1.594029851,-2108.943459,5895.373408,12499,8,3270.422734,11136.90119,852,0.004781749,41,307.6936443,436.0,269.7137781,0.131233891,0.059359512,0.115384615,554,461.3036867
5.8,1410.0,461.3036867,0.043343041,0,13,0.001315789,0.339088342,-6869.495506,192.7250186,1224,1,52.87696046,1224.0,198,0.000509764,4,5.720359541,14.0,185.2452672,-0.857142857,0.0,0.0,28,192.9784374
9.6,1864.5,734.9615376,0.066307648,0,42,0.002631579,0.6024405,-4968.921084,435.7559215,1660,2,153.4229138,1660.0,282,0.000831107,7,9.788849105,43.5,194.0623368,-0.666666667,0.00105768,0.0,48,218.4513235
90.2,11061.0,9080.227099,0.749905288,592,6290,0.048684211,1.617910448,-1798.050693,15107.01783,11855,7,9736.517147,11784.01219,687,0.016074937,69,482.0581793,490.0,310.7322431,0.807642945,0.157062457,0.006006006,1746,428.6398242
28.0,3395.25,1931.216462,0.143366709,24,464,0.010526316,0.913231142,-3601.687786,2153.376441,3478,4,1022.881129,3478.0,406,0.003480277,18,36.35706481,135.75,214.9146402,0.283015024,0.035923657,0.0,188,272.0166476
141.0,20034.25,11114.5477,0.871211043,350,10500,0.046052632,1.966216216,-1444.729495,19687.03095,21971,12,13011.02415,20996.2794,994,0.013171676,87,1364.518734,683.0,335.0687498,0.658472279,0.233159707,0.045378151,1860,588.9606803
5.8,1410.0,461.3036867,0.043343041,0,13,0.001315789,0.339088342,-6869.495506,192.7250186,1224,1,52.87696046,1224.0,198,0.000509764,4,5.720359541,14.0,185.2452672,-0.857142857,0.0,0.0,28,192.9784374
76.8,9216.5,5108.061942,0.37547912,108,2970,0.023684211,1.5395119,-2326.975958,7629.65676,11502,6,4528.554604,10844.9269,778,0.00731104,42,277.9679406,412.0,273.428297,0.499592398,0.077062146,0.058823529,672,434.0151615
73.0,8837.5,4484.45974,0.35408879,30,2400,0.019736842,1.52238806,-2003.107088,5979.575449,10037,7,3570.601241,9661.82957,666,0.005681469,43,196.2137795,387.0,260.7661225,0.305511286,0.109438774,0.038095238,560,406.5738376
14.6,2081.25,923.3097574,0.077058662,0,96,0.003947368,0.597720855,-4345.695461,659.0575557,1932,3,121.3484004,1384.338492,269,0.001198031,10,13.90225742,79.5,193.6408976,-0.554487179,0.003804971,0.333333333,76,220.5536027
62.6,8118.25,3917.199614,0.297796571,52,1781,0.017105263,1.37343687,-2385.605863,4990.867161,9338,7,2810.50728,8871.199739,698,0.00491512,35,201.4922524,355.0,251.1524641,0.29576147,0.032011553,0.051282051,456,390.5274971
47.2,5144.25,3345.277861,0.247657832,42,1358,0.018421053,1.081343284,-2614.460249,4298.723631,5603,5,2124.758921,5362.048713,444,0.005795769,32,85.03211687,192.75,231.8080529,0.465793524,0.044387976,0.043956044,404,312.7527506
43.6,3539.25,3867.371719,0.292345483,220,1580,0.026315789,0.896873739,-2789.737612,5649.92055,4117,5,2887.213673,4095.388501,382,0.009499673,32,71.4315704,176.25,238.5208199,0.721898508,0.082328454,0.005263158,578,290.0187852
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
21.0,811.5,1225.51176,0.083216755,36,351,0.011842105,0.690580879,-4308.685415,1622.370517,1228,2,597.9846232,1228.0,155,0.004624128,14,14.06845357,51.0,185.165174,0.525531174,0.027746889,0.0,168,182.40794
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
21.6,1808.25,750.5864096,0.072367959,0,102,0.002631579,0.955506253,-4893.771857,491.6345865,2630,2,221.9168748,2630.0,329,0.00094434,7,15.95082181,62.0,199.5466361,-0.848484848,0.009943327,0.0,108,246.4641805
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
16.0,1317.75,694.4393789,0.067625402,0,74,0.002631579,0.670471965,-4964.412069,432.8104463,1618,2,164.5035523,1618.0,238,0.000958221,6,7.911519535,42.5,193.2847949,-0.803827751,0.005025984,0.0,80,216.9747102
12.0,525.25,571.3531829,0.037781184,8,96,0.005263158,0.630879387,-6006.780223,621.2807571,820,2,174.8302662,820.0,107,0.002193072,7,6.10537632,30.0,171.4107121,0.216666667,0.011931906,0.0,68,156.1387391
12.6,507.25,646.1442317,0.03839367,20,120,0.006578947,0.633864461,-7076.33026,761.5508614,831,1,207.977205,831.0,98,0.003009742,7,7.103163099,14.75,169.8224178,0.413333333,0.010505513,0.0,78,153.3141909
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
32.2,2618.75,2013.343137,0.153807177,9,603,0.011842105,0.821460266,-3185.665625,2244.768023,2906,4,964.001939,2748.958217,300,0.003978452,20,28.26933354,124.5,210.4415475,0.265427389,0.023592845,0.055555556,224,252.3859418
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
21.8,2252.75,1300.64093,0.103812155,5,235,0.006578947,0.729548205,-3916.839741,1288.371472,2643,3,601.8961876,2643.0,380,0.00221769,12,18.12399576,72.0,209.2617016,0.025970696,0.010610383,0.0,124,259.3728663
8.6,464.25,290.0187852,0.027220319,0,20,0.001315789,0.609983864,-7108.091301,149.7546167,735,1,38.595441,735.0,98,0.000600464,3,3.54050324,10.75,166.2610897,-0.904761905,0.0,0.0,42,149.9515327
4.2,36.75,160.2148018,0.007826245,3,18,0.003947368,0.107946753,-12065.99948,165.4420483,32,2,21.75,32.0,11,0.001760465,5,3.193502142,12.0,110.1560417,0.233333333,0.003943901,0.0,24,55.36517937
1.8,14.5,55.36517937,0.002793338,0,3,0.001315789,0.038967326,-13723.36217,40.32073592,14,1,4.25,14.0,8,0.000697444,2,1.646340885,3.0,94.95755427,-0.5,0.0,0.0,8,40.37375463
3.2,27.5,110.0170832,0.005090699,0,10,0.002631579,0.081706333,-12500.95696,83.6970274,25,2,12.0,25.0,9,0.001195834,4,2.443692611,9.5,96.00435695,-0.1,3.47e-06,0.0,16,41.9586413
5.0,63.0,226.6301634,0.009747156,0,24,0.003947368,0.120673659,-10663.04557,232.727951,68,2,30.75,68.0,17,0.001646944,6,3.306640616,15.0,128.049228,0.066666667,0.010488177,0.0,28,77.88240585
3.0,456.0,274.6967034,0.019943264,0,6,0.001315789,0.135760387,-7525.333491,132.7333886,412,1,19.77738035,412.0,74,0.000550518,3,2.487933414,6.75,158.2735889,-0.714285714,0.0,0.0,14,132.907923
31.2,3827.25,1693.251476,0.133984604,6,414,0.007894737,1.068475192,-3726.70339,1635.236464,4383,4,604.9850699,3835.884657,401,0.00249752,16,60.72231608,142.5,209.2724939,-0.032473545,0.015949099,0.133333333,180,274.6967034
6.0,474.0,523.4934958,0.026835346,12,36,0.005263158,0.153670835,-7502.850136,538.6002211,439,1,88.10952138,439.0,74,0.002297126,6,4.799153019,9.75,160.9099595,0.4,0.007884335,0.0,38,135.3596718
88.4,12297.75,7004.243356,0.518585066,130,4732,0.034210526,1.560084712,-1815.959455,10409.10059,12921,6,5621.309862,12262.50463,603,0.009605445,67,640.3396534,449.0,274.7367147,0.647087582,0.090893484,0.052307692,1066,414.2645555
4.8,609.5,480.374915,0.030327407,0,18,0.002631579,0.18148447,-5951.148381,270.6751105,582,2,45.55476069,582.0,77,0.000956662,5,3.886993883,17.5,159.8239085,-0.35,6.58e-05,0.0,24,135.6937065
68.2,10074.0,4610.17503,0.364375242,30,2220,0.019736842,1.43251311,-2070.702874,5763.076533,9741,8,2940.385706,8856.09291,657,0.005370778,48,305.2205507,379.0,252.5182569,0.298809947,0.047285414,0.095238095,536,391.8532616
2.2,25.25,135.3596718,0.004656458,0,4,0.001315789,0.06222267,-9951.637361,82.82335769,69,1,5.648892508,69.0,12,0.000686419,1,1.706972465,2.25,130.8913728,-0.6,0.0,0.0,10,82.93226412
2.2,25.25,135.3596718,0.004656458,0,4,0.001315789,0.06222267,-9951.637361,82.82335769,69,1,5.648892508,69.0,12,0.000686419,1,1.706972465,2.25,130.8913728,-0.6,0.0,0.0,10,82.93226412
2.2,25.25,135.3596718,0.004656458,0,4,0.001315789,0.06222267,-9951.637361,82.82335769,69,1,5.648892508,69.0,12,0.000686419,1,1.706972465,2.25,130.8913728,-0.6,0.0,0.0,10,82.93226412
28.4,4005.0,1494.217234,0.126386605,0,260,0.005263158,1.057321501,-3572.725606,945.7757987,4323,4,153.1738781,2622.032042,309,0.001416694,16,77.31366722,163.0,191.0024068,-0.52020202,9.22e-05,0.5,150,237.6900282
12.0,1157.5,514.0813963,0.040671977,2,54,0.002631579,0.74197257,-6776.976224,372.1428993,1572,1,121.7216877,1572.0,207,0.001062649,5,11.26096297,21.5,177.1704436,-0.261904762,0.002631579,0.0,60,186.5611111
39.0,4542.5,1792.807414,0.154988341,5,450,0.006578947,1.188987495,-3463.780014,1546.256236,5949,4,452.6473055,4407.127595,491,0.001878714,16,106.23124,162.0,216.6556564,-0.331860683,0.003808355,0.3,210,311.289811
32.0,3241.25,2098.989137,0.143713656,40,650,0.013157895,1.007664381,-3445.321505,2527.877553,3741,4,1063.038579,3578.374013,347,0.004310424,21,60.39791721,142.5,206.9727537,0.408463203,0.038138382,0.044444444,240,256.1314602
37.4,5359.0,1934.492375,0.16616552,0,430,0.006578947,1.204074223,-3248.87263,1501.077069,6177,4,229.7015461,3390.009476,456,0.001752087,20,123.3394669,210.0,215.8088065,-0.381443467,0.000573585,0.6,202,302.194414
24.6,3326.0,1193.162087,0.109901452,0,171,0.003947368,0.969645018,-3993.816605,743.9043074,3658,3,170.7832447,2621.071534,351,0.001124252,12,47.19979211,117.75,196.0861133,-0.710796388,0.000552472,0.333333333,126,248.9475671
19.6,1907.0,1046.716254,0.079971068,0,172,0.005263158,0.809217426,-3994.031557,889.1992126,2343,3,253.111911,1983.306681,285,0.001608478,11,21.46727945,66.5,191.5501936,-0.234920635,0.010241222,0.166666667,106,223.4713409
24.0,2275.0,1361.944156,0.096684129,12,306,0.007894737,0.859338443,-3789.509881,1331.314383,2763,4,434.736384,2418.103881,289,0.002459468,15,34.08313759,111.0,191.3370237,0.083603896,0.006345217,0.133333333,144,223.6420728
51.6,5871.5,2542.085237,0.206608806,8,936,0.010526316,1.231242436,-2773.928167,2685.191997,7219,6,987.2878593,5826.583016,532,0.002900923,26,143.8275536,285.0,227.5030385,-0.123868778,0.016623689,0.214285714,306,339.196116
11.0,1149.0,414.2645555,0.03942593,0,26,0.001315789,0.73600242,-6785.280741,185.4325608,1545,1,60.11084384,1545.0,207,0.000511227,4,10.38572132,20.5,176.2700219,-0.925925926,0.0,0.0,54,185.6763905
14.8,1603.5,687.9224064,0.062390536,0,68,0.002631579,0.776381605,-4970.370156,398.6551216,1981,2,148.721733,1981.0,250,0.000832571,7,17.11814387,53.0,180.1904341,-0.728571429,0.000126052,0.0,74,199.8521067
11.0,1149.0,414.2645555,0.03942593,0,26,0.001315789,0.73600242,-6785.280741,185.4325608,1545,1,60.11084384,1545.0,207,0.000511227,4,10.38572132,20.5,176.2700219,-0.925925926,0.0,0.0,54,185.6763905
74.4,8741.5,4487.55361,0.333284709,64,2592,0.021052632,1.463775716,-2303.949181,6100.589116,10825,6,3050.384081,9876.829972,588,0.005948514,42,368.1478152,366.0,250.4509035,0.416883071,0.034308445,0.091666667,596,389.3882301
11.0,1149.0,414.2645555,0.03942593,0,26,0.001315789,0.73600242,-6785.280741,185.4325608,1545,1,60.11084384,1545.0,207,0.000511227,4,10.38572132,20.5,176.2700219,-0.925925926,0.0,0.0,54,185.6763905
11.0,1149.0,414.2645555,0.03942593,0,26,0.001315789,0.73600242,-6785.280741,185.4325608,1545,1,60.11084384,1545.0,207,0.000511227,4,10.38572132,20.5,176.2700219,-0.925925926,0.0,0.0,54,185.6763905
21.6,1741.25,1187.589525,0.073949854,0,270,0.007894737,0.814400968,-4433.80455,1342.215384,2212,3,463.3577682,2069.341451,281,0.002647885,14,19.77733196,72.0,194.4530108,0.137175325,0.017166894,0.066666667,132,225.4732874
19.0,1781.25,865.6370105,0.073080958,0,129,0.003947368,0.812989109,-4433.503572,708.0824424,2231,3,290.290964,2231.0,327,0.001274212,9,15.85244261,66.5,196.9607345,-0.520320197,0.021491052,0.0,98,236.9597804
37.6,5036.75,2027.314613,0.163928218,0,510,0.007894737,1.204074223,-3319.66757,1796.125816,6024,4,471.6219717,4316.384615,456,0.002227775,19,115.6168941,208.0,217.6219185,-0.111663235,0.006460192,0.333333333,212,301.7238495
27.0,3161.0,1177.126124,0.107361055,0,189,0.003947368,1.075393304,-4287.481828,829.4279082,4305,2,202.7257412,3084.667292,415,0.001192811,10,54.25892577,81.5,207.9891861,-0.478402904,0.000816879,0.333333333,138,277.5680389
12.4,1158.5,515.1125097,0.041209566,0,56,0.002631579,0.744957644,-6768.661518,374.2956771,1575,2,124.2216877,1575.0,209,0.001051384,5,11.31278619,21.75,177.4223112,-0.428571429,0.005256224,0.0,62,187.6403326
99.8,13444.75,8439.912402,0.655606779,403,6293,0.040789474,1.630939895,-1853.486044,13707.67296,14647,8,8460.420455,14212.58741,735,0.012543152,68,737.6509257,503.0,297.7902085,0.714318218,0.118231067,0.030107527,1398,460.5676244
11.0,1149.0,414.2645555,0.03942593,0,26,0.001315789,0.73600242,-6785.280741,185.4325608,1545,1,60.11084384,1545.0,207,0.000511227,4,10.38572132,20.5,176.2700219,-0.925925926,0.0,0.0,54,185.6763905
11.4,1537.75,729.1884493,0.054227105,3,72,0.003947368,0.648164582,-5637.420584,614.6069605,1634,2,203.9513654,1634.0,235,0.001434292,7,10.75889014,43.0,189.1685525,-0.016666667,0.003469526,0.0,60,205.6782115
9.0,1477.0,483.1723577,0.048238214,0,21,0.001315789,0.633239209,-6770.251364,202.7023202,1531,1,65.48378845,1531.0,234,0.000514381,4,8.399557737,18.75,186.5935544,-0.909090909,0.0,0.0,44,202.9688584
10.4,1498.0,598.5455437,0.050535575,0,46,0.002631579,0.642194433,-5870.422495,409.2101959,1561,2,135.4675769,1561.0,237,0.000945391,6,9.300569388,42.0,188.2549577,-0.413043478,0.002103112,0.0,52,205.1435321
11.4,1495.25,704.7452666,0.052319212,3,72,0.003947368,0.648164582,-6745.251629,615.1694605,1581,2,204.7013654,1581.0,236,0.001620353,6,10.20002448,21.0,188.6758259,-0.016666667,0.007880868,0.0,60,205.8664522
11.6,1522.0,623.7836105,0.053338056,0,52,0.002631579,0.651149657,-5491.137046,420.3818626,1606,2,144.4675769,1606.0,246,0.000943895,6,9.504322517,44.0,190.0835685,-0.627329193,0.005282378,0.0,58,210.744065
16.0,2135.0,1082.703199,0.081886668,4,136,0.005263158,0.681000403,-4357.265839,931.0828061,2147,3,252.4987268,1817.396263,294,0.001716393,11,15.0804168,87.0,201.4682209,-0.115959596,0.00668623,0.166666667,88,233.9974218
90.6,11728.0,6867.379456,0.506294453,125,4725,0.032894737,1.6185357,-1799.424427,10738.29213,12598,8,6417.154371,12023.60023,708,0.009587661,64,406.2999012,471.0,286.5998502,0.607833197,0.124007871,0.046666667,1028,443.8767891
11.4,1515.75,718.4649748,0.052815189,3,72,0.003947368,0.648164582,-5810.25983,615.7319605,1599,2,205.4513654,1599.0,237,0.001463069,7,10.30855132,44.0,189.4218593,-0.016666667,0.00401191,0.0,60,206.0546928
36.6,5095.25,2190.11956,0.178418507,0,567,0.009210526,1.059983864,-2953.660868,2105.606172,5172,5,674.5983482,4076.196091,461,0.002569092,23,79.64214097,215.0,223.012904,-0.06286075,0.0100523,0.238095238,218,303.5805401
39.8,5540.75,2581.22068,0.190403062,18,774,0.011842105,1.121419927,-2907.771915,2697.070129,5817,5,874.7895059,4657.889473,445,0.003359426,26,104.0837765,228.0,223.999631,0.182897603,0.00983748,0.222222222,262,303.2396121
9.0,1477.0,483.1723577,0.048238214,0,21,0.001315789,0.633239209,-6770.251364,202.7023202,1531,1,65.48378845,1531.0,234,0.000514381,4,8.399557737,18.75,186.5935544,-0.909090909,0.0,0.0,44,202.9688584
35.0,3279.25,2366.894541,0.151327227,22,781,0.014473684,0.832613957,-3238.998889,2980.051984,3599,5,1113.501518,3286.249478,367,0.004459721,25,48.78329217,150.75,217.8044577,0.396591851,0.039268763,0.090909091,274,274.8582241
83.8,11179.0,5417.076974,0.436189482,34,3128,0.022368421,1.552702703,-1996.131882,7504.15448,12172,9,4392.605068,11392.57425,801,0.006366373,46,358.0913715,433.0,272.1181261,0.339195746,0.073751661,0.066176471,674,451.3927307
27.8,2777.0,1933.789627,0.134539648,36,504,0.011842105,0.917002824,-3543.645118,2224.241264,3084,4,933.836517,2999.512207,330,0.004032945,18,31.4893676,128.25,207.8677652,0.360664187,0.021150099,0.027777778,202,250.0780573
26.6,2609.25,1291.277432,0.09535963,5,295,0.006578947,1.170774506,-3928.895745,1330.841441,3499,3,628.7465415,3499.0,386,0.002103607,14,25.27194105,129.0,209.7790348,-0.019047619,0.012494677,0.0,148,267.9228519
