P Value,Node H-Index,Laplacian Centrality,Closeness Centrality,PageRank Centrality,GIN Values,Gravity Index Centrality,MCGM Values,Gravity Model Centrality,Global Relative Change in Avg Degree,Subgraph centrality,EIGSM Values,Eccentricity Centrality,Centrality Values,MDD Value,Societal Capital Scores,GGC Values,Extended Coreness,Betweenness Centrality,DNC Scores,Constraint Coefficients,Local-Global Centrality,Degree Centrality,Coreness Centrality,CLC Values
26,10,690,0.00209205,0.002328078,2778.756167,7450.0,11.82654315,13869.74444,0.001410657,61930800000000.0,14941.36666,0.166666667,1302.838514,10.0,300,1703.866245,6155,0.000687092,15.39650536,-0.140892532,23.59182155,0.050761421,177,28023.98413
22,8,508,0.001858736,0.002095081,2485.922587,4290.0,6.770179919,9248.851111,0.002143754,35352900000000.0,10755.29952,0.166666667,892.4080711,8.0,226,382.36853,4811,1.27e-05,12.92980311,-0.232923381,16.9800877,0.040609137,143,12410.25377
23,8,576,0.001865672,0.002257025,2513.858227,4424.0,7.407306974,10591.4575,0.001777205,44125700000000.0,12043.41084,0.166666667,1035.839086,8.4,252,565.3300353,5331,5.5e-05,14.51435744,-0.207037441,19.24278865,0.045685279,161,15729.20123
50,11,1190,0.002352941,0.002387958,3102.123748,10378.5,19.05184204,18809.12306,0.001044108,184462000000000.0,29350.41279,0.2,1627.905053,11.0,540,2203.340311,10925,0.000501739,16.02963739,-0.119727366,28.48860584,0.055837563,224,47463.64184
137,24,3424,0.002475248,0.004894388,3832.369678,26502.0,62.11082603,65982.95889,0.005553766,1405100000000000.0,72104.71508,0.2,4277.007758,26.6,1306,6962.304743,28566,0.001703592,44.4162981,-0.071997536,83.71166382,0.147208122,638,110460.0856
22,8,508,0.001858736,0.002095081,2485.922587,4290.0,6.770179919,9248.851111,0.002143754,35352900000000.0,10755.29952,0.166666667,892.4080711,8.0,226,382.36853,4811,1.27e-05,12.92980311,-0.232923381,16.9800877,0.040609137,143,12410.25377
48,15,1566,0.002336449,0.003947627,3225.809213,15007.5,26.50475745,32856.87417,0.00188828,220203000000000.0,30288.90309,0.2,2455.386598,17.5,612,4355.853618,12910,0.005193766,28.87782753,-0.09485634,49.82134416,0.096446701,346,55528.37174
81,18,2136,0.002217295,0.004688249,3280.084678,15266.25,32.55275117,42432.42,0.003721023,445057000000000.0,39681.64717,0.2,2826.989814,21.0,792,5249.225655,17740,0.004881208,38.85967038,-0.086477219,62.13759483,0.121827411,493,70827.8932
147,33,6370,0.002610966,0.007640236,4674.663237,48343.0,122.9034995,135399.5067,0.012518189,3622270000000000.0,111469.3531,0.2,6331.816505,38.4,2057,14637.11507,47763,0.012402325,77.85351928,-0.060665017,152.5843443,0.243654822,1178,174758.4613
147,29,4460,0.002304147,0.006312184,3964.245381,39846.0,83.32836016,88006.55389,0.008852703,2053440000000000.0,81983.67593,0.2,4831.37121,32.3,1527,7273.068905,36675,0.004426065,62.45750614,-0.074222526,108.5345325,0.192893401,953,115125.8335
139,23,2968,0.002415459,0.004210422,3666.943973,25299.75,55.17069423,54254.25694,0.004087572,1209970000000000.0,66083.1825,0.2,3696.660918,24.1,1184,4392.636025,26487,0.000572836,38.21312296,-0.079387232,70.36345869,0.126903553,587,88208.62155
147,31,4964,0.002487562,0.006602296,4236.339006,44348.25,95.1586192,102640.2314,0.009952349,2301700000000000.0,87957.06035,0.2,5385.98685,33.8,1662,9846.57334,39327,0.006005039,66.28347681,-0.067565556,123.6279674,0.208121827,1039,133713.6469
147,29,4056,0.002298851,0.005637352,3856.664826,38874.5,77.93646945,77410.095,0.007386509,1901230000000000.0,78922.76312,0.2,4385.084792,31.0,1467,5034.994352,35433,0.002802898,55.41296358,-0.081954305,96.04868551,0.172588832,904,98317.75431
147,29,4056,0.002298851,0.005637352,3856.664826,38874.5,77.93646945,77410.095,0.007386509,1901230000000000.0,78922.76312,0.2,4385.084792,31.0,1467,5034.994352,35433,0.002802898,55.41296358,-0.081954305,96.04868551,0.172588832,904,98317.75431
147,30,4454,0.002298851,0.00592331,3965.972856,40215.75,84.75880601,86671.09194,0.008486154,2193990000000000.0,84370.53838,0.2,4817.668073,32.2,1561,6173.737267,37762,0.001216932,60.62920128,-0.078626184,105.8611146,0.187817259,970,109896.2818
147,29,3850,0.002272727,0.005171247,3795.376031,38280.0,75.48929992,71950.78222,0.006653412,1863130000000000.0,77937.55888,0.2,4273.041224,30.5,1429,4036.21234,34826,0.000526295,52.12915142,-0.086260729,89.55393986,0.162436548,881,89417.508
147,29,3638,0.002262443,0.005094904,3733.378154,37453.5,72.29582878,66501.35833,0.005920315,1768190000000000.0,75905.79163,0.2,3978.484862,29.7,1384,3255.752224,33865,0.001909311,48.41416022,-0.088826769,83.1977367,0.152284264,843,81010.34118
147,29,3780,0.002267574,0.004997315,3775.086302,38062.5,74.36085439,69640.32028,0.006286863,1833520000000000.0,77292.00944,0.2,4091.323376,30.1,1425,3559.804911,34666,0.000340518,50.49509859,-0.088244959,86.56632594,0.157360406,871,84950.67102
147,30,3942,0.002277904,0.005099935,3825.936665,38751.25,77.68439374,73134.78222,0.006653412,1990130000000000.0,80438.4816,0.2,4263.775014,30.5,1475,3925.40509,35905,0.000318326,52.02489363,-0.085944161,90.03763348,0.162436548,897,90448.69546
147,30,4206,0.002463054,0.005241292,4045.352151,42100.75,86.56336186,81161.78583,0.00701996,2184820000000000.0,86057.40211,0.2,4408.053005,31.2,1575,4883.982532,37812,0.001164573,53.28943583,-0.082802002,97.51384863,0.16751269,918,99614.24486
147,30,4322,0.002469136,0.00538481,4079.489336,42557.5,88.66766867,84224.73389,0.007386509,2264800000000000.0,87473.35407,0.2,4547.973394,30.7,1600,5379.175671,38378,0.001302579,55.05051871,-0.080596091,100.8876533,0.172588832,939,104508.3145
86,14,1552,0.002169197,0.002686998,3084.014229,12946.5,25.1989512,23900.96722,5.55e-05,391642000000000.0,37361.09426,0.2,1885.315181,14.0,685,1531.947106,15794,7.24e-05,21.55736396,-0.11889121,35.14770075,0.07106599,352,45155.24594
147,31,4776,0.002314815,0.006187022,4059.815309,41404.75,90.4589442,93891.01583,0.009219252,2440520000000000.0,89155.43505,0.2,5182.61743,33.3,1647,8033.615667,39467,0.002385036,63.15536189,-0.069170465,112.9885958,0.197969543,1019,127384.3274
147,31,4180,0.002347418,0.005218291,3942.672242,40165.0,83.56502602,78632.015,0.00701996,2214040000000000.0,85494.43676,0.2,4459.918925,30.6,1562,4821.092051,37638,0.001528382,53.55471188,-0.079882907,94.90918031,0.16751269,923,101664.9217
147,34,7544,0.002785515,0.008635875,5021.573303,52432.0,142.4267168,165491.1806,0.015084028,4310380000000000.0,123065.1916,0.25,7562.841379,41.5,2287,21844.0349,51974,0.018312688,88.58530238,-0.051259147,182.5614351,0.279187817,1323,216173.5428
147,31,4892,0.002320186,0.006353308,4090.774211,41731.0,91.9394213,96828.47778,0.0095858,2477460000000000.0,89944.39865,0.2,5329.011844,33.7,1666,8703.843882,39831,0.00276979,64.5944532,-0.067582461,116.3158164,0.203045685,1034,131869.8836
147,31,6348,0.002604167,0.008359883,4616.867415,47929.75,115.5684308,136907.5592,0.013617834,2967880000000000.0,100302.736,0.2,6620.344826,38.1,1899,17517.44373,44252,0.01855526,82.41725586,-0.056950106,160.5998535,0.258883249,1180,176063.1647
86,14,1552,0.002169197,0.002686998,3084.014229,12946.5,25.1989512,23900.96722,5.55e-05,391642000000000.0,37361.09426,0.2,1885.315181,14.0,685,1531.947106,15794,7.24e-05,21.55736396,-0.11889121,35.14770075,0.07106599,352,45155.24594
146,33,6488,0.002604167,0.007417762,4709.388858,34062.0,113.3926679,137434.5067,0.012518189,3680520000000000.0,115233.1111,0.2,6936.566663,38.4,2116,18506.73951,46360,0.005816535,75.4285334,-0.050664595,153.3263415,0.243654822,1117,204516.6553
147,31,5580,0.002538071,0.007575563,4402.289194,45878.0,103.4426777,118295.555,0.011785091,2525730000000000.0,92244.66389,0.2,5976.896753,35.8,1755,13284.48358,41182,0.011374739,73.99517634,-0.062465542,141.3970767,0.233502538,1102,151878.4479
89,15,1900,0.002192982,0.003314608,3201.527076,14936.25,30.99934949,32137.315,0.001521732,536789000000000.0,43063.30372,0.2,2352.719457,17.1,797,2273.144862,18746,0.000396355,28.43872359,-0.104183896,46.08642054,0.091370558,451,55206.70043
121,23,2962,0.002375297,0.004577951,3654.220715,24200.0,52.56391307,57119.535,0.004820669,1025340000000000.0,60895.7977,0.2,3691.975394,25.5,1130,7325.302152,25389,0.002517792,42.50248274,-0.066638657,75.44659617,0.137055838,625,105425.0978
128,27,4584,0.002544529,0.006389771,4165.045501,29174.25,77.56356388,95439.37,0.009219252,1830840000000000.0,84040.25174,0.2,5477.950428,32.7,1551,15226.3794,32856,0.006784799,61.22334122,-0.052661948,117.2652614,0.197969543,809,162775.5996
133,31,7704,0.002680965,0.008940822,5016.853462,35227.5,125.0126676,168928.81,0.015817126,3821870000000000.0,121135.0552,0.2,8072.410448,42.3,2256,24580.21756,46797,0.009055243,89.64504376,-0.051421033,187.518683,0.289340102,1185,227034.77
100,23,2858,0.002325581,0.004627211,3580.774898,22350.0,47.23978325,55209.0975,0.004820669,792555000000000.0,56130.13281,0.2,3787.054156,24.6,1078,4901.942588,21687,0.000827371,41.74345645,-0.084503296,74.15185858,0.137055838,548,85604.10485
95,20,2166,0.002336449,0.003727482,3415.056678,21400.0,38.89970722,40598.18,0.002621378,525891000000000.0,46174.82692,0.2,3099.610853,20.7,873,3254.860436,17856,0.000541642,32.17909942,-0.094095078,56.73274512,0.106598985,439,66399.2005
99,22,2654,0.002409639,0.004562511,3586.199689,22685.0,45.80314798,51463.28472,0.004087572,712075000000000.0,54158.56429,0.2,3440.417475,23.2,1027,4332.614191,20626,0.002260758,39.22062211,-0.090211724,69.52257442,0.126903553,489,79212.31835
102,29,4466,0.002638522,0.00635951,4175.744549,27445.0,66.75245988,92089.91667,0.008486154,1130130000000000.0,78006.07776,0.25,5283.249462,31.0,1567,12904.08693,30136,0.013851626,57.08120157,-0.057445473,112.6727355,0.187817259,735,148083.0023
98,21,2636,0.002475248,0.004262038,3612.064867,23340.0,45.99926404,50304.58667,0.003721023,696737000000000.0,55198.45831,0.2,3497.925615,22.5,1042,4817.555179,20918,0.001612376,36.65959317,-0.083803555,67.55572657,0.121827411,486,84819.06607
39,13,1178,0.002267574,0.002741787,3063.316343,12018.5,19.72027742,21384.68583,0.000311011,151671000000000.0,25358.38147,0.2,1762.588658,13.0,511,1612.37836,10911,0.000328878,19.34119729,-0.136380842,33.05707137,0.065989848,274,35335.82143
95,20,2036,0.002283105,0.003544542,3342.169246,20925.0,37.26960288,37531.87778,0.002254829,514600000000000.0,44005.65735,0.2,2859.858225,20.0,828,2983.738405,17703,0.000578939,31.16501655,-0.096122304,53.10441191,0.101522843,447,63023.53142
112,24,2996,0.002347418,0.004423348,3631.630391,23667.0,51.42813251,55303.71889,0.00445412,1015710000000000.0,63164.1862,0.2,3852.737297,24.8,1173,4439.950633,24028,0.000699272,39.51099718,-0.081447699,72.1605235,0.131979695,537,88832.09444
114,29,5130,0.00265252,0.006997551,4362.97711,30208.5,82.89366305,108701.6933,0.010318897,1865350000000000.0,89218.99103,0.2,6092.386872,34.5,1704,15276.70276,33763,0.008201689,64.39380871,-0.056633851,130.3066613,0.21319797,823,166118.756
27,6,682,0.002178649,0.001597254,2844.555711,4725.0,9.211570752,8963.605,0.002876851,71031100000000.0,17822.23079,0.2,936.6224418,6.0,326,536.6580401,6648,9.27e-06,8.577581607,-0.197393268,14.55299476,0.030456853,130,21553.88632
116,29,5098,0.002659574,0.006853669,4362.358961,30922.5,84.45024218,108460.1933,0.010318897,1942790000000000.0,88465.61607,0.2,6008.215514,34.5,1688,13997.8389,34378,0.006255332,64.77166181,-0.060789693,130.6643567,0.21319797,855,158695.0735
119,29,5708,0.00265252,0.007553334,4516.352299,31867.5,92.76801793,122741.9022,0.011785091,2268640000000000.0,96007.4625,0.2,6574.785809,36.4,1819,17533.45847,36787,0.011206014,72.65210383,-0.054460394,144.9140243,0.233502538,932,181919.1715
105,23,2740,0.002325581,0.004258382,3558.307928,22235.0,46.87650777,51312.06944,0.004087572,844406000000000.0,57375.45527,0.2,3697.430091,23.8,1070,3653.591654,22012,0.000331089,38.30795319,-0.090338489,68.59496142,0.126903553,528,76949.03249
116,26,3768,0.002427184,0.005231178,3897.538662,26428.5,64.22412066,73818.56,0.006653412,1438660000000000.0,74606.01657,0.2,4704.168705,29.3,1388,7107.47285,28912,0.000986081,48.58210672,-0.072769693,92.55684217,0.162436548,685,114040.4288
109,27,4384,0.002590674,0.006123972,4151.313711,28985.25,72.91850791,90965.40444,0.008486154,1531590000000000.0,80105.81513,0.2,5328.099298,31.6,1526,10847.99405,30574,0.003809397,56.96280993,-0.06569441,111.958086,0.187817259,747,138041.2383
107,25,3696,0.002392344,0.005417938,3864.013328,26570.25,62.12804747,74135.53583,0.00701996,1267300000000000.0,69624.43066,0.2,4683.004728,29.4,1320,8527.96598,27444,0.002393997,51.98349185,-0.067712396,94.67700993,0.16751269,712,120299.4346
134,33,7236,0.002702703,0.008335285,4948.103783,35022.75,119.0563128,157894.1844,0.014350931,3528070000000000.0,119393.2127,0.2,7629.881377,41.0,2240,23135.67887,46284,0.010083186,82.44441371,-0.050461896,174.3597127,0.269035533,1129,222654.9157
135,35,8804,0.002840909,0.010061843,5358.766949,37448.25,141.5200524,197023.5139,0.017649868,4424300000000000.0,133611.5055,0.25,8895.657138,44.6,2511,31925.71624,51486,0.025732385,96.19914493,-0.046084135,211.9582381,0.314720812,1274,262249.4864
30,9,840,0.002109705,0.002043737,2841.588219,7017.75,12.62677087,13286.5325,0.001777205,102193000000000.0,20412.26022,0.2,1250.270603,9.0,384,820.2941047,7831,3.33e-05,13.53983552,-0.159101629,21.52629509,0.045685279,189,25833.82131
143,35,8272,0.002832861,0.009685959,5229.329437,36933.75,137.114272,184054.8103,0.016550223,4381390000000000.0,130268.3476,0.2,8439.368676,43.4,2425,30806.83908,50972,0.027580177,90.94114049,-0.043678903,199.5301483,0.299492386,1234,256885.0711
103,28,4310,0.002624672,0.006511166,4126.422339,22588.75,61.03817566,88394.75,0.008119606,1050860000000000.0,76697.50182,0.25,5077.376906,30.9,1525,13699.28177,29459,0.014179237,56.07131242,-0.057466485,108.5709861,0.182741117,683,149760.837
126,25,3282,0.002409639,0.004501396,3759.757293,25368.0,57.75007211,60630.8475,0.004820669,1262850000000000.0,70561.35623,0.2,3950.767209,25.5,1290,4734.29866,27261,0.000404515,41.08027657,-0.083777706,76.70561402,0.137055838,601,93933.6474
126,24,3172,0.002403846,0.004357132,3725.422106,25037.25,56.00141058,57845.76056,0.00445412,1203960000000000.0,69011.82643,0.2,3812.833991,25.4,1261,4260.266579,26681,0.000313802,39.40195201,-0.086544538,73.52069508,0.131979695,580,89015.04325
130,29,5086,0.002604167,0.0066634,4313.853888,30324.0,85.61137189,105617.7083,0.009952349,2211990000000000.0,91697.10855,0.25,5905.850565,34.1,1723,15567.48607,36583,0.008833542,63.00852333,-0.052570155,125.8275841,0.208121827,880,172293.8275
101,23,2990,0.002331002,0.00477291,3620.215545,22665.0,49.03602698,58044.87889,0.005187217,849798000000000.0,58120.4089,0.2,3944.00602,25.3,1117,5110.386212,22426,0.000859723,43.26124665,-0.08377369,77.32924784,0.14213198,569,88253.19805
120,28,5406,0.002544529,0.007039641,4386.144555,30639.0,88.12993446,114024.9367,0.011051994,2202860000000000.0,93702.25136,0.2,6231.327877,34.7,1757,15600.05815,35924,0.004687096,68.67265612,-0.056741255,135.4333318,0.223350254,913,171342.3417
126,27,3814,0.002493766,0.005123284,3952.361122,27168.75,65.71299906,73719.61889,0.006286863,1478730000000000.0,77736.06025,0.2,4530.494691,28.3,1442,7179.507664,29966,0.001937966,47.1839315,-0.073594402,90.93701354,0.157360406,676,116434.5101
110,25,3378,0.002427184,0.004897399,3787.893397,25352.25,57.83555242,64835.24361,0.005553766,1183330000000000.0,69251.97835,0.2,4250.930136,26.6,1283,6329.05012,26131,0.001023753,44.27899559,-0.075138628,82.77314762,0.147208122,601,105582.6287
97,20,2430,0.002375297,0.004031652,3500.082794,22175.0,42.82564872,46001.52056,0.003354475,640892000000000.0,51337.36322,0.2,3333.091765,21.8,962,4156.791438,19614,0.000682827,35.41936708,-0.089201692,63.06872254,0.116751269,473,76965.76883
108,26,4016,0.002493766,0.005813065,3998.510967,27531.0,66.92611797,82030.40417,0.007753057,1383330000000000.0,75375.23858,0.2,4972.42371,29.3,1413,8598.576681,28425,0.001856624,55.4962245,-0.07228386,103.0268778,0.177664975,713,121716.5423
106,22,2734,0.002369668,0.003973538,3576.458856,22330.0,47.1701252,48472.10389,0.003354475,889052000000000.0,60551.77555,0.2,3366.509879,22.4,1114,4043.353017,22958,0.000407164,34.58756486,-0.084639506,63.59518035,0.116751269,491,84252.94298
126,24,3270,0.002409639,0.004507714,3756.318997,25352.25,57.52105596,60509.3475,0.004820669,1248390000000000.0,70197.65261,0.2,3948.112712,25.8,1284,4669.932114,27139,0.000394656,41.15406804,-0.084954888,76.66581559,0.137055838,600,92887.05821
113,28,4674,0.002631579,0.006649856,4234.65776,29221.5,76.88011925,97879.03667,0.009219252,1679680000000000.0,83985.95347,0.2,5468.312402,33.3,1596,12448.22242,31848,0.009363292,60.45871256,-0.06370317,119.181472,0.197969543,760,147891.3714
100,21,2470,0.002369668,0.004060523,3498.772421,22065.0,43.21216384,46134.40944,0.003354475,677541000000000.0,52813.72281,0.2,3263.468959,22.4,982,3730.057707,19911,0.00055913,36.10617918,-0.090808553,62.92923904,0.116751269,478,74540.85135
132,33,8076,0.00273224,0.009353973,5139.183682,35553.0,128.5859395,178838.6367,0.016550223,3840610000000000.0,123862.5407,0.2,8521.118193,43.1,2327,29146.13984,47528,0.012984064,90.72464952,-0.046603403,196.9073088,0.299492386,1175,243911.4042
104,24,3522,0.002493766,0.005276997,3877.611376,25085.0,58.33379164,70563.00083,0.006286863,1079060000000000.0,67920.81589,0.2,4351.735661,27.4,1296,7485.803337,25752,0.002589152,47.79790358,-0.076235726,90.16073157,0.157360406,610,109956.6238
138,32,7254,0.002688172,0.008296601,4942.658264,34875.75,121.4338068,157869.1567,0.014350931,3784130000000000.0,120823.321,0.2,7565.849952,41.0,2249,21979.185,47131,0.009358892,82.5655119,-0.051967951,173.8852576,0.269035533,1132,219344.1698
126,24,3270,0.002409639,0.004507714,3756.318997,25352.25,57.52105596,60509.3475,0.004820669,1248390000000000.0,70197.65261,0.2,3948.112712,25.8,1284,4669.932114,27139,0.000394656,41.15406804,-0.084954888,76.66581559,0.137055838,600,92887.05821
131,32,7492,0.002717391,0.008975776,5007.139195,35091.0,121.8698897,164524.6778,0.015084028,3620080000000000.0,120518.8588,0.2,7826.284722,41.5,2261,24337.9442,46372,0.016540509,85.68296441,-0.050858738,181.6418931,0.279187817,1135,226574.0155
126,25,3386,0.002415459,0.004652362,3792.040867,25683.0,59.35880449,63373.43444,0.005187217,1312760000000000.0,71928.58879,0.2,4102.156663,25.9,1315,5122.814365,27757,0.00045593,42.70220175,-0.082596689,79.88876977,0.14213198,621,97445.7685
140,36,7994,0.002785515,0.008720624,5178.890539,36655.5,134.0695647,176314.2578,0.015450577,4326120000000000.0,131098.841,0.2,8157.162317,42.2,2457,25925.27815,51170,0.011374628,86.30440434,-0.048452671,188.9189574,0.284263959,1211,243233.5624
117,29,5724,0.002659574,0.007420726,4522.1343,32004.0,93.72811013,123039.305,0.011785091,2326380000000000.0,95845.76743,0.2,6582.153849,36.4,1827,16347.89213,37142,0.008458117,70.9704376,-0.057621469,145.1092451,0.233502538,942,174958.2215
