MDD Value,GIN Values,Laplacian Centrality,Extended Degree,Semi local centrality,Global Relative Change in Avg Degree,PageRank Centrality,GSM,Gravity Index Centrality,Second order centrality,HCC Value,Eccentricity Centrality,Local-Global Centrality,Subgraph centrality,EIGSM Values,Volume Centrality,Improved Gravity Index Values,DNC Scores,LGC Scores,EHCC Value,Eigenvector Centrality,Extended Improved Gravity Index Values,Density Centrality,Closeness Centrality,MCGM Values
5.1,175.6524034,114,18.0,924,0.018563358,0.020601485,118.7897801,153.0,-229.5974174,0.686790506,0.2,6.047667498,39.20008185,422.2453936,185,219.75,8.795787546,229254,5.299793602,0.051483028,2220.75,20.52272727,0.005617978,5.310923375
4.0,183.6075526,136,25.6,1792,0.007084566,0.010053943,125.3797057,235.0,-221.7962465,1.333161335,0.2,4.083103802,209.637027,733.0234021,196,370.0,5.868731269,400112,8.643102855,0.137608048,5016.0,12.09090909,0.005524862,9.574891396
7.9,212.954925,242,32.4,1881,0.04152094,0.02837776,134.0198524,272.0,-165.9582567,1.238562092,0.2,11.41786652,130.0518832,852.0907012,224,422.0,15.66666667,727936,10.68816649,0.083681998,4056.0,48.52272727,0.006134969,11.1258809
3.4,128.8747958,54,9.2,294,0.007084566,0.016383872,89.34123292,55.5,-316.02672,0.358101135,0.2,3.152703442,8.51354466,159.6466297,58,81.75,5.695238095,29268,2.036807706,0.0081261,493.25,7.318181818,0.004545455,0.975180653
5.4,185.2257889,144,24.0,1482,0.018563358,0.017593583,125.9124717,286.25,-207.8457709,1.156862745,0.2,6.239281944,108.2838874,626.0810446,198,438.75,8.224603175,377856,8.464740282,0.093075063,3368.0,22.43181818,0.005681818,8.991979011
1.0,115.7613805,14,3.0,162,0.01013362,0.004836027,81.78461967,12.0,-458.1002778,0.129170967,0.166666667,0.71395849,3.066013242,80.68440429,56,18.5,1.533333333,7308,1.286033712,0.010019783,438.75,0.715909091,0.004201681,0.281564806
2.0,126.165023,38,7.6,391,0.004394225,0.007069837,88.36882285,45.5,-330.3183446,0.311145511,0.166666667,1.52048278,11.07104417,178.6194999,94,71.0,2.822222222,36784,2.806501548,0.025434106,804.75,3.022727273,0.004166667,1.166249416
4.0,164.9434164,90,16.4,976,0.007084566,0.011874196,114.6105701,182.0,-262.1118465,0.963364293,0.2,3.79016664,50.7132426,422.5858841,169,274.0,6.776190476,189675,5.953044376,0.060770927,2261.0,10.81818182,0.005208333,5.005351166
4.1,164.711606,106,18.2,957,0.012823962,0.015236788,106.8077496,108.75,-244.2419831,0.898520812,0.2,4.764778425,32.82154172,392.8096645,142,192.0,7.914285714,176702,4.953388373,0.033172954,1615.75,14.31818182,0.005263158,3.110308643
3.7,137.621392,64,11.2,463,0.007084566,0.013108248,92.34547379,64.5,-283.9296445,0.416752666,0.166666667,3.279349416,13.88252776,230.0631456,80,109.5,6.288888889,56160,3.240626075,0.014916628,790.25,7.636363636,0.004545455,1.367931539
1.0,151.4649125,44,9.0,616,0.01013362,0.004385466,104.4527227,36.75,-423.6561993,0.422772618,0.2,0.897364932,18.69355359,229.6719567,170,58.25,1.242857143,82522,2.422772618,0.039228502,1402.0,1.909090909,0.005102041,1.58643981
5.0,180.3718232,130,23.0,1515,0.012823962,0.013301375,125.0114235,280.0,-208.0589208,1.203990368,0.2,5.069565191,124.4268551,644.3680116,188,422.5,7.574603175,336895,8.552287582,0.1026326,3960.0,15.90909091,0.005524862,8.598482696
4.0,160.3660902,96,17.6,1102,0.007084566,0.010639449,112.2509407,177.0,-237.5052489,1.039731682,0.2,3.650171303,99.609043,491.8698482,145,259.0,6.44040404,191328,7.008943928,0.092051859,3096.75,9.227272727,0.004950495,5.852323865
5.1,166.9759508,128,20.8,1043,0.018563358,0.017536052,109.0574573,152.0,-213.5178886,0.874785002,0.2,5.7670353,42.48483183,460.0181417,129,258.0,9.301587302,207168,6.451496388,0.025155751,1831.75,18.13636364,0.005263158,3.394837493
3.0,149.8801798,68,13.0,706,0.001345171,0.009548721,99.62901126,87.0,-272.7322428,0.740110079,0.166666667,2.670179008,19.56509687,291.0030577,127,158.25,4.257142857,93194,4.056071551,0.018967921,1203.5,6.681818182,0.004950495,1.728187926
4.0,153.4113931,80,14.4,690,0.007084566,0.01237635,102.7591984,117.0,-246.0101305,0.728242174,0.2,3.652552959,19.81952682,306.2105451,117,207.0,5.666666667,99320,4.50877193,0.016766315,1201.0,9.863636364,0.005154639,2.082986878
4.0,153.4113931,80,14.4,690,0.007084566,0.01237635,102.7591984,117.0,-246.0101305,0.728242174,0.2,3.652552959,19.81952682,306.2105451,117,207.0,5.666666667,99320,4.50877193,0.016766315,1201.0,9.863636364,0.005154639,2.082986878
4.0,164.9434164,90,16.4,976,0.007084566,0.011874196,114.6105701,182.0,-262.1118465,0.963364293,0.2,3.79016664,50.7132426,422.5858841,169,274.0,6.776190476,189675,5.953044376,0.060770927,2261.0,10.81818182,0.005208333,5.005351166
3.0,173.9141068,78,15.0,1049,0.001345171,0.008591451,118.8072466,144.0,-247.8717402,0.916408669,0.2,3.025720078,49.71149849,430.4590036,208,230.25,4.200549451,181311,5.581699346,0.064053408,2531.25,7.875,0.005780347,4.57360434
2.0,156.4294963,60,12.0,793,0.004394225,0.006722178,108.1611006,80.5,-315.5040875,0.846061232,0.2,1.828997298,30.71958321,311.3173604,169,125.0,2.842857143,118860,4.00877193,0.049663063,1844.5,4.295454545,0.005128205,2.738465806
4.8,176.2198508,132,21.6,1238,0.018563358,0.017242773,119.9330424,212.0,-224.5836795,1.062951496,0.2,5.956543345,82.51663829,548.6694376,176,311.0,10.53174603,309012,7.696594427,0.078568936,2788.75,20.52272727,0.005347594,7.196214954
3.7,137.621392,64,11.2,463,0.007084566,0.013108248,92.34547379,64.5,-283.9296445,0.416752666,0.166666667,3.279349416,13.88252776,230.0631456,80,109.5,6.288888889,56160,3.240626075,0.014916628,790.25,7.636363636,0.004545455,1.367931539
5.1,156.542242,106,16.4,721,0.018563358,0.020601305,102.6507186,96.0,-240.3100462,0.692810458,0.2,5.519541772,25.16152016,336.9574776,111,155.25,8.815873016,131228,4.807877537,0.017781029,1283.75,17.65909091,0.005128205,2.411218596
4.0,164.9434164,90,16.4,976,0.007084566,0.011874196,114.6105701,182.0,-262.1118465,0.963364293,0.2,3.79016664,50.7132426,422.5858841,169,274.0,6.776190476,189675,5.953044376,0.060770927,2261.0,10.81818182,0.005208333,5.005351166
3.0,161.2159491,86,16.6,1017,0.001345171,0.00910133,105.2357631,102.0,-255.1373923,0.910388717,0.2,2.830745159,34.84507066,394.793297,150,195.75,3.803174603,151790,5.100275198,0.038239792,1752.0,7.636363636,0.005263158,2.601802574
1.0,123.6842126,18,3.8,224,0.01013362,0.004736535,84.40863458,13.75,-443.7932351,0.170278638,0.166666667,0.754903022,3.711866406,101.1437607,73,24.25,1.428571429,12060,1.426556588,0.009487943,522.5,0.875,0.004424779,0.3161044
5.8,174.8114823,160,25.0,1232,0.024302753,0.020501047,111.363862,165.0,-199.5717923,0.962676299,0.2,6.963856406,58.10744235,542.0322454,132,288.0,10.45396825,282560,7.554867561,0.033068139,2178.0,24.5,0.005376344,4.236783452
2.0,149.6371855,56,11.2,610,0.004394225,0.007080768,98.99577995,54.5,-313.8410141,0.657894737,0.2,1.799162112,12.60290345,233.7005875,133,104.0,2.492063492,75348,3.075335397,0.01594317,971.5,4.136363636,0.005154639,1.159326678
3.0,116.658865,38,7.0,243,0.001345171,0.010505144,79.1757202,37.5,-326.8150977,0.27003784,0.166666667,2.143821403,7.458785886,139.1523081,50,66.75,4.733333333,18582,2.002063983,0.00678325,411.0,3.579545455,0.004065041,0.630374308
4.0,139.4665157,64,11.2,376,0.007084566,0.013908554,97.17060252,86.0,-292.9411325,0.475576195,0.2,3.380893468,13.6097845,218.094752,67,133.0,6.228571429,44928,2.81750946,0.008509962,861.0,7.0,0.004950495,1.270245011
4.4,160.9272037,92,15.4,567,0.012823962,0.016555672,108.9332663,129.0,-251.4495131,0.592879257,0.25,4.811344454,16.98049294,287.697658,116,209.0,7.873015873,104098,3.756449948,0.011438476,1099.0,13.52272727,0.005681818,2.206243021
1.0,103.8940615,14,3.0,105,0.01013362,0.005262408,71.13619786,7.5,-473.7139625,0.129170967,0.166666667,0.655971339,2.173542382,53.41742657,37,13.75,1.333333333,3864,0.821981424,0.001914369,155.25,0.715909091,0.003891051,0.117846115
4.0,189.1074406,124,23.2,1508,0.007084566,0.010999868,123.907155,215.0,-217.9878109,1.121603027,0.2,4.255697718,83.22482957,609.2179256,227,383.0,5.222222222,349618,7.276401789,0.072930659,3240.0,13.36363636,0.005882353,6.431122098
4.0,160.3660902,96,17.6,1102,0.007084566,0.010639449,112.2509407,177.0,-237.5052489,1.039731682,0.2,3.650171303,99.609043,491.8698482,145,259.0,6.44040404,191328,7.008943928,0.092051859,3096.75,9.227272727,0.004950495,5.852323865
1.0,119.6381509,22,4.6,247,0.01013362,0.004627292,83.44367426,17.0,-442.0392641,0.211386309,0.166666667,0.726534858,5.247719457,106.2362398,83,28.25,1.288888889,17721,1.64379085,0.016975967,493.75,1.034090909,0.004098361,0.507848211
4.4,183.921953,114,19.8,973,0.012823962,0.016158917,125.5393799,222.0,-249.7015201,0.686618507,0.2,5.291872545,35.04484667,413.1341396,211,337.0,7.871428571,264423,4.81750946,0.043925844,2059.0,17.89772727,0.006060606,5.564928974
1.0,91.75587634,10,2.2,54,0.01013362,0.005825736,64.94013684,5.5,-516.2643584,0.058651531,0.166666667,0.586596008,1.81517151,31.4211462,20,8.0,1.5,1240,0.416752666,0.000874803,81.75,0.556818182,0.003546099,0.069942933
1.0,125.3940546,22,4.6,245,0.01013362,0.004755897,84.93343757,13.75,-440.6791837,0.211386309,0.166666667,0.766351987,3.684187961,104.6040638,75,26.25,1.222222222,15312,1.4499484,0.00900901,422.0,1.034090909,0.004444444,0.319277379
1.0,112.7141374,14,3.0,117,0.01013362,0.005262535,78.82202219,8.75,-468.3705521,0.129170967,0.166666667,0.701724253,2.255069537,65.25864883,41,14.75,1.266666667,4641,0.815961472,0.005542325,219.75,0.715909091,0.004166667,0.175017941
