MCGM Values,Degree Centrality,Node H-Index,Clustered Local Degree,DNC Scores,Gravity Model Centrality,PageRank Centrality,Laplacian Centrality,Global Relative Change in Avg Clustering,Local Gravity Model Centrality,LGC Scores,Density Centrality,H Values,Centrality Values,K-Shell Value,Betweenness Centrality,Extended Degree,Extended Coreness,Gravity Index Centrality,EHCC Value,Societal Capital Scores,Eigenvector Centrality,Closeness Centrality,MDD Value,Subgraph centrality
0.753097249,0.003025719,2,6.0,2.0,68.85470178,0.001231026,18,0.001512859,12,1692,1.909090909,2.72e-06,11.9,2,0.000928233,3.6,12,12.0,1.224208901,8,6.79e-07,0.000147667,2.0,2.400535617
1.24712335,0.003025719,2,10.0,2.066666667,112.153492,0.001109719,26,0.00260488,20,6019,2.545454545,4.6e-05,21.78071429,2,0.017150778,5.2,19,15.5,2.205556985,12,1.15e-05,0.000174917,2.0,2.691021908
0.234589766,0.001512859,1,4.0,1.0,37.75657198,0.000696836,10,0.001512859,4,645,0.556818182,4.98e-06,6.330714286,1,0.0,2.2,7,3.5,0.610239259,5,2.49e-06,0.000162127,1.0,1.699475183
2.547485298,0.004538578,3,18.0,3.035714286,217.0465863,0.001548324,48,0.001902867,54,17616,6.443181818,0.000261639,33.34142857,2,0.047174302,9.0,35,26.5,3.463339336,21,4.36e-05,0.000193798,3.0,3.910204776
0.555565646,0.003025719,2,4.0,2.0,58.43658589,0.001334788,14,0.001512859,8,917,1.590909091,3.04e-06,9.12,2,0.002919573,2.8,8,10.0,0.890532544,6,7.6e-07,0.000137646,2.0,2.288674072
0.518521787,0.003025719,2,4.0,2.0,49.06641751,0.001351107,14,0.001512859,8,665,1.590909091,1.02e-06,7.0,2,0.000794859,2.8,8,10.0,0.541291484,6,2.55e-07,0.000126711,2.0,2.283137192
1.037087723,0.003025719,2,9.0,2.0,82.41656312,0.001256439,24,0.001512859,18,3900,2.386363636,1.24e-05,15.47,2,0.005836794,4.8,18,15.0,1.61718549,11,3.11e-06,0.000150875,2.0,2.59583004
0.703708624,0.003025719,2,6.0,2.0,54.58269492,0.001309598,18,0.001512859,12,1287,1.909090909,1.41e-06,9.1,2,0.001174487,3.6,12,12.0,0.717134037,8,3.51e-07,0.000129904,2.0,2.392937651
5.000442449,0.010590015,2,18.0,7.066666667,413.1594322,0.003813237,92,0.00260488,126,29440,21.71590909,0.000184833,53.37,2,0.049980876,11.4,36,39.0,5.498327759,25,1.32e-05,0.000167056,4.9,7.943676346
0.51851998,0.003025719,2,4.0,2.0,42.47915015,0.001383444,14,0.001512859,8,630,1.590909091,4.54e-07,7.0,2,0.000324228,2.8,8,10.0,0.541291484,6,1.14e-07,0.000119374,2.0,2.282988548
0.493829489,0.003025719,2,4.0,2.0,44.37417343,0.001393742,14,0.001512859,8,525,1.590909091,7.12e-07,5.6,2,0.001158752,2.8,8,10.0,0.480061744,6,1.78e-07,0.000125094,2.0,2.279730349
0.703708176,0.003025719,2,6.0,2.0,53.28868135,0.001322392,18,0.001512859,12,1287,1.909090909,1.27e-06,9.1,2,0.002238567,3.6,12,12.0,0.717134037,8,3.19e-07,0.000129049,2.0,2.392935901
0.530873487,0.003025719,2,4.0,2.0,52.46562399,0.001368753,14,0.001512859,8,700,1.590909091,2.72e-06,7.7,2,0.003886221,2.8,8,10.0,0.598533573,6,6.81e-07,0.000135851,2.0,2.284737196
1.629656339,0.006051437,2,9.0,4.0,136.7489877,0.00239984,38,0.001512859,36,3895,6.681818182,1.03e-05,18.22,2,0.010779071,6.0,18,21.0,1.297916131,13,1.29e-06,0.000140905,2.8,4.053486678
0.716053543,0.003025719,2,6.0,2.0,64.79802266,0.0012449,18,0.001512859,12,1422,1.909090909,1.03e-06,9.8,2,0.003233801,3.6,12,12.0,1.111654232,8,2.58e-07,0.000144238,2.0,2.394686541
1.555580386,0.006051437,2,8.0,4.0,157.5821744,0.002300673,36,0.001512859,32,3978,6.363636364,8.33e-06,19.6,2,0.026133533,5.6,16,20.0,1.842294829,12,1.04e-06,0.000156887,2.8,3.999798832
0.629630441,0.003025719,2,5.0,2.0,53.99753246,0.001280998,16,0.001512859,10,1048,1.75,2.08e-07,9.1,2,0.003299015,3.2,10,11.0,0.904425006,7,5.19e-08,0.000132538,2.0,2.338953478
0.604938482,0.003025719,2,5.0,2.0,46.35783831,0.001307945,16,0.001512859,10,880,1.75,5.57e-08,7.7,2,0.000669673,3.2,10,11.0,0.843195266,7,1.39e-08,0.000122264,2.0,2.335405121
1.234572907,0.004538578,2,8.0,3.0,106.3090881,0.001765191,28,0.001512859,24,3094,4.056818182,1.45e-06,16.1,2,0.012598244,5.0,16,17.0,1.433753537,11,2.42e-07,0.000145033,2.4,3.202550513
0.925926205,0.004538578,2,6.0,3.0,70.85924516,0.001889023,24,0.001512859,18,1464,3.579545455,9.13e-08,10.5,2,0.000905388,4.2,12,15.0,1.090043736,9,1.52e-08,0.000119119,2.1,3.076826786
0.814815726,0.003025719,2,7.0,2.0,61.7878152,0.001220809,20,0.001512859,14,1860,2.068181818,2.19e-07,11.2,2,0.004379238,4.0,14,13.0,1.109853357,9,5.47e-08,0.000134174,2.0,2.448933771
1.962991103,0.006051437,3,11.0,4.0,174.428931,0.002226123,42,0.001512859,44,6027,7.318181818,8.83e-06,22.4,2,0.027293052,6.8,22,23.0,1.935425778,15,1.1e-06,0.000158604,2.8,4.179912401
0.641975542,0.003025719,2,5.0,2.0,48.06467692,0.001299293,16,0.001512859,10,1192,1.75,7.14e-08,10.5,2,0.000213978,3.2,9,10.5,0.746719835,7,1.79e-08,0.000115181,2.0,2.342862783
1.219136165,0.004538578,2,9.0,3.0,87.74168155,0.001877998,30,0.001512859,27,3420,4.295454545,1.07e-07,14.7,2,0.006764753,5.4,17,15.5,1.262155904,12,2.13e-08,0.000117481,2.4,3.261109467
0.716050127,0.003025719,2,6.0,2.0,53.36171727,0.001271569,18,0.001512859,12,1404,1.909090909,2.18e-07,9.8,2,0.002489705,3.6,12,12.0,0.786210445,8,5.44e-08,0.000122369,2.0,2.395215474
0.361111163,0.003025719,1,4.0,2.0,40.63135815,0.00148982,14,0.001512859,8,749,1.590909091,1.61e-08,7.7,1,0.003025719,2.8,6,4.0,0.563030615,6,5.38e-09,0.000109051,1.7,2.288206437
2.549384308,0.007564297,2,12.0,5.0,184.9795937,0.002744114,54,0.001512859,60,8937,10.73863636,6.72e-07,29.4,2,0.019553962,7.8,23,26.5,2.608567018,17,6.72e-08,0.000127129,3.5,5.178022374
1.648152481,0.006051437,2,9.0,4.0,134.8569394,0.002318478,38,0.001512859,36,4180,6.681818182,1.72e-06,18.9,2,0.011107103,6.0,18,21.0,1.538590172,13,2.15e-07,0.000132784,2.8,4.056014842
3.407511748,0.009077156,2,18.13333333,7.533333333,265.4565054,0.003008936,74,0.053088169,96,17205,14.31818182,4.27e-05,41.04,2,0.007035559,10.0,32,30.0,5.316053512,22,3.56e-06,0.000143493,4.2,8.121229408
0.93829788,0.003025719,2,8.0,2.133333333,68.95649724,0.001175344,22,0.0036969,16,3014,2.227272727,5.75e-06,11.7,2,0.000447258,4.4,16,14.0,1.654489323,10,1.44e-06,0.000135245,2.0,2.581164485
0.987671713,0.003025719,2,8.0,2.133333333,68.30627647,0.001148289,22,0.0036969,16,3454,2.227272727,3.79e-06,14.5,2,0.00025524,4.4,16,14.0,2.078723952,10,9.48e-07,0.000132591,2.0,2.592996449
1.697591046,0.004538578,2,17.33333333,3.333333333,128.4749307,0.001534287,38,0.011591387,39,8398,4.534090909,1.68e-05,24.9,2,0.001410043,7.0,26,19.0,3.649987137,16,2.79e-06,0.000143472,2.7,4.384750734
3.154604962,0.007564297,3,20.4,6.466666667,264.7354251,0.002404364,64,0.053088169,85,17504,11.13636364,9.16e-05,39.87428571,2,0.017984841,9.8,34,28.0,5.783509133,22,9.16e-06,0.000157456,3.8,7.08468351
1.074116675,0.003025719,2,22.0,2.333333333,78.67926722,0.001061354,28,0.033431799,22,5096,2.227272727,9.89e-06,18.4,2,0.0,5.6,22,14.0,3.043864163,13,2.47e-06,0.000142816,2.0,3.496361924
0.93829788,0.003025719,2,8.0,2.133333333,68.95649724,0.001175344,22,0.0036969,16,3014,2.227272727,5.75e-06,11.7,2,0.000447258,4.4,16,14.0,1.654489323,10,1.44e-06,0.000135245,2.0,2.581164485
0.592656607,0.003025719,2,4.0,2.0,64.1176644,0.001230943,14,0.001512859,8,1141,1.590909091,1.54e-05,11.71428571,2,0.001225649,2.8,8,10.0,0.985335734,6,3.86e-06,0.000138313,2.0,2.295113081
0.962986563,0.003025719,2,8.0,2.0,72.30794299,0.001165753,22,0.001512859,16,3179,2.227272727,5.11e-06,16.0,2,0.000888306,4.4,16,14.0,1.739387703,10,1.28e-06,0.000137268,2.0,2.534739683
1.098796895,0.003025719,2,9.0,2.333333333,76.62364795,0.001112474,24,0.023353271,18,4224,2.386363636,6.55e-06,17.3,2,0.00047573,4.8,18,15.0,2.228839722,11,1.64e-06,0.000137855,2.0,2.626604212
1.774940677,0.004538578,2,12.0,3.2,154.1523766,0.001576851,36,0.005880942,36,7758,5.011363636,6.2e-05,22.3,2,0.023349009,6.6,23,20.5,3.170311294,15,1.03e-05,0.000165344,2.7,3.521050293
1.91429036,0.004538578,3,12.0,3.2,173.1585512,0.001477477,36,0.005880942,36,9270,5.011363636,0.000170671,28.03857143,2,0.031256339,6.6,24,21.0,3.616413687,15,2.84e-05,0.000172921,3.0,3.560321505
0.592656607,0.003025719,2,4.0,2.0,64.1176644,0.001230943,14,0.001512859,8,1141,1.590909091,1.54e-05,11.71428571,2,0.001225649,2.8,8,10.0,0.985335734,6,3.86e-06,0.000138313,2.0,2.295113081
1.833338539,0.006051437,2,10.0,4.0,150.3351933,0.002221938,40,0.001512859,40,5420,7.0,1.7e-06,21.7,2,0.018001979,6.4,20,22.0,2.095060458,14,2.12e-07,0.000140726,2.8,4.12459986
0.74074151,0.003025719,2,6.0,2.0,58.78186794,0.001219033,18,0.001512859,12,1575,1.909090909,1.9e-07,11.2,2,0.001661257,3.6,12,12.0,1.249807049,8,4.76e-08,0.000129668,2.0,2.398396591
0.71605011,0.003025719,2,6.0,2.0,56.55790156,0.001253311,18,0.001512859,12,1413,1.909090909,1.81e-07,9.8,2,0.005577233,3.6,12,12.0,0.892719321,8,4.53e-08,0.000128966,2.0,2.39493992
1.234569717,0.004538578,2,8.0,3.0,93.19484553,0.00175745,28,0.001512859,24,3136,4.056818182,5.37e-07,16.1,2,0.007647176,5.0,16,17.0,1.546179573,11,8.95e-08,0.000129216,2.4,3.206397889
1.682118983,0.004538578,3,11.0,3.0,138.003742,0.001584558,34,0.001512859,33,6256,4.772727273,5.26e-06,23.1,2,0.057580133,6.2,22,20.0,2.253022897,14,8.76e-07,0.000154178,2.7,3.39643149
0.72839539,0.003025719,2,6.0,2.0,54.61051271,0.001221123,18,0.001512859,12,1521,1.909090909,8.34e-08,10.5,2,0.00055501,3.6,12,12.0,1.239902238,8,2.09e-08,0.000121418,2.0,2.39664411
0.543210025,0.003025719,2,4.0,2.0,45.5282248,0.001303415,14,0.001512859,8,770,1.590909091,4.04e-08,8.4,2,0.002654664,2.8,8,10.0,0.602521225,6,1.01e-08,0.000119175,2.0,2.286404409
0.913583897,0.003025719,2,8.0,2.0,68.7859539,0.001201451,22,0.001512859,16,2629,2.227272727,8.33e-07,13.3,2,0.005146201,4.4,15,13.5,1.425649601,10,2.08e-07,0.000139606,2.0,2.515994012
0.617284247,0.003025719,2,5.0,2.0,47.69421843,0.001284445,16,0.001512859,10,992,1.75,7.8e-08,8.4,2,0.00455483,3.2,10,11.0,0.78209416,7,1.95e-08,0.000119261,2.0,2.337364266
1.589510785,0.004538578,3,11.0,3.0,126.0805834,0.001569133,34,0.001512859,33,6103,4.534090909,1.26e-06,22.4,2,0.037936643,6.2,22,19.0,2.270774376,14,2.1e-07,0.000143431,2.7,3.524225515
2.296405395,0.006051437,3,13.0,4.0,212.9680562,0.002068737,46,0.001512859,52,9269,7.954545455,3.22e-05,27.32,2,0.097070066,7.6,25,24.5,2.772189349,17,4.02e-06,0.000168805,3.1,4.3236203
1.024775691,0.003025719,2,9.0,2.0,91.69584238,0.001177303,24,0.001512859,18,3264,2.386363636,1.81e-05,14.75,2,0.025441792,4.8,18,15.0,1.417931567,11,4.52e-06,0.0001703,2.0,2.570111857
2.76610037,0.007564297,2,13.0,5.0,294.3682422,0.002715276,56,0.001512859,65,11172,11.13636364,0.000221366,31.67071429,2,0.05364902,8.2,26,28.0,2.758682789,18,2.21e-05,0.000188822,3.8,5.253505799
0.827239322,0.003025719,2,7.0,2.0,83.50514078,0.001249107,20,0.001512859,14,2090,2.068181818,1.8e-05,11.95,2,0.005365182,4.0,14,13.0,1.019166452,9,4.5e-06,0.000168209,2.0,2.458212652
0.827239324,0.003025719,2,7.0,2.0,83.95666856,0.001241361,20,0.001512859,14,2100,2.068181818,1.8e-05,11.95,2,0.005629967,4.0,14,13.0,1.019166452,9,4.5e-06,0.000168407,2.0,2.45824104
0.864277878,0.003025719,2,7.0,2.0,86.68594134,0.001209715,20,0.001512859,14,2390,2.068181818,1.81e-05,14.05,2,0.009131873,4.0,14,13.0,1.332904554,9,4.53e-06,0.000169434,2.0,2.463358312
3.416716887,0.007564297,2,15.0,5.166666667,380.8687411,0.00244285,60,0.006972962,75,19230,11.93181818,0.000963111,43.56071429,2,0.138976682,9.0,30,30.0,4.361204013,20,9.63e-05,0.00021182,3.8,5.449251487
0.827164916,0.003025719,2,7.0,2.0,70.22372406,0.001212459,20,0.001512859,14,1960,2.068181818,1.07e-06,11.9,2,0.011906435,4.0,14,13.0,1.155261127,9,2.68e-07,0.000146585,2.0,2.450743949
0.716052962,0.003025719,2,6.0,2.0,64.22554162,0.001248337,18,0.001512859,12,1413,1.909090909,8.75e-07,9.8,2,0.007016434,3.6,12,12.0,1.076151273,8,2.19e-07,0.000143885,2.0,2.394657832
0.87671544,0.003025719,2,7.0,2.0,88.85809275,0.001200471,20,0.001512859,14,2660,2.068181818,3.92e-05,14.97071429,2,0.002589975,4.0,14,13.0,1.431566761,9,9.8e-06,0.000168124,2.0,2.468003008
3.566346237,0.007564297,2,17.0,5.035714286,331.9838498,0.002589656,64,0.001902867,85,21120,12.72727273,0.00047121,40.04285714,2,0.023188536,9.8,34,32.0,3.990352457,22,4.71e-05,0.000188501,3.8,5.623669631
0.580286301,0.003025719,2,4.0,2.0,68.69552823,0.001256773,14,0.001512859,8,1050,1.590909091,1.01e-05,10.51071429,2,0.000126836,2.8,8,10.0,0.851170569,6,2.53e-06,0.000153563,2.0,2.292532498
0.87671583,0.003025719,2,7.0,2.0,88.41861429,0.001212165,20,0.001512859,14,2640,2.068181818,3.93e-05,14.97071429,2,0.003246501,4.0,14,13.0,1.431566761,9,9.82e-06,0.000167954,2.0,2.467471752
1.636080029,0.004538578,2,10.0,3.333333333,149.2897922,0.001588234,32,0.023353271,30,6800,4.534090909,7.32e-05,25.22071429,2,0.00291088,5.8,20,19.0,3.091330075,13,1.22e-05,0.000168862,2.7,3.407677882
0.88906219,0.003025719,2,7.0,2.0,88.25916984,0.001169747,20,0.001512859,14,2730,2.068181818,3.93e-05,15.97071429,2,0.003179471,4.0,14,13.0,1.7314124,9,9.82e-06,0.000167785,2.0,2.473689922
8.46589925,0.012102874,4,27.96428571,8.533333333,754.8728802,0.003670775,126,0.006209286,216,77364,31.18181818,0.003192563,93.64571429,2,0.118715469,15.6,54,49.0,9.728582454,35,0.000199535,0.000214179,5.6,11.07118332
0.90128328,0.003025719,2,8.0,2.0,79.51759518,0.001221841,22,0.001512859,16,2662,2.227272727,1.13e-05,11.91071429,2,0.000553411,4.4,16,14.0,1.204656547,10,2.82e-06,0.00015647,2.0,2.520249957
0.802472053,0.003025719,2,7.0,2.0,62.08101566,0.001255622,20,0.001512859,14,1890,2.068181818,8.07e-07,10.5,2,0.003091706,4.0,14,13.0,0.904682274,9,2.02e-07,0.000131303,2.0,2.454412565
0.592602675,0.003025719,2,4.0,2.0,62.61319963,0.001286395,14,0.001512859,8,1120,1.590909091,2.99e-06,11.22,2,0.00517704,2.8,8,10.0,1.009004374,6,7.47e-07,0.000140056,2.0,2.293855023
2.33333643,0.007564297,2,11.0,5.0,174.9274384,0.002843796,52,0.001512859,55,7046,10.34090909,1.33e-06,25.9,2,0.013787014,7.4,22,26.0,2.018523283,16,1.33e-07,0.000131027,3.5,5.102803035
1.037087676,0.003025719,2,9.0,2.0,83.47857881,0.001235245,24,0.001512859,18,3936,2.386363636,1.24e-05,15.47,2,0.007677205,4.8,18,15.0,1.61718549,11,3.1e-06,0.000151584,2.0,2.595976364
0.827161142,0.003025719,2,7.0,2.0,56.72702296,0.001238943,20,0.001512859,14,2040,2.068181818,1.81e-07,11.9,2,0.000766821,4.0,14,13.0,1.019166452,9,4.53e-08,0.000121344,2.0,2.457615086
0.802469608,0.003025719,2,7.0,2.0,55.5955633,0.001264719,20,0.001512859,14,1860,2.068181818,1.33e-07,10.5,2,0.002854683,4.0,14,13.0,0.904682274,9,3.33e-08,0.000121492,2.0,2.454260496
1.327165315,0.004538578,2,9.0,3.0,109.108594,0.001751053,30,0.001512859,27,3690,4.295454545,1.56e-06,16.1,2,0.013650081,5.4,18,18.0,1.477231798,12,2.6e-07,0.000140647,2.4,3.263850884
0.839506702,0.003025719,2,7.0,2.0,58.97546563,0.001225401,20,0.001512859,14,2160,2.068181818,1.47e-07,12.6,2,0.002909104,4.0,14,13.0,1.094160021,9,3.68e-08,0.000122624,2.0,2.459424656
3.358391207,0.009077156,2,13.0,6.0,325.1955705,0.003260501,68,0.001512859,78,14858,14.79545455,0.000137136,40.77071429,2,0.023647065,8.8,26,31.0,3.69024955,19,1.14e-05,0.000174064,4.2,6.312789296
0.925968519,0.003025719,2,8.0,2.0,81.37208275,0.001211008,22,0.001512859,16,2849,2.227272727,9.79e-06,13.31071429,2,0.002901554,4.4,16,14.0,1.396063802,10,2.45e-06,0.000157679,2.0,2.523537272
0.925981543,0.003025719,2,8.0,2.0,85.55319495,0.001195953,22,0.001512859,16,2860,2.227272727,1.32e-05,13.31071429,2,0.003196629,4.4,16,14.0,1.472986879,10,3.31e-06,0.000160308,2.0,2.523066136
0.901281671,0.003025719,2,8.0,2.0,81.03983157,0.001220905,22,0.001512859,16,2695,2.227272727,1.09e-05,11.91071429,2,0.001120335,4.4,16,14.0,1.204656547,10,2.73e-06,0.000156912,2.0,2.519878844
0.901276293,0.003025719,2,8.0,2.0,79.44601354,0.001251218,22,0.001512859,16,2629,2.227272727,9.66e-06,11.91071429,2,0.00502512,4.4,16,14.0,1.204656547,10,2.42e-06,0.000156593,2.0,2.51962342
2.700618927,0.007564297,2,13.0,5.0,193.0988732,0.002628122,56,0.001512859,65,10584,10.73863636,6.21e-07,31.5,2,0.025126164,8.2,26,27.0,2.855415488,18,6.21e-08,0.000131839,3.5,5.411688057
0.839506408,0.003025719,2,7.0,2.0,58.48149795,0.001192298,20,0.001512859,14,2200,2.068181818,5.96e-08,11.9,2,0.001618483,4.0,14,13.0,1.372266529,9,1.49e-08,0.00012207,2.0,2.464192813
1.0246916,0.003025719,2,9.0,2.0,61.83240507,0.001172942,24,0.001512859,18,3252,2.386363636,5.75e-08,14.0,2,0.007618873,4.8,18,15.0,1.32917417,11,1.44e-08,0.000121521,2.0,2.574881376
0.925926165,0.003025719,2,8.0,2.0,58.31240507,0.00117231,22,0.001512859,16,2629,2.227272727,5.89e-08,12.6,2,0.0044503,4.4,16,14.0,1.283637767,10,1.47e-08,0.000121374,2.0,2.539768904
2.055556402,0.006051437,2,12.0,4.0,142.1767144,0.00212562,44,0.001512859,48,7502,7.318181818,3.29e-07,23.8,2,0.009481168,7.2,24,23.0,2.432724466,16,4.11e-08,0.000125976,3.1,4.418518685
0.654321089,0.003025719,2,5.0,2.0,51.19406711,0.00122309,16,0.001512859,10,1232,1.75,2.83e-08,10.5,2,0.000676761,3.2,10,11.0,1.196423977,7,7.09e-09,0.000115487,2.0,2.342541288
1.537037134,0.006051437,2,8.0,4.0,103.8432612,0.002354951,36,0.001512859,32,3708,6.363636364,3.76e-08,18.9,2,0.004888467,5.6,16,20.0,1.394520196,12,4.7e-09,0.000112803,2.8,3.998489108
1.003086524,0.004538578,2,6.0,3.0,72.79758779,0.00176185,24,0.001512859,18,2100,3.579545455,3.67e-08,14.0,2,0.003172367,4.2,12,15.0,1.222408027,9,6.12e-09,0.000113986,2.1,3.109968594
0.839506332,0.003025719,2,7.0,2.0,53.31879832,0.001177935,20,0.001512859,14,2080,2.068181818,4.27e-08,11.9,2,0.001668703,4.0,14,13.0,1.212503216,9,1.07e-08,0.000116401,2.0,2.479755528
0.777777976,0.003025719,2,6.0,2.0,54.40903252,0.001187746,18,0.001512859,12,1881,1.909090909,5.51e-08,12.6,2,0.000893642,3.6,12,12.0,1.344610239,8,1.38e-08,0.000117137,2.0,2.411723197
1.481483429,0.004538578,3,10.0,3.0,116.301675,0.001581539,32,0.001512859,30,5280,4.295454545,5.98e-07,22.4,2,0.018264769,5.8,20,18.0,2.191793157,13,9.96e-08,0.000136687,2.7,3.466315296
1.135944524,0.003025719,2,10.0,2.0,93.24309767,0.001179747,26,0.001512859,20,5174,2.545454545,2.99e-05,17.91071429,2,0.004115086,5.2,19,15.5,2.252508361,12,7.47e-06,0.000164312,2.0,2.672261416
0.864226776,0.003025719,2,7.0,2.0,75.42520596,0.001215194,20,0.001512859,14,2460,2.068181818,6.79e-06,14.15,2,0.002040111,4.0,14,13.0,1.67609982,9,1.7e-06,0.000151538,2.0,2.463336972
5.742206299,0.012102874,2,18.0,8.5,513.0821072,0.004114375,108,0.028813373,144,38934,26.72727273,0.000540793,67.31071429,2,0.035559743,12.0,36,40.0,7.826601492,26,3.61e-05,0.000183419,5.6,9.399932625
2.160521115,0.007564297,2,10.0,5.0,198.907736,0.002862809,50,0.001512859,50,6200,9.943181818,1.01e-05,24.5,2,0.013011465,7.0,20,25.0,2.221507589,15,1.01e-06,0.000153752,3.5,5.037954404
1.135947431,0.003025719,2,10.0,2.0,92.25295112,0.00117655,26,0.001512859,20,5161,2.545454545,3.05e-05,17.91071429,2,0.002112,5.2,19,15.5,2.341265758,12,7.63e-06,0.000164285,2.0,2.695904285
1.098907277,0.003025719,2,10.0,2.0,92.11252195,0.001196374,26,0.001512859,20,4836,2.545454545,3.02e-05,15.81071429,2,0.002534989,5.2,19,15.5,2.027527656,12,7.55e-06,0.000164366,2.0,2.667294496
0.43835309,0.001512859,1,8.0,1.0,43.19219226,0.000663551,18,0.001512859,8,3033,0.875,1.42e-05,13.01071429,1,0.0,3.8,15,5.5,1.802289684,9,7.12e-06,0.000163613,1.0,1.958314547
1.370534653,0.003025719,2,13.0,2.0,100.7391959,0.001143565,32,0.001512859,26,7456,3.022727273,3.23e-05,19.31071429,2,0.005277769,6.4,24,18.0,2.527013121,15,8.07e-06,0.000165618,2.0,2.862960517
1.805758956,0.004538578,3,18.66666667,3.666666667,148.0682945,0.001571583,40,0.031247758,42,9320,5.011363636,5.28e-05,22.51071429,2,0.003586273,7.4,27,20.5,3.180344739,17,8.81e-06,0.000164015,2.4,4.157547238
1.247101271,0.003025719,2,11.0,2.0,95.18441853,0.001113561,28,0.001512859,22,6202,2.704545455,3.83e-05,20.32142857,2,0.000283241,5.6,21,16.5,2.556470286,13,9.57e-06,0.000164096,2.0,2.761830332
3.652062013,0.006051437,3,25.66666667,4.202380952,326.2610962,0.001919886,64,0.010577368,88,30560,10.18181818,0.001022829,50.22214286,2,0.040000638,11.2,43,31.5,5.084126576,26,0.000127854,0.000205677,3.7,5.807521388
0.728399487,0.003025719,2,6.0,2.0,64.09442722,0.001263488,18,0.001512859,12,1467,1.909090909,1.07e-06,10.5,2,0.00080354,3.6,12,12.0,0.843452534,8,2.68e-07,0.000144113,2.0,2.39655893
0.518522184,0.003025719,2,4.0,2.0,55.90079411,0.001324014,14,0.001512859,8,665,1.590909091,9.57e-07,7.0,2,0.000389752,2.8,8,10.0,0.541291484,6,2.39e-07,0.000142086,2.0,2.283141858
0.530878778,0.003025719,2,4.0,2.0,63.07464452,0.001320902,14,0.001512859,8,735,1.590909091,3.73e-06,7.7,2,0.002635617,2.8,8,10.0,0.598533573,6,9.32e-07,0.000152858,2.0,2.284892674
1.203709479,0.004538578,2,8.0,3.0,102.6983075,0.001798785,28,0.001512859,24,2828,4.056818182,1.69e-06,14.7,2,0.006876689,5.0,16,17.0,1.224594803,11,2.81e-07,0.000144279,2.4,3.199065742
1.558751492,0.004538578,2,10.0,3.0,155.2489272,0.001606798,32,0.001512859,30,5440,4.534090909,2.88e-05,22.45,2,0.063332963,5.8,20,19.0,2.124646257,13,4.8e-06,0.000175623,2.7,3.330996227
