Global Relative Change in Avg Clustering,Degree Centrality,Local Gravity Model Centrality,LGC Scores,Betweenness Centrality,I-GSM Values,H-GSM_1,Centrality Values,Subgraph centrality,DIL Centrality,Extended Degree,Extended Improved Gravity Index Values,Improved Gravity Index Values,EHCC Value,Second order centrality,DNC Scores,Closeness Centrality,HCC Value,Local-Global Centrality,K-Shell Value,Semi local centrality,H Values,Node H-Index,MDD Value,Leverage Centrality
0.001130537,0.00248139,84,52762,0.000838553,78.3406,262.6838303,71.10288133,8.851428546,10.75,10.8,802.0,76.5,0.89154097,-10430.11152,5.428571429,9.11e-05,0.10016481,1.515285765,2,545,0.000653334,3,3.4,-0.047619048
0.000645918,0.001240695,24,14040,0.0,50.15302186,228.2032179,34.07573338,4.322684982,2.0,6.0,374.5,45.5,0.47144495,-13047.37422,2.583333333,8.01e-05,0.056658665,0.658602949,2,283,7.28e-05,2,2.0,-0.466666667
0.000787413,0.004962779,392,434945,0.012628306,146.2999038,315.283002,185.1989839,29.89959963,51.17116368,24.4,2583.0,369.0,2.511694314,-8240.252079,10.68672014,0.000105809,0.322464261,3.599191907,4,1878,0.011944248,4,6.5,0.265818713
0.000729778,0.001861042,33,15096,0.001245884,49.1026288,229.0195666,32.47346066,4.22773194,7.444444444,6.2,349.5,43.5,0.432241768,-13753.78988,3.25,8.01e-05,0.053118842,0.988124486,2,246,7.83e-05,2,2.4,0.081818182
0.000729778,0.001240695,18,9996,0.001240695,47.26903611,227.7844291,23.91387319,3.079433401,2.875,4.8,302.0,20.0,0.365970406,-16386.35866,2.25,8.01e-05,0.043506145,0.657622258,1,201,3.85e-05,1,1.7,-0.133333333
0.00088298,0.000620347,5,2352,0.0,25.82867352,184.6231097,10.71619048,1.949809904,1.0,2.6,111.75,10.75,0.180584716,-17713.89077,1.3,6.53e-05,0.020995307,0.266036259,1,85,1.82e-06,1,1.0,-0.666666667
0.001386159,0.006203474,600,646070,0.011621626,150.0414035,298.829781,237.2827568,45.48642101,103.2963118,30.0,2907.0,321.75,2.893425531,-7554.424478,13.87958153,9.75e-05,0.272673856,4.267234982,3,2084,0.010085468,5,7.6,0.295180636
0.00067093,0.001240695,36,36813,0.0,71.52166615,246.949307,61.91939819,6.161097243,2.0,8.4,620.25,74.5,0.655612483,-12024.51741,2.320634921,8.47e-05,0.114822113,0.715534004,2,534,0.000221213,2,2.0,-0.633333333
0.000748052,0.001861042,75,57536,0.0,75.63782627,246.7707857,71.82874375,11.4313448,3.0,11.8,751.5,124.5,0.914094801,-10738.9061,3.713492063,8.45e-05,0.17172441,1.069152275,3,686,0.000338903,3,3.0,-0.464335664
0.000240989,0.001861042,63,96768,0.001240695,106.6328216,285.6187596,100.7312149,8.612062818,4.939393939,10.2,1584.75,118.0,1.243330587,-11342.49008,3.4,9.69e-05,0.149467952,1.24507832,2,980,0.002653702,2,2.7,-0.192307692
0.001105525,0.00248139,100,66220,0.000292927,77.25257033,248.8217038,70.37071854,10.68090735,10.78095238,12.4,709.0,131.25,0.900931532,-10421.2057,5.627777778,8.46e-05,0.168438967,1.432884481,3,648,0.000420698,3,3.7,-0.134920635
0.000729778,0.001240695,18,10608,0.001240695,43.42701841,215.1384107,23.01298701,3.169846738,2.875,4.8,229.0,20.75,0.294167174,-16264.3172,2.25,7.48e-05,0.043506145,0.621016939,1,220,2.1e-05,1,1.7,-0.133333333
2.63e-05,0.00248139,64,36946,0.000190653,58.30114764,227.6717076,57.20868964,6.998964241,13.6,8.8,577.0,64.5,0.661907492,-10479.49422,5.619047619,7.7e-05,0.074114149,1.308409869,2,451,0.00013771,3,3.1,0.071428571
0.000614652,0.001240695,32,29868,0.0,58.25994161,224.9233595,50.10090909,5.82966694,2.0,7.6,622.5,67.5,0.65962882,-12036.12497,2.464285714,7.67e-05,0.077145212,0.649545739,2,492,9.33e-05,2,2.0,-0.6
0.000849145,0.001240695,24,18075,0.0,50.63311966,220.1009381,37.38722944,4.373947797,2.0,6.0,451.5,53.0,0.47322561,-12707.13348,2.452380952,7.57e-05,0.060198488,0.635381179,2,337,5.43e-05,2,2.0,-0.466666667
0.000670854,0.000620347,14,39165,0.0,87.28346148,274.5688017,42.19519444,5.876049688,1.0,6.2,977.5,41.5,0.968356562,-15069.76909,1.230769231,9.57e-05,0.071072337,0.401088295,1,652,0.001007862,1,1.0,-0.866666667
0.000755413,0.003101737,280,629131,0.0,183.0654198,332.4697763,248.6833663,95.82579746,5.0,25.4,5533.75,626.25,5.267557594,-7836.485688,7.537046287,0.000111657,0.765959657,2.408255258,5,3442,0.040929311,5,5.0,-0.300149948
0.000755413,0.003101737,280,629131,0.0,183.0654198,332.4697763,248.6833663,95.82579746,5.0,25.4,5533.75,626.25,5.267557594,-7836.485688,7.537046287,0.000111657,0.765959657,2.408255258,5,3442,0.040929311,5,5.0,-0.300149948
7.17e-05,0.004342432,490,970396,0.000164267,198.0515149,337.0052662,342.0620976,144.3615021,26.55141379,32.2,7262.25,707.5,6.759639569,-6913.797044,10.4543623,0.000111857,0.800118233,3.394990155,5,4377,0.067389386,5,6.1,-0.091351943
0.000135552,0.013647643,5412,15993948,0.096295718,483.8277843,443.756016,1282.422373,1010.384018,810.4687272,111.6,26793.25,2317.5,20.28567948,-4295.827001,30.23633465,0.000134825,1.195607467,13.53818551,5,16411,1.24109775,10,15.7,0.363058608
0.000155689,0.003101737,135,146076,0.002797761,106.6081069,285.902324,105.280644,17.78156262,17.12156863,13.8,1551.5,175.5,1.791050124,-9156.845872,6.630769231,9.72e-05,0.209910071,2.065576121,3,1059,0.005113042,3,4.1,0.090977444
7.05e-06,0.003101737,165,229200,0.001301922,121.1300701,291.0451271,127.9949747,26.94727975,11.86425339,16.2,2386.0,226.5,2.339851671,-9210.864304,6.864102564,9.81e-05,0.227365555,2.106838693,3,1467,0.00774093,3,4.1,0.021929825
0.000938614,0.001861042,72,87540,0.0,96.58179313,277.7193346,77.43718122,14.2316108,3.0,11.4,1379.5,150.0,1.530808642,-10410.53087,3.930769231,9.58e-05,0.196248791,1.209315203,3,943,0.002939589,3,3.0,-0.382352941
0.000303158,0.013647643,4114,8978200,0.018262382,344.7141694,376.0420163,1019.427588,684.6346739,600.9943089,88.0,17906.25,1535.0,15.15779442,-4711.328776,30.69762311,0.000109842,0.973519401,11.3868089,5,11098,0.992006772,8,15.7,0.486955473
0.000698512,0.001240695,22,14378,0.00107179,63.42646477,256.4742829,34.68524191,3.439230538,3.541666667,5.6,412.5,46.0,0.426677654,-13652.6114,2.178571429,9.04e-05,0.051094551,0.742497786,2,276,0.00025179,2,2.0,-0.4
0.000620347,0.000620347,3,656,0.0,25.63927847,197.9337038,7.874025974,1.666073203,1.0,1.8,43.5,5.5,0.066525743,-19530.9733,1.0,7.09e-05,0.013406901,0.285364928,1,42,1.85e-06,1,1.0,-0.5
0.000839208,0.000620347,4,2655,0.0,37.93849586,214.6654527,19.83774892,1.860092888,1.0,2.2,194.25,11.5,0.215484934,-17134.55151,1.166666667,7.49e-05,0.017201104,0.310349925,1,125,1.13e-05,1,1.0,-0.6
0.000620347,0.000620347,2,399,0.0,22.15675008,187.7278025,7.050541126,1.609448837,1.0,1.4,20.75,4.0,0.051348931,-21373.35248,1.0,6.67e-05,0.007842786,0.270591628,1,29,4.33e-07,1,1.0,-0.333333333
0.000698512,0.000620347,8,8640,0.0,60.51210915,255.0787684,26.81121594,2.351649836,1.0,3.8,369.0,20.0,0.361921823,-16130.52809,1.178571429,9.04e-05,0.039457562,0.370396315,1,234,0.00016417,1,1.0,-0.777777778
0.000915474,0.010545906,2057,4449486,0.050321935,298.6918525,397.4355307,704.570724,212.2975698,410.6656573,58.6,12033.0,1230.0,9.479391638,-5186.013992,23.50326373,0.000126103,0.833334528,9.404960224,5,7320,0.325904126,7,12.5,0.471126678
0.000672677,0.001240695,50,101220,0.0,116.9849362,301.8754611,88.92081309,8.43849748,2.0,11.2,1599.0,120.5,1.320189173,-11331.79931,2.266806723,0.000105086,0.164390384,0.879913087,2,1107,0.004090752,2,2.0,-0.694736842
0.000698512,0.000620347,8,7650,0.0,42.17201844,210.0282481,23.09634199,2.379058582,1.0,3.8,235.5,19.0,0.283028197,-15981.51412,1.178571429,7.18e-05,0.039457562,0.303242605,1,227,1.62e-05,1,1.0,-0.777777778
0.000689416,0.003722084,336,792022,0.002957466,196.9842823,340.1573403,317.8405417,69.34025452,48.24862637,26.0,5758.5,585.0,4.350542797,-7186.269259,6.932323232,0.000113097,0.552054745,2.957041729,4,3601,0.041504332,4,5.4,-0.097035481
0.000760949,0.001240695,34,47740,6.64e-06,76.95278821,250.8326249,70.24078504,5.605488203,3.742424242,8.0,988.0,91.0,0.847536813,-11529.31152,2.315151515,8.54e-05,0.107488087,0.727121905,2,626,0.000528204,2,2.0,-0.596153846
0.000673405,0.000620347,11,18168,0.0,59.42193011,237.3292054,36.27361012,3.160004987,1.0,5.0,516.0,29.75,0.446422557,-15489.03459,1.181818182,8.22e-05,0.052610082,0.343996629,1,381,8.24e-05,1,1.0,-0.833333333
4.93e-05,0.006203474,1230,3408344,0.006652065,302.4844956,372.3250041,591.6887149,224.9869294,135.1569957,55.2,11299.0,1388.75,8.250754183,-5779.876088,12.94285714,0.000117702,0.821443159,5.328793745,5,7590,0.195752565,7,8.5,-0.008279321
0.000521342,0.005583127,954,2705014,0.00588598,289.1828791,372.9783861,553.5017071,241.7609251,134.8210933,47.8,11595.0,1225.0,9.437526423,-5851.424427,12.69829386,0.000119417,0.919519186,4.837919086,5,7116,0.438448392,7,7.8,-0.078535568
1.71e-05,0.010545906,3366,8844498,0.018613155,384.9238019,390.9019359,944.1159153,679.8188549,424.3785516,89.4,18319.0,1843.75,14.38113289,-4816.834807,21.35818216,0.000118554,1.083010283,9.332678439,5,12250,0.630614383,9,13.1,0.253265024
0.000758502,0.00248139,224,775764,0.0,216.2484402,351.8076825,302.5801141,76.33401159,4.0,24.8,6497.5,611.0,4.770011823,-7955.845372,5.016127663,0.000117454,0.7692451,2.05891796,4,4065,0.085244635,4,4.0,-0.498834499
0.00019141,0.004962779,656,1925760,0.015704175,272.8372357,377.6455748,452.7305752,117.1864686,51.22544563,37.6,9235.0,1091.25,7.008437534,-6339.568872,10.62197182,0.000121595,0.833513668,4.359633286,5,5757,0.233243945,5,6.8,-0.005634278
0.002574774,0.004962779,672,1884240,0.008224079,275.4579267,388.245972,464.2196532,159.0921098,32.53699634,38.4,9410.75,1038.75,7.20548171,-6298.244285,12.13279433,0.000129249,0.83579234,4.482692964,5,6168,0.202555087,5,6.8,0.037555261
0.002370152,0.011166253,3528,11658856,0.019272943,435.0703563,424.157611,1110.736535,765.4671484,468.3616603,89.2,22616.5,2050.0,16.71921106,-4649.719845,25.52927138,0.000127616,1.135853248,10.72918894,5,14734,2.077260176,9,13.5,0.340870051
0.000212577,0.004342432,560,1547316,0.002540076,247.0692097,361.8682175,433.2681513,160.7017505,29.58330732,36.2,8924.5,927.5,6.495417577,-6841.832494,9.366594517,0.000118147,0.830980617,3.663905216,5,5717,0.248600801,5,6.4,-0.070054091
0.000243502,0.0117866,3686,9962880,0.038805512,414.9896171,427.9978573,1031.136004,617.595759,570.0967226,89.0,19978.75,1897.5,14.92984845,-4390.209957,22.7956044,0.00013238,1.054182939,11.340126,5,12740,0.808254811,9,13.9,0.349440463
0.002207964,0.007444169,1824,6036580,0.022431313,383.6146251,418.6249783,801.3438516,382.2911876,176.9221932,68.0,16054.0,1721.25,10.38522446,-5232.081775,16.00233159,0.00013421,0.97269177,7.182430527,5,11048,0.568932924,8,9.9,0.107394492
