Clustering Coefficient,K-Shell Value,Eigenvector Centrality,Centrality Values,Constraint Coefficients,MDD Value,Leverage Centrality,Local Gravity Model Centrality,Density Centrality,Extended Coreness,LGC Scores,Betweenness Centrality,EIGSM Values,Degree Centrality,CLC Values,Second order centrality,DNC Scores,H-GSM_1,Coreness Centrality,PE Values,Societal Capital Scores,DIL Centrality,PageRank Centrality,Global Relative Change in Avg Clustering,Node H-Index
0.6,5,0.026848037,1364.437172,-0.254176233,5.0,-0.564265181,1745,112.5568182,2107,116364248,0.000353004,8830.340512,0.011061947,53772.5641,-4577.981307,6.49898969,459.5227575,40,0.116976771,354,14.62476565,0.001296531,0.001023853,5
0.7,4,0.025305928,1555.215851,-0.265014085,4.7,-0.555433827,1735,113.3522727,2047,114759792,9.43e-05,8699.285429,0.011061947,46850.83707,-4630.018705,6.334598697,454.6987215,40,0.132143161,352,10.00066365,0.00134655,0.001054721,4
0.5,3,0.017167451,901.6827382,-0.324669947,3.7,-0.315510769,1020,80.81818182,1408,78331880,0.008829935,6002.731244,0.008849558,44264.60755,-6018.694285,4.964442537,439.0342284,21,0.074902696,259,9.156119247,0.001663437,0.000825117,3
0.7,4,0.020500825,1428.741325,-0.309906303,4.7,-0.459738879,1545,105.7954545,1743,98705628,4.07e-05,7444.764449,0.011061947,42171.51375,-4684.344914,7.011895515,449.6966459,33,0.117842507,314,10.54949495,0.001369361,0.000863263,4
0.6,5,0.02776105,1350.797461,-0.254878536,5.0,-0.559917355,1990,112.1590909,2360,135672978,0.000328208,8859.115591,0.011061947,59853.39703,-4593.084468,6.467865961,461.7957333,40,0.119224497,403,13.79948718,0.001317104,0.001422735,5
0.733333333,5,0.032884087,1740.455013,-0.244256543,5.7,-0.543974133,2724,145.5681818,2734,162569225,0.000263242,10584.21323,0.013274336,58603.4907,-4193.672764,7.861099043,472.7348057,49,0.151171036,460,12.2955125,0.001507403,0.000169874,5
0.666666667,4,0.021426315,1211.027337,-0.333716861,4.0,-0.536692137,1220,88.77272727,1761,98034300,2.83e-05,7454.140976,0.008849558,43354.9952,-5191.746023,5.491008953,448.9018398,29,0.099186682,309,7.64966707,0.001148929,0.001311619,4
0.523809524,6,0.034953389,2093.641976,-0.188213938,6.7,-0.556732293,3227,173.1704545,2816,166597899,0.000457512,11510.1494,0.015486726,72942.15135,-3829.672204,8.574182258,485.3630315,61,0.182966532,468,37.85844181,0.001649851,0.000681606,6
0.6,5,0.027700982,1350.568364,-0.254878536,5.0,-0.559917355,1990,112.5568182,2357,135754339,0.000330449,8855.601991,0.011061947,59748.57401,-4595.772961,6.334532627,461.9839151,40,0.11981684,403,13.79948718,0.001320491,0.001194581,5
0.6,5,0.027700982,1350.568364,-0.254878536,5.0,-0.559917355,1990,112.5568182,2357,135754339,0.000330449,8855.601991,0.011061947,59748.57401,-4595.771027,6.334532627,461.9839151,40,0.11981684,403,13.79948718,0.001320488,0.001194581,5
0.6,5,0.027741217,1351.565507,-0.254878536,5.0,-0.559917355,1990,112.5568182,2360,135913344,0.000330141,8862.44017,0.011061947,59841.32318,-4592.48785,6.334532627,462.0173089,40,0.11986977,403,13.79948718,0.001316153,0.001194581,5
0.6,5,0.028107205,1389.159643,-0.254878536,5.0,-0.559917355,1990,112.1590909,2364,135747731,0.000289152,8926.861924,0.011061947,59975.23322,-4587.97665,6.301199294,461.7936676,40,0.122045793,403,13.79948718,0.001314866,0.001194581,5
0.833333333,3,0.016253261,1016.409838,-0.600725253,3.4,-0.170272673,988,79.22727273,1349,75622507,3.27e-06,5918.856671,0.008849558,30870.37995,-6228.309841,6.864442537,437.9884007,19,0.074541915,251,4.0,0.001517845,0.001209373,3
0.9,4,0.017099738,1227.133831,-0.496905943,4.7,-0.187695133,1285,100.2272727,1402,80305552,2.45e-06,6401.319674,0.011061947,29976.78758,-5429.898221,8.464442537,446.3644037,26,0.089599905,262,5.2,0.00162231,0.00109542,4
0.5,4,0.021594654,1063.026779,-0.3005544,4.0,-0.51228948,1244,90.36363636,1783,100938771,0.00070064,7348.496003,0.008849558,52590.45391,-5219.541787,5.176545712,450.6609242,29,0.091926732,315,11.91748288,0.001174713,0.002450073,4
0.533333333,5,0.026150037,1601.406888,-0.238795895,5.7,-0.458600418,2142,145.5681818,2105,122504886,0.000584536,9080.795282,0.013274336,57633.88454,-4221.330047,7.532803946,469.3288607,45,0.1397807,363,23.25079835,0.001543689,1.25e-05,5
0.8,4,0.028625092,1415.909933,-0.307447215,4.7,-0.548878394,1995,112.1590909,2378,136516914,0.000488538,9120.174083,0.011061947,49360.1347,-4634.888954,6.812310405,456.8008445,41,0.121446844,404,7.22,0.001332967,0.000288232,4
0.5,3,0.026470981,1165.258197,-0.351146309,3.7,-0.545430701,1436,92.27272727,2120,123735663,0.000147226,8441.878145,0.008849558,62420.49631,-5219.019029,5.403246479,451.3520472,29,0.098135034,363,13.65105168,0.001176785,0.000753206,3
1.0,3,0.025066164,1010.683381,-0.465061457,3.0,-0.688095238,1050,68.25,2054,118838852,0.0,7875.373017,0.006637168,36745.63798,-5951.693646,3.61435759,447.6240627,23,0.087676371,353,3.0,0.000955239,0.001775492,3
0.9,4,0.017099738,1227.133831,-0.496905943,4.7,-0.187695133,1285,100.2272727,1402,80305552,2.45e-06,6401.319674,0.011061947,29976.78758,-5429.898221,8.464442537,446.3644037,26,0.089599905,262,5.2,0.00162231,0.00109542,4
0.857142857,7,0.057357873,2679.853984,-0.183131024,7.7,-0.601048838,5432,223.3636364,4282,296993840,0.000179334,17148.69885,0.017699115,79919.16742,-3553.768188,10.50448997,524.7032688,73,0.221996378,687,14.31523277,0.001792063,8.64e-05,7
0.8,4,0.017866495,1288.894417,-0.417821959,4.4,-0.243250689,1300,100.2272727,1429,81404950,6.54e-06,6656.623736,0.011061947,33635.8676,-5224.510721,8.088252061,446.3789359,26,0.095910805,265,7.0,0.001571978,0.000306093,5
1.0,3,0.015679083,805.855845,-0.599570295,3.0,-0.420238095,735,58.70454545,1336,73674022,0.0,5493.723455,0.006637168,25885.83688,-6728.777592,4.697775871,434.584045,16,0.062821929,248,3.0,0.00117452,6.85e-05,3
0.7,4,0.025738028,1580.307847,-0.250257638,5.0,-0.605433827,1745,113.75,2067,115654084,4.8e-05,8853.831998,0.011061947,47140.84289,-4556.9576,6.26793203,454.8938765,41,0.134192005,354,11.66733032,0.001290534,0.000712491,5
0.666666667,3,0.016449292,860.2839899,-0.441879249,3.0,-0.491666667,741,58.94318182,1375,74517102,6e-06,5752.795295,0.006637168,36630.77119,-6116.694544,4.331109204,434.7803925,18,0.06860422,250,4.333333333,0.000993941,0.001756742,3
0.6,5,0.020155068,1272.039816,-0.265182218,5.0,-0.500142919,1555,106.9886364,1755,99369690,0.000426579,7214.882948,0.011061947,46585.32692,-4640.161403,6.311895515,455.2757402,35,0.112054918,316,13.43616162,0.001344062,0.000977463,5
0.607142857,7,0.030437449,2069.848134,-0.216521081,7.7,-0.358650394,3328,185.8181818,2501,147085772,0.001345187,10372.32477,0.017699115,62180.2587,-3751.488553,11.00882315,494.896253,61,0.175305202,424,31.05716417,0.001948542,5.76e-05,7
0.75,7,0.031445782,2293.888518,-0.220591659,7.7,-0.415468575,3368,185.8181818,2541,149280878,7.17e-05,10863.74806,0.017699115,54602.7393,-3677.661406,10.61596601,494.9593502,65,0.19086526,429,22.27103444,0.001889581,0.0007305,8
0.678571429,7,0.031573372,2317.449407,-0.206923886,7.7,-0.407135242,3360,186.4545455,2538,149075520,8.73e-05,10913.17329,0.017699115,58613.64174,-3654.587185,10.72310887,495.1369769,64,0.191310292,428,27.49101307,0.001890532,2.16e-05,7
0.75,7,0.031484285,2293.845661,-0.220591659,7.4,-0.415468575,3368,185.8181818,2545,149287733,7.17e-05,10868.51908,0.017699115,54721.77567,-3673.304112,10.75882315,494.9593502,65,0.189714592,429,22.27103444,0.001883336,0.000567533,8
0.75,7,0.031488957,2294.687089,-0.220591659,7.7,-0.415468575,3368,185.8181818,2544,149286362,7.17e-05,10867.82011,0.017699115,54734.0572,-3670.248079,10.68739458,494.9593502,65,0.190318298,429,22.27103444,0.001883427,0.000649016,8
0.714285714,6,0.033789442,2010.368712,-0.194477893,6.7,-0.545885347,3220,175.9545455,2765,166456312,0.000571334,11203.97529,0.015486726,60660.57566,-3848.194555,8.595962403,486.6639057,58,0.176883795,467,20.98257721,0.001712749,0.000236346,6
0.5,6,0.038862238,2597.146931,-0.172377634,8.1,-0.296910148,3978,226.9431818,2737,166029501,0.000653171,13302.33833,0.019911504,75945.52349,-3439.408849,12.16980107,498.9728656,72,0.211218734,451,52.76477869,0.002081677,0.000739668,7
0.193277311,10,0.09181284,7462.435665,-0.070837748,26.9,0.402786983,32445,1216.647727,6281,670621698,0.01886377,32055.23602,0.077433628,212546.0947,-1814.156792,52.67310427,1024.179791,239,0.598128079,962,1054.421155,0.007484178,0.0005897,12
0.333333333,3,0.018079871,868.9161864,-0.357606291,3.0,-0.683974359,771,60.13636364,1453,78477885,0.000115269,6176.976043,0.006637168,53267.65416,-5888.006229,3.831109204,435.8564985,23,0.073629245,260,8.558950853,0.000923008,0.001661802,3
1.0,4,0.038575817,1478.780559,-0.268279712,4.0,-0.910635051,2028,103.7272727,3092,195320015,0.0,11401.60015,0.008849558,52096.14342,-4941.53484,4.422774764,469.8447651,40,0.131011827,511,4.0,0.001058741,0.001172697,4
0.466666667,5,0.029260687,1527.703239,-0.257909531,5.7,-0.364463713,2292,143.1818182,2281,136762483,0.000747629,9700.563784,0.013274336,68411.65667,-4306.575696,8.312352578,471.6750779,41,0.127779841,388,24.96585925,0.001591865,0.001042899,5
1.0,3,0.025172198,1014.272428,-0.420060338,3.0,-0.751587302,1056,68.48863636,2066,119536200,0.0,7900.658102,0.006637168,36896.83643,-5866.65048,3.581024257,447.8185382,25,0.088243033,355,3.0,0.000930691,0.001091032,3
0.666666667,4,0.026144354,1243.163413,-0.341958755,4.0,-0.529557685,1424,91.95454545,2100,122575962,4.46e-05,8439.157095,0.008849558,52334.66061,-5200.50155,5.51435759,455.1246834,28,0.101695804,360,7.575289575,0.001164107,0.00141853,4
0.6,4,0.026179688,1410.225278,-0.26190809,4.7,-0.525195133,1825,109.7727273,2157,121280040,0.000249785,8525.113457,0.011061947,55286.73541,-4623.983044,6.299996794,453.7954963,39,0.122937767,370,13.01109063,0.001346193,0.001312173,4
0.6,4,0.027816598,1375.877299,-0.261283262,5.0,-0.541735537,1985,112.1590909,2351,135356008,0.000340784,8873.735131,0.011061947,59761.19668,-4609.258148,6.501199294,456.7120371,38,0.120232794,402,13.46615385,0.001327607,0.001422735,5
0.7,4,0.028763048,1578.522324,-0.300223441,4.7,-0.510224777,1855,116.5340909,2202,126266776,6.69e-05,9608.483295,0.011061947,52045.11935,-4632.755727,6.884195985,457.6675658,38,0.129121755,376,10.85783582,0.001356691,0.000633403,4
0.7,5,0.029234179,1596.102194,-0.267122628,5.0,-0.565780333,1870,116.5340909,2232,127422785,6.5e-05,9728.480551,0.011061947,52538.72514,-4575.04214,6.698481699,462.8032243,41,0.131211935,379,11.33783582,0.001314671,0.001154896,5
0.666666667,2,0.015843994,814.299503,-0.564379249,2.7,-0.305952381,729,58.94318182,1334,73135782,8.18e-06,5541.412374,0.006637168,35873.99436,-6616.58715,4.531109204,431.875631,14,0.064852597,246,3.533333333,0.001191993,0.002920398,2
0.5,3,0.016907314,872.0575243,-0.36849027,3.4,-0.315009515,1032,80.81818182,1440,79263412,0.001172434,5875.638928,0.008849558,44885.08841,-5520.490356,5.602537775,439.0464538,24,0.073091411,262,10.12744278,0.001304311,0.002833575,3
0.714285714,5,0.038196425,1999.869788,-0.205963476,6.4,-0.533901396,3472,174.2840909,3056,184620396,0.000384191,12051.3428,0.015486726,66127.28737,-3858.204154,8.745270256,480.3955371,59,0.174908155,503,17.39735743,0.001675239,0.000325148,5
0.7,4,0.028339409,1512.050897,-0.265595216,4.7,-0.575068871,1995,112.1590909,2364,136305360,9.33e-05,9150.357723,0.011061947,54355.73077,-4581.792189,6.615485008,456.7308305,39,0.127525348,404,11.39282051,0.001320286,0.001145568,5
1.0,4,0.019463022,1192.175335,-0.362042203,4.0,-0.656601439,1220,83.68181818,1708,95583915,0.0,6863.137616,0.008849558,30714.62242,-5142.148716,5.011895515,445.2114561,29,0.103736442,309,4.0,0.001136329,0.001304069,4
0.8,7,0.062266541,3147.97465,-0.168365322,9.1,-0.477103792,7120,287.1590909,4531,322809591,0.000293709,18917.49612,0.022123894,88906.92481,-3196.384252,13.43260027,543.5798554,90,0.258611465,722,23.65390749,0.002153177,0.000403694,8
0.444444444,7,0.035682018,2407.423668,-0.176488589,9.1,-0.188497039,4030,234.6590909,2517,149820044,0.001485104,12247.443,0.022123894,74912.95186,-3339.968358,14.62253512,510.2828014,73,0.196962027,413,69.89569287,0.002305333,0.001359097,7
0.316205534,9,0.086330351,5688.282927,-0.092608828,18.5,0.103436403,21942,766.5795455,6194,564899640,0.007709302,27654.98684,0.050884956,191562.5503,-2198.709729,33.25850027,757.9186904,171,0.468109422,977,407.1690186,0.004854491,0.000498776,11
0.6,4,0.025982203,1396.533648,-0.256872497,4.7,-0.547417355,1830,110.1704545,2162,121569861,0.000294525,8434.821405,0.011061947,55338.3237,-4600.751159,6.466663461,453.9905451,39,0.120869463,371,13.72537634,0.001333654,0.00142625,5
0.7,5,0.026969448,1530.947903,-0.252587722,5.0,-0.604235537,1855,110.1704545,2202,123512280,4.22e-05,8793.727951,0.011061947,50904.95949,-4557.150907,6.387875582,459.0788929,41,0.129983234,376,11.63870968,0.00130703,0.000973277,5
0.5,5,0.022909015,1253.055746,-0.256989709,5.0,-0.533127479,1465,104.6022727,1747,93615368,0.000404416,7757.024055,0.011061947,51552.67995,-4588.023761,6.683029023,453.9788706,42,0.103857187,298,19.81903652,0.001276681,0.001061116,5
0.330882353,8,0.059268467,4014.360771,-0.110075423,14.0,0.050430423,10863,530.0909091,4174,313986816,0.004380821,19618.33018,0.037610619,129927.8267,-2543.033812,23.60872032,626.112244,125,0.330135954,656,247.465966,0.003702512,0.000693405,9
0.733333333,8,0.065287192,3328.37274,-0.138759106,9.7,-0.582833501,7720,298.2954545,4889,355896142,0.00025638,19700.59315,0.022123894,101672.9474,-3158.279749,12.37994478,560.3332283,93,0.283096869,782,39.85324817,0.002150548,6.05e-05,9
0.6,4,0.026113445,1501.089249,-0.311673419,4.7,-0.443975326,1640,110.5681818,1974,108802344,8.52e-05,8751.029494,0.011061947,51970.8155,-4756.085077,7.179288476,453.2590342,37,0.118993342,333,12.83226724,0.00139606,0.000548906,4
0.8,5,0.031549974,1712.48676,-0.253650074,5.7,-0.553174809,2580,147.0,2579,152254443,0.000341244,10320.46269,0.013274336,52229.54946,-4177.691783,7.612099969,472.2058837,50,0.149491416,436,10.29494888,0.001504445,0.000630167,5
0.533333333,4,0.026085198,1513.606869,-0.277669207,5.1,-0.326190682,2202,132.6818182,2162,123673448,0.000680654,8636.372869,0.013274336,59275.90731,-4417.369897,8.666663461,458.1482934,40,0.126921256,373,17.19271965,0.001661383,0.001197973,4
0.8,4,0.028655838,1582.484906,-0.307089415,4.7,-0.493636122,1855,116.9318182,2201,130318618,1.19e-05,9480.015559,0.011061947,47639.20476,-4635.313948,6.665872742,460.1711129,36,0.128906108,376,7.10989011,0.001353827,0.000318125,4
0.070575056,10,0.219520022,22926.22447,-0.045924067,73.7,0.7904363,167752,5956.363636,11565,4162587814,0.07873395,84083.03392,0.230088496,443428.2594,-1000.851039,165.3411658,5266.309963,643,1.721444095,1717,8519.145189,0.022155342,0.007524477,17
0.243243243,10,0.126000735,10284.00126,-0.067467823,29.0,0.348793207,44992,1505.318182,8103,974710275,0.009760629,42758.99337,0.084070796,262856.8049,-1668.242054,55.46848496,1147.915058,294,0.802010891,1222,1070.432155,0.007765538,0.000741975,16
0.06517393,10,0.255898357,27920.34213,-0.039351748,86.4,0.815320718,230010,7690.295455,13466,5940194312,0.113422435,98722.26989,0.272123894,513999.8584,-900.488374,194.7739212,8157.122262,773,2.089861414,1993,10736.55205,0.026034313,0.013842864,19
1.0,2,0.015014162,595.1518518,-0.814614155,2.0,-0.491631799,478,38.65909091,1310,70837030,0.0,5053.73688,0.004424779,25291.71158,-8045.511859,3.031109204,429.2922919,12,0.048227418,241,2.0,0.000919439,0.004631424,2
0.4,6,0.039389121,2261.454852,-0.157854575,8.8,-0.225068705,5320,279.2045455,3126,220137327,0.023497339,12752.79648,0.022123894,94389.10632,-3332.383131,13.38161011,522.4966155,69,0.191237679,542,87.98876014,0.002478188,0.001303824,7
0.112103175,10,0.152560274,13807.01967,-0.037839269,46.9,0.599506251,99200,3054.545455,10384,2018635740,0.074877315,54635.8168,0.14159292,374872.5218,-1290.979783,93.9940692,2131.29563,412,1.118119495,1614,4180.706168,0.013801584,0.010635994,18
0.126566416,10,0.130905356,11402.61617,-0.048352559,42.3,0.590627591,75468,2552.693182,9006,1554497113,0.044285572,47303.60581,0.126106195,324034.6776,-1404.894228,82.91758525,1791.49389,380,0.929281928,1381,2946.209134,0.01174152,0.005876018,15
0.418181818,6,0.043589026,2568.889172,-0.155342946,9.5,-0.186758651,6171,301.0,3438,235093650,0.003517752,14195.48682,0.024336283,100401.0759,-3175.451153,15.35625269,524.8282545,77,0.218854363,572,83.78207739,0.002562289,0.001688897,7
0.393939394,6,0.051366281,2859.982681,-0.137142573,10.2,-0.205837561,7560,339.8181818,3881,278641188,0.003760473,16187.82926,0.026548673,115991.8811,-3010.282883,15.96459279,539.0557321,90,0.247897536,642,120.2431484,0.00271119,0.001107176,8
0.8,5,0.026708255,1428.260756,-0.27620118,5.0,-0.614084022,1855,109.7727273,2202,123311946,0.000118998,8663.00883,0.011061947,46060.71211,-4554.491383,6.322219016,458.8732008,41,0.124043342,376,9.062735043,0.001301172,0.000117925,5
0.7,5,0.027980061,1641.288125,-0.262915648,5.0,-0.585044189,1685,106.5909091,2036,110750816,1.85e-05,9389.883611,0.011061947,48899.25145,-4556.369217,6.537460776,456.3850399,41,0.132828146,342,11.29166667,0.001293389,0.000394934,5
0.666666667,5,0.035970056,1761.789218,-0.272853636,5.7,-0.444194964,2898,152.7272727,2849,186343920,0.000291293,11132.83172,0.013274336,67566.7197,-4301.399043,8.122413746,482.0961266,44,0.147762314,489,14.59742688,0.001599228,0.000235883,5
0.466666667,3,0.021256934,1274.985887,-0.283690065,5.1,-0.220257919,1776,130.2954545,1674,96390507,0.00198914,7513.294474,0.013274336,51830.16708,-4623.707259,8.843121216,448.9605933,35,0.106664038,302,19.64923211,0.001870489,0.001414022,4
0.138257576,8,0.063439544,6487.654437,-0.08034418,24.3,0.496277086,23727,1207.5,4572,524537600,0.013689585,25202.96842,0.07300885,172088.2544,-1912.848648,47.41884879,851.4473912,200,0.530063675,752,1350.938781,0.007245724,0.001387174,9
0.142528736,7,0.04811555,5665.101546,-0.091008568,21.9,0.52104688,15930,928.2954545,3382,351152748,0.007435222,20726.96799,0.066371681,129882.7524,-2026.621112,43.65006934,722.5546961,177,0.456919866,561,1013.777622,0.006651305,0.001319775,9
0.315217391,10,0.085179904,5810.997363,-0.088439301,19.5,0.128942097,22392,841.9090909,6102,562069215,0.024185663,27899.56222,0.053097345,185610.6372,-2233.048296,34.30611171,821.0574695,183,0.472660998,957,423.4556836,0.00540901,0.001892603,14
0.333333333,3,0.01558068,658.6447522,-0.360336058,3.0,-0.539285714,750,60.61363636,1371,75271680,0.000627426,5337.182729,0.006637168,50392.21401,-6135.288919,3.892220315,436.1998787,17,0.058911685,253,7.649859944,0.00105065,0.003014424,3
0.361111111,4,0.019338067,1088.2346,-0.255641783,6.9,0.117454091,2628,198.3068182,1647,100666281,0.007047561,7110.448826,0.019911504,55632.95469,-4110.439321,13.81299326,468.4712658,47,0.095620202,301,47.74421258,0.002694153,0.002441698,4
0.508333333,10,0.083453295,5261.383589,-0.09691557,14.5,-0.323285968,14656,521.8181818,5975,472912924,0.001066783,26010.1862,0.03539823,151423.9225,-2507.545433,20.16207007,677.6481459,148,0.436644521,932,216.7855743,0.003295961,0.00155473,13
0.464052288,10,0.084363396,5611.528606,-0.100938302,15.9,-0.137404733,16164,591.3409091,5943,486349033,0.001573996,27039.95094,0.039823009,156597.9502,-2396.219608,24.172625,711.0914145,154,0.453472581,916,218.6133693,0.003729155,0.001142568,13
0.416666667,7,0.048093531,2363.808264,-0.154346744,8.4,-0.325177166,5652,249.1363636,3811,269832620,0.00642615,14722.5739,0.019911504,112763.769,-3628.429559,11.47932921,530.354675,66,0.204186944,637,62.83795846,0.00241606,0.001097517,7
0.346153846,7,0.030317018,2946.317257,-0.176769808,10.3,0.162621677,4589,299.8863636,2135,138928488,0.002340386,11920.90084,0.028761062,72116.26483,-3085.521662,20.70068592,531.0104777,77,0.225460772,366,83.74331368,0.0032492,0.001324765,7
0.485714286,10,0.075103115,4822.800094,-0.104085253,14.1,-0.324667435,12300,451.0227273,5415,396977040,0.000862235,23633.79755,0.033185841,141635.9842,-2594.670566,19.46326978,647.9357025,143,0.395301037,835,210.3245563,0.003081391,0.001288256,12
1.0,4,0.027811569,1347.114196,-0.348098403,4.0,-0.709298027,1468,91.95454545,2167,122804734,0.0,9061.243766,0.008849558,38074.41852,-5078.30728,4.984195985,452.9278223,34,0.114658542,371,4.0,0.001122227,0.001305776,4
0.7,5,0.028568454,1534.246829,-0.259465148,5.0,-0.608402204,2005,112.5568182,2385,137314944,4.89e-05,9228.128226,0.011061947,54709.2995,-4550.730539,6.439294532,462.0257527,41,0.130407971,406,12.39282051,0.001292117,0.000607778,5
1.0,3,0.015631845,805.755845,-0.706208051,3.0,-0.325,729,58.70454545,1330,73075524,0.0,5484.400085,0.006637168,25711.46202,-6965.540186,5.031109204,434.5771312,16,0.060905579,246,3.0,0.001221225,0.001209249,3
0.5,4,0.019682781,1271.559396,-0.306589043,4.7,-0.350068871,1365,102.2159091,1570,86037696,0.000239581,6947.74253,0.011061947,47965.0511,-4767.104836,7.306433879,447.8612324,34,0.102535598,278,15.50571429,0.001401958,0.001337122,4
0.964285714,8,0.05595873,2824.959577,-0.162989392,8.0,-0.72683547,5088,229.7272727,4091,266550816,1.22e-05,16976.53748,0.017699115,68345.75427,-3508.609137,9.569734982,529.420955,80,0.238671611,644,10.83073762,0.001758089,0.000992312,8
0.402173913,10,0.102588301,7029.855923,-0.091098653,19.8,0.040549888,24384,820.9090909,6848,623699776,0.002798755,32977.93169,0.053097345,193119.8838,-2079.097782,34.00994882,819.9559637,210,0.554910636,1040,352.2252536,0.00479259,0.000299732,15
0.733333333,6,0.028947281,1838.284625,-0.235810354,6.0,-0.521524712,2118,130.7727273,2146,118392318,2.49e-05,9746.93521,0.013274336,49352.8106,-4164.253634,7.840961623,468.9420956,50,0.150732799,359,14.08766307,0.001465472,0.000127734,6
0.495238095,9,0.073247194,4402.882906,-0.120008478,13.2,-0.209474278,12360,462.9545455,5301,414645392,0.001484094,22996.86052,0.033185841,139764.4915,-2641.326453,20.38596812,636.2104467,124,0.362667028,839,132.0231939,0.003154668,0.000633956,10
1.0,4,0.025946971,1291.856451,-0.337905541,4.0,-0.712151526,1364,86.54545455,2013,110145906,0.0,8415.268414,0.008849558,35715.20767,-5069.827624,5.217438156,448.2039595,34,0.108396897,345,4.0,0.001102943,0.000723866,4
0.6,5,0.030105786,1718.447686,-0.24559555,5.7,-0.486500193,2406,147.9545455,2405,140291790,0.000387541,9924.052721,0.013274336,61100.29707,-4226.796584,7.919861551,471.2383611,45,0.146368331,407,17.82662384,0.001562508,0.000304815,5
0.150793651,10,0.180141563,15699.1035,-0.047126435,46.9,0.576903034,103232,2993.454545,11209,2138328246,0.039127129,62363.12346,0.14159292,391867.0176,-1279.633481,98.22149113,2132.67263,464,1.202102514,1677,2700.687398,0.012987443,0.004709272,18
0.654545455,8,0.060756627,3422.147223,-0.138192089,10.1,-0.488338091,8118,316.75,4699,327601056,0.000361486,18857.44466,0.024336283,103876.9216,-3029.647503,13.67749281,560.6111711,100,0.294803695,749,57.08678249,0.002374922,0.000116928,9
0.436923077,10,0.12101234,8052.083293,-0.081558338,22.1,-0.039112434,32422,961.7045455,8278,827620180,0.003412815,38304.29171,0.057522124,221525.1654,-1966.568559,35.35604646,880.3898944,234,0.645994195,1273,458.285272,0.005100649,0.000224734,16
