LGC Scores,Extended Improved Gravity Index Values,GSM,Node H-Index,Density Centrality,Clustering Coefficient,Societal Capital Scores,Constraint Coefficients,HCC Value,PE Values,Global Relative Change in Avg Degree,Degree Centrality,H Values,CLC Values,HVGc Index,DIL Centrality,Second order centrality,Global Relative Change in Avg Clustering,Local-Global Centrality,Improved Gravity Index Values,Leverage Centrality,Clustered Local Degree,P Value,Subgraph centrality,EHCC Value
17758,199.5,187.278954,3,8.590909091,0.0,20,-0.25,0.588028454,0.043962567,0.001662698,0.005847953,6.51e-07,196.0,785.0311893,21.325,-4101.997721,0.002309623,0.933966288,52.5,0.021428571,16.0,101,4.822058159,2.838978256
8954,128.5,208.3836782,3,7.318181818,0.0,16,-0.25,0.269703338,0.034875056,0.001662698,0.005847953,1.9e-07,127.0,334.8843367,17.95,-3049.877968,0.001461988,1.048876527,36.0,0.154761905,12.0,25,4.401861032,1.211421874
10044,176.5,170.9598929,2,4.772727273,0.0,15,-0.333333333,0.517460189,0.029817296,0.000881526,0.004385965,9.15e-08,161.0,378.328532,9.59047619,-4478.862673,0.002309623,0.635878844,41.0,-0.092063492,12.0,97,3.75100883,2.23074125
4170,82.5,158.1303248,2,3.818181818,0.333333333,12,-0.521111111,0.260730741,0.018235716,0.000881526,0.004385965,4.88e-07,58.03903616,144.3080618,5.0,-4122.201514,0.010687449,0.589313402,24.5,0.05,12.0,35,3.826932843,1.011438041
10950,129.5,152.3609932,3,7.0,0.333333333,19,-0.452569444,0.350173794,0.024446057,0.001662698,0.005847953,2.84e-08,95.29866431,355.5194746,10.37142857,-4230.460022,0.013795445,0.762097005,37.5,0.063492063,20.0,38,6.068455934,1.601649018
8360,105.5,160.4308742,3,4.772727273,0.0,16,-0.333333333,0.309271684,0.023687169,0.000881526,0.004385965,2.36e-08,121.0,307.3919322,10.33333333,-4171.278029,0.003157259,0.60410905,38.0,-0.166666667,13.0,36,3.956348453,1.278433433
2772,66.0,151.8188003,2,1.909090909,1.0,10,-0.804444444,0.238258831,0.014507458,0.000100355,0.002923977,6.41e-08,26.11944032,78.73120248,2.0,-4453.488884,0.010687449,0.378990886,22.0,-0.314285714,16.0,35,3.050663742,0.853205076
5952,106.5,169.4225071,2,4.295454545,0.0,13,-0.333333333,0.264772452,0.02765865,0.000881526,0.004385965,3.02e-08,99.0,229.2900194,9.0,-4100.766148,0.001461988,0.636912482,31.0,-0.016666667,10.0,33,3.5214117,1.144935737
3520,74.5,167.5838132,2,2.227272727,0.0,10,-0.5,0.22027322,0.017338755,0.000100355,0.002923977,1.79e-08,79.0,106.7493961,3.466666667,-4265.61662,0.007112889,0.420591842,27.0,-0.314285714,8.0,30,2.572892096,0.846900008
17696,173.0,206.5443708,3,12.32954545,0.0,22,-0.2,0.351507558,0.046611561,0.00244387,0.007309942,1.63e-06,186.0,521.5314897,32.73333333,-2862.748841,0.001461988,1.295091373,48.5,0.221428571,17.0,29,5.675943723,1.657343788
3168,77.5,176.9998556,2,2.068181818,0.0,10,-0.5,0.209481853,0.020444084,0.000100355,0.002923977,3.47e-08,87.0,106.7493961,3.466666667,-3811.141152,0.001461988,0.445807763,24.5,-0.314285714,8.0,27,2.653542004,0.796540296
28182,238.0,184.0352831,3,15.75,0.2,27,-0.301118827,0.663083017,0.046971142,0.003225041,0.00877193,6.14e-06,187.4893425,1196.563566,29.98809524,-4264.606717,0.01577326,1.372748165,54.5,0.266666667,25.2,100,9.333043157,3.938202247
32550,344.0,184.9817252,4,9.863636364,0.0,24,-0.25,0.848799612,0.047726398,0.001662698,0.005847953,1.49e-07,299.0,1261.657269,24.25,-4497.363504,0.003157259,0.914223826,72.5,-0.1,20.0,161,5.386382541,4.049713039
45908,448.5,172.1780888,4,16.70454545,0.2,31,-0.254583333,1.017379355,0.065296886,0.003225041,0.00877193,7.8e-08,285.7370328,1927.245266,36.16369048,-4604.424341,0.003906368,1.271928181,105.0,0.185858586,30.0,186,10.94356999,6.112440385
28525,393.25,156.5665515,3,10.73863636,0.3,25,-0.319088889,0.949963625,0.043914516,0.00244387,0.007309942,1.78e-08,206.6882836,1190.516321,16.43809524,-4967.277396,0.001179443,0.95645631,83.25,0.13975469,26.0,186,9.579210622,5.24525099
23800,267.0,161.2683831,3,9.227272727,0.0,22,-0.25,0.82273058,0.041743778,0.001662698,0.005847953,2.68e-08,259.0,741.4183455,19.525,-4884.582207,0.002309623,0.797173785,59.0,0.052380952,18.0,160,5.205761353,3.299369493
43680,452.25,159.2449226,4,12.72727273,0.3,32,-0.319088889,1.02861531,0.05117525,0.00244387,0.007309942,2.1e-08,274.1027417,1766.150587,24.94372294,-4910.486767,0.003058733,0.974791092,108.0,-0.01989122,35.1,186,10.47940333,5.849890874
24070,368.25,156.2317551,3,7.954545455,0.5,23,-0.418472222,0.927491714,0.04124229,0.001662698,0.005847953,1.52e-08,164.9763394,1000.238141,9.019642857,-4964.466002,0.005884183,0.764830881,84.75,-0.06984127,28.5,186,7.935260495,4.761498666
4020,84.0,189.9840863,2,4.056818182,0.0,12,-0.333333333,0.217565274,0.023216542,0.000881526,0.004385965,9.56e-08,86.0,167.6683267,8.733333333,-3406.228376,0.001461988,0.714562891,25.5,0.019047619,9.0,23,3.393647575,0.877899927
5120,94.0,204.4514793,3,4.295454545,0.0,13,-0.333333333,0.232398351,0.026096675,0.000881526,0.004385965,4.7e-07,96.0,222.1247063,9.4,-3239.790637,0.001461988,0.770311717,29.5,-0.047619048,10.0,24,3.455052951,0.959704147
1782,49.5,157.875577,2,1.909090909,0.0,8,-0.5,0.158232964,0.012315977,0.000100355,0.002923977,1.88e-06,49.0,65.50531125,3.333333333,-4133.51865,0.007112889,0.391155033,19.0,-0.2,6.0,19,2.424580047,0.694082936
6154,97.5,155.3204956,2,4.056818182,0.333333333,14,-0.444722222,0.290396896,0.02033914,0.000881526,0.004385965,9.11e-09,70.22006844,218.5817869,5.533333333,-4325.805852,0.001646007,0.583705241,30.5,-0.064285714,14.66666667,37,4.232389956,1.211017703
3516,70.5,136.9293248,2,1.909090909,1.0,11,-0.750625,0.256689031,0.013079952,0.000100355,0.002923977,3.37e-09,27.95883753,97.71878309,2.0,-4716.171003,0.007296908,0.342745621,24.5,-0.380952381,18.0,37,3.348634401,0.957036618
11397,155.0,147.9494887,3,9.147727273,0.2,19,-0.339444444,0.350173794,0.031647604,0.00244387,0.007309942,1.73e-08,101.5226134,384.5695647,15.43809524,-4205.000267,0.014360535,0.922020292,33.0,0.293650794,16.8,38,7.096798111,1.791366906
4035,83.5,168.332374,2,4.056818182,0.0,12,-0.333333333,0.27511923,0.02247759,0.000881526,0.004385965,1.7e-05,82.0,174.1171085,8.733333333,-3639.356374,0.001461988,0.623285186,25.0,0.019047619,9.0,39,3.394216621,1.039325843
3113,64.0,152.4230956,2,2.068181818,0.0,10,-0.5,0.234661709,0.0142365,0.000100355,0.002923977,4.15e-09,74.0,97.04490555,3.466666667,-4568.142879,0.002592169,0.382129302,24.5,-0.314285714,8.0,34,2.712052822,0.849607954
6960,113.5,177.4263385,3,4.295454545,0.0,13,-0.333333333,0.29354943,0.024063727,0.000881526,0.004385965,7e-05,107.0,272.281898,9.4,-3504.861032,0.007112889,0.656690574,32.5,-0.047619048,10.0,41,3.53529941,1.929997575
7875,122.0,182.508625,2,7.0,0.0,15,-0.25,0.312424218,0.032757407,0.001662698,0.005847953,4.33e-05,112.0,334.1055359,16.6,-3403.289514,0.001461988,0.898180541,32.0,0.202380952,11.0,40,4.358730176,1.471344273
1827,53.0,173.9873475,2,1.909090909,0.0,8,-0.5,0.158232964,0.015253995,0.000100355,0.002923977,1.95e-06,54.0,65.50531125,3.25,-3853.924569,0.001461988,0.432385878,19.0,-0.166666667,6.0,19,2.405878538,0.647320346
2730,67.5,183.9139805,2,2.068181818,0.0,9,-0.5,0.180260286,0.018722256,0.000100355,0.002923977,4.11e-07,71.0,80.66857774,3.3,-3736.759337,0.001461988,0.460058379,23.5,-0.214285714,7.0,22,2.473321025,0.690000808
6573,105.5,183.4444106,2,7.0,0.0,15,-0.25,0.308827096,0.028953205,0.001662698,0.005847953,2.33e-05,103.0,291.2714929,16.6,-3295.970821,0.001461988,0.908503804,29.5,0.202380952,11.0,39,4.320901465,1.264085361
2280,57.5,183.9812571,2,2.068181818,0.0,9,-0.5,0.191051653,0.016804539,0.000100355,0.002923977,1.98e-06,61.0,84.91429236,3.416666667,-3643.984737,0.001461988,0.4594025,22.0,-0.266666667,7.0,25,2.459988912,0.728235389
25536,364.75,184.6145034,3,5.011363636,0.333333333,21,-0.39951989,1.052501819,0.033291946,0.000881526,0.004385965,0.000532352,207.0775488,893.295078,6.695238095,-3486.416668,0.000145828,0.677506223,59.0,-0.277777778,24.0,227,6.711571415,4.096920217
85913,758.25,187.0745435,4,16.22727273,0.4,38,-0.329920775,1.265095789,0.061995024,0.003225041,0.00877193,0.002335173,380.7417861,3177.894661,18.64790765,-3262.327668,0.007411272,1.364997433,131.25,0.095260295,44.8,233,20.713643,8.73296419
238359,1314.0,209.5115873,5,37.22727273,0.277777778,57,-0.236183285,1.485773179,0.097465712,0.005568556,0.013157895,0.0066237,692.3231274,8131.67083,54.26209029,-3115.59454,0.009590905,2.275086801,201.0,0.273874165,61.33333333,235,38.48347707,12.91750869
3030,77.5,172.2041152,2,2.068181818,0.0,9,-0.5,0.241411365,0.019022604,0.000100355,0.002923977,2.48e-05,78.0,101.8971508,3.416666667,-3934.435982,0.001461988,0.423868325,24.0,-0.266666667,7.0,39,2.504376861,1.222819497
10320,183.5,190.4723945,2,2.863636364,0.0,14,-0.5,0.333562364,0.025925408,0.000100355,0.002923977,0.000107993,186.0,283.8563487,3.625,-3730.141507,0.001562897,0.466781857,43.5,-0.466666667,12.0,49,2.95612154,1.915568669
14516,232.0,186.7189658,2,5.011363636,0.0,16,-0.333333333,0.668983914,0.031075049,0.000881526,0.004385965,0.000231141,224.0,493.690073,9.444444444,-3601.3673,0.007213798,0.684104019,45.5,-0.084848485,13.0,136,4.154353584,3.232479185
126412,922.25,219.1564466,3,29.90909091,0.035714286,40,-0.133448287,1.269582087,0.110295904,0.004787384,0.011695906,0.002697084,586.6688942,4508.374657,87.64145299,-3006.547431,0.002255805,2.118559953,151.5,0.378253119,33.14285714,228,16.19145556,9.202772613
25200,377.75,174.9008258,3,4.772727273,0.333333333,21,-0.39951989,1.052501819,0.035510012,0.000881526,0.004385965,0.00055992,214.9593932,929.5097434,6.695238095,-3585.170067,0.000145828,0.639947693,56.5,-0.277777778,24.0,227,7.057215206,4.472354701
3052,74.5,149.6219037,2,3.340909091,0.333333333,11,-0.50617284,0.285466009,0.013770504,0.000881526,0.004385965,1.68e-07,43.70840995,130.2044058,5.0,-4445.989014,0.004287439,0.559660488,20.0,0.066666667,10.66666667,45,3.955846871,1.164335947
4608,87.0,159.9049256,3,3.579545455,0.666666667,13,-0.673611111,0.318729286,0.015776839,0.000881526,0.004385965,4.89e-07,41.07336952,168.2551443,3.866666667,-4369.997312,0.01407799,0.600780811,25.5,-0.047619048,16.66666667,48,4.569478529,1.312666721
4608,87.0,159.9049256,3,3.579545455,0.666666667,13,-0.673611111,0.318729286,0.015776839,0.000881526,0.004385965,4.89e-07,41.07336952,168.2551443,3.866666667,-4369.997312,0.01407799,0.600780811,25.5,-0.047619048,16.66666667,48,4.569478529,1.312666721
2720,63.0,155.5486624,2,2.068181818,0.0,9,-0.5,0.241411365,0.012769948,0.000100355,0.002923977,1.06e-07,64.0,89.16000698,3.416666667,-4400.783309,0.008525615,0.389305266,23.5,-0.266666667,7.0,39,2.573106188,0.920216636
12550,149.0,179.3549747,3,7.318181818,0.166666667,19,-0.347222222,0.389742139,0.028647569,0.001662698,0.005847953,3.55e-06,126.125777,519.3864842,15.24285714,-3757.009267,0.007112889,0.901693237,41.5,0.043650794,17.5,49,5.49253734,1.873211543
13050,159.5,175.0639643,3,7.636363636,0.166666667,19,-0.31265625,0.393339261,0.035222683,0.001662698,0.005847953,1.22e-06,135.437076,494.4948943,13.79761905,-3589.215081,0.000798372,0.878174238,43.0,0.055555556,17.5,50,5.426861622,1.867351063
8712,140.5,192.4392048,3,4.534090909,0.0,15,-0.333333333,0.308827096,0.03142726,0.000881526,0.004385965,1.58e-06,146.0,369.7301563,10.06666667,-3121.290695,0.002874714,0.730553308,37.5,-0.130952381,12.0,39,3.817151626,1.464109611
10811,149.5,194.3474878,3,4.772727273,0.0,16,-0.333333333,0.377617008,0.031743722,0.000881526,0.004385965,2.78e-06,166.0,456.4304448,10.33333333,-3211.821028,0.002592169,0.737153104,43.0,-0.166666667,13.0,55,4.11512447,1.639883599
21634,211.5,207.2358012,3,8.272727273,0.166666667,23,-0.300069444,0.463462938,0.044712504,0.001662698,0.005847953,3.86e-06,204.0020957,999.2943818,16.45714286,-2952.215108,0.000515827,1.05023624,56.5,-0.06984127,22.16666667,57,6.226456762,2.248969364
13775,144.75,202.841975,3,11.53409091,0.0,19,-0.2,0.314202571,0.041929885,0.00244387,0.007309942,7.56e-06,153.0,423.2837993,26.86666667,-2888.240274,0.001461988,1.272907432,41.0,0.319047619,14.0,28,5.34416066,1.38986339
26712,247.0,200.2084841,3,11.93181818,0.2,26,-0.289166667,0.500767925,0.051265653,0.00244387,0.007309942,1.81e-06,216.1449188,1273.857434,23.28571429,-2898.011516,0.005601638,1.2674533,57.0,0.104040404,25.2,58,7.938163798,2.66526554
23331,222.5,200.0064076,3,11.93181818,0.0,23,-0.2,0.452671571,0.04741756,0.00244387,0.007309942,2.7e-05,218.0,956.2775196,35.24761905,-3010.919677,0.004852529,1.258513632,55.0,0.18015873,18.0,54,6.317129026,2.303370787
33024,268.5,215.4425948,3,17.18181818,0.133333333,28,-0.232970679,0.523239835,0.058438924,0.003225041,0.00877193,1.55e-06,238.9223161,1551.082176,36.56547619,-2673.938217,0.005601638,1.632963653,62.0,0.248484848,24.93333333,58,8.816675309,2.691294156
1152,41.0,175.218411,1,0.636363636,0.0,6,-1.0,0.08180422,0.011665704,0.000680817,0.001461988,2.48e-07,48.0,20.23336926,1.0,-4423.850345,0.001461988,0.219491174,8.25,-0.666666667,5.0,4,1.762748758,0.39600679
2330,56.0,187.343722,2,2.068181818,0.0,9,-0.5,0.122706329,0.01651401,0.000100355,0.002923977,1.02e-05,62.0,67.93143389,3.3,-3733.51996,0.001461988,0.467233141,21.5,-0.214285714,7.0,6,2.462256512,0.533546197
4848,80.5,194.3026117,2,4.534090909,0.0,13,-0.333333333,0.210815617,0.02381437,0.000881526,0.004385965,1.56e-05,87.0,164.8022014,9.0,-3340.734423,0.001461988,0.730367921,29.0,-0.016666667,10.0,18,3.326395747,0.853164659
9386,137.0,192.8009975,2,4.534090909,0.333333333,16,-0.422345679,0.384811252,0.028420557,0.000881526,0.004385965,2.86e-07,113.9284784,409.0366208,5.761904762,-3189.990679,0.001928552,0.731634858,38.0,-0.127777778,17.33333333,57,4.436576681,1.505456309
1800,60.0,187.8918174,2,1.75,0.0,7,-0.5,0.096637297,0.013345225,0.000100355,0.002923977,4.37e-08,58.0,60.65306597,3.166666667,-3683.312248,0.007112889,0.474187496,18.0,-0.1,5.0,5,2.381973962,0.607752001
18840,178.0,185.806785,2,11.53409091,0.0,20,-0.2,0.415366583,0.042783686,0.00244387,0.007309942,9.37e-07,191.0,710.6582937,27.4,-3304.436595,0.003157259,1.172495532,47.5,0.304761905,15.0,53,5.817370649,1.878546601
10120,129.5,190.5092296,2,7.636363636,0.0,16,-0.25,0.258911972,0.032341044,0.001662698,0.005847953,1.99e-07,137.0,401.8612041,16.375,-3363.501789,0.002027078,0.958373666,37.5,0.2,12.0,22,4.389172577,1.211421874
7072,102.0,195.6532254,2,4.772727273,0.0,14,-0.333333333,0.204065961,0.025117448,0.000881526,0.004385965,1.25e-07,116.0,275.8645546,9.19047619,-3224.343755,0.002027078,0.740366489,35.0,-0.044444444,11.0,13,3.493116008,1.001495433
11020,141.5,216.9488741,3,5.25,0.0,16,-0.333333333,0.356034274,0.031806269,0.000881526,0.004385965,6.51e-07,165.0,409.8559096,10.25714286,-2916.508757,0.002027078,0.822827023,44.5,-0.158730159,13.0,49,3.638760669,1.662840514
2620,70.0,201.6716521,2,2.068181818,0.0,9,-0.5,0.126303452,0.017210179,0.000100355,0.002923977,9.55e-08,83.0,67.93143389,3.3,-3483.808294,0.001461988,0.510150759,22.0,-0.214285714,7.0,7,2.466463367,0.609530353
23520,210.0,187.9078128,4,12.32954545,0.1,25,-0.245,0.464352114,0.047844249,0.00244387,0.007309942,4.61e-06,203.5884191,873.4982647,28.77142857,-3235.573698,0.002211097,1.181642059,55.0,0.13015873,22.0,51,6.870705171,2.248524776
3465,75.5,190.3881201,2,2.227272727,0.0,10,-0.5,0.155525018,0.018837488,0.000100355,0.002923977,6.59e-05,82.0,111.6016414,3.466666667,-3577.659779,0.001461988,0.47538562,26.5,-0.314285714,8.0,12,2.540694617,0.756527362
4296,85.0,173.2091015,2,2.386363636,0.0,11,-0.5,0.191940829,0.021909928,0.000100355,0.002923977,7.62e-08,92.0,141.9281744,3.55,-3825.832715,0.001461988,0.436948586,29.5,-0.380952381,9.0,19,2.630192171,0.866219384
1791,53.0,171.6468307,2,1.909090909,0.0,8,-0.5,0.111470374,0.01509253,0.000100355,0.002923977,1.92e-08,54.0,61.86612729,3.25,-4048.437182,0.001461988,0.43118275,18.5,-0.166666667,6.0,6,2.402968356,0.467019643
2043,62.5,171.9554466,2,1.909090909,0.0,8,-0.5,0.125858863,0.016719839,0.000100355,0.002923977,5.6e-08,61.0,69.14449521,3.25,-4068.540364,0.001461988,0.431816847,19.5,-0.166666667,6.0,10,2.412319737,0.529059898
4140,87.0,171.1455761,2,2.227272727,0.0,11,-0.5,0.22431493,0.020015956,0.000100355,0.002923977,1.21e-07,98.0,141.9281744,3.55,-3867.565202,0.002874714,0.431120689,28.0,-0.380952381,9.0,28,2.773897465,1.018187697
1290,47.5,161.9435435,1,0.636363636,0.0,6,-1.0,0.08180422,0.011665704,0.000680817,0.001461988,3.07e-08,53.0,25.75156088,1.0,-4706.147173,0.001461988,0.203722876,8.5,-0.666666667,5.0,4,1.773089962,0.497170803
1256,46.0,173.1300308,2,1.75,0.0,7,-0.5,0.096637297,0.01369921,0.000100355,0.002923977,2.8e-08,42.0,45.48979948,3.166666667,-4071.650665,0.001461988,0.432970376,15.5,-0.1,5.0,5,2.34340692,0.436464312
3100,74.5,169.6994079,2,2.068181818,0.0,9,-0.5,0.144289063,0.017719616,0.000100355,0.002923977,2.8e-07,78.0,101.8971508,3.3,-4033.809405,0.002027078,0.426482027,25.0,-0.214285714,7.0,12,2.515912173,0.73450004
4530,83.0,189.5094096,2,4.295454545,0.0,12,-0.333333333,0.228356641,0.021224717,0.000881526,0.004385965,2.41e-07,89.0,167.6683267,8.733333333,-3446.538966,0.002874714,0.710925567,27.5,0.019047619,9.0,26,3.297513021,0.931856762
11496,153.5,184.0801084,3,7.318181818,0.166666667,18,-0.31265625,0.378506184,0.036322717,0.001662698,0.005847953,8.08e-07,130.3581856,430.1227779,12.89761905,-3386.874921,0.002211097,0.921740715,39.5,0.091269841,16.33333333,49,5.26408624,1.688869129
4635,92.5,201.7885166,2,4.295454545,0.0,12,-0.333333333,0.228356641,0.025461837,0.000881526,0.004385965,9.01e-07,93.0,174.1171085,8.733333333,-3193.007201,0.001461988,0.757436897,28.0,0.019047619,9.0,26,3.269130487,0.946689839
12328,163.5,222.3537585,3,7.954545455,0.0,17,-0.25,0.298924905,0.041463395,0.001662698,0.005847953,3.18e-06,165.0,428.3404307,18.85,-2721.141718,0.001461988,1.113284059,43.0,0.119047619,13.0,30,4.352583786,1.603912376
3157,67.5,186.9858495,2,2.227272727,0.0,10,-0.5,0.144733651,0.017769186,0.000100355,0.002923977,1.24e-08,74.0,106.7493961,3.5,-3520.243344,0.002874714,0.474430467,26.0,-0.333333333,8.0,9,2.542956535,0.705723062
5140,84.5,182.4628908,2,7.0,0.0,14,-0.25,0.182483227,0.026667042,0.001662698,0.005847953,8.62e-09,79.0,210.2762114,15.25,-3333.443775,0.001461988,0.919423461,26.5,0.25,10.0,7,4.120924112,0.725002021
12120,155.5,210.1088969,3,7.636363636,0.166666667,18,-0.31265625,0.378506184,0.035662656,0.001662698,0.005847953,1.45e-07,137.9765212,403.7887303,12.89761905,-2814.84839,0.001646007,1.068217398,41.0,0.091269841,16.33333333,49,5.088363401,1.878627435
1980,49.0,180.9245684,2,2.068181818,0.0,9,-0.5,0.129900574,0.015253995,0.000100355,0.002923977,1.26e-08,55.0,72.17714851,3.416666667,-3714.428301,0.001461988,0.455694102,20.5,-0.266666667,7.0,8,2.451471141,0.460714574
3708,59.0,174.043469,2,6.363636364,0.0,12,-0.25,0.156414194,0.023247768,0.001662698,0.005847953,1.26e-09,63.0,116.8201175,10.75,-3875.364464,0.001461988,0.878725506,20.5,0.383333333,8.0,6,4.004883453,0.591948913
1476,41.0,165.1561338,2,1.909090909,0.0,8,-0.5,0.111470374,0.013626686,0.000100355,0.002923977,1.06e-09,42.0,54.58775937,3.25,-3991.27932,0.001461988,0.416023855,17.5,-0.166666667,6.0,6,2.396629786,0.390590898
23529,216.25,226.8485592,3,11.53409091,0.2,23,-0.307244898,0.60734783,0.045294719,0.00244387,0.007309942,7.91e-07,203.0452268,683.9875312,13.57142857,-2666.369028,0.01193872,1.444245298,51.5,0.23015873,21.6,97,7.076828758,2.798884488
14800,172.0,219.2597436,3,7.954545455,0.166666667,19,-0.31265625,0.440101851,0.037831495,0.001662698,0.005847953,1.46e-07,156.5991191,494.4948943,13.79761905,-2723.630934,0.001646007,1.114920942,46.0,0.055555556,17.5,63,5.177415017,2.11599709
5760,99.0,190.3719761,3,4.534090909,0.0,13,-0.333333333,0.307937919,0.025043124,0.000881526,0.004385965,1.86e-08,104.0,222.1247063,9.4,-3203.910856,0.002874714,0.726081041,32.0,-0.047619048,10.0,45,3.410846086,1.283889742
3367,84.0,193.4510999,2,3.818181818,0.0,10,-0.333333333,0.148330774,0.02310873,0.000881526,0.004385965,1.12e-07,75.0,130.4086985,7.666666667,-3364.574516,0.001461988,0.72905894,22.5,0.133333333,7.0,10,3.176622904,0.760124485
1845,57.5,181.3100809,2,1.909090909,0.0,8,-0.5,0.125858863,0.015992946,0.000100355,0.002923977,2.43e-08,57.0,65.50531125,3.333333333,-3723.90079,0.001461988,0.455805366,19.0,-0.2,6.0,10,2.423638053,0.478255598
535,20.5,154.1074773,1,0.556818182,0.0,5,-1.0,0.066971142,0.007259188,0.000680817,0.001461988,6.79e-11,25.0,8.829106588,1.0,-5123.17965,0.001461988,0.194038208,5.75,-0.6,4.0,3,1.697386265,0.223385337
535,20.5,154.1074773,1,0.556818182,0.0,5,-1.0,0.066971142,0.007259188,0.000680817,0.001461988,6.79e-11,25.0,8.829106588,1.0,-5123.17965,0.001461988,0.194038208,5.75,-0.6,4.0,3,1.697386265,0.223385337
2190,55.5,171.7613857,2,2.068181818,0.0,9,-0.5,0.119109207,0.016037568,0.000100355,0.002923977,6.28e-10,58.0,67.93143389,3.416666667,-3855.80529,0.001461988,0.434817608,21.0,-0.266666667,7.0,5,2.454568274,0.59784981
1080,38.5,169.1781545,2,1.75,0.0,7,-0.5,0.096637297,0.012148666,0.000100355,0.002923977,2.45e-09,38.0,39.42449288,3.166666667,-4022.957648,0.001461988,0.42562259,14.5,-0.1,5.0,5,2.339122974,0.356438445
7216,119.0,181.4688534,2,4.534090909,0.0,13,-0.333333333,0.322326409,0.027403186,0.000881526,0.004385965,4.34e-09,121.0,265.1165849,9.0,-3254.603127,0.002027078,0.691010203,35.0,-0.016666667,10.0,49,3.436609527,1.549147199
1506,51.5,193.0601566,1,0.636363636,0.0,6,-1.0,0.08180422,0.010003201,0.000680817,0.001461988,2.84e-08,63.0,27.59095809,1.0,-4282.294221,0.002592169,0.244638501,9.25,-0.666666667,5.0,4,1.819460193,0.689152049
