Improved Gravity Index Values,CLC Values,DIL Centrality,PE Values,Laplacian Centrality,I-GSM Values,Local Gravity Model Centrality,EIGSM Values,Constraint Coefficients,Clustering Coefficient,Leverage Centrality,Volume Centrality,Centrality Values,Betweenness Centrality,Gravity Index Centrality,Eccentricity Centrality,MDD Value,Degree Centrality,Closeness Centrality,Local-Global Centrality,P Value,PageRank Centrality,HVGc Index,Density Centrality,Coreness Centrality
75.75,175.0,10.92380952,0.303017362,42,31.28368137,45,105.2586698,-0.333333333,0.0,-0.242063492,56,28.55,0.04929878,49.5,0.083333333,3.0,0.073170732,0.004464286,1.975179884,24,0.018325882,558.8944222,5.25,9
54.75,67.25764259,4.333333333,0.234801206,40,24.00440723,42,91.00542345,-0.565,0.666666667,-0.214285714,31,23.34,0.000304878,36.0,0.071428571,3.0,0.073170732,0.003484321,1.58652269,26,0.018434666,437.637313,3.818181818,9
67.5,135.5697344,12.80952381,0.350451373,66,29.43613731,90,138.1216745,-0.358888889,0.3,0.166666667,36,36.36,0.00847561,54.0,0.071428571,3.5,0.12195122,0.003558719,2.925643193,27,0.029047228,1005.770812,9.545454545,15
57.75,133.0,10.06666667,0.291029072,36,28.13266043,36,98.67249929,-0.333333333,0.0,-0.130952381,41,25.68,0.077978052,42.75,0.111111111,3.0,0.073170732,0.005649718,2.026514148,17,0.019069071,429.9187863,4.534090909,9
45.0,65.20434926,6.066666667,0.207835359,34,19.20901857,33,66.76813277,-0.458333333,0.333333333,-0.095238095,27,18.18,0.001626016,36.0,0.071428571,3.0,0.073170732,0.00308642,1.405571079,1,0.020062429,285.1838346,3.818181818,9
45.0,63.77128664,6.0,0.196295992,34,19.20901857,33,66.93795019,-0.468641975,0.333333333,-0.083333333,27,18.07,0.001219512,36.0,0.071428571,3.0,0.073170732,0.00308642,1.404620932,1,0.020161307,282.2590776,3.818181818,9
88.5,229.8287042,30.41269841,0.460507399,72,39.08337892,105,165.7309874,-0.248711111,0.1,0.104040404,55,40.51,0.269257609,65.25,0.1,3.8,0.12195122,0.005524862,3.757831188,20,0.029014735,1310.072766,11.53409091,15
69.75,139.6694846,15.14761905,0.375486504,52,29.87880802,64,123.1507234,-0.31265625,0.166666667,0.007936508,45,35.05,0.061422764,51.75,0.076923077,3.7,0.097560976,0.003984064,2.482647849,25,0.023731213,795.8734394,7.318181818,12
81.75,181.1470891,16.44285714,0.371978703,56,34.2373104,72,133.946751,-0.321180556,0.166666667,-0.042063492,55,36.14,0.053770325,56.25,0.083333333,3.7,0.097560976,0.004484305,2.710732086,24,0.023527919,861.6472329,7.954545455,12
93.75,213.6887266,27.58730159,0.570510297,88,40.1368382,138,194.5737209,-0.272445988,0.2,0.226262626,56,55.27,0.19203252,72.0,0.083333333,4.2,0.146341463,0.004545455,4.334625256,25,0.033831116,1346.357741,15.27272727,18
75.75,117.666948,8.142857143,0.330571268,58,32.04045774,76,126.9530746,-0.464236111,0.5,-0.06984127,44,33.01,0.035345528,51.75,0.076923077,3.7,0.097560976,0.003968254,2.495297515,26,0.023404325,824.1144144,7.318181818,12
78.75,173.5287536,16.44285714,0.409164601,56,34.94849833,72,143.4139696,-0.321180556,0.166666667,-0.042063492,51,39.66,0.231585366,54.0,0.090909091,3.7,0.097560976,0.005,2.820358963,22,0.023516146,913.8682774,7.636363636,12
80.25,186.2259795,16.63928571,0.359960605,56,35.50567122,72,137.598327,-0.326111111,0.166666667,-0.042063492,53,32.78,0.181738326,56.25,0.1,3.7,0.097560976,0.005464481,2.898143487,20,0.023611957,883.3913894,7.954545455,12
59.25,149.0,21.1,0.384161425,50,27.76243467,60,114.8535769,-0.25,0.0,0.035714286,34,28.52,0.033150407,47.25,0.111111111,3.1,0.097560976,0.005025126,2.528964014,9,0.024761595,700.9207048,6.681818182,12
56.25,133.0,10.46666667,0.294256687,38,26.17497266,39,90.54147589,-0.333333333,0.0,-0.178571429,36,21.8,0.025134236,40.5,0.125,3.0,0.073170732,0.005208333,1.873843663,10,0.019153747,419.1708167,4.295454545,9
60.0,101.0309148,10.51666667,0.361233086,50,27.33444016,60,109.5766695,-0.3984375,0.333333333,0.035714286,35,30.36,0.157621951,47.25,0.090909091,3.7,0.097560976,0.004329004,2.430762704,6,0.024902713,614.3019394,6.681818182,12
59.25,107.5031791,15.13333333,0.317359588,50,24.86246789,60,98.97224062,-0.333767361,0.166666667,0.035714286,34,28.14,0.066158537,47.25,0.076923077,3.4,0.097560976,0.003460208,2.154685757,4,0.02520302,644.5983452,6.681818182,12
53.25,89.56641382,8.647619048,0.279499673,50,22.69664631,60,91.80041808,-0.409878472,0.333333333,0.043650794,26,25.23,0.002845528,42.75,0.071428571,3.4,0.097560976,0.003095975,1.96191499,3,0.025516893,557.5339619,6.045454545,12
64.5,85.74065888,4.066666667,0.323483599,40,28.68808124,42,109.3226469,-0.552469136,0.666666667,-0.206349206,44,30.78,0.00101626,42.75,0.083333333,3.0,0.073170732,0.004405286,1.891739176,23,0.0183606,427.0410342,4.534090909,9
57.0,106.046634,6.295238095,0.307906757,38,27.15170259,39,102.1706665,-0.43595679,0.333333333,-0.158730159,37,25.77,0.002845528,40.5,0.111111111,3.0,0.073170732,0.005319149,1.926863771,16,0.019022887,386.6941088,4.295454545,9
54.0,116.0,10.2,0.276435664,36,25.17565359,36,85.41112556,-0.333333333,0.0,-0.142857143,36,21.27,0.183231707,40.5,0.1,3.0,0.073170732,0.004761905,1.832303403,7,0.019465373,386.9269077,4.295454545,9
61.5,150.0,20.2,0.373092724,48,28.68975596,56,119.7078321,-0.25,0.0,0.071428571,40,30.88,0.068710206,49.5,0.125,3.4,0.097560976,0.005405405,2.638950246,13,0.024659913,665.0958687,7.0,12
64.5,113.2119471,6.695238095,0.301667332,40,29.210282,42,101.4445212,-0.43595679,0.333333333,-0.206349206,44,24.81,0.034639656,45.0,0.111111111,3.0,0.073170732,0.005405405,1.995962392,15,0.01888613,425.4928488,4.772727273,9
67.5,149.8272653,16.04761905,0.402898059,54,30.60191885,68,124.1541798,-0.31265625,0.166666667,-0.027777778,39,31.32,0.038117797,49.5,0.125,3.4,0.097560976,0.005291005,2.636064897,12,0.024282864,771.0023944,7.0,12
54.75,68.79789395,4.333333333,0.245980834,40,24.00440723,42,94.85228689,-0.565,0.666666667,-0.214285714,31,24.99,0.000304878,36.0,0.071428571,3.0,0.073170732,0.003484321,1.58652269,26,0.018378091,453.5513971,3.818181818,9
62.25,149.0,20.84285714,0.380036092,50,29.0383427,60,112.2030271,-0.25,0.0,0.043650794,38,27.59,0.205792683,49.5,0.111111111,3.4,0.097560976,0.005235602,2.626013756,8,0.024944109,642.510646,7.0,12
