CLC Values,Local Gravity Model Centrality,Constraint Coefficients,Closeness Centrality,Centrality Values,Laplacian Centrality,I-GSM Values,Eigenvector Centrality,Local-Global Centrality,Subgraph centrality,Global Relative Change in Avg Clustering,Improved Gravity Index Values,Gravity Model Centrality,Clustering Coefficient,HVGc Index,Volume Centrality,EHCC Value,HCC Value,MDD Value,Global Relative Change in Avg Degree,GGC Values,Degree Centrality,Density Centrality,MCGM Values,Betweenness Centrality
185.230383,84,-0.211419753,0.000265322,46.78,70,51.7191209,0.097755247,1.618098561,7.202375154,0.052740666,40.5,306.5685169,0.066666667,631.3587018,39,7.014396456,1.322259136,4.5,0.008231279,91.29535551,0.012170385,14.31818182,5.748283449,0.017066849
64.0,6,-1.0,0.000234687,8.764285714,14,33.51321508,0.024666461,0.225445638,1.846758774,0.003639252,9.25,33.44544318,0.0,26.48731976,19,1.758859358,0.436600221,1.0,0.000318451,7.881467534,0.002028398,0.715909091,0.557645344,0.0
59.59646947,24,-0.680555556,0.00026295,26.1,30,48.97450513,0.072846708,0.523207363,3.429394162,0.052740666,36.5,97.55325722,1.0,212.660959,37,4.189091916,1.182724252,2.0,0.001391495,4.42993444,0.004056795,2.545454545,2.511756782,0.0
98.0,18,-0.5,0.000245098,13.72571429,24,40.54721782,0.040172379,0.48372734,2.606954083,0.003639252,26.5,80.7667818,0.0,103.7167428,26,3.274916944,0.98200443,2.0,0.001391495,23.76293507,0.004056795,2.386363636,1.625017346,0.004776904
360.1701892,162,-0.211419753,0.000300481,71.58428571,96,78.68444684,0.190940979,1.905271838,8.462711824,0.048598468,84.0,466.4072737,0.066666667,1731.379824,87,10.18078627,1.684108527,4.5,0.008231279,192.8835673,0.012170385,20.04545455,13.23094542,0.266899641
102.0,18,-0.5,0.000247709,15.14857143,24,41.07946348,0.034117984,0.487896029,2.638315061,0.003639252,27.5,81.82697214,0.0,114.6342947,28,3.273809524,0.970099668,2.0,0.001391495,24.76293507,0.004056795,2.386363636,1.550822622,0.000806098
18.0,8,-0.5,0.000170765,6.3,14,16.5664829,0.000132851,0.318188052,2.281242731,0.002028398,5.25,32.99909542,0.0,21.83510375,9,0.799003322,0.258582503,2.0,0.001391495,10.5,0.004056795,1.590909091,0.288133613,0.016128234
21.0,8,-0.5,0.00018615,7.0,14,19.50511834,0.000490351,0.349616102,2.282985772,0.002028398,5.5,38.85261979,0.0,24.26122639,10,0.869878184,0.270487265,2.0,0.001391495,11.0,0.004056795,1.590909091,0.30967855,0.020119065
20.0,10,-0.5,0.000157679,5.6,16,15.1488211,3.62e-05,0.292888852,2.33031449,0.002028398,6.0,30.17522765,0.0,24.26122639,9,0.78654485,0.269933555,2.0,0.001391495,12.0,0.004056795,1.75,0.32438235,0.012120912
36.0,12,-0.5,0.000204499,8.4,18,25.33477244,0.001810484,0.390466068,2.391224026,0.002028398,8.0,50.46481973,0.0,43.6702075,14,1.057032115,0.340808416,2.0,0.001391495,16.0,0.004056795,1.909090909,0.480415838,0.024093405
16.0,12,-0.333333333,0.000146413,7.7,20,12.2667204,1.05e-05,0.405230588,2.968533755,0.002028398,4.5,36.57735565,0.0,31.52737767,6,0.880675526,0.258028793,2.1,0.003101441,13.5,0.006085193,3.102272727,0.382820706,0.008105345
87.0,21,-0.333333333,0.000245459,24.93714286,26,41.29070675,0.06145031,0.73841119,3.201592847,0.002028398,26.5,123.12214,0.0,170.5344519,32,4.162236988,0.970653378,2.4,0.003101441,37.82782727,0.006085193,3.818181818,2.442395026,0.004862245
174.0,20,-0.5,0.000273,29.97571429,26,52.83470672,0.111544244,0.548764722,2.926656736,0.011693526,38.5,105.2424669,0.0,254.7428771,47,4.449335548,1.195736434,2.0,0.001391495,31.62463421,0.004056795,2.386363636,3.480670225,0.001465055
252.0,95,-0.2,0.000285307,46.58428571,68,64.99378561,0.076818811,1.478623018,5.800653663,0.006860962,61.0,321.6963584,0.0,890.7790593,65,6.472591362,1.450996678,3.8,0.006521333,135.903198,0.010141988,13.52272727,6.309406196,0.256190119
451.0040596,217,-0.159757653,0.000303398,79.88285714,118,84.7280472,0.307974876,2.28971352,10.27568003,0.007866853,93.0,584.751395,0.047619048,2081.439502,93,10.4521041,1.871816168,5.2,0.009941225,266.0381933,0.014198783,27.28409091,21.20789333,0.258283834
255.1641519,110,-0.236944444,0.000286615,48.75571429,74,67.91617968,0.089767608,1.493007199,6.721322882,0.012469296,65.0,336.1611802,0.1,1073.087766,64,7.049280177,1.473145072,4.1,0.006521333,117.9225591,0.010141988,13.92045455,6.830937601,0.167667175
116.0,27,-0.333333333,0.000261438,28.04857143,30,47.39826339,0.037457441,0.788462906,3.326488091,0.002028398,32.5,141.3338758,0.0,232.1561446,38,4.372093023,0.98145072,2.4,0.003101441,46.46987152,0.006085193,4.295454545,2.249669436,0.042782495
22.0,3,-1.0,0.000190223,4.214285714,8,20.90205557,0.000262527,0.182462655,1.643270428,0.002028398,4.25,20.85978652,0.0,5.518191618,8,0.528516058,0.176356589,1.0,0.000318451,4.25,0.002028398,0.477272727,0.149691455,0.0
53.0,18,-0.333333333,0.000209864,15.56428571,24,30.30823928,0.001040434,0.632400907,3.093955065,0.002028398,9.25,90.3742167,0.0,78.81844416,19,1.824750831,0.352159468,2.4,0.003101441,27.27307133,0.006085193,3.579545455,0.728447356,0.024134633
143.0,39,-0.333333333,0.000233372,25.40857143,38,45.99093699,0.003577558,0.734421078,3.570925627,0.002948886,41.0,137.1374585,0.0,353.9664674,43,3.736157254,1.003045404,2.7,0.003101441,57.64706775,0.006085193,5.25,1.901531293,0.111736699
35.0,12,-0.5,0.000190512,7.714285714,18,24.0070624,0.000283299,0.372754429,2.386294343,0.002028398,7.75,47.82012859,0.0,32.75265562,13,0.926633444,0.293189369,2.0,0.001391495,15.5,0.004056795,1.909090909,0.410001563,0.016128234
31.0,10,-0.5,0.000204082,7.0,16,23.77902515,0.001801451,0.385852414,2.340409578,0.002028398,6.5,47.36589683,0.0,30.32653299,11,0.84496124,0.317552602,1.7,0.001391495,13.0,0.004056795,1.75,0.414644116,0.004056795
61.0,32,-0.25,0.000226757,18.25,36,32.84787534,0.00668484,0.888674597,3.996317611,0.002028398,21.0,130.3318983,0.0,161.9905629,18,1.938815061,0.445736434,2.8,0.004811387,42.0,0.00811359,6.363636364,1.444580544,0.06201853
10.0,2,-1.0,0.00018546,3.5,6,16.79246507,0.000454551,0.170019805,1.593896039,0.002028398,3.0,16.75850661,0.0,3.678794412,6,0.399224806,0.081672204,1.0,0.000318451,3.0,0.002028398,0.397727273,0.113599395,0.0
37.0,12,-0.5,0.00020496,8.4,18,25.50439159,0.001810536,0.391841243,2.391251739,0.002028398,16.0,50.80268738,0.0,43.6702075,14,1.104651163,0.352713178,2.0,0.001391495,16.0,0.004056795,1.909090909,0.688307564,0.023008982
91.0,18,-0.5,0.000252653,19.64428571,24,43.06106714,0.021070321,0.50056717,2.583870248,0.002028398,29.5,85.77416654,0.0,136.4693984,32,2.378737542,0.48200443,2.0,0.001391495,28.67234684,0.004056795,2.386363636,1.392301054,0.064739552
54.17483039,36,-0.355625,0.0001657,17.99,38,22.01553508,0.001575589,0.661034947,4.66063598,0.059184085,20.5,87.35196563,0.166666667,132.4389805,14,2.305647841,0.576135105,3.1,0.004811387,21.82360717,0.00811359,6.045454545,1.319684747,0.008105345
24.0,4,-1.0,0.00015321,5.23,10,15.75189005,0.000397668,0.146589723,1.721384093,0.010082672,6.0,15.72003589,0.0,10.30062435,12,0.84717608,0.271040975,1.0,0.000318451,4.207206325,0.002028398,0.556818182,0.231090937,0.0
24.0,4,-1.0,0.00015321,5.23,10,15.75189005,0.000397668,0.146589723,1.721384093,0.010082672,6.0,15.72003589,0.0,10.30062435,12,0.84717608,0.271040975,1.0,0.000318451,4.207206325,0.002028398,0.556818182,0.231090937,0.0
72.38699344,55,-0.2725,0.000180245,25.37,52,27.38400494,0.004032024,0.923065474,5.722512106,0.059184085,25.5,135.5411842,0.1,274.1304345,18,2.999723145,0.657807309,3.5,0.006521333,40.47311889,0.010141988,9.545454545,2.085945864,0.022180445
21.33700759,18,-0.750625,0.000165645,11.88,24,22.42861194,0.001415305,0.327745962,3.108380048,0.059184085,21.5,44.67598281,1.0,72.22692663,16,1.763565891,0.529623477,2.0,0.001391495,2.357480818,0.004056795,2.068181818,0.83131391,0.0
63.0,16,-0.5,0.000197161,13.09285714,22,30.66027861,0.010248719,0.403156725,2.538634494,0.005250107,24.0,61.07279772,0.0,87.340415,24,1.776578073,0.506367663,2.0,0.001391495,20.38122539,0.004056795,2.227272727,1.054110897,0.025928033
34.0,5,-1.0,0.000165563,6.65,12,19.34934272,0.001017637,0.161260205,1.779489657,0.005250107,7.5,19.31021363,0.0,18.39397206,15,0.964008859,0.30620155,1.0,0.000318451,5.877852718,0.002028398,0.636363636,0.291510389,0.0
45.0,14,-0.5,0.000165728,9.48,20,21.44184724,0.001718354,0.328520405,2.478038899,0.005250107,19.5,42.71042726,0.0,59.44000465,18,1.387596899,0.42358804,2.0,0.001391495,16.25570544,0.004056795,2.068181818,0.811834149,0.000144297
39.0,5,-1.0,0.000196386,7.7,12,24.6809865,0.001126695,0.191120033,1.756883585,0.002028398,7.5,24.63107552,0.0,18.39397206,15,0.916389812,0.30620155,1.0,0.000318451,7.5,0.002028398,0.636363636,0.292327703,0.0
98.0,55,-0.2,0.000217391,27.3,52,36.15109809,0.004464967,1.116923147,5.114283581,0.002028398,29.0,178.9352089,0.0,311.1176862,25,2.868217054,0.610188261,3.5,0.006521333,72.5,0.010141988,10.34090909,2.358847607,0.030597884
52.0,14,-0.5,0.000197239,10.5,20,27.31356758,0.001226151,0.391772225,2.454446258,0.002028398,19.5,54.40641976,0.0,59.44000465,18,1.339977852,0.42358804,2.0,0.001391495,19.5,0.004056795,2.068181818,0.805590808,0.007622496
64.0,16,-0.5,0.00019755,13.3,22,29.29475832,0.002024591,0.396860852,2.516022405,0.002028398,23.5,58.35279164,0.0,82.48816972,23,1.562846069,0.458748616,2.0,0.001391495,23.5,0.004056795,2.227272727,0.928103742,0.001275758
59.0,24,-0.333333333,0.000196696,13.3,28,27.48134947,0.001323987,0.586438949,3.20617617,0.002028398,21.0,81.94489324,0.0,90.28294513,18,1.586101883,0.470099668,2.4,0.003101441,31.5,0.006085193,4.056818182,1.115263134,0.008634076
112.0,33,-0.333333333,0.000241313,23.86428571,34,44.83890031,0.011992739,0.749593595,3.396617222,0.002028398,34.5,133.7022734,0.0,260.1008657,36,2.47923588,0.599390919,2.7,0.003101441,51.75,0.006085193,4.772727273,1.880264842,0.084317157
125.0,20,-0.5,0.000250313,21.50428571,26,46.31635497,0.037510702,0.508594569,2.692750589,0.002948886,34.0,92.25843687,0.0,157.6979715,38,3.374861573,0.969545958,2.0,0.001391495,31.2965881,0.004056795,2.545454545,1.847825114,0.040562022
287.9560804,161,-0.179846939,0.00026062,63.60571429,102,63.52077164,0.111200922,1.974497731,9.058848132,0.056652742,64.5,438.3891882,0.047619048,1235.553744,60,8.324473976,1.423864895,4.9,0.009941225,184.0247282,0.014198783,23.38636364,9.19809504,0.081530232
247.1726637,76,-0.347257653,0.000264901,50.34428571,58,63.3914142,0.172595768,1.134347933,5.76746892,0.046987613,61.5,251.5207836,0.166666667,840.881657,66,7.027685493,1.296788483,3.7,0.004811387,73.49999922,0.00811359,8.909090909,8.215559872,0.032898392
116.0,30,-0.333333333,0.000240616,22.17857143,32,43.13175422,0.034393991,0.736005309,3.396312041,0.002948886,32.0,128.6118427,0.0,174.1171085,34,2.790420819,0.814230343,2.4,0.003101441,43.94488216,0.006085193,4.534090909,2.117311097,0.012508227
95.0,16,-0.5,0.000231107,16.53428571,22,38.29555187,0.029967159,0.464921773,2.580855739,0.002948886,13.25,76.28164516,0.0,92.19266028,29,2.25,0.744462901,1.7,0.001391495,23.7965881,0.004056795,2.227272727,1.095986294,0.004056795
57.38919282,22,-0.717155612,0.000244021,27.04,28,46.43706933,0.071610521,0.501093346,3.349386632,0.056652742,35.5,92.49889012,1.0,182.5638884,38,3.749169435,1.028516058,2.0,0.001391495,4.197968299,0.004056795,2.386363636,2.435379817,0.0
178.0,75,-0.2,0.000240154,34.82142857,60,48.06624748,0.048546717,1.253450695,5.483202103,0.002948886,43.0,237.9110038,0.0,478.9574906,41,4.238095238,0.977021041,3.8,0.006521333,100.7414703,0.010141988,11.93181818,3.986894209,0.020944167
230.0,95,-0.2,0.000247893,44.76714286,68,56.60173842,0.046072427,1.327629218,5.783844934,0.002948886,58.0,280.1586791,0.0,902.2412899,59,5.333056478,1.070044297,3.8,0.006521333,137.1085375,0.010141988,13.52272727,5.187069389,0.076359315
68.0,16,-0.5,0.000209249,14.0,22,32.27877781,0.00315008,0.422167411,2.51431212,0.002028398,24.0,64.29671737,0.0,82.48816972,24,1.598006645,0.470653378,2.0,0.001391495,24.0,0.004056795,2.227272727,0.968328126,0.018428741
56.0,18,-0.333333333,0.000198965,16.8,24,28.69230673,0.001304218,0.605583933,3.096654783,0.002028398,19.5,85.5557699,0.0,85.98375727,21,1.728405316,0.435492802,2.4,0.003101441,29.25,0.006085193,3.579545455,1.021837473,0.01740025
129.0,70,-0.2,0.00023015,30.81428571,58,42.7242524,0.011179652,1.194439153,5.304341294,0.002028398,37.5,211.4700087,0.0,402.8155305,33,3.243078627,0.691860465,3.5,0.006521333,93.75,0.010141988,11.53409091,3.05715392,0.066554752
24.0,3,-1.0,0.000181225,4.2,8,19.70909435,0.000329112,0.1751909,1.643318512,0.002028398,4.25,19.66923775,0.0,5.518191618,8,0.611849391,0.176356589,1.0,0.000318451,4.25,0.002028398,0.477272727,0.181061357,0.0
112.0,39,-0.333333333,0.000194175,21.0,38,36.03938684,0.001689218,0.61928129,3.508459014,0.002028398,36.5,107.4635622,0.0,214.2428619,34,2.372093023,0.645902547,2.7,0.003101441,54.75,0.006085193,5.25,1.789276259,0.041987606
64.0,24,-0.333333333,0.000207168,15.4,28,30.26507272,0.003250784,0.619600266,3.211721859,0.002028398,22.5,90.24550106,0.0,100.3143835,21,1.679678848,0.48200443,2.4,0.003101441,33.75,0.006085193,4.056818182,1.206666098,0.014994963
71.0,24,-0.333333333,0.000207684,17.5,28,31.30082209,0.003558411,0.625784187,3.22082196,0.002028398,24.0,93.33393644,0.0,115.361541,24,1.820874862,0.493909192,2.4,0.003101441,36.0,0.006085193,4.056818182,1.258407449,0.005897882
65.0,24,-0.333333333,0.000207771,15.4,28,30.61258885,0.003255377,0.623365752,3.211750486,0.002028398,22.5,91.28173736,0.0,100.3143835,21,1.679678848,0.48200443,2.4,0.003101441,33.75,0.006085193,4.056818182,1.206736337,0.016340208
132.0,36,-0.333333333,0.000255167,28.10571429,36,50.1077266,0.031090797,0.792155503,3.466813011,0.002028398,39.5,149.4130524,0.0,309.5415262,43,2.867663344,0.622646733,2.7,0.003101441,58.77307133,0.006085193,5.011363636,2.457427868,0.13697128
21.0,3,-1.0,0.000159744,5.6,8,15.95483583,1.78e-05,0.152474157,1.646843455,0.002028398,4.75,15.92257126,0.0,8.829106588,10,0.705980066,0.176356589,1.0,0.000318451,4.75,0.002028398,0.477272727,0.160600513,0.0
21.0,3,-1.0,0.000159744,5.6,8,15.95483583,1.78e-05,0.152474157,1.646843455,0.002028398,4.75,15.92257126,0.0,8.829106588,10,0.705980066,0.176356589,1.0,0.000318451,4.75,0.002028398,0.477272727,0.160600513,0.0
42.0,5,-1.0,0.000168209,9.1,12,20.76618919,3.53e-05,0.165823354,1.760774333,0.002028398,8.0,20.72419489,0.0,20.23336926,17,1.022425249,0.30620155,1.0,0.000318451,8.0,0.002028398,0.636363636,0.290386791,0.0
42.0,5,-1.0,0.000168209,9.1,12,20.76618919,3.53e-05,0.165823354,1.760774333,0.002028398,8.0,20.72419489,0.0,20.23336926,17,1.022425249,0.30620155,1.0,0.000318451,8.0,0.002028398,0.636363636,0.290386791,0.0
76.0,30,-0.333333333,0.000190295,16.8,32,30.0873189,0.000192232,0.584892927,3.320536796,0.002028398,27.5,89.71546822,0.0,157.6368883,25,2.045404208,0.576135105,2.4,0.003101441,41.25,0.006085193,4.534090909,1.330192647,0.026177404
53.0,14,-0.5,0.000171615,11.9,20,23.3792228,4.84e-05,0.343992603,2.458405589,0.002028398,20.5,46.56952285,0.0,63.68571927,20,1.410299003,0.387873754,2.0,0.001391495,20.5,0.004056795,2.068181818,0.803080792,0.002933893
39.0,10,-0.5,0.000203169,10.5,16,25.7526011,0.000270087,0.393790816,2.342489775,0.002028398,15.5,51.29710067,0.0,45.48979948,16,1.354097453,0.388981174,2.0,0.001391495,15.5,0.004056795,1.75,0.657511325,0.016999308
55.0,21,-0.333333333,0.000205297,15.4,26,30.26514869,0.000569839,0.623179702,3.143313205,0.002028398,20.5,90.24572761,0.0,110.3458218,20,2.097452935,0.530177187,2.4,0.003101441,30.75,0.006085193,3.818181818,1.119559227,0.031467376
28.0,8,-0.5,0.000174064,8.4,14,19.77467761,5.18e-05,0.340265441,2.289950671,0.002028398,6.0,39.38956007,0.0,29.11347167,12,0.880675526,0.222868217,1.7,0.001391495,12.0,0.004056795,1.590909091,0.370829907,0.004056795
25.0,8,-0.5,0.000169062,7.7,14,18.81433952,5.19e-05,0.330737428,2.284830076,0.002028398,11.5,37.47664417,0.0,26.68734903,11,1.000276855,0.30620155,2.0,0.001391495,11.5,0.004056795,1.590909091,0.531440838,0.002475946
16.18669541,14,-0.835069444,0.000146242,10.55,20,19.09578742,3.88e-05,0.293835823,2.947562588,0.070460069,17.5,38.03726565,1.0,51.62747792,14,2.445459579,0.721207087,2.0,0.001391495,1.666349942,0.004056795,1.75,0.691781207,0.0
66.87205627,44,-0.376736111,0.00015753,20.35,42,26.08595723,0.000112777,0.663060145,4.733896493,0.070460069,28.0,103.502351,0.166666667,226.4120441,23,4.300664452,0.97978959,3.1,0.004811387,30.98545622,0.00811359,6.681818182,1.79830281,0.017890027
32.96044029,21,-0.534722222,0.000146263,12.9,26,18.88295917,4.08e-05,0.442713346,3.664536119,0.070460069,17.0,56.30589848,0.333333333,73.81483183,13,2.621816168,0.744462901,2.4,0.003101441,8.682082394,0.006085193,3.340909091,0.89557473,0.004056795
91.0,48,-0.25,0.000170068,22.3,44,29.86687229,0.000326796,0.720429082,4.536505185,0.010082672,31.5,118.5040469,0.0,288.1562897,27,4.606866002,1.014950166,3.1,0.004811387,55.27542289,0.00811359,7.0,1.986862281,0.029191256
59.0,14,-0.5,0.00014708,12.70833333,20,22.14579348,4.05e-05,0.306749078,2.484192389,0.010082672,22.0,44.1126313,0.0,84.91429236,23,2.765780731,0.840254707,2.0,0.001391495,17.57077407,0.004056795,2.068181818,0.864722652,0.002411814
17.0,3,-1.0,0.000136444,3.85,8,13.14883998,1.03e-05,0.131802097,1.665572664,0.034245494,4.5,13.12224982,0.0,6.621829941,9,0.920819491,0.176356589,1.0,0.000318451,2.324450309,0.002028398,0.477272727,0.185249913,0.0
89.0,30,-0.333333333,0.000184298,17.31428571,32,31.19087002,0.00054417,0.578572015,3.694606125,0.002028398,27.5,93.00607733,0.0,200.628767,25,3.708748616,0.957087486,2.7,0.003101441,40.39959393,0.006085193,4.056818182,1.381786873,0.018339093
89.0,30,-0.333333333,0.000184298,17.31428571,32,31.19087002,0.00054417,0.578572015,3.694606125,0.002028398,27.5,93.00607733,0.0,200.628767,25,3.708748616,0.957087486,2.7,0.003101441,40.39959393,0.006085193,4.056818182,1.381786873,0.018339093
50.0,12,-0.5,0.000157555,12.00833333,18,22.5321823,9.4e-05,0.324713742,2.411079096,0.002028398,19.0,44.88228662,0.0,58.22694333,20,2.410852713,0.697951274,2.0,0.001391495,17.86612524,0.004056795,1.909090909,0.766599454,0.004035357
81.0,27,-0.333333333,0.000138408,23.56666667,30,23.49130804,4.76e-05,0.447367272,3.484026839,0.010082672,27.0,70.04724174,0.0,225.7073628,27,4.492248062,0.945736434,2.7,0.003101441,34.586199,0.006085193,4.056818182,1.343283684,0.000724231
14.0,3,-1.0,0.00014988,3.5,8,12.63982665,9.83e-06,0.13778367,1.641421445,0.002028398,4.0,12.61426583,0.0,4.414553294,7,0.529069767,0.176356589,1.0,0.000318451,4.0,0.002028398,0.477272727,0.172899884,0.0
24.0,15,-0.333333333,0.000161812,9.8,22,16.33875313,3.9e-05,0.459438561,3.02423334,0.002028398,12.5,48.71949183,0.0,40.12575339,10,1.21124031,0.352713178,2.1,0.003101441,18.75,0.006085193,3.340909091,0.756687855,0.01300277
25.0,10,-0.5,0.000172831,6.3,16,18.09292037,0.000133608,0.325638645,2.332056246,0.002028398,12.5,36.03963553,0.0,24.26122639,10,0.988372093,0.329457364,2.0,0.001391495,12.5,0.004056795,1.75,0.569414377,0.01553442
28.0,12,-0.5,0.000155885,7.0,18,16.63688987,1.1e-05,0.295298877,2.384412366,0.002028398,15.0,33.1393404,0.0,29.11347167,12,1.058139535,0.352713178,2.0,0.001391495,15.0,0.004056795,1.909090909,0.642103835,0.007640572
21.0,8,-0.5,0.000187266,7.7,14,19.98254839,0.000490555,0.35313924,2.284586874,0.002028398,11.5,39.80362187,0.0,26.68734903,11,0.988372093,0.30620155,2.0,0.001391495,11.5,0.004056795,1.590909091,0.536326359,0.019207798
25.0,15,-0.333333333,0.000153516,9.8,22,15.45218736,4.46e-06,0.439107983,3.024261337,0.002028398,12.5,46.07589759,0.0,40.12575339,10,1.21124031,0.352713178,2.1,0.003101441,18.75,0.006085193,3.340909091,0.75623175,0.008666177
18.0,6,-0.5,0.000203376,5.6,12,21.78355938,0.002226556,0.382295563,2.232351935,0.002028398,4.0,43.39109024,0.0,14.55673583,7,0.562569214,0.140088594,1.7,0.001391495,8.0,0.004056795,1.431818182,0.258563191,0.004056795
52.0,12,-0.5,0.000225887,10.52,18,31.7422859,0.008262074,0.439509667,2.397241476,0.002028398,8.75,63.22806884,0.0,54.58775937,17,1.424418605,0.340808416,1.7,0.001391495,17.5,0.004056795,1.909090909,0.5843455,0.008097099
8.0,2,-1.0,0.000184877,2.1,6,16.36244841,0.00056183,0.169153425,1.590694162,0.002028398,2.5,16.32935955,0.0,2.207276647,4,0.221760797,0.081672204,1.0,0.000318451,2.5,0.002028398,0.397727273,0.095554715,0.0
130.0,48,-0.25,0.000253872,31.19142857,44,48.14203866,0.030516186,1.037426924,4.27356193,0.002028398,38.0,191.0151941,0.0,392.5155947,40,3.745847176,0.943521595,3.1,0.004811387,75.25103991,0.00811359,7.636363636,2.82059803,0.04610348
25.0,3,-1.0,0.000213447,6.3,8,24.19782386,0.000771087,0.199993624,1.648327654,0.002028398,5.0,24.14888996,0.0,8.829106588,11,0.717331118,0.176356589,1.0,0.000318451,5.0,0.002028398,0.477272727,0.202506824,0.0
80.0,27,-0.333333333,0.000238493,17.5,30,37.19973461,0.003055578,0.701365332,3.27153249,0.002028398,26.0,110.9235296,0.0,131.8417611,25,2.224529347,0.540974529,2.4,0.003101441,39.0,0.006085193,4.295454545,1.344461637,0.026457605
154.0,75,-0.2,0.000264971,36.4,60,51.36126492,0.01039658,1.340034153,5.38906245,0.002028398,44.0,254.2201802,0.0,521.5314897,43,4.55841639,1.048449612,3.5,0.006521333,110.0,0.010141988,11.93181818,3.39653731,0.120764728
51.0,21,-0.333333333,0.000220216,13.3,26,30.55591306,0.000940666,0.644068246,3.138163206,0.002028398,19.0,91.11273942,0.0,90.28294513,17,1.730066445,0.458748616,2.4,0.003101441,28.5,0.006085193,3.818181818,1.078582782,0.026586955
80.0,24,-0.333333333,0.000257931,16.81428571,28,40.7181613,0.00995024,0.753314109,3.215849787,0.002028398,23.5,121.414903,0.0,110.3458218,23,2.214285714,0.529623477,2.4,0.003101441,35.25,0.006085193,4.056818182,1.343342963,0.035997073
68.0,14,-0.5,0.000234907,13.3,20,34.44527408,0.003311816,0.454606749,2.46268518,0.002028398,21.5,68.6122029,0.0,72.17714851,22,1.790143965,0.435492802,2.0,0.001391495,21.5,0.004056795,2.068181818,0.895081525,0.003748825
179.0,64,-0.25,0.000258264,33.61428571,52,51.26694257,0.013118844,1.04715398,4.704722286,0.002028398,47.5,203.4140069,0.0,479.7412824,47,4.892857143,1.060354374,3.4,0.004811387,95.0,0.00811359,8.590909091,3.008181751,0.098379986
