Betweenness Centrality,Local Gravity Model Centrality,Extended Improved Gravity Index Values,I-GSM Values,Constraint Coefficients,Eccentricity Centrality,Density Centrality,Degree Centrality,LGC Scores,Global Relative Change in Avg Clustering,HVGc Index,DNC Scores,DIL Centrality,P Value,Local-Global Centrality,HCC Value,Second order centrality,Subgraph centrality,Gravity Model Centrality,K-Shell Value,PageRank Centrality,Closeness Centrality,Coreness Centrality,Isolating Centrality,Extended Degree
0.099273371,10,32.0,12.47939699,-0.5,0.045454545,1.75,0.016129032,952,0.008064516,36.39183958,2.0,3.166666667,16,0.47808024,0.88961039,-555.7932967,2.33714744,24.56263103,2,0.007189764,0.000770416,4,0,3.2
0.148707221,10,33.5,13.58192634,-0.5,0.05,1.75,0.016129032,976,0.008064516,36.39183958,2.0,3.166666667,16,0.512527503,0.88961039,-501.8188601,2.337235814,26.73268953,2,0.006971804,0.000845309,4,0,3.2
0.028995417,60,108.25,20.08273427,-0.2,0.033333333,10.73863636,0.040322581,8613,0.008064516,265.268764,5.0,24.2,22,1.226176925,1.558441558,-596.9200239,5.188685006,96.47639496,2,0.015725085,0.000539957,9,5,7.8
0.022442854,24,58.75,15.96427649,-0.333333333,0.034482759,4.056818182,0.024193548,3290,0.008064516,95.29866431,3.0,7.0,21,0.675464936,1.25,-637.0706779,3.217520166,46.75708501,2,0.010099732,0.000548847,5,3,5.0
0.018292683,24,62.25,16.35206905,-0.333333333,0.033333333,4.056818182,0.024193548,3458,0.008064516,100.3143835,3.0,7.0,22,0.679821548,1.285714286,-636.4709557,3.220895229,47.89287401,2,0.010051939,0.000538213,5,3,5.0
0.019904441,24,58.75,15.89008751,-0.333333333,0.033333333,4.056818182,0.024193548,3290,0.008064516,95.29866431,3.0,7.0,21,0.667867903,1.25,-637.8759095,3.217520166,46.53979609,2,0.010102031,0.000535332,5,3,5.0
0.028719106,20,74.5,20.60859045,-0.5,0.034482759,2.545454545,0.016129032,4862,0.191348974,133.4367451,2.2,3.6,23,0.49710134,1.366883117,-607.4596215,2.711452618,40.56295377,2,0.006257113,0.000571755,4,0,5.2
0.0,5,31.0,11.9576749,-1.0,0.032258065,0.636363636,0.008064516,978,0.008064516,16.55457485,1.0,1.0,15,0.194336871,0.808441558,-714.1873109,1.758788722,11.86239512,1,0.003872808,0.000506329,2,0,2.6
0.032544262,14,59.0,16.59521566,-0.5,0.035714286,2.068181818,0.016129032,2560,0.237170088,89.16000698,2.166666667,3.416666667,20,0.469986668,1.123376623,-623.5383036,2.495381556,32.66361023,2,0.006529553,0.000582072,4,0,4.0
0.0,3,22.5,9.157095422,-1.0,0.033333333,0.477272727,0.008064516,372,0.008064516,7.725468265,1.0,1.0,14,0.183227701,0.681818182,-748.0702164,1.646719687,9.084130906,1,0.004062039,0.000514139,2,0,1.8
0.091712354,56,128.0,23.76719724,-0.305,0.037037037,7.318181818,0.032258065,10104,0.312683284,402.4693624,4.4,11.92857143,24,1.086210589,1.675324675,-550.1240019,5.287349476,92.07474788,2,0.011610824,0.000621504,8,0,8.0
0.045581011,8,23.5,8.030636575,-0.5,0.032258065,1.590909091,0.016129032,560,0.008064516,21.83510375,2.0,3.0,15,0.32558176,0.808441558,-818.9972744,2.28132955,15.8063377,2,0.007594199,0.000476872,4,0,2.8
0.054148194,8,20.5,7.657002578,-0.5,0.033333333,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.322850861,0.808441558,-832.1498584,2.279614552,15.07093085,2,0.007773474,0.000492126,4,0,2.8
0.038718524,10,28.0,9.437765084,-0.5,0.03125,1.75,0.016129032,880,0.008064516,33.35918628,2.0,3.166666667,16,0.335398776,0.88961039,-798.6596728,2.33883316,18.57592492,2,0.007275485,0.000463177,4,0,3.2
0.062977637,8,20.0,7.523675563,-0.5,0.034482759,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.323619525,0.808441558,-838.4556204,2.279585616,14.80850934,2,0.007869206,0.000508906,4,0,2.8
0.072069341,8,20.0,7.494669056,-0.5,0.035714286,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.326855277,0.808441558,-838.0691242,2.279585305,14.75141715,2,0.007922022,0.000527426,4,0,2.8
0.154244356,10,32.0,12.21823308,-0.5,0.05,1.75,0.016129032,968,0.008064516,36.39183958,2.0,3.166666667,16,0.466830827,0.88961039,-542.7792341,2.340734445,24.04859394,2,0.006997193,0.000786164,4,0,3.2
0.143054567,8,24.0,9.82484823,-0.5,0.047619048,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.425888344,0.808441558,-620.2552341,2.281360444,19.33780312,2,0.007440545,0.00073692,4,0,2.8
0.166723594,24,64.0,16.64248109,-0.333333333,0.052631579,3.818181818,0.024193548,2870,0.008064516,131.8417611,3.0,8.333333333,24,0.792601838,1.357142857,-439.6812795,3.321819798,48.74344939,2,0.009298499,0.000843882,6,0,5.0
0.132127038,8,20.5,8.869972191,-0.5,0.045454545,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.398164773,0.808441558,-680.9121844,2.279614877,17.45836392,2,0.007687659,0.000694444,4,0,2.8
0.12146177,8,20.0,8.335008096,-0.5,0.043478261,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.377616693,0.808441558,-728.9607941,2.279585618,16.40541836,2,0.007823065,0.000657462,4,0,2.8
0.187733381,27,72.5,19.04503634,-0.333333333,0.055555556,4.056818182,0.024193548,3660,0.008064516,167.6683267,3.0,9.0,26,0.849688527,1.474025974,-410.9505556,3.38506643,55.78019047,2,0.009033663,0.00088968,6,0,5.4
0.165616167,24,64.0,16.63923996,-0.333333333,0.052631579,3.818181818,0.024193548,2870,0.008064516,131.8417611,3.0,8.333333333,24,0.792242136,1.357142857,-439.8977229,3.321819798,48.73395659,2,0.00929861,0.00084246,6,0,5.0
0.243546826,30,79.5,21.90866636,-0.333333333,0.058823529,4.534090909,0.024193548,4832,0.008064516,186.2981407,3.0,9.0,27,0.916537394,1.555194805,-382.3535561,3.339490379,64.16735365,2,0.009050112,0.000937207,6,0,5.8
0.148671421,27,72.5,18.96008898,-0.333333333,0.055555556,4.056818182,0.024193548,3660,0.008064516,167.6683267,3.0,9.0,26,0.845003358,1.474025974,-412.8764696,3.385066427,55.53139178,2,0.009055171,0.000881834,6,0,5.4
0.215870206,30,79.5,21.77402842,-0.333333333,0.058823529,4.534090909,0.024193548,4832,0.008064516,186.2981407,3.0,9.0,27,0.910433095,1.555194805,-388.7573541,3.339490002,63.77301836,2,0.009126001,0.000928505,6,0,5.8
0.153027654,10,32.0,12.21430645,-0.5,0.05,1.75,0.016129032,968,0.008064516,36.39183958,2.0,3.166666667,16,0.466557411,0.88961039,-543.5309219,2.340734445,24.04086535,2,0.006997372,0.000784929,4,0,3.2
0.1556717,10,40.5,14.74720616,-0.5,0.055555556,1.75,0.016129032,1152,0.008064516,42.45714618,2.0,3.166666667,16,0.536318352,0.88961039,-470.1853265,2.341049826,29.02625696,2,0.006764462,0.000894454,4,0,3.2
0.080621433,8,24.0,10.34722156,-0.5,0.043478261,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.444327912,0.808441558,-610.5050984,2.281300935,20.36596684,2,0.007465513,0.000728863,4,0,2.8
0.072229091,8,20.5,9.880152277,-0.5,0.041666667,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.430412682,0.808441558,-639.8081062,2.279615314,19.44665556,2,0.007547109,0.000696379,4,0,2.8
0.029242067,16,65.5,18.14216544,-0.5,0.034482759,2.227272727,0.016129032,3355,0.191348974,97.04490555,2.2,3.466666667,23,0.480126943,1.275974026,-619.8206777,2.584782817,35.7084013,2,0.00644375,0.000570451,4,0,4.4
0.0,3,23.0,9.313340149,-1.0,0.032258065,0.477272727,0.008064516,376,0.008064516,7.725468265,1.0,1.0,14,0.183730368,0.681818182,-747.5595478,1.646768794,9.239130662,1,0.004048407,0.000504796,2,0,1.8
0.075131443,85,165.5,26.88230025,-0.2852,0.035714286,11.13636364,0.040322581,15552,1.0,547.3568948,5.533333333,16.97142857,25,1.419211885,1.892857143,-539.5004171,7.102789269,129.1411509,2,0.014090278,0.000609013,10,0,9.8
0.031995804,8,8.5,6.109995959,-0.5,0.033333333,1.590909091,0.016129032,434,0.008064516,16.98285847,2.0,3.0,3,0.254615441,0.37987013,-1349.135355,2.277985129,12.0260279,1,0.008707194,0.000401929,2,0,2.8
0.047600315,8,9.75,6.539366231,-0.5,0.034482759,1.590909091,0.016129032,483,0.008064516,19.40898111,2.0,3.0,4,0.269468601,0.415584416,-1292.832629,2.279557603,12.87113793,1,0.008387968,0.000422119,2,0,2.8
0.016129032,6,7.25,4.787432229,-0.5,0.032258065,1.431818182,0.016129032,282,0.008064516,10.91755187,2.0,2.5,2,0.234254248,0.298701299,-1404.071297,2.228856732,9.4228857,1,0.009264649,0.000383289,2,2,2.4
0.062942565,8,10.0,6.791102398,-0.5,0.035714286,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,5,0.282465934,0.451298701,-1234.976197,2.279585001,13.36661881,1,0.008215861,0.00044405,2,0,2.8
0.078022554,8,10.0,6.987486339,-0.5,0.037037037,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,6,0.294888527,0.487012987,-1175.336636,2.2795853,13.75315241,1,0.008110696,0.000467946,2,0,2.8
0.176239182,8,12.0,9.902841664,-0.5,0.05,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,13,0.424891766,0.737012987,-667.2077692,2.281367104,19.49131405,1,0.00742475,0.000720461,2,0,2.8
0.162995017,8,10.25,8.872618009,-0.5,0.047619048,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,12,0.394411588,0.701298701,-755.9207679,2.279614935,17.46357157,1,0.007682088,0.000671592,2,0,2.8
0.149488592,8,10.0,8.279365724,-0.5,0.045454545,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,11,0.370883768,0.665584416,-836.7593485,2.279585618,16.2959,1,0.007827899,0.000628141,2,0,2.8
0.159372489,14,51.5,17.79466174,-0.5,0.055555556,2.068181818,0.016129032,2170,0.008064516,67.93143389,2.0,3.3,19,0.565669455,1.087662338,-443.5275965,2.461120135,35.02442555,2,0.006572214,0.000908265,4,0,4.0
0.090041795,8,24.0,10.35518342,-0.5,0.043478261,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.445047496,0.808441558,-611.0460004,2.281300933,20.38163781,2,0.007469305,0.000730994,4,0,2.8
0.081430903,8,20.5,9.805351301,-0.5,0.041666667,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.42901867,0.808441558,-641.759924,2.279614938,19.2994282,2,0.007560864,0.00069735,4,0,2.8
0.028036396,14,59.0,16.49859043,-0.5,0.034482759,2.068181818,0.016129032,2560,0.237170088,89.16000698,2.166666667,3.416666667,20,0.464042958,1.123376623,-625.2170958,2.495381556,32.47342716,2,0.006533607,0.000566893,4,0,4.0
0.0,3,22.5,9.099909893,-1.0,0.032258065,0.477272727,0.008064516,372,0.008064516,7.725468265,1.0,1.0,14,0.181038018,0.681818182,-748.7560857,1.646719687,9.027401036,1,0.00406268,0.00050226,2,0,1.8
0.070866792,56,128.0,23.63358791,-0.305,0.035714286,7.318181818,0.032258065,10104,0.312683284,402.4693624,4.4,11.92857143,24,1.072001096,1.675324675,-553.0332157,5.287349476,91.5571418,2,0.011626979,0.00060423,8,0,8.0
0.043883498,8,20.5,7.695596366,-0.5,0.032258065,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.321049905,0.808441558,-836.6952259,2.279614858,15.14689326,2,0.007764759,0.000476417,4,0,2.8
0.052494391,8,20.0,7.514180046,-0.5,0.033333333,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.320124671,0.808441558,-847.0831966,2.279585618,14.78981974,2,0.007868047,0.000491642,4,0,2.8
0.036649474,8,24.0,8.153491329,-0.5,0.03125,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.325984196,0.808441558,-819.5808001,2.281357871,16.04814714,2,0.007581212,0.000462749,4,0,2.8
0.061367544,8,20.0,7.448577662,-0.5,0.034482759,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.32178766,0.808441558,-850.9910753,2.279585305,14.66069755,2,0.007922319,0.000508388,4,0,2.8
0.070502958,8,20.0,7.450063656,-0.5,0.035714286,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.325536325,0.808441558,-848.5084006,2.279585302,14.66362236,2,0.007951146,0.00052687,4,0,2.8
0.141794155,8,24.0,9.819983174,-0.5,0.047619048,1.590909091,0.016129032,567,0.008064516,21.83510375,2.0,3.0,15,0.425573696,0.808441558,-621.680422,2.281360444,19.32822745,2,0.007441068,0.000735835,4,0,2.8
0.130822916,8,20.5,8.86384279,-0.5,0.045454545,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.397798778,0.808441558,-683.1486359,2.279614877,17.4462997,2,0.007688412,0.000693481,4,0,2.8
0.120113938,8,20.0,8.327132935,-0.5,0.043478261,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.377185621,0.808441558,-732.1491636,2.279585618,16.38991804,2,0.007824763,0.000656599,4,0,2.8
0.124170444,10,40.0,14.22495061,-0.5,0.055555556,1.75,0.016129032,1144,0.008064516,42.45714618,2.0,3.166666667,16,0.520544061,0.88961039,-500.4687854,2.341020819,27.99832505,2,0.00692869,0.000870322,4,0,3.2
0.084831341,8,20.0,8.842365409,-0.5,0.043478261,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.400716602,0.808441558,-697.9142712,2.27958531,17.40402675,2,0.007815612,0.000690131,4,0,2.8
0.091650119,8,20.0,8.871464016,-0.5,0.045454545,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.406040906,0.808441558,-688.7939011,2.279585305,17.46130021,2,0.007826919,0.00071582,4,0,2.8
0.078624505,8,20.0,9.085453119,-0.5,0.041666667,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.402445163,0.808441558,-694.5457041,2.279586374,17.88248526,2,0.007739339,0.000668449,4,0,2.8
0.098993419,8,20.0,9.148431526,-0.5,0.047619048,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.418104648,0.808441558,-666.6722282,2.279585618,18.0064428,2,0.007776919,0.000745712,4,0,2.8
0.106861239,8,20.5,9.760848077,-0.5,0.05,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.43816377,0.808441558,-630.181557,2.279614899,19.21183452,2,0.007648167,0.00078064,4,0,2.8
0.084618098,85,170.5,27.16643599,-0.2852,0.035714286,11.13636364,0.040322581,16160,1.0,566.9053553,5.533333333,16.97142857,25,1.422167491,1.892857143,-538.7508604,7.113246478,130.506124,2,0.014026517,0.000609013,10,0,9.8
0.066012368,10,28.0,9.502549529,-0.5,0.034482759,1.75,0.016129032,880,0.008064516,33.35918628,2.0,3.166666667,16,0.342319554,0.88961039,-790.0186386,2.33883316,18.7034372,2,0.007274805,0.000488759,4,0,3.2
0.059335648,21,49.0,11.45908968,-0.333333333,0.033333333,3.579545455,0.024193548,1976,0.008064516,95.29866431,3.0,7.666666667,19,0.539636347,1.133116883,-767.5501614,3.252823133,33.5620365,2,0.010045515,0.000475059,6,0,4.6
0.074055029,8,23.5,8.107875947,-0.5,0.035714286,1.590909091,0.016129032,560,0.008064516,21.83510375,2.0,3.0,15,0.333228989,0.808441558,-805.1141964,2.28132955,15.95836445,2,0.007593034,0.000503778,4,0,2.8
0.010932212,12,35.0,10.32136242,-0.5,0.032258065,1.75,0.016129032,1206,0.008064516,50.94857542,2.0,3.333333333,19,0.336436965,1.042207792,-794.0675508,2.502968777,20.31506948,2,0.006894196,0.000455789,4,0,3.6
0.048116406,24,49.0,12.69483507,-0.333333333,0.032258065,3.818181818,0.024193548,2352,0.008064516,108.9127592,3.0,8.333333333,19,0.553550793,1.178571429,-763.1872273,3.306982322,37.18135819,2,0.009974792,0.000462107,6,0,5.0
0.036706297,21,49.0,11.41782939,-0.333333333,0.032258065,3.579545455,0.024193548,1976,0.008064516,95.29866431,3.0,7.666666667,19,0.532863919,1.133116883,-770.5683614,3.252823133,33.441191,2,0.010045744,0.000458085,6,0,4.6
0.032964711,10,30.5,9.774432324,-0.5,0.032258065,1.75,0.016129032,936,0.008064516,36.39183958,2.0,3.166666667,16,0.340694651,0.88961039,-795.3057916,2.34049121,19.23857178,2,0.007246685,0.000457666,4,0,3.2
0.097726866,8,29.0,11.36951564,-0.5,0.04,1.590909091,0.016129032,665,0.008064516,24.26122639,2.0,3.0,15,0.449660645,0.808441558,-619.2850584,2.283737608,22.37810192,2,0.007185826,0.000666223,4,0,2.8
0.090427277,12,47.5,15.12223636,-0.5,0.038461538,1.909090909,0.016129032,1845,0.237170088,65.50531125,2.166666667,3.25,17,0.478117137,0.970779221,-598.2911186,2.432518731,29.76441189,2,0.006721774,0.000642261,4,0,3.6
0.105550976,8,22.0,10.58723848,-0.5,0.041666667,1.590909091,0.016129032,518,0.008064516,19.40898111,2.0,3.0,15,0.445364631,0.808441558,-615.8908832,2.279709843,20.83838127,2,0.007363802,0.000693963,4,0,2.8
0.05807534,8,26.0,11.61082532,-0.5,0.052631579,1.590909091,0.016129032,595,0.008064516,21.83510375,2.0,3.0,15,0.484287267,0.808441558,-528.0757071,2.281433082,22.85306081,2,0.007156657,0.000829187,4,0,2.8
0.082359951,8,20.5,7.747791732,-0.5,0.037037037,1.590909091,0.016129032,497,0.008064516,19.40898111,2.0,3.0,15,0.331217077,0.808441558,-813.2475086,2.279614552,15.24962703,2,0.007770904,0.000520291,4,0,2.8
0.090927133,8,20.0,7.632337991,-0.5,0.038461538,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.332863638,0.808441558,-814.6271369,2.279585616,15.02238467,2,0.007865051,0.000538503,4,0,2.8
0.099756576,8,20.0,7.627487945,-0.5,0.04,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.337187704,0.808441558,-809.287622,2.279585305,15.01283854,2,0.007913815,0.000558659,4,0,2.8
0.12781847,8,20.0,8.060108462,-0.5,0.045454545,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.365206983,0.808441558,-750.6217622,2.279585305,15.86434588,2,0.00788858,0.000634115,4,0,2.8
0.10884828,8,20.0,7.697242911,-0.5,0.041666667,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.343916002,0.808441558,-797.0939462,2.279585302,15.15013408,2,0.007930336,0.000581058,4,0,2.8
0.118202245,8,20.0,7.836723585,-0.5,0.043478261,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.353131525,0.808441558,-777.7237838,2.279585302,15.42466756,2,0.007923345,0.000606061,4,0,2.8
0.050199193,14,54.0,16.57765183,-0.5,0.037037037,2.068181818,0.016129032,2540,0.191348974,72.17714851,2.2,3.3,19,0.483605787,1.087662338,-600.3007144,2.520885556,32.62904013,2,0.006656858,0.000623441,4,0,4.0
0.063413385,14,55.0,16.60270542,-0.5,0.037037037,2.068181818,0.016129032,2560,0.191348974,72.17714851,2.2,3.3,19,0.481202138,1.087662338,-603.5682487,2.52105826,32.67835199,2,0.006665741,0.000619963,4,0,4.0
0.057017971,8,32.5,11.50280406,-0.5,0.038461538,1.590909091,0.016129032,749,0.008064516,26.68734903,2.0,3.0,15,0.443364055,0.808441558,-634.9619272,2.286064378,22.64044747,2,0.007203469,0.00064433,4,0,2.8
0.06436127,8,21.5,10.16267521,-0.5,0.04,1.590909091,0.016129032,511,0.008064516,19.40898111,2.0,3.0,15,0.429449368,0.808441558,-647.6942211,2.279688881,20.00273264,2,0.007469104,0.000668449,4,0,2.8
0.150295355,8,29.0,12.31842768,-0.5,0.052631579,1.590909091,0.016129032,658,0.008064516,24.26122639,2.0,3.0,15,0.504354512,0.808441558,-508.2647219,2.283079142,24.24580245,2,0.007059407,0.000862813,4,0,2.8
0.081423305,8,20.0,7.530788002,-0.5,0.037037037,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.332209528,0.808441558,-830.9810319,2.279585302,14.82250843,2,0.007944227,0.000547945,4,0,2.8
0.111058763,8,20.0,7.996449305,-0.5,0.041666667,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.361779151,0.808441558,-766.7749767,2.279585305,15.73904845,2,0.007897644,0.000625,4,0,2.8
0.091039531,8,20.0,7.621639945,-0.5,0.038461538,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.339650714,0.808441558,-817.0169416,2.279585302,15.00132819,2,0.007949366,0.000570776,4,0,2.8
0.100918016,8,20.0,7.77117548,-0.5,0.04,1.590909091,0.016129032,490,0.008064516,19.40898111,2.0,3.0,15,0.34936833,0.808441558,-795.8149781,2.279585302,15.2956522,2,0.007934103,0.000596303,4,0,2.8
0.058745353,12,47.5,14.89525867,-0.5,0.037037037,1.909090909,0.016129032,1845,0.237170088,65.50531125,2.166666667,3.25,17,0.467570664,0.970779221,-609.3741986,2.432518726,29.31766199,2,0.006755543,0.000621891,4,0,3.6
0.0,2,3.5,3.697149253,-1.0,0.03125,0.397727273,0.008064516,93,0.008064516,2.207276647,1.0,1.0,1,0.105156486,0.172077922,-1457.794981,1.590636855,3.667690052,1,0.00514006,0.000366032,1,0,1.4
0.065782682,8,29.0,11.00469974,-0.5,0.038461538,1.590909091,0.016129032,665,0.008064516,24.26122639,2.0,3.0,15,0.435358697,0.808441558,-640.9646244,2.283736988,21.66005134,2,0.007257435,0.000643501,4,0,2.8
0.073344531,8,21.0,9.958179157,-0.5,0.04,1.590909091,0.016129032,504,0.008064516,19.40898111,2.0,3.0,15,0.425428066,0.808441558,-651.4153399,2.279652273,19.60023233,2,0.007498154,0.000668449,4,0,2.8
0.153777595,8,35.0,13.21601931,-0.5,0.052631579,1.590909091,0.016129032,805,0.008064516,29.11347167,2.0,3.0,15,0.519958924,0.808441558,-494.5504731,2.286586777,26.01249134,2,0.006956277,0.000874126,4,0,2.8
