EHCC Value,Improved Gravity Index Values,Eigenvector Centrality,PageRank Centrality,Global Relative Change in Avg Degree,Node H-Index,Closeness Centrality,Coreness Centrality,I-GSM Values,Volume Centrality,Laplacian Centrality,EIGSM Values,HCC Value,Clustering Coefficient,Local Gravity Model Centrality,CLC Values,Global Relative Change in Avg Clustering,MCGM Values,Leverage Centrality,GSM,Eccentricity Centrality,Extended Improved Gravity Index Values,Extended Degree,Societal Capital Scores,DNC Scores
6.405853659,45.5,0.134497897,0.001203913,0.002104696,3,7.33e-05,8,62.98896782,46,50,258.4111822,1.383414634,0.166666667,60,176.9146805,0.026214282,5.434790191,0.063492063,202.6373702,0.023809524,193.5,8.4,19,4.533333333
2.690894309,26.5,0.055435297,0.000705833,0.000570652,2,6.74e-05,4,50.40297775,32,20,120.5703903,0.566178862,0.0,14,97.0,0.0043606,1.720826884,-0.214285714,184.6858322,0.022727273,90.0,4.0,9,2.1
7.670569106,63.0,0.122081983,0.001466148,0.002871718,4,6.97e-05,10,71.10194126,63,72,315.4439244,1.467479675,0.2,105,235.7944569,0.0330087,6.875896906,0.094444444,202.1164083,0.022727273,267.0,11.4,26,5.466666667
4.18097561,32.0,0.071799303,0.001318621,0.002104696,2,6.66e-05,8,53.80643606,34,40,210.4201853,0.834796748,0.0,40,131.0,0.000963391,3.232487305,0.238095238,188.0573751,0.022727273,131.5,6.4,14,4.0
6.663089431,51.5,0.170954011,0.001220559,0.002104696,3,7.31e-05,8,67.43054298,55,52,275.7315953,1.454471545,0.0,64,245.0,0.0043606,7.095074461,0.015873016,205.3482522,0.023809524,222.5,8.8,20,4.1
3.423577236,30.5,0.05842819,0.001043358,0.001337674,2,6.7e-05,6,50.37845869,31,32,156.9075479,0.777073171,0.0,30,117.0,0.000963391,2.290781532,0.022222222,182.4253968,0.022727273,105.0,5.8,13,3.0
4.846504065,46.5,0.090570201,0.001362864,0.002104696,2,6.75e-05,7,59.13468571,51,48,222.3354886,1.112357724,0.0,56,185.0,0.007757809,4.426073944,0.155555556,189.3428038,0.022727273,156.25,8.0,18,4.2
5.766178862,49.0,0.101347102,0.001262457,0.002104696,2,6.93e-05,8,63.96942288,53,50,238.2834304,1.190081301,0.0,60,200.0,0.0043606,4.92458281,0.088888889,197.2293309,0.022727273,180.5,8.4,19,4.1
1.96699187,11.25,0.043907643,0.000421057,0.000196369,1,6.66e-05,2,45.66865816,27,14,75.18374587,0.490731707,0.0,6,79.0,0.000963391,0.79605803,-0.714285714,177.3978984,0.022727273,67.5,3.0,7,1.0
2.095609756,12.0,0.046818547,0.000851365,0.000570652,1,6.67e-05,3,46.35275364,27,20,106.0509839,0.539512195,0.0,14,86.0,0.000963391,1.152224491,-0.083333333,178.065207,0.022727273,71.0,4.0,9,2.0
12.12926829,88.0,0.300234359,0.001897702,0.004405761,4,6.97e-05,14,87.55497418,89,114,500.3445695,1.824715447,0.047619048,203,448.1435688,0.006559,19.23931194,0.270707071,215.8493062,0.022727273,433.0,15.8,36,7.433333333
5.567804878,52.0,0.086583067,0.001226793,0.002104696,3,6.77e-05,8,68.37709769,53,54,252.0819815,1.065528455,0.166666667,68,183.6865343,0.021118468,4.60415326,-0.01984127,199.8415017,0.022727273,198.5,9.2,21,4.266666667
3.263739837,33.0,0.076814189,0.000666138,0.000570652,2,6.7e-05,4,56.24976675,39,24,141.6697376,0.768292683,0.0,18,129.0,0.000963391,2.43198152,-0.380952381,189.4949895,0.022727273,116.5,4.8,11,2.0
5.208617886,52.5,0.118753308,0.000941152,0.001337674,2,6.71e-05,6,65.72927948,60,42,200.7384239,1.332357724,0.0,45,226.0,0.001570036,5.110809314,-0.168181818,195.0115506,0.022727273,173.5,7.8,18,3.035714286
3.839186992,34.0,0.05611022,0.00065165,0.000570652,2,8.03e-05,4,64.5603909,41,24,152.3038601,1.028292683,0.0,18,126.0,0.0043606,1.997285092,-0.380952381,216.3679569,0.025,110.5,4.8,11,2.1
4.81398374,36.5,0.091877242,0.000940532,0.001337674,3,7.26e-05,6,56.97967031,37,36,186.5255809,1.259186992,0.333333333,36,104.6135713,0.029611491,3.288646775,-0.130952381,196.4082194,0.023809524,128.0,6.6,15,3.266666667
4.447154472,36.5,0.102359738,0.001438309,0.002104696,2,6.65e-05,6,55.62708356,43,40,213.2944355,1.014796748,0.0,40,149.0,0.000963391,4.112193893,0.288888889,186.4204372,0.022727273,140.5,6.4,14,4.0
6.34195122,42.5,0.053545638,0.001602767,0.002871718,3,6.94e-05,9,61.56973433,43,58,270.9195215,1.276747967,0.0,70,174.0,0.000963391,3.784053961,0.319047619,198.6967598,0.022727273,165.75,8.6,19,5.0
5.385853659,47.0,0.075373994,0.001257538,0.002104696,3,6.54e-05,8,56.61738908,46,52,224.5375358,1.281138211,0.166666667,64,174.3752353,0.010926841,3.802127511,0.015873016,182.0711679,0.022222222,185.0,8.8,20,4.4
2.501788618,26.5,0.037934569,0.001165577,0.001337674,2,6.41e-05,5,44.19159464,29,28,131.4056975,0.481626016,0.0,24,93.0,0.007757809,1.709915658,0.15,171.634999,0.022222222,82.75,5.0,11,3.2
2.433658537,20.5,0.041764516,0.000713634,0.000570652,2,6.82e-05,4,43.12489874,23,18,104.777022,0.535121951,0.0,12,72.0,0.009456414,1.278990191,-0.166666667,177.6714148,0.023255814,65.5,3.6,8,2.166666667
1.665203252,15.5,0.020672876,0.000743625,0.000570652,2,6.35e-05,4,40.2798531,16,16,94.6844258,0.490731707,0.0,10,53.0,0.000963391,0.799725021,-0.1,169.8434014,0.022222222,52.5,3.2,7,2.0
4.131056911,45.5,0.043137047,0.001306982,0.002104696,2,6.54e-05,8,55.52660694,49,48,198.852428,0.805691057,0.0,56,168.0,0.007757809,3.163914718,0.111111111,182.8154563,0.022222222,153.0,8.0,18,4.2
4.240813008,38.5,0.037888411,0.000959923,0.001337674,2,6.72e-05,6,54.90433305,44,34,164.9692568,1.014796748,0.0,33,141.0,0.016250832,2.222203344,-0.064285714,186.4007243,0.022222222,128.0,6.2,14,3.366666667
3.423089431,36.0,0.02694808,0.00099603,0.001337674,2,6.15e-05,6,45.74961488,39,34,143.6191648,0.694796748,0.0,33,128.0,0.009456414,1.882571031,-0.064285714,166.0283789,0.02173913,119.0,6.2,14,3.166666667
2.357560976,24.5,0.021697094,0.001135845,0.001337674,2,6.13e-05,5,39.58092142,25,28,115.6135726,0.47495935,0.0,24,76.0,0.009456414,1.332926382,0.085714286,161.4183229,0.02173913,68.0,5.0,11,3.166666667
2.162601626,20.0,0.032997321,0.000736811,0.000570652,2,6.54e-05,4,41.78805416,22,18,102.2595845,0.515121951,0.0,12,66.0,0.000963391,1.106091942,-0.166666667,171.9129411,0.022727273,67.0,3.6,8,2.0
1.387642276,7.25,0.022583444,0.000433696,0.000196369,1,6.31e-05,2,37.2586304,17,10,59.13468571,0.275284553,0.0,4,48.0,0.000963391,0.407512721,-0.6,164.1820822,0.022222222,46.5,2.2,5,1.0
1.205203252,16.5,0.011118563,0.000839228,0.000570652,2,6.02e-05,4,33.35103771,15,18,75.01667771,0.361788618,0.0,12,41.0,0.000963391,0.690588782,-0.2,153.8389731,0.02173913,39.5,3.6,8,2.0
0.672520325,4.75,0.009458882,0.000473659,0.000196369,1,6.01e-05,2,29.94960155,10,8,44.19159464,0.190894309,0.0,3,26.0,0.000963391,0.220614946,-0.5,151.5889577,0.02173913,26.5,1.8,4,1.0
4.230243902,51.0,0.023601284,0.001635022,0.002871718,3,6.16e-05,10,52.34520187,48,66,217.4355834,0.907642276,0.0,90,183.0,0.000963391,3.484535669,0.166666667,170.4491459,0.02173913,176.0,10.2,23,5.0
1.944552846,21.0,0.009099235,0.000722136,0.000570652,2,5.8e-05,4,34.65657388,21,20,86.62192646,0.539512195,0.0,14,75.0,0.000963391,0.774004102,-0.266666667,149.713924,0.021276596,71.0,4.0,9,2.0
1.125365854,14.0,0.005845518,0.000826791,0.000570652,2,5.78e-05,4,29.86256812,13,16,64.74742416,0.337398374,0.0,10,33.0,0.000963391,0.559771082,-0.1,146.1070238,0.021276596,35.5,3.2,7,2.0
0.905365854,7.0,0.005796061,0.000879148,0.000570652,2,5.77e-05,3,29.13361536,13,16,62.37636472,0.264065041,0.0,10,31.0,0.000963391,0.39312187,-0.1,144.5531793,0.021276596,29.5,3.2,7,2.0
2.572195122,32.0,0.007410759,0.001517145,0.002104696,2,5.79e-05,7,38.75378522,31,42,136.5235379,0.579186992,0.0,44,100.0,0.000963391,1.716800441,0.222222222,152.7936922,0.021276596,96.25,6.8,15,4.0
2.168455285,27.5,0.007612259,0.001104075,0.001337674,2,5.79e-05,6,36.53326483,28,30,109.4366782,0.532682927,0.0,27,83.0,0.000963391,1.263995623,0.05,151.4911874,0.021276596,81.0,5.4,12,3.0
3.082926829,35.0,0.009544155,0.00138932,0.002104696,2,5.8e-05,8,40.87231158,34,44,150.4443703,0.710243902,0.0,48,118.0,0.000963391,1.903677455,0.174603175,154.4698955,0.021276596,119.5,7.2,16,4.0
1.358211382,20.5,0.002000989,0.000833654,0.000570652,2,5.47e-05,4,29.46826573,20,20,62.49325992,0.392845528,0.0,14,51.0,0.000963391,0.675640971,-0.266666667,137.5771023,0.020833333,47.5,4.0,9,2.0
1.260650407,17.5,0.002148027,0.000819072,0.000570652,2,5.47e-05,4,27.98819723,17,18,61.48721077,0.368455285,0.0,12,47.0,0.000963391,0.606513479,-0.166666667,136.9258498,0.020833333,44.0,3.6,8,2.0
0.983089431,7.25,0.001970356,0.000922726,0.000570652,1,5.46e-05,3,26.7218731,14,16,57.91936203,0.324065041,0.0,10,40.0,0.000963391,0.371252506,0.0,136.1268184,0.020833333,35.0,3.2,7,2.0
1.811544715,19.5,0.015342748,0.000743443,0.000570652,2,6.14e-05,4,38.2462422,21,18,93.81835064,0.515121951,0.0,12,61.0,0.000963391,0.836066696,-0.166666667,161.5487325,0.02173913,61.5,3.6,8,2.0
1.624878049,19.5,0.01197385,0.00075236,0.000570652,2,6.13e-05,4,37.15904262,21,18,85.87004873,0.435121951,0.0,12,61.0,0.000963391,0.788540688,-0.166666667,160.2112397,0.02173913,61.0,3.6,8,2.0
1.351869919,15.5,0.00488374,0.000776809,0.000570652,2,5.78e-05,4,30.3434418,16,16,73.69230745,0.384065041,0.0,10,46.0,0.000963391,0.589363675,-0.1,146.7980352,0.021276596,47.0,3.2,7,2.0
1.189756098,14.5,0.002043738,0.00082705,0.000570652,2,5.46e-05,4,26.74803452,14,16,58.14168119,0.344065041,0.0,10,37.0,0.000963391,0.534234654,-0.1,136.7087657,0.020833333,38.5,3.2,7,2.0
2.097235772,29.5,0.002896081,0.001144392,0.001337674,2,5.49e-05,5,34.66387208,29,32,97.12019268,0.523739837,0.0,30,82.0,0.000963391,1.172180979,-0.028571429,140.8388944,0.020833333,64.25,5.8,13,3.0
1.42504065,18.0,0.002679983,0.000792173,0.000570652,2,5.47e-05,4,28.77872252,18,18,63.60573713,0.401788618,0.0,12,51.0,0.000963391,0.633527027,-0.166666667,137.8732707,0.020833333,47.0,3.6,8,2.0
1.356097561,15.5,0.000614157,0.001295657,0.001337674,2,5.18e-05,5,23.73947469,13,24,67.97256559,0.386178862,0.0,18,35.0,0.000963391,0.708499174,0.2,127.0783108,0.020408163,38.5,4.2,9,3.0
1.083252033,12.0,0.00120385,0.000829078,0.000570652,2,5.18e-05,4,22.73342555,12,14,56.76691975,0.31300813,0.0,8,30.0,0.000963391,0.453641164,0.0,127.0210829,0.020408163,35.5,2.8,6,2.0
0.403902439,3.0,0.000491302,0.000536652,0.000196369,1,5.17e-05,1,19.16557681,6,6,26.7218731,0.079837398,0.0,2,13.0,0.000963391,0.092713648,-0.333333333,122.8687961,0.020408163,7.25,1.4,3,1.0
1.036585366,13.0,0.000298782,0.000881238,0.000570652,2,4.91e-05,4,20.03921908,11,16,45.34789105,0.337398374,0.0,10,26.0,0.000963391,0.473431677,-0.1,117.7489592,0.02,26.5,3.2,7,2.0
0.705691057,5.0,0.000163291,0.000992683,0.000570652,1,4.91e-05,3,18.46508078,8,14,37.95963892,0.239674797,0.0,8,20.0,0.000963391,0.271414437,0.066666667,116.4678945,0.02,18.25,2.8,6,2.0
3.012682927,29.5,0.0403636,0.001079237,0.001337674,2,6.27e-05,5,47.14856516,32,30,143.7052809,0.752682927,0.0,27,98.0,0.000963391,1.880434459,0.071428571,173.2476387,0.022222222,94.0,5.4,12,3.0
1.549593496,17.0,0.019196087,0.000764877,0.000570652,2,6.35e-05,4,40.19365154,16,18,88.57650986,0.401788618,0.0,12,49.0,0.000963391,0.835426949,-0.166666667,170.3418461,0.022222222,43.5,3.6,8,2.0
2.457723577,22.0,0.049152902,0.001165745,0.001337674,2,6.8e-05,5,44.91675921,23,26,134.2612319,0.450569106,0.0,21,79.0,0.000963391,1.764363114,0.185714286,179.4563487,0.023255814,72.0,4.6,10,3.0
1.782926829,16.0,0.018394594,0.000755663,0.000570652,2,6.33e-05,4,38.29174371,17,16,88.62470089,0.490731707,0.0,10,51.0,0.000963391,0.778891755,-0.1,166.3945862,0.022222222,50.0,3.2,7,2.0
2.646666667,21.5,0.039839584,0.000707973,0.000570652,2,6.5e-05,4,43.43205836,22,20,114.3478816,0.679512195,0.0,14,85.0,0.000963391,1.209741621,-0.266666667,173.323379,0.022222222,79.5,4.0,9,2.0
7.455609756,59.5,0.160229409,0.001470999,0.002871718,3,6.67e-05,10,68.87148282,62,68,313.7696839,1.478699187,0.1,95,256.0689893,0.006559,8.249286133,0.182539683,197.9081466,0.022222222,248.5,10.6,24,5.380952381
3.43495935,32.0,0.030289815,0.000682934,0.000570652,2,6.68e-05,4,50.79614338,37,24,119.183063,0.941626016,0.0,18,104.0,0.000963391,1.424611136,-0.380952381,181.6044131,0.022222222,97.0,4.8,11,2.0
0.619349593,3.5,0.011674087,0.000505981,0.000196369,1,6.23e-05,1,30.86723803,8,6,46.35275364,0.079837398,0.0,2,23.0,0.000963391,0.173698451,-0.333333333,156.5763004,0.022222222,12.0,1.4,3,1.0
0.994471545,11.0,0.0005841,0.000870699,0.000570652,2,5.17e-05,4,21.60841636,10,14,46.7872536,0.31300813,0.0,8,23.0,0.000963391,0.426518171,0.0,125.8759987,0.020408163,27.5,2.8,6,2.0
0.319512195,2.75,4.07e-05,0.000566485,0.000196369,1,4.68e-05,1,14.22016422,5,6,18.46508078,0.079837398,0.0,2,8.0,0.000963391,0.085221031,-0.333333333,106.8131009,0.019607843,5.0,1.4,3,1.0
1.13203252,14.0,0.004371461,0.00083334,0.000570652,2,5.4e-05,4,28.07745252,13,16,63.78587253,0.337398374,0.0,10,33.0,0.000963391,0.541812774,-0.1,139.3565734,0.020833333,34.5,3.2,7,2.0
2.013333333,22.5,0.013678736,0.001190996,0.001337674,2,5.54e-05,5,35.24121821,21,28,102.1380677,0.481626016,0.0,24,75.0,0.000963391,1.154350613,0.15,149.2164369,0.020833333,58.75,5.0,11,3.0
1.083252033,12.0,0.003852824,0.000828607,0.000570652,2,5.62e-05,4,28.54465432,12,14,65.31353457,0.31300813,0.0,8,28.0,0.000963391,0.484233765,0.0,144.627903,0.021276596,35.0,2.8,6,2.0
5.268455285,40.0,0.047075761,0.001660333,0.002871718,3,5.87e-05,10,49.75865531,38,58,227.3950438,1.003414634,0.0,70,157.0,0.000963391,3.384748629,0.293650794,169.089688,0.021276596,175.0,8.6,19,5.0
0.672520325,4.75,0.003410767,0.000481516,0.000196369,1,5.24e-05,2,24.30195983,10,8,35.24121821,0.190894309,0.0,3,21.0,0.000963391,0.177455922,-0.5,133.1141364,0.020408163,22.5,1.8,4,1.0
1.722601626,21.0,0.011080129,0.000775043,0.000570652,2,5.95e-05,4,37.23608205,21,20,81.46990605,0.432845528,0.0,14,59.0,0.0043606,0.829940545,-0.214285714,158.4528042,0.02173913,50.0,4.0,9,2.1
3.767479675,41.5,0.063098097,0.000674905,0.000570652,2,5.97e-05,4,49.86426671,44,32,119.0387038,1.039186992,0.0,26,170.0,0.001570036,2.418235124,-0.514285714,166.4216476,0.02173913,111.0,6.4,15,2.035714286
5.323577236,57.0,0.080012894,0.00127989,0.002104696,3,6.04e-05,8,58.8001464,57,58,210.468717,1.234308943,0.0,76,229.0,0.001570036,4.769508063,-0.03968254,175.8409919,0.02173913,166.5,10.0,23,4.035714286
2.897398374,30.0,0.015718824,0.00069832,0.000570652,2,5.9e-05,4,45.30174077,33,24,105.3191868,0.781626016,0.0,18,106.0,0.000963391,1.140506662,-0.380952381,165.6092023,0.021276596,85.5,4.8,11,2.0
2.626504065,24.0,0.016286755,0.00114217,0.001337674,2,5.72e-05,5,38.1876717,24,28,115.9494923,0.728292683,0.0,24,83.0,0.000963391,1.238861084,0.15,154.8840379,0.021276596,69.75,5.0,11,3.0
11.80569106,71.0,0.205976712,0.002335784,0.005172783,4,6.35e-05,16,69.28004847,67,122,462.0499576,1.724878049,0.035714286,200,357.9838154,0.017842588,13.85100391,0.448484848,190.619051,0.022222222,393.5,14.8,33,8.333333333
2.824065041,26.0,0.027472584,0.001056174,0.001337674,2,6.11e-05,6,44.28144805,28,28,134.573087,0.608292683,0.0,24,79.0,0.000963391,1.551914511,0.085714286,169.792232,0.02173913,87.0,5.0,11,3.0
5.177723577,45.5,0.015963135,0.001277499,0.002104696,2,6.17e-05,8,55.56053147,49,48,210.503768,1.112357724,0.0,56,171.0,0.000963391,2.483067807,0.116666667,178.887096,0.02173913,159.0,8.0,18,4.0
2.408943089,25.0,0.014180506,0.000746629,0.000570652,2,5.96e-05,4,40.18736416,26,22,91.11292343,0.703902439,0.0,16,71.0,0.0043606,0.973117889,-0.314285714,160.7500791,0.02173913,62.0,4.4,10,2.1
0.919186992,4.75,0.004061071,0.000467779,0.000196369,1,5.4e-05,2,26.0034728,10,8,38.1876717,0.190894309,0.0,3,24.0,0.000963391,0.181891559,-0.5,137.6209716,0.020833333,24.0,1.8,4,1.0
3.637073171,34.0,0.067396065,0.000679958,0.000570652,2,6.05e-05,4,46.86501092,38,26,113.9768631,1.019349593,0.0,20,142.0,0.001570036,2.27410329,-0.3,166.734088,0.02173913,98.0,5.2,12,2.035714286
6.021463415,48.0,0.099855772,0.001288863,0.002104696,3,6.19e-05,7,58.0513093,48,52,220.418979,1.381138211,0.166666667,64,192.1513516,0.017842588,4.62160104,0.102380952,179.2629261,0.02173913,174.75,8.8,20,4.202380952
3.807804878,39.5,0.076883007,0.000697513,0.000570652,2,6.3e-05,4,52.44676109,43,30,124.907132,1.068130081,0.0,24,160.0,0.001570036,2.693087805,-0.466666667,175.015654,0.022222222,107.5,6.0,14,2.035714286
6.531869919,55.5,0.132730872,0.001218132,0.002104696,3,6.19e-05,8,60.47030145,54,58,235.4260833,1.48097561,0.166666667,76,221.7782119,0.017842588,6.136008863,-0.027777778,179.4474193,0.02173913,202.5,10.0,23,4.202380952
3.455284553,27.0,0.064312637,0.000676557,0.000570652,2,6.13e-05,4,44.69681463,33,20,115.1015315,0.892845528,0.0,14,102.0,0.000963391,1.916541559,-0.214285714,168.3585955,0.02173913,96.0,4.0,9,2.0
2.313821138,18.0,0.03401776,0.000722851,0.000570652,2,6.31e-05,4,43.59507388,21,16,105.9543379,0.490731707,0.0,10,66.0,0.000963391,1.061129048,-0.1,172.9565855,0.022222222,69.0,3.2,7,2.0
4.522926829,40.5,0.036860815,0.000995592,0.001337674,2,6.23e-05,6,55.02638366,45,36,168.5150517,1.159186992,0.0,36,148.0,0.009456414,2.25961514,-0.092063492,179.6921119,0.02173913,128.0,6.6,15,3.166666667
1.656422764,7.75,0.024898851,0.000418276,0.000196369,1,5.82e-05,2,35.6422454,19,10,58.0513093,0.275284553,0.0,4,53.0,0.009456414,0.4440242,-0.6,155.4425086,0.021276596,48.0,2.2,5,1.166666667
8.464065041,62.0,0.190527222,0.001430198,0.002871718,3,6.54e-05,10,68.23652053,64,70,314.7502582,1.543089431,0.0,100,307.0,0.010427045,9.571966071,0.146825397,193.4343981,0.022222222,268.5,11.0,25,5.214285714
2.195772358,21.5,0.03595213,0.000726037,0.000570652,2,5.91e-05,4,39.85820502,25,18,96.14025108,0.401788618,0.0,12,72.0,0.009456414,1.204569949,-0.166666667,161.039239,0.021276596,68.5,3.6,8,2.166666667
5.107642276,32.5,0.079492115,0.000923933,0.001337674,2,6.35e-05,6,52.20528568,35,32,179.3488011,1.197073171,0.0,30,140.0,0.000963391,2.802394949,-0.016666667,180.5741585,0.02173913,132.0,5.8,13,3.0
4.036747967,37.0,0.084167601,0.000655786,0.000570652,2,6.53e-05,4,56.57105393,44,26,138.9590111,1.12601626,0.0,20,149.0,0.001934022,2.765481933,-0.377777778,186.2495493,0.022222222,117.0,5.2,12,2.047619048
7.302439024,59.5,0.148417268,0.001141698,0.002104696,4,6.58e-05,8,68.23462296,59,60,266.00203,1.478699187,0.333333333,80,199.9122357,0.040531091,6.869757163,-0.095959596,194.3189501,0.022222222,229.5,10.4,24,4.480952381
5.486829268,44.0,0.103706522,0.000901365,0.001337674,3,6.76e-05,6,64.59702934,49,38,201.2777757,1.276910569,0.0,39,194.0,0.001934022,4.067232067,-0.133333333,198.2577342,0.022222222,158.5,7.0,16,3.047619048
3.604390244,26.0,0.024565069,0.000661176,0.000570652,2,6.13e-05,4,46.5152512,28,22,108.6635521,1.090569106,0.0,16,98.0,0.000963391,1.1713116,-0.314285714,172.2316946,0.021276596,76.5,4.4,10,2.0
4.381626016,29.0,0.03731606,0.000991962,0.001337674,2,6.56e-05,6,51.40403694,31,30,163.5707934,1.08601626,0.0,27,107.0,0.000963391,1.848232291,0.05,183.7849809,0.022222222,101.5,5.4,12,3.0
6.308617886,43.5,0.068193605,0.001204266,0.002104696,3,6.37e-05,8,56.24598219,45,48,223.3330369,1.272357724,0.166666667,56,145.5948567,0.016022654,3.572708689,0.071428571,183.2428376,0.02173913,167.5,8.0,18,4.5
5.420162602,38.5,0.066563932,0.001228018,0.002104696,3,6.36e-05,8,53.32959082,38,46,207.3818578,1.24796748,0.166666667,52,132.0511491,0.016022654,3.292330428,0.119047619,180.7349614,0.02173913,150.5,7.6,17,4.5
3.415284553,28.0,0.048013585,0.000668256,0.000570652,2,6.32e-05,4,47.01563891,32,22,113.4290352,0.917235772,0.0,16,97.0,0.0043606,1.642512729,-0.314285714,174.255983,0.02173913,88.5,4.4,10,2.1
2.535609756,24.0,0.044581438,0.000709775,0.000570652,2,6.68e-05,4,46.99502498,27,20,109.2954131,0.566178862,0.0,14,83.0,0.0043606,1.445979092,-0.214285714,180.4461039,0.022727273,74.5,4.0,9,2.1
4.869756098,38.0,0.036182213,0.000934777,0.001337674,2,6.64e-05,6,61.51751585,43,34,188.5452128,1.188130081,0.0,33,154.0,0.000963391,2.169605283,-0.044444444,196.326681,0.02173913,134.0,6.2,14,3.0
3.144715447,22.0,0.011939865,0.000697378,0.000570652,2,6.41e-05,4,45.43000516,23,20,104.6201333,0.892845528,0.0,14,71.0,0.000963391,0.863778827,-0.266666667,176.3504494,0.02173913,64.0,4.0,9,2.0
6.497235772,47.0,0.026678823,0.001560096,0.002871718,3,6.78e-05,10,61.21831695,46,62,261.3722404,1.312195122,0.0,80,179.0,0.000963391,3.359314496,0.235714286,195.3559141,0.022222222,173.5,9.4,21,5.0
4.201300813,34.0,0.032997405,0.000991083,0.001337674,2,6.52e-05,6,50.84681272,35,34,154.8867422,1.161463415,0.0,33,119.0,0.009456414,1.967720594,-0.064285714,180.6755199,0.022222222,102.0,6.2,14,3.166666667
1.589756098,8.25,0.01335164,0.00041686,0.000196369,1,6.48e-05,2,40.16648887,18,12,61.56973433,0.31300813,0.0,5,54.0,0.000963391,0.357105607,-0.666666667,171.0106892,0.022222222,42.5,2.6,6,1.0
5.631869919,35.0,0.010565183,0.001279949,0.002104696,2,6.34e-05,8,53.21609632,37,42,202.5762489,1.165853659,0.0,44,129.0,0.009456414,1.936093952,0.202380952,183.4274255,0.021276596,132.0,6.8,15,4.166666667
4.247804878,35.5,0.025508325,0.000973062,0.001337674,2,6.4e-05,6,50.92201042,38,34,154.2585439,1.148130081,0.0,33,122.0,0.009456414,1.871232626,-0.064285714,179.4790315,0.02173913,109.5,6.2,14,3.166666667
3.779349593,30.5,0.009903695,0.001059259,0.001337674,2,6.41e-05,5,48.66087966,31,32,146.5216173,1.110406504,0.0,30,105.0,0.000963391,1.356004616,0.035714286,178.0048214,0.02173913,87.25,5.8,13,3.0
