Laplacian Centrality,P Value,Coreness Centrality,Global Relative Change in Avg Clustering,Node H-Index,Volume Centrality,Local-Global Centrality,Eccentricity Centrality,Improved Gravity Index Values,Extended Degree,Local Gravity Model Centrality,Clustering Coefficient,H Values,Global Relative Change in Avg Degree,EHCC Value,Eigenvector Centrality,GIN Values,PageRank Centrality,GGC Values,Leverage Centrality,Closeness Centrality,Degree Centrality,Semi local centrality,Second order centrality,I-GSM Values
78264,148,13557,0.001213022,108,83249,1007.435985,0.5,4533058.5,12676.2,3875238,0.665067306,413.3942254,0.000899089,172.3530451,0.030493046,73863.51332,0.001558035,498447.7601,-0.251468756,0.001177856,0.25308642,15311848,-1278.74808,40818.66977
198130,344,30537,0.000187572,159,83093,2874.856735,0.5,7695909.0,24169.4,16741395,0.542765787,1880.879203,0.004649053,367.6661643,0.061593451,126884.574,0.003164038,2009882.963,0.187316097,0.001443001,0.574074074,29162302,-766.9117935,106572.4505
125448,322,20866,0.00105227,136,83183,1725.441545,0.5,6361582.5,18021.0,8461341,0.631599685,939.0995133,0.002485612,266.833439,0.045006207,94311.05001,0.002224145,960876.2681,-0.03452864,0.001277139,0.388888889,21757639,-990.717637,66218.00696
163174,390,25633,0.000287178,153,83139,2278.450024,0.5,7198922.25,21870.2,12657958,0.6194317,1407.812965,0.003543294,327.5847589,0.054921896,110903.6253,0.002676474,1365255.942,0.065396742,0.00135318,0.479423868,26402323,-866.7518886,87839.56117
116556,314,18942,0.0005654,134,83199,1549.053356,0.5,6226740.0,17394.6,7478271,0.689205538,808.1840004,0.002101,248.0428918,0.042666244,90174.44895,0.00206793,786337.5809,-0.097312182,0.001251564,0.355967078,21008244,-1046.147578,61886.80808
367058,390,46957,0.002919964,171,82919,5532.63246,0.5,9506630.25,32551.0,36556194,0.381195179,4065.217578,0.008831705,519.4327023,0.086573196,207382.7159,0.005098075,5189537.449,0.471325453,0.001926782,0.932098765,39219064,-519.670995,204589.6161
343444,390,44722,0.002549093,170,82940,5173.098274,0.5,9287518.5,31536.8,33779808,0.393088855,3726.383409,0.008326902,499.3552402,0.083323273,195615.8509,0.004900358,4762458.481,0.448406154,0.001851852,0.888888889,38002129,-542.915417,189899.2438
121708,271,19782,0.000825903,134,83190,1647.160306,0.5,6096152.25,17789.6,8044582,0.632687754,859.4246341,0.002317345,249.0313146,0.04344478,92557.54405,0.002178467,939655.0372,-0.058496663,0.001265823,0.374485597,21481593,-1014.064474,64450.90455
92836,196,15218,0.000747872,116,83231,1195.972179,0.5,5099978.0,14647.4,5133387,0.700101317,531.7558833,0.001331777,195.2171693,0.03494256,79906.00904,0.001760008,577490.7142,-0.194136608,0.001203369,0.290123457,17693727,-1181.923855,48876.66761
262974,388,37616,0.00106873,165,83020,3920.19581,0.5,8514587.25,27954.8,24414368,0.461149961,2726.952174,0.006403843,433.3126274,0.072494475,156963.9664,0.003963937,3190202.384,0.329498043,0.001612903,0.724279835,33708340,-645.4194511,143001.8554
394722,390,48829,0.003413221,171,82893,5955.87097,0.5,9655308.0,33247.8,39470079,0.355648536,4336.165206,0.009456699,529.7529596,0.088803072,220997.5071,0.005420952,5818779.489,0.505454163,0.002028398,0.985596708,40046722,-492.1405348,220344.8439
320530,390,43074,0.002042825,169,82962,4822.442283,0.5,9096516.0,30650.0,31164100,0.412141451,3480.36703,0.007798061,485.5008929,0.080799717,184466.8961,0.004608473,4285924.768,0.417566268,0.001779359,0.843621399,36940711,-568.9144158,176463.0023
185656,349,28879,0.000548001,154,83106,2689.616193,0.5,7460417.25,23086.4,15246322,0.534316924,1696.811222,0.004336556,348.8102615,0.058755886,121232.8828,0.003042171,1883113.683,0.167816339,0.001416431,0.547325103,27855951,-792.7256937,99142.13394
118636,249,19986,0.000906681,130,83188,1655.193654,0.5,5829775.5,17029.6,7782832,0.602637206,840.771647,0.002365421,242.6041709,0.04206803,91548.641,0.002200628,977283.7999,-0.021575373,0.001269036,0.378600823,20556722,-1007.515207,61950.29193
223108,346,33141,0.000605646,154,83055,3353.74663,0.5,7795359.0,24650.6,19384867,0.438865152,2119.503708,0.005562505,376.8602455,0.063954127,138243.9222,0.0036327,2770547.637,0.301637422,0.001526718,0.652263374,29719264,-699.127383,117409.5749
164082,387,26228,0.000125755,153,83137,2302.079589,0.5,7197547.5,21865.4,12763085,0.629896345,1451.900519,0.003591371,334.9631436,0.05535689,111346.2465,0.00268174,1340083.848,0.072446806,0.001356852,0.483539095,26395024,-862.0698656,88176.8197
189898,390,29545,5.38e-05,163,83105,2721.642832,0.5,7623076.5,23828.6,15798657,0.5742446,1796.77969,0.004360594,368.9490712,0.060815017,123085.1353,0.00302266,1783646.563,0.15124877,0.00141844,0.549382716,28756998,-790.8525418,102541.2303
216766,374,32521,0.000200951,159,83067,3210.523816,0.5,7845464.25,24870.2,18823990,0.481967213,2086.38962,0.005274047,382.592392,0.06415515,135420.6785,0.00347715,2484484.547,0.26110782,0.00149925,0.627572016,29994826,-719.443665,115608.4785
114470,290,19591,0.001028453,133,83197,1563.426726,0.5,6052358.0,16839.0,7321125,0.644794745,824.8509566,0.002149077,251.3922264,0.042103566,89547.16232,0.002071063,833412.6911,-0.078624964,0.001254705,0.360082305,20331716,-1038.820443,60155.3794
242968,390,35937,0.00091594,166,83043,3589.693577,0.5,8325720.0,27077.0,22108471,0.500074134,2526.048493,0.005850964,427.2055073,0.070291023,147623.4579,0.003685192,2718827.37,0.282621834,0.00155521,0.676954733,32658570,-680.1927482,132177.2242
138060,372,22025,0.000475598,148,83175,1843.780678,0.5,6778863.0,19929.0,9756819,0.679270693,1082.309207,0.002677918,290.6071993,0.049140032,99432.22796,0.002286956,984762.6232,-0.054711049,0.001290323,0.405349794,24070019,-965.2373245,74417.10114
274762,390,39031,0.001286391,167,83009,4097.615413,0.5,8685904.5,28743.8,25887345,0.459248436,2923.93033,0.006668264,451.7098229,0.074913026,162598.9899,0.004065202,3351336.109,0.342308415,0.001642036,0.74691358,34658949,-629.873165,150374.2053
113118,339,18366,0.000392413,132,83209,1449.336571,0.5,6224049.0,17375.0,7040459,0.75732788,779.7974149,0.001860618,250.1931123,0.042458751,88324.92839,0.001935417,647533.0424,-0.165760133,0.001236094,0.335390947,20991708,-1084.303842,60581.71425
346316,390,45236,0.002441575,171,82938,5215.607328,0.5,9337389.75,31765.6,34183142,0.395259735,3809.023497,0.008374978,506.5100319,0.084203367,197112.021,0.004885248,4776003.477,0.448205689,0.001858736,0.893004115,38278657,-540.7575372,192062.4947
153870,352,24626,0.000705423,151,83150,2138.320267,0.5,7011108.0,21006.0,11584404,0.606742489,1294.141792,0.003278874,311.9062564,0.052551847,106744.2722,0.002554249,1304884.993,0.035928383,0.001333333,0.456790123,25360349,-894.4166335,82508.82765
117664,268,19500,0.00119023,132,83194,1598.273515,0.5,5933116.0,17267.2,7636378,0.61270869,828.4140332,0.002221192,245.6933149,0.042482771,90866.50856,0.002122386,935150.6646,-0.065272486,0.001259446,0.366255144,20849805,-1027.922419,62057.4325
155646,390,24834,0.00024049,156,83151,2136.684516,0.5,7108539.75,21449.4,11777532,0.658700123,1334.727504,0.003254835,323.1306382,0.053745973,107399.8228,0.002526415,1185809.693,0.017269646,0.001331558,0.45473251,25899811,-897.1793027,84080.21109
305978,390,42309,0.002030614,170,82979,4579.389628,0.5,9058227.75,30463.0,29698224,0.442825985,3382.88951,0.007389411,484.9444027,0.079956735,177662.453,0.004378575,3868510.173,0.382503566,0.001727116,0.808641975,36725899,-590.1007407,169422.8139
114380,253,19254,0.001507239,127,83195,1578.498994,0.5,5758291.5,16681.0,7334349,0.579930663,791.751675,0.002197153,236.4669247,0.041121412,89628.01214,0.00212367,969821.985,-0.049486261,0.001257862,0.364197531,20138295,-1031.47481,59832.72046
167302,361,26144,0.000261203,155,83133,2352.250449,0.5,7255345.5,22131.8,13138069,0.598642804,1449.917982,0.003687524,328.0531081,0.055458919,112800.3676,0.002745547,1474641.023,0.085007673,0.001364256,0.491769547,26715792,-852.2503171,89977.95758
393178,390,48748,0.003572165,171,82895,5928.252456,0.5,9671600.25,33320.6,39393522,0.360278703,4331.614376,0.009408622,530.388881,0.088857274,220340.7745,0.005398825,5767471.729,0.501604272,0.002020202,0.981481481,40136632,-494.1976515,219932.5501
399464,390,49011,0.003662651,171,82889,6022.119125,0.5,9694239.75,33428.2,40014618,0.353599134,4372.968108,0.009552851,531.7904674,0.089224217,223414.6349,0.0054985,5924610.289,0.510077821,0.00204499,0.99382716,40262992,-487.9343243,223357.1227
333532,390,44016,0.002548916,168,82949,5025.956611,0.5,9190905.75,31089.8,32609070,0.398686879,3606.780513,0.008110558,489.4832611,0.081942487,190728.9895,0.004778096,4580714.085,0.437045705,0.001821494,0.87037037,37465578,-553.4064074,183800.9855
385536,390,48243,0.003323115,171,82902,5812.399816,0.5,9627666.75,33115.2,38579010,0.36653813,4258.901853,0.009240354,528.1821719,0.088280203,216545.3041,0.005314838,5594924.303,0.492868885,0.001992032,0.967078189,39892174,-501.4724064,215478.7523
136086,308,22003,0.000874047,141,83169,1890.119548,0.5,6586515.0,19056.6,9609411,0.604204263,1040.790744,0.002822147,274.8980177,0.04730222,98999.00549,0.002390389,1137244.346,0.010113621,0.00130039,0.417695473,23005679,-947.2903077,72029.9862
393324,390,48632,0.003332275,171,82894,5934.198223,0.5,9636032.25,33159.2,39282518,0.355209951,4306.782968,0.00943266,528.4590519,0.088558623,220251.9774,0.005446111,5801442.015,0.505245158,0.002024291,0.983539095,39939801,-493.0284501,219308.0865
364392,390,46610,0.002844808,171,82921,5493.375776,0.5,9469131.75,32378.6,36201770,0.380408968,4009.790528,0.008783628,515.6308486,0.086028546,205995.0506,0.005084744,5157497.041,0.470516034,0.001919386,0.927983539,39011056,-521.817387,202674.852
360004,390,46580,0.002951588,171,82926,5423.828269,0.5,9473753.25,32396.0,35823166,0.389529904,4002.936852,0.008663437,515.9683876,0.085936815,203960.898,0.005002895,5023228.708,0.460576612,0.001901141,0.917695473,39035843,-527.3908823,200731.6367
400494,390,49043,0.003668303,171,82888,6037.397572,0.5,9696930.75,33441.2,40112468,0.352403196,4378.046474,0.00957689,531.9435188,0.089269549,223914.387,0.005515173,5951657.942,0.511553043,0.00204918,0.995884774,40278058,-486.8973104,223899.6443
394398,390,48691,0.003381852,171,82893,5950.871158,0.5,9641092.5,33183.0,39392481,0.354233454,4315.945095,0.009456699,528.7362832,0.088639484,220780.9136,0.005434628,5826401.969,0.5065349,0.002028398,0.985596708,39967989,-492.0877459,219913.3491
346790,390,45552,0.002559835,171,82938,5223.675166,0.5,9358186.5,31860.4,34286000,0.397856558,3847.993593,0.008374978,509.0640367,0.084474745,197400.9218,0.004868508,4755053.077,0.445730475,0.001858736,0.893004115,38393841,-540.8144383,192638.0393
318254,390,42824,0.001681027,170,82964,4788.983258,0.5,9068582.25,30521.2,30881928,0.41107819,3449.469127,0.007749984,484.0511515,0.080549905,183344.5544,0.004584648,4243747.405,0.415335508,0.00177305,0.839506173,36785662,-571.3327141,175005.4082
386980,390,48307,0.003304435,171,82900,5839.133046,0.5,9608215.5,33028.0,38638864,0.361518946,4256.819996,0.009288431,526.6298058,0.088120148,217142.5405,0.005338308,5650191.331,0.497023718,0.002,0.971193416,39784767,-499.3858946,215785.2307
397478,390,48783,0.003407539,171,82890,5994.926511,0.5,9649516.5,33223.6,39685952,0.350669853,4329.722201,0.009528813,529.3444076,0.088754734,222271.6123,0.005569254,5907778.111,0.511057998,0.002040816,0.991769547,40015132,-488.638103,221532.1617
375152,390,47547,0.00291579,171,82911,5659.440745,0.5,9540355.5,32710.6,37380185,0.371753277,4147.926428,0.00902401,523.2460464,0.087238447,211305.883,0.0051999,5377426.526,0.48276846,0.001956947,0.948559671,39407146,-511.0194587,208971.496
401476,390,49050,0.003664941,171,82887,6051.212606,0.5,9697428.0,33444.2,40198255,0.351001108,4379.216441,0.009600928,531.9834085,0.089280661,224381.4104,0.005560925,5980592.424,0.513217587,0.002053388,0.997942387,40280974,-485.7507981,224376.0384
389362,390,48333,0.003300624,171,82898,5870.73404,0.5,9629568.0,33126.8,38918244,0.360594464,4271.378266,0.009336507,527.8255101,0.088373953,218356.3782,0.005400325,5704223.296,0.4996197,0.002008032,0.975308642,39903354,-497.1596445,217316.4811
397100,390,48800,0.003552399,171,82891,5986.24021,0.5,9675256.5,33340.2,39744549,0.354669092,4342.31096,0.009504775,530.6619796,0.088981782,222210.3652,0.005494593,5879802.101,0.508179079,0.00203666,0.989711934,40157530,-489.8993272,221861.3785
395566,390,48788,0.003379895,171,82892,5968.409458,0.5,9650189.25,33225.2,39524640,0.353662143,4330.883326,0.009480737,529.4133682,0.088769438,221372.722,0.005444198,5848742.954,0.507538276,0.00203252,0.987654321,40018533,-491.0693168,220642.9484
385732,390,48349,0.003447998,171,82902,5816.18909,0.5,9636266.25,33154.4,38625070,0.367427301,4270.263714,0.009240354,528.0937395,0.088321655,216673.9306,0.005298745,5591466.503,0.492107356,0.001992032,0.967078189,39939802,-501.538572,215735.0004
384842,390,48192,0.003202758,171,82902,5807.026392,0.5,9597217.5,32976.4,38415920,0.363416958,4239.893742,0.009240354,526.0737848,0.087979203,216089.8614,0.005309842,5598996.748,0.49434831,0.001992032,0.967078189,39723532,-501.493478,214571.425
379606,390,47899,0.00307393,171,82907,5727.17307,0.5,9572969.25,32862.2,37877970,0.368743048,4198.38363,0.009120163,525.047034,0.087650757,213527.9732,0.00524449,5471810.169,0.487402928,0.001972387,0.956790123,39588424,-506.7778624,211660.2712
383898,390,48170,0.00315894,171,82903,5792.338828,0.5,9597071.25,32975.0,38333246,0.364942686,4238.587416,0.009216316,526.5157291,0.087992265,215645.2905,0.005294685,5569384.988,0.492634881,0.001988072,0.965020576,39722560,-502.5518447,214126.07
193762,376,29822,0.000265009,160,83099,2796.966613,0.5,7650015.75,23955.8,16238040,0.563644689,1817.799452,0.004504823,364.6062017,0.060954981,124876.3441,0.003104376,1864033.725,0.170284438,0.001430615,0.561728395,28907172,-778.7641219,104351.4999
146160,357,23447,0.000335704,151,83161,2005.161343,0.5,6882612.75,20412.2,10700654,0.649514782,1190.006333,0.003014453,299.986305,0.050753032,103236.682,0.002438337,1123320.768,0.000351373,0.00131406,0.434156379,24646910,-924.3260506,78410.90473
146270,354,23461,0.000377296,151,83160,2014.507641,0.5,6868806.75,20350.0,10718084,0.642314227,1188.554968,0.003038491,299.1015198,0.050660883,103326.7938,0.002452909,1141296.835,0.008237715,0.001315789,0.436213992,24570610,-921.552705,78330.38351
77636,125,12861,6.94e-05,103,83252,979.7706978,0.5,4225742.5,12695.2,3786960,0.801120448,383.4843394,0.000826974,162.1667172,0.029817614,73445.08458,0.001539017,373667.1615,-0.267197008,0.001173709,0.24691358,15337126,-1297.950476,40634.27789
111900,254,18278,0.000212086,127,83205,1481.463758,0.5,5694459.75,16869.0,7000974,0.707957579,745.7375092,0.001956771,231.5589148,0.040799732,88155.10784,0.002004033,721644.1511,-0.119064939,0.001242236,0.343621399,20374014,-1068.97728,59297.42542
74678,135,11971,0.00012157,99,83263,881.1262673,0.5,4210756.25,12603.0,3416496,0.833163439,350.5160386,0.000562554,159.6363511,0.029280431,71677.79495,0.001407578,321299.3425,-0.361557248,0.001158749,0.224279835,15233123,-1369.794031,39460.16696
96776,193,15782,1.57e-05,117,83226,1250.592099,0.5,5199220.5,15150.4,5497922,0.761832782,570.0373234,0.001451968,200.7065897,0.03611946,81570.73976,0.001798101,537843.2416,-0.183985446,0.001210654,0.300411523,18301232,-1158.47192,51061.42729
67088,95,11329,0.000166263,96,83267,833.5231688,0.5,3803891.0,11254.6,2937795,0.821611722,297.2601814,0.000466401,142.2769091,0.026238872,69006.62637,0.001382481,295533.881,-0.330544409,0.001153403,0.216049383,13597733,-1399.517944,34979.04956
82132,152,13259,0.000154587,105,83249,1014.847616,0.5,4451548.25,13449.8,4113120,0.792349727,417.7432749,0.000899089,171.9561113,0.031506394,75108.35698,0.00156461,404999.8399,-0.276238556,0.001177856,0.25308642,16251777,-1279.408956,43298.63176
91076,174,14879,7.73e-05,115,83235,1157.405735,0.5,4882995.0,14516.2,4943645,0.775976814,512.6159434,0.001235624,190.9137647,0.034452312,79041.73052,0.001701827,480537.3539,-0.223246488,0.001197605,0.281893004,17537241,-1202.255748,48051.93978
85960,142,14315,5.36e-05,108,83238,1118.497678,0.5,4487292.75,13654.4,4547290,0.769386152,464.010269,0.00116351,177.3247632,0.03241427,77142.80378,0.001685232,458477.9538,-0.203557732,0.001193317,0.275720165,16492346,-1218.251148,44936.93883
67770,98,11040,5.75e-05,94,83269,817.4428949,0.5,3799260.0,11473.4,2938487,0.845231296,292.8718017,0.000418324,141.7261625,0.026528243,69064.81864,0.001362819,281881.6858,-0.348370358,0.001150748,0.211934156,13865037,-1414.70225,35512.58898
65734,93,10836,9.41e-05,93,83271,797.4800372,0.5,3744427.5,11147.0,2799316,0.845544554,279.6590507,0.000370248,138.1668006,0.025808329,68282.81292,0.001342576,271245.4651,-0.35293912,0.001148106,0.20781893,13469919,-1430.292082,34370.595
69782,109,11335,0.000158824,96,83267,837.9426439,0.5,3895823.75,11793.4,3079230,0.827655678,309.9070514,0.000466401,147.3580821,0.027340719,69842.17934,0.001379755,302066.2472,-0.349857584,0.001153403,0.216049383,14252374,-1399.22556,36643.62775
82240,150,13460,0.000155123,105,83248,1024.241449,0.5,4446431.5,13422.4,4137880,0.792289536,425.8654359,0.000923127,174.5700792,0.031639334,75216.94805,0.001570743,405487.229,-0.273203758,0.001179245,0.255144033,16217758,-1273.388981,43297.68168
52230,54,8393,7.69e-06,76,83295,582.8196848,0.5,2899989.0,9291.0,1779624,0.908065619,177.2978003,0.00020667,111.9905266,0.021124485,62317.05016,0.001088272,168859.55,-0.49575926,0.001117318,0.158436214,11232380,-1659.768811,27346.35445
102994,201,17117,0.000412996,123,83213,1382.900351,0.5,5287916.0,15606.2,6165543,0.693654964,645.0110724,0.001764465,211.1258956,0.037682484,84544.71787,0.001941043,674496.5982,-0.117334035,0.001230012,0.327160494,18845542,-1101.133609,53989.10794
85470,164,14035,0.000111162,108,83243,1074.692388,0.5,4610751.75,13817.4,4431150,0.791061047,459.5433176,0.001043318,181.9326173,0.032742666,76628.52473,0.0016201,427695.3715,-0.253254094,0.00118624,0.265432099,16694040,-1244.867599,45016.70975
70224,113,11369,8.58e-05,96,83267,838.8942312,0.5,3910907.0,11881.8,3102435,0.841941392,313.7013101,0.000466401,149.686864,0.027592692,69979.26709,0.001377239,293983.4096,-0.356153005,0.001153403,0.216049383,14359785,-1399.254447,36916.73226
89140,162,14640,0.00010401,109,83235,1151.863813,0.5,4667503.5,14129.0,4811029,0.765027909,491.6376612,0.001235624,184.313555,0.033581807,78400.49355,0.001715141,483248.2013,-0.199753433,0.001197605,0.281893004,17066793,-1202.539432,46774.4755
248828,390,36409,0.000855347,166,83038,3672.335445,0.5,8437016.25,27588.0,22868646,0.498714283,2603.669223,0.005971155,433.4142398,0.071511693,150402.686,0.003736193,2792502.342,0.28635468,0.001567398,0.687242798,33275799,-672.3240841,136052.8681
62488,80,10428,9.23e-05,91,83275,759.233913,0.5,3621143.0,10654.6,2569627,0.848797251,257.1495871,0.000274095,132.484808,0.024659531,66979.21125,0.001301837,252802.3989,-0.367603067,0.001142857,0.199588477,12874568,-1462.824179,32600.31543
70240,130,10965,7.44e-05,95,83274,781.1431186,0.5,4003863.0,12166.4,2966362,0.864085841,308.1507794,0.000298133,154.3537364,0.028103126,69426.34956,0.001284303,268861.4258,-0.446171371,0.001144165,0.201646091,14710672,-1453.148462,37269.42136
35332,19,5294,0.000231794,47,83325,335.3564833,0.5,1562033.25,6643.4,777286,0.943570768,77.92976619,0.000927816,77.43361389,0.014720394,54990.54747,0.000774328,83520.02052,-0.708472001,0.001081081,0.096707819,8037427,-2158.06749,18500.94585
75298,115,12596,5.01e-05,101,83253,965.8657011,0.5,4107330.0,12275.0,3630571,0.800028486,362.9550704,0.000802936,155.3124139,0.028815106,72625.38737,0.001538259,364927.0858,-0.249937959,0.001172333,0.244855967,14827314,-1304.481337,39216.80425
64708,91,11100,0.000638777,96,83270,804.5408938,0.5,3785179.0,10901.6,2764302,0.763929334,283.8992051,0.000394286,139.7271837,0.025576505,68043.40585,0.001348128,315459.6495,-0.34166499,0.001149425,0.209876543,13171025,-1421.92709,33685.90945
79384,134,13306,0.000239126,105,83249,1009.571082,0.5,4351589.75,12900.2,3944118,0.782087165,405.1823025,0.000899089,166.8347635,0.030451097,74223.96443,0.001565416,400114.522,-0.258731976,0.001177856,0.25308642,15584007,-1279.45746,41536.75597
59862,71,10665,0.000531561,93,83273,772.3482495,0.5,3559860.0,10051.8,2473119,0.776128633,253.9392502,0.000322172,130.7278806,0.023810525,66328.42631,0.001323218,281295.7388,-0.337166713,0.001145475,0.203703704,12140710,-1446.261758,30891.30393
63064,90,10067,0.000118357,88,83280,719.2883039,0.5,3589663.5,10956.8,2507368,0.859292881,252.5647579,0.000153904,134.3410269,0.025088384,66758.90454,0.001238823,241297.1256,-0.432451448,0.001136364,0.189300412,13245387,-1505.564399,33185.39951
80824,131,13400,1.85e-06,104,83246,1037.58517,0.5,4331496.0,13040.0,4083786,0.790984127,411.5006808,0.000971204,166.4399387,0.030709006,74904.10033,0.0016058,405465.6192,-0.233252988,0.001182033,0.259259259,15751683,-1262.405633,42238.52978
55204,61,9029,4.34e-05,81,83289,634.7080812,0.5,3151649.25,9696.2,2001628,0.907434617,200.310863,6.24e-05,118.2883623,0.022185277,63681.28796,0.001151125,184897.4561,-0.456384213,0.001124859,0.170781893,11720322,-1593.581943,28871.23545
105876,209,17281,1.83e-06,123,83211,1408.59795,0.5,5376903.0,16055.4,6423417,0.718400621,668.0962981,0.001812542,216.2124298,0.038660743,85670.65237,0.001959364,663064.3025,-0.119505302,0.001233046,0.33127572,19389870,-1093.216305,55763.99731
162694,309,25992,0.000769562,147,83133,2331.471499,0.5,7053169.5,21210.2,12587413,0.551457403,1388.414184,0.003687524,313.1485373,0.053416982,110918.5101,0.002759214,1574999.698,0.110702263,0.001364256,0.491769547,25596054,-852.2293721,86228.94461
142594,318,22836,0.000271733,142,83164,1962.52128,0.5,6781524.75,19949.2,10308688,0.639678558,1122.649286,0.002942338,284.7023393,0.049161381,101721.3142,0.002421787,1120402.387,0.00263709,0.001308901,0.427983539,24086550,-932.8816181,76168.9534
132118,283,21198,0.000342489,137,83175,1820.140657,0.5,6351025.5,18740.6,9171532,0.641458614,976.3493663,0.002677918,262.7502406,0.046058561,97206.08857,0.002331432,1019539.74,-0.008778042,0.001290323,0.405349794,22626123,-965.6674867,69982.21407
290996,390,40866,0.001418486,168,82993,4351.35008,0.5,8876117.25,29622.6,27851952,0.450475353,3182.924177,0.007052876,473.8414062,0.077886854,170378.3415,0.004254582,3599421.656,0.364225588,0.001686341,0.779835391,35715017,-608.1191194,160110.0392
73712,126,12432,0.000504263,103,83259,914.1359312,0.5,4188096.0,12233.8,3436895,0.767067004,360.064049,0.000658707,161.9931344,0.028962681,71680.617,0.001451111,365838.794,-0.322701244,0.001164144,0.232510288,14781629,-1342.141536,38618.54801
77328,138,12840,0.000369667,104,83255,954.2720388,0.5,4329546.5,12774.6,3716037,0.788093133,386.3341813,0.00075486,166.2220738,0.030088332,73125.0124,0.001493371,376301.1214,-0.303298288,0.001169591,0.240740741,15435779,-1316.029439,40641.86723
281434,390,39958,0.001362012,168,83004,4190.389678,0.5,8817909.75,29349.2,26798128,0.467805947,3073.055564,0.006788455,468.3087928,0.076907142,165874.7888,0.004095234,3376189.294,0.342681963,0.001655629,0.757201646,35390859,-623.0239945,155119.7312
68520,101,11557,0.000631886,96,83264,860.5306102,0.5,3872878.0,11414.4,3064392,0.745586708,311.2055863,0.000538516,148.1264527,0.026927887,69677.69324,0.00142402,355590.7606,-0.303269638,0.001157407,0.222222222,13789696,-1377.225553,35686.32088
254216,389,36937,0.001261317,168,83031,3766.221444,0.5,8465593.5,27723.4,23459777,0.490339831,2664.113222,0.006139423,436.6908514,0.072125869,152903.4168,0.003823166,2918084.483,0.304793187,0.001584786,0.701646091,33435193,-661.8146568,138680.5864
192216,390,29804,5.63e-05,163,83104,2744.68606,0.5,7701232.5,24185.6,16096616,0.580999497,1838.792375,0.004384632,373.7877103,0.061696161,124109.6717,0.003021035,1780793.243,0.143668783,0.001420455,0.551440329,29190014,-788.6719998,104290.7665
265306,390,38051,0.000949804,168,83020,3937.552384,0.5,8616903.75,28421.2,24824800,0.478632479,2821.190417,0.006403843,450.3144377,0.074142346,158165.0505,0.003952484,3105380.361,0.320145506,0.001612903,0.724279835,34275009,-645.440188,145394.64
