Societal Capital Scores,Node H-Index,Eigenvector Centrality,Eccentricity Centrality,Extended Degree,Laplacian Centrality,PageRank Centrality,Degree Centrality,Second order centrality,Improved Gravity Index Values,Closeness Centrality,DNC Scores,Semi local centrality,LGC Scores,Local Gravity Model Centrality,Gravity Model Centrality,Clustered Local Degree,GIN Values,EIGSM Values,EHCC Value,MCGM Values,Constraint Coefficients,Gravity Index Centrality,P Value,H-GSM_1
4,1,0.052137441,0.055555556,1.8,8,0.005869403,0.011235955,-381.9525648,4.25,0.001193317,1,17,284,3,8.274470753,3,29.96334994,13.05317917,1.983333333,2.483759993,-1.0,3.0,1,13.64452391
8,2,0.073943048,0.055555556,3.6,18,0.010003565,0.02247191,-332.0357838,17.0,0.001295337,2,35,1314,12,25.91441373,6,36.50259852,28.1597934,4.433333333,8.627986463,-0.5,11.5,7,17.07688432
11,2,0.215843663,0.0625,5.0,28,0.0138561,0.033707865,-297.7377398,21.0,0.00136612,3,52,2520,24,44.41267617,8,38.49662521,40.26770969,6.266666667,19.48333141,-0.333333333,16.5,9,18.4427157
10,2,0.229419324,0.055555556,4.6,26,0.015153653,0.033707865,-346.2719052,18.0,0.001146789,3,44,2041,21,36.88044969,7,33.02364907,34.38997408,4.033333333,17.60700811,-0.333333333,13.0,3,16.19621773
4,1,0.08958543,0.052631579,1.8,8,0.005959675,0.011235955,-409.1750632,4.5,0.001041667,1,17,312,3,7.700156339,3,27.15708287,12.71017224,1.566666667,3.304104238,-1.0,3.0,1,12.32459197
10,2,0.243725375,0.058823529,4.6,26,0.014902552,0.033707865,-332.3465545,19.0,0.001246883,3,45,2223,21,39.40548863,7,35.31272446,37.79933828,4.7,18.87006424,-0.333333333,13.5,4,17.19812667
7,2,0.006024165,0.038461538,3.2,16,0.010053145,0.02247191,-505.1734027,14.0,0.000830565,2,30,952,10,19.37120174,5,27.33874053,22.28590481,3.2,5.718812359,-0.5,11.0,4,13.01800519
7,2,0.007098115,0.04,3.2,16,0.010035388,0.02247191,-501.1658961,14.0,0.000870322,2,30,952,10,19.64778193,5,27.99253466,22.52447713,3.2,5.748172105,-0.5,11.0,4,13.30988256
6,2,0.005126112,0.038461538,2.8,14,0.010204408,0.02247191,-512.3346066,11.0,0.000820345,2,24,644,8,16.28999803,4,25.43012804,19.94788914,2.766666667,4.79533138,-0.5,10.0,3,12.3371153
7,2,0.004360351,0.038461538,3.2,16,0.01005313,0.02247191,-507.3067778,14.0,0.000825083,2,30,952,10,19.34649502,5,27.25284413,22.25716971,3.2,5.673466282,-0.5,11.0,4,12.97574111
7,2,0.005134649,0.04,3.2,16,0.010035366,0.02247191,-503.3162578,14.0,0.000864304,2,30,952,10,19.61662955,5,27.89244537,22.49112231,3.2,5.69454263,-0.5,11.0,4,13.26093463
6,2,0.003709925,0.038461538,2.8,14,0.010204392,0.02247191,-514.438285,11.0,0.000814996,2,24,644,8,16.26529131,4,25.34423164,19.91933198,2.766666667,4.759597467,-0.5,10.0,3,12.29485122
4,1,0.002151546,0.035714286,1.8,8,0.006113439,0.011235955,-536.0286831,4.25,0.000755858,1,16,280,3,7.094606694,3,23.90979542,11.1749545,1.483333333,1.643396002,-1.0,3.0,1,11.02509302
4,1,0.001557813,0.035714286,1.8,8,0.006113434,0.011235955,-538.0397282,4.25,0.000751315,1,16,280,3,7.086444138,3,23.84520101,11.16464892,1.483333333,1.634450736,-1.0,3.0,1,10.99370584
8,1,0.007707986,0.041666667,3.8,22,0.017104917,0.033707865,-504.9974706,6.5,0.000911577,3,28,1287,15,27.84445355,5,27.57054883,27.96452654,3.033333333,5.305143372,-0.333333333,5.0,2,13.87641414
4,1,0.003625483,0.04,1.8,8,0.00612649,0.011235955,-520.5539063,4.5,0.000862813,1,18,316,3,7.530511695,3,25.5201129,12.58785719,1.566666667,1.722157832,-1.0,3.0,1,11.76703166
8,1,0.005561763,0.041666667,3.8,22,0.017104823,0.033707865,-507.1315858,6.5,0.000904977,3,28,1287,15,27.78432019,5,27.45105814,27.90569451,3.033333333,5.250747663,-0.333333333,5.0,2,13.81967573
4,1,0.002617364,0.04,1.8,8,0.006126473,0.011235955,-522.6245013,4.5,0.000856898,1,18,316,3,7.514935505,3,25.42112957,12.56713332,1.566666667,1.706633719,-1.0,3.0,1,11.71968843
8,2,0.244027903,0.071428571,3.6,18,0.009262006,0.02247191,-307.2153823,18.0,0.001392758,2,45,1521,12,27.79400883,6,38.33729328,32.37410899,5.5,15.76340166,-0.5,12.0,10,17.5180378
4,1,0.095171809,0.055555556,1.8,8,0.005889532,0.011235955,-397.4597241,4.5,0.001123596,1,19,320,3,8.146304943,3,28.7792426,13.58038071,1.666666667,3.424581675,-1.0,3.0,1,13.04265873
4,1,0.003010251,0.04,1.8,8,0.006514072,0.011235955,-550.0385853,4.0,0.000843882,1,15,252,3,6.6272646,3,23.59972307,9.596081489,1.3,1.318596478,-1.0,1.75,1,10.98521262
4,1,0.003010251,0.04,1.8,8,0.006514072,0.011235955,-550.0385853,4.0,0.000843882,1,15,252,3,6.6272646,3,23.59972307,9.596081489,1.3,1.318596478,-1.0,1.75,1,10.98521262
4,1,0.002172231,0.04,1.8,8,0.006514052,0.011235955,-551.9985917,4.0,0.000838223,1,15,252,3,6.61168841,3,23.50073973,9.575357624,1.3,1.3071683,-1.0,1.75,1,10.93786939
4,1,0.002172231,0.04,1.8,8,0.006514052,0.011235955,-551.9985917,4.0,0.000838223,1,15,252,3,6.61168841,3,23.50073973,9.575357624,1.3,1.3071683,-1.0,1.75,1,10.93786939
7,2,0.132432269,0.058823529,3.2,16,0.009860857,0.02247191,-337.1857534,14.5,0.001228501,2,30,1008,10,21.93876396,5,32.95671043,25.66129797,3.683333333,9.831314842,-0.5,11.0,4,15.50067085
7,2,0.12330143,0.055555556,3.2,16,0.010045134,0.02247191,-350.919125,13.5,0.001131222,2,29,896,10,20.25540467,5,30.69292843,22.69345176,3.016666667,9.083239403,-0.5,10.5,3,14.52078099
4,1,0.099265508,0.055555556,1.8,8,0.005864533,0.011235955,-402.9364239,4.5,0.00105042,1,18,316,3,7.827800742,3,27.44077534,13.02340265,1.666666667,3.514238103,-1.0,3.0,1,12.39531724
4,1,0.07158815,0.055555556,1.8,8,0.005853824,0.011235955,-405.6078916,4.25,0.001041667,1,16,280,3,7.377297624,3,26.59211223,11.47757707,1.583333333,2.857433735,-1.0,3.0,1,12.06030906
