Centrality Values,Degree Centrality,Laplacian Centrality,EHCC Value,LGC Scores,Semi local centrality,I-GSM Values,Societal Capital Scores,Global Relative Change in Avg Degree,DIL Centrality,Second order centrality,HCC Value,Extended Improved Gravity Index Values,Eigenvector Centrality,Improved Gravity Index Values,Node H-Index,Constraint Coefficients,Leverage Centrality,Volume Centrality,Global Relative Change in Avg Clustering,Density Centrality,P Value,MCGM Values,Clustering Coefficient,H Values
34.1,0.00351803,58,6.510810811,22388,206,49.51235074,23,0.00186639,7.258333333,-10153.96982,1.281399046,392.75,0.000584852,74.25,3,-0.436197917,-0.064285714,42,0.005889972,6.681818182,165,1.010943856,0.5,0.007603073
6.5,0.000879507,12,1.165500795,1260,39,26.76750824,6,0.000193033,1.0,-12776.16009,0.163434022,35.0,8.53e-05,8.0,1,-1.0,-0.666666667,17,0.001556455,0.636363636,14,0.08683763,0.0,0.000170569
6.5,0.000879507,12,1.165500795,1260,39,26.76750824,6,0.000193033,1.0,-12776.16009,0.163434022,35.0,8.53e-05,8.0,1,-1.0,-0.666666667,17,0.001556455,0.636363636,14,0.08683763,0.0,0.000170569
6.5,0.000879507,12,1.165500795,1260,39,26.76750824,6,0.000193033,1.0,-12776.16009,0.163434022,35.0,8.53e-05,8.0,1,-1.0,-0.666666667,17,0.001556455,0.636363636,14,0.08683763,0.0,0.000170569
20.89,0.002638522,42,4.006836248,13566,144,44.38687285,18,0.001179915,6.961904762,-10890.90609,1.002066773,219.75,0.000335947,45.0,3,-0.43595679,-0.242063492,45,0.000879507,5.011363636,129,0.630166602,0.333333333,0.002687573
74.75909091,0.005277045,96,8.53100159,68736,417,80.95044733,33,0.003239338,34.27083333,-8185.333362,1.293004769,479.5,0.000317059,91.0,4,-0.266589506,0.172222222,101,0.009613186,18.61363636,144,1.915132134,0.2,0.004438829
18.37454545,0.001759015,22,2.634499205,4719,101,52.60424143,10,0.000493441,3.5,-9324.165687,0.541017488,126.75,0.000126144,30.0,2,-0.5,-0.333333333,36,0.004264247,2.227272727,69,0.33659742,0.0,0.000630721
74.11272727,0.005277045,106,7.271224165,77380,512,89.85123795,38,0.003239338,55.51488095,-7680.898765,1.407631161,373.0,0.000131995,95.5,4,-0.192322531,0.122222222,95,0.00023333,22.43181818,152,1.939794971,0.066666667,0.001583942
39.59337662,0.002638522,46,4.024960254,20217,285,64.32074735,20,0.001179915,4.558974359,-8909.186233,1.176152623,170.5,2.01e-05,50.5,2,-0.415123457,-0.080952381,50,0.004351454,5.727272727,154,0.60139586,0.333333333,0.000100699
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
18.42,0.000879507,26,2.502702703,8710,195,55.74301015,13,0.000193033,1.0,-10027.46475,1.069793323,81.0,1.33e-05,18.5,1,-1.0,-0.846153846,38,0.000910278,1.193181818,152,0.171351308,0.0,2.67e-05
23.22454545,0.001759015,40,2.894753577,15740,232,61.12081642,19,0.000493441,3.716666667,-10008.15314,1.150874404,103.0,1.41e-05,49.5,2,-0.5,-0.571428571,48,0.001587226,3.659090909,152,0.474171723,0.0,5.63e-05
55.61649351,0.00351803,76,6.110651828,49552,421,80.66212977,32,0.00186639,19.28214286,-8355.101575,1.338314785,254.5,2.86e-05,82.5,3,-0.309461806,-0.207467532,81,0.003674506,12.09090909,154,1.18376038,0.166666667,0.000228745
13.68454545,0.001759015,18,1.210651828,2097,74,46.44545086,8,0.000493441,3.25,-9459.301245,0.208108108,66.5,1.44e-05,19.5,2,-0.5,-0.166666667,21,0.000879507,1.909090909,17,0.218088255,0.0,5.78e-05
12.77,0.000879507,14,1.222416534,2002,77,52.32272544,7,0.000193033,1.0,-9007.756974,0.224006359,58.0,1.33e-06,10.75,1,-1.0,-0.714285714,25,0.001217981,0.715909091,22,0.1055419,0.0,2.66e-06
38.64142857,0.00351803,50,3.874403816,15650,206,70.70121921,19,0.00186639,11.31428571,-6632.901128,0.897933227,176.0,2.67e-06,46.0,3,-0.300069444,0.107936508,47,0.002505232,7.954545455,109,0.711099057,0.166666667,1.87e-05
55.11357143,0.004397537,70,5.312082671,30555,276,85.52781355,25,0.002552864,27.37460317,-5703.43889,0.990779014,257.0,4.96e-06,64.0,3,-0.236944444,0.13975469,68,0.001828284,13.125,111,1.156637338,0.1,4.96e-05
28.15285714,0.002638522,36,3.113036566,9054,150,71.08040063,15,0.001179915,9.59047619,-6989.241537,0.785055644,129.5,2.84e-06,40.0,2,-0.333333333,-0.092063492,44,0.001217981,5.011363636,99,0.523382658,0.0,1.7e-05
6.484545455,0.000879507,8,0.369157393,484,37,34.98898941,4,0.000193033,1.0,-11487.42819,0.077583466,33.5,6.38e-06,5.0,1,-1.0,-0.5,11,0.000879507,0.477272727,4,0.05538479,0.0,1.28e-05
26.89454545,0.002638522,30,1.953736089,7455,122,53.08395203,12,0.001179915,7.19047619,-9381.198985,0.291573927,116.0,3.07e-05,33.5,2,-0.333333333,0.122222222,40,0.001217981,4.295454545,22,0.428467156,0.0,0.000153469
10.70454545,0.001759015,16,0.676629571,1416,56,39.74094902,7,0.000493441,3.166666667,-9909.258994,0.176947536,53.0,9.38e-06,15.5,2,-0.5,-0.1,16,0.000879507,1.75,14,0.179989544,0.0,3.75e-05
23.92,0.004397537,48,1.801430843,6768,91,39.61684007,14,0.002552864,13.0,-10974.32348,0.295071542,71.0,6.65e-06,11.5,1,-0.2,0.533333333,19,0.000879507,9.545454545,18,0.404903234,0.0,3.99e-05
6.3,0.000879507,12,0.458505564,864,34,29.55125413,6,0.000193033,1.0,-12821.462,0.163434022,11.5,1.38e-06,7.0,1,-1.0,-0.666666667,13,0.000879507,0.636363636,14,0.064018691,0.0,1.38e-06
6.3,0.000879507,12,0.458505564,864,34,29.55125413,6,0.000193033,1.0,-12821.462,0.163434022,11.5,1.38e-06,7.0,1,-1.0,-0.666666667,13,0.000879507,0.636363636,14,0.064018691,0.0,1.38e-06
6.3,0.000879507,12,0.458505564,864,34,29.55125413,6,0.000193033,1.0,-12821.462,0.163434022,11.5,1.38e-06,7.0,1,-1.0,-0.666666667,13,0.000879507,0.636363636,14,0.064018691,0.0,1.38e-06
6.3,0.000879507,12,0.458505564,864,34,29.55125413,6,0.000193033,1.0,-12821.462,0.163434022,11.5,1.38e-06,7.0,1,-1.0,-0.666666667,13,0.000879507,0.636363636,14,0.064018691,0.0,1.38e-06
41.74454545,0.004397537,60,3.878537361,16080,168,56.29245232,20,0.002552864,30.06666667,-8763.058818,0.852623211,170.0,2.65e-05,43.0,3,-0.2,0.271428571,41,0.000879507,11.53409091,99,0.823835852,0.0,0.000238225
38.69454545,0.002638522,46,4.012559618,18469,205,65.37142662,20,0.001179915,11.38095238,-8704.374981,0.882034976,173.0,3.53e-05,58.5,3,-0.333333333,-0.305555556,66,0.001894929,5.965909091,104,0.718367927,0.0,0.000211956
12.78,0.001759015,20,1.243561208,2390,70,41.84692294,9,0.000493441,3.3,-10125.5763,0.227503975,56.5,5.8e-06,21.5,2,-0.5,-0.214285714,22,0.000879507,2.068181818,18,0.235333167,0.0,2.32e-05
26.27454545,0.001759015,28,2.956597774,8288,153,55.330729,13,0.000493441,3.633333333,-9170.481115,0.810969793,134.0,7.14e-05,41.0,2,-0.5,-0.464285714,49,0.001894929,2.704545455,108,0.405427501,0.0,0.000285444
21.68,0.002638522,38,2.729570747,8037,125,48.11771859,16,0.001179915,9.857142857,-9128.622175,0.810333863,97.0,8.28e-06,37.5,2,-0.333333333,-0.127777778,36,0.001556455,5.011363636,101,0.501800969,0.0,4.97e-05
23.95,0.004397537,44,1.906200318,5698,54,29.6994387,12,0.002552864,10.33333333,-12737.99087,0.250397456,71.0,8.43e-05,9.5,1,-0.2,0.583333333,17,0.007648987,8.75,15,0.358857565,0.0,0.000506041
5.31,0.000879507,12,0.413831479,762,32,23.39254261,6,0.000193033,1.0,-14360.03215,0.163434022,9.5,1.75e-05,6.5,1,-1.0,-0.666666667,11,0.000879507,0.636363636,14,0.060614172,0.0,1.75e-05
5.31,0.000879507,12,0.413831479,762,32,23.39254261,6,0.000193033,1.0,-14360.03215,0.163434022,9.5,1.75e-05,6.5,1,-1.0,-0.666666667,11,0.000879507,0.636363636,14,0.060614172,0.0,1.75e-05
5.31,0.000879507,12,0.413831479,762,32,23.39254261,6,0.000193033,1.0,-14360.03215,0.163434022,9.5,1.75e-05,6.5,1,-1.0,-0.666666667,11,0.000879507,0.636363636,14,0.060614172,0.0,1.75e-05
5.31,0.000879507,12,0.413831479,762,32,23.39254261,6,0.000193033,1.0,-14360.03215,0.163434022,9.5,1.75e-05,6.5,1,-1.0,-0.666666667,11,0.000879507,0.636363636,14,0.060614172,0.0,1.75e-05
8.634545455,0.001759015,20,0.813036566,1640,48,32.04013216,9,0.000493441,2.0,-13156.16403,0.251033386,38.0,9.54e-07,16.0,2,-0.9225,-0.214285714,11,0.020444354,1.75,22,0.179936232,1.0,3.82e-06
8.634545455,0.001759015,20,0.813036566,1640,48,32.04013216,9,0.000493441,2.0,-13156.16403,0.251033386,38.0,9.54e-07,16.0,2,-0.9225,-0.214285714,11,0.020444354,1.75,22,0.179936232,1.0,3.82e-06
28.72454545,0.004397537,46,2.290779014,7199,65,40.79144672,13,0.002552864,8.2,-11991.98504,0.310969793,95.0,3.64e-06,22.0,2,-0.3,0.523809524,20,0.020444354,8.352272727,23,0.472354179,0.1,2.91e-05
4.804545455,0.000879507,12,0.474403816,828,37,30.76089085,6,0.000193033,1.0,-13702.62082,0.163434022,22.0,7.56e-07,6.75,1,-1.0,-0.666666667,12,0.001556455,0.636363636,14,0.072667125,0.0,1.51e-06
4.804545455,0.000879507,12,0.474403816,828,37,30.76089085,6,0.000193033,1.0,-13702.62082,0.163434022,22.0,7.56e-07,6.75,1,-1.0,-0.666666667,12,0.001556455,0.636363636,14,0.072667125,0.0,1.51e-06
35.23857143,0.002638522,44,3.797933227,18128,244,94.17820971,19,0.001179915,10.91111111,-5935.836512,0.986168521,182.0,1.49e-05,56.5,3,-0.333333333,-0.246753247,65,0.001363042,5.965909091,124,0.700847265,0.0,8.97e-05
10.71454545,0.000879507,8,1.253736089,940,54,38.9406418,4,0.000193033,1.0,-11105.30105,0.077583466,50.5,4.19e-06,7.0,1,-1.0,-0.5,19,0.007648987,0.477272727,4,0.069219219,0.0,8.37e-06
54.17909091,0.00351803,56,5.886804452,25312,285,66.11788924,22,0.00186639,10.9625,-8499.895504,1.138473768,277.5,0.000128002,58.0,3,-0.373263889,-0.028571429,62,0.005956617,7.954545455,143,0.873288381,0.333333333,0.001024014
11.9,0.002638522,26,0.735930048,1950,42,38.11532457,10,0.001179915,7.666666667,-9648.349357,0.217488076,39.75,5.73e-07,18.0,2,-0.333333333,0.133333333,15,0.000879507,3.818181818,14,0.26817081,0.0,2.87e-06
11.24,0.002638522,24,0.695389507,1680,41,35.75664767,9,0.001179915,6.333333333,-9925.25121,0.203974563,41.75,5.13e-07,15.5,2,-0.333333333,0.233333333,13,0.000879507,3.579545455,14,0.242218412,0.0,2.56e-06
7.7,0.001759015,16,0.434340223,856,25,30.52843553,7,0.000493441,3.166666667,-11696.69207,0.118124006,23.0,1.17e-07,6.75,2,-0.5,-0.1,12,0.000879507,1.75,4,0.11418746,0.0,3.5e-07
10.53,0.001759015,18,0.66836248,1395,38,41.281525,8,0.000493441,3.333333333,-8902.566594,0.196343402,40.0,2.31e-06,17.5,2,-0.5,-0.2,17,0.000879507,1.909090909,15,0.200708307,0.0,9.23e-06
4.2,0.000879507,8,0.281558029,280,16,27.14383166,4,0.000193033,1.0,-11935.85873,0.077583466,15.5,1.05e-07,4.25,1,-1.0,-0.5,8,0.000879507,0.477272727,4,0.050173361,0.0,2.1e-07
13.84,0.001759015,18,1.210651828,1854,45,37.80618983,8,0.000493441,3.333333333,-9761.323616,0.196343402,53.0,1.83e-06,19.5,2,-0.5,-0.2,21,0.000879507,1.909090909,15,0.214544857,0.0,7.3e-06
5.6,0.001759015,14,0.29618442,504,17,24.89380562,6,0.000493441,3.0,-13439.19452,0.09872814,10.25,2.38e-08,5.0,2,-0.5,0.0,8,0.000879507,1.590909091,3,0.080449942,0.0,4.75e-08
14.88,0.002638522,28,0.964069952,2968,64,49.4323683,11,0.001179915,8.333333333,-7529.688938,0.254531002,64.0,1.14e-05,22.0,2,-0.333333333,0.066666667,20,0.000879507,4.056818182,18,0.328819626,0.0,6.83e-05
4.2,0.001759015,12,0.224483307,288,11,20.36482663,5,0.000493441,2.5,-14982.94622,0.079332273,7.5,4.84e-09,3.5,1,-0.5,0.166666667,5,0.000879507,1.431818182,2,0.059688604,0.0,9.68e-09
42.82454545,0.005277045,70,5.432591415,15260,141,49.54183352,20,0.003239338,20.28571429,-9580.186455,0.87027027,180.0,1.16e-05,34.5,2,-0.305555556,0.444444444,27,0.041091268,12.88636364,102,0.85134273,0.133333333,0.000139006
14.2,0.002638522,24,0.837678855,2184,47,48.47846454,9,0.001179915,6.333333333,-7815.538955,0.227503975,53.75,5.31e-05,17.5,2,-0.333333333,0.233333333,17,0.000879507,3.579545455,18,0.264283548,0.0,0.000265357
20.49,0.002638522,30,1.23799682,4935,85,56.10287408,12,0.001179915,7.666666667,-7340.65954,0.285691574,80.0,3.69e-06,29.0,2,-0.333333333,0.083333333,31,0.001556455,4.295454545,21,0.389306842,0.0,1.85e-05
6.46,0.000879507,10,0.443243243,635,34,39.42082693,5,0.000193033,1.0,-10220.81074,0.120508744,28.0,3.37e-07,6.0,1,-1.0,-0.6,12,0.000879507,0.556818182,9,0.064015079,0.0,6.74e-07
24.02,0.00351803,38,1.448489666,6384,92,55.22016748,13,0.00186639,11.39285714,-7778.872685,0.322734499,88.5,1.69e-06,28.0,2,-0.25,0.355555556,29,0.001556455,6.681818182,25,0.46714475,0.0,1.01e-05
6.46,0.000879507,10,0.443243243,635,34,39.42082693,5,0.000193033,1.0,-10220.81074,0.120508744,28.0,3.37e-07,6.0,1,-1.0,-0.6,12,0.000879507,0.556818182,9,0.064015079,0.0,6.74e-07
39.36285714,0.004397537,70,2.764228935,20755,216,76.20865731,25,0.002552864,29.52380952,-5917.989518,0.620190779,182.5,6.83e-06,53.0,3,-0.248711111,0.122222222,46,0.004536076,13.125,48,1.011331014,0.1,6.83e-05
13.48857143,0.001759015,22,0.941176471,2717,72,52.20226664,10,0.000493441,3.5,-8226.090654,0.2645469,59.0,9.64e-07,23.5,2,-0.5,-0.333333333,23,0.000879507,2.227272727,22,0.249141604,0.0,3.86e-06
37.83857143,0.004397537,58,2.348012719,14761,156,65.92498387,19,0.002552864,26.86666667,-6601.33795,0.474403816,155.25,2.47e-06,43.0,3,-0.2,0.319047619,44,0.001556455,11.53409091,37,0.841725476,0.0,2.22e-05
25.01285714,0.002638522,34,1.758982512,6766,129,64.84979514,14,0.001179915,4.333333333,-7001.785045,0.47154213,109.0,5.72e-06,32.0,2,-0.431111111,0.0,31,0.004536076,4.295454545,48,0.415272971,0.333333333,2.86e-05
47.05142857,0.004397537,62,3.257710652,20646,211,87.00884211,21,0.002552864,22.59047619,-5520.727351,0.589666137,219.5,2.1e-05,50.5,3,-0.248711111,0.243650794,53,0.004536076,11.53409091,52,0.957019907,0.1,0.000210195
27.04571429,0.00351803,40,1.579014308,7160,103,61.20170497,14,0.00186639,15.25,-7506.06112,0.353895072,107.5,2.98e-06,31.0,2,-0.25,0.25,32,0.000879507,7.0,28,0.524250078,0.0,2.09e-05
4.22,0.000879507,8,0.30508744,296,20,35.94643243,4,0.000193033,1.0,-10248.74437,0.077583466,17.5,1.02e-05,4.25,1,-1.0,-0.5,8,0.000879507,0.477272727,4,0.050209701,0.0,2.05e-05
14.2,0.001759015,24,1.204610493,3708,83,59.9656545,11,0.000493441,3.5,-7119.302603,0.278060413,63.0,0.000253845,27.5,2,-0.5,-0.35,28,0.001217981,2.386363636,22,0.292645755,0.0,0.001015382
6.46,0.000879507,8,0.36327504,436,29,39.02838531,4,0.000193033,1.0,-9891.379807,0.077583466,29.0,7.2e-07,5.0,1,-1.0,-0.5,11,0.000879507,0.477272727,4,0.05536593,0.0,1.44e-06
45.11285714,0.005277045,76,3.86709062,20444,188,80.8570375,23,0.003239338,33.85714286,-5042.25076,0.699046105,207.0,0.001264574,45.5,3,-0.203896605,0.366666667,40,0.00487455,15.27272727,66,1.08256756,0.066666667,0.015174893
24.29857143,0.002638522,36,2.296025437,8136,134,74.6425443,15,0.001179915,9.857142857,-5797.261768,0.573290938,115.5,0.000288426,37.0,3,-0.333333333,-0.111111111,38,0.001217981,4.772727273,63,0.491560907,0.0,0.001730556
22.04857143,0.002638522,36,2.184896661,7326,123,70.16705133,15,0.001179915,9.857142857,-5872.186955,0.549761526,102.0,0.000280391,35.5,3,-0.333333333,-0.111111111,35,0.001217981,4.772727273,59,0.478480232,0.0,0.001682346
28.61727273,0.00351803,48,2.846422893,10632,147,72.58834847,18,0.00186639,12.65,-6062.279942,0.63736089,132.0,0.004356216,38.0,3,-0.321180556,0.104761905,34,0.00487455,7.636363636,67,0.682685223,0.166666667,0.034849727
20.77,0.002638522,34,1.985532591,5984,112,62.65584304,14,0.001179915,4.295238095,-6833.833231,0.57154213,89.0,0.001124418,29.5,2,-0.43595679,0.007936508,26,0.00487455,4.295454545,65,0.403193114,0.333333333,0.005622088
24.20285714,0.001759015,28,2.204292528,7434,142,79.45471738,13,0.000493441,3.633333333,-6152.474571,0.558028617,114.5,0.000260939,39.5,2,-0.5,-0.464285714,46,0.001894929,2.704545455,65,0.389797095,0.0,0.001043756
20.97571429,0.001759015,24,1.303338633,4536,103,63.21368105,11,0.000493441,3.55,-7468.314775,0.33100159,93.0,3e-06,30.5,2,-0.5,-0.380952381,34,0.000879507,2.386363636,31,0.311440723,0.0,1.2e-05
24.86,0.002638522,38,1.72718601,8569,125,57.33744532,16,0.001179915,10.33333333,-7418.54239,0.433863275,107.0,7.49e-07,40.0,3,-0.333333333,-0.166666667,41,0.007648987,5.25,37,0.523363494,0.0,4.5e-06
10.06,0.000879507,12,0.637837838,1176,53,44.65087586,6,0.000193033,1.0,-9355.841743,0.163434022,43.0,5.01e-07,8.25,1,-1.0,-0.666666667,18,0.000879507,0.636363636,14,0.084777073,0.0,1e-06
17.08857143,0.002638522,28,1.169316375,3766,84,52.69488685,11,0.001179915,7.0,-8033.974879,0.325119237,71.25,1.13e-06,23.5,2,-0.333333333,0.15,23,0.000879507,4.056818182,30,0.328728787,0.0,5.63e-06
6.36,0.000879507,8,0.549125596,536,35,43.91592856,4,0.000193033,1.0,-9642.567387,0.077583466,32.0,1.13e-06,5.5,1,-1.0,-0.5,13,0.007648987,0.477272727,4,0.058827631,0.0,2.26e-06
42.015,0.00351803,58,3.494117647,24244,259,95.12623932,23,0.00186639,23.24285714,-5185.463859,0.681399046,211.0,7.07e-05,62.5,3,-0.25,-0.06024531,68,0.003635653,9.545454545,63,0.955919939,0.0,0.000565455
