Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality
36,0.12195122,0.077113821,0.126262626,10,41.13139657,24.25018757,3.190500828,0.028797141,15,60,0.038072576,0.061826432,0.3,14.07936508,33.37569183,26,58.5,148.148943,100,70,0.003984064,209,0.076923077,10.34090909,3.8,10.32950192,1.862068966,27,11,0.289455181,154.8310081,38.58,-0.348611111,1143.181355,0.366326266,4.341827716,43,56.83733337,25060,7.533333333,148.3797047,25,77.25,345,3,31.18245769,33.83381194,9.866271503,-143.5280632
42,0.097560976,0.157621951,0.035714286,4,39.58528478,21.538659,2.430762704,0.024902713,12,45,0.025580012,0.077708452,0.333333333,10.51666667,27.33444016,20,47.25,99.40512955,60,50,0.004329004,141,0.090909091,6.681818182,3.7,4.349936143,0.877394636,6,8.4,0.011592016,101.0309148,30.36,-0.3984375,614.3019394,0.361233086,0.139104187,35,51.92776461,12850,4.666666667,109.5766695,19,60,250.5,3,9.646350596,30.99057676,6.435744473,-139.7216099
4,0.073170732,0.183231707,-0.142857143,0,39.34827499,20.06605945,1.832303403,0.019465373,9,36,0.013087448,0.058423142,0,10.2,25.17565359,12,40.5,70.32034203,36,36,0.004761905,116,0.1,4.295454545,3,3.556832695,0.776500639,7,6.6,0.019280631,116,21.27,-0.333333333,386.9269077,0.276435664,0.173525679,36,51.63496799,8208,3.333333333,85.41112556,15,54,184.5,3,7.77618559,44.32068497,4.061721973,-124.4593438
41,0.097560976,0.205792683,0.043650794,8,42.71744067,23.27380161,2.626013756,0.024944109,12,45,0.025580012,0.031196824,0,20.84285714,29.0383427,15,49.5,105.6015854,60,50,0.005235602,149,0.111111111,7,3.4,4.727969349,0.95146871,8,8.4,0.03441706,149,27.59,-0.25,642.510646,0.380036092,0.413004723,38,56.25439716,13200,4.1,112.2030271,19,62.25,240.75,3,11.10951061,73.2142025,5.776710707,-109.9460244
16,0.097560976,0.124796748,-0.027777778,0,38.43185262,20.96463055,2.368989181,0.024761319,12,51,0.025580012,0.038003403,0.166666667,16.30952381,28.53328787,19.83333333,51.75,103.76489,68,54,0.003891051,159,0.083333333,7.318181818,3.7,4.408684547,0.909323116,5,9.2,0.008739525,134.5905943,27.53,-0.3203125,777.4626237,0.315375433,0.104874294,40,50.87097571,15444,5.033333333,107.2457302,21,68.25,244.5,4,10.57556716,40.1911996,6.666437003,-152.2370792
29,0.073170732,0.04929878,-0.242063492,0,41.40197239,21.49916954,1.975179884,0.018325882,9,45,0.013087448,0.065229722,0,10.92380952,31.28368137,15,49.5,87.381214,45,42,0.004464286,175,0.083333333,5.25,3,6.656449553,1.509578544,24,7.8,0.192474786,175,28.55,-0.333333333,558.8944222,0.303017362,1.732273072,56,57.62735975,14700,3.566666667,105.2586698,18,75.75,240,3,20.81169633,47.7475104,4.575522384,-133.2480135
13,0.073170732,0.000304878,-0.214285714,0,33.29128754,17.26456018,1.58652269,0.018434666,9,42,0.013087448,0.053885423,0.666666667,4.333333333,24.00440723,23.33333333,36,67.04883038,42,40,0.003484321,131,0.071428571,3.818181818,3,6.891443167,1.54916986,26,7.4,0.187328477,67.25764259,23.34,-0.565,437.637313,0.234801206,1.685956296,31,46.1741248,9980,4.1,91.00542345,17,54.75,210.75,3,15.1398708,7.312624397,5.924186225,-159.0835356
28,0.12195122,0.00847561,0.166666667,10,38.01706984,22.28068527,2.925643193,0.029047228,15,54,0.038072576,0.044809983,0.3,12.80952381,29.43613731,23.4,54,130.6619395,90,66,0.003558719,183,0.071428571,9.545454545,3.5,9.950191571,1.793103448,27,10.2,0.261883677,135.5697344,36.36,-0.358888889,1005.770812,0.350451373,3.928255158,36,51.50497629,20328,7.5,138.1216745,23,67.5,321,3,26.85157801,28.94643731,9.544265656,-146.3492368
21,0.073170732,0.077978052,-0.130952381,3,43.27364069,22.18725475,2.026514148,0.019069071,9,36,0.013087448,0.11627907,0,10.06666667,28.13266043,12,42.75,78.57981907,36,36,0.005649718,133,0.111111111,4.534090909,3,5.210727969,1.146871009,17,6.6,0.107637742,133,25.68,-0.333333333,429.9187863,0.291029072,0.96873968,41,57.72503862,9432,3.6,98.67249929,15,57.75,215.25,3,12.7200978,39.65753266,4.214776078,-110.2767679
1,0.073170732,0.001626016,-0.095238095,3,30.51532142,15.45938955,1.405571079,0.020062429,9,33,0.013087448,0.041406693,0.333333333,6.066666667,19.20901857,14.66666667,36,53.65440667,33,34,0.00308642,91,0.071428571,3.818181818,3,2.609195402,0.519795658,1,6.2,0.003479818,65.20434926,18.18,-0.458333333,285.1838346,0.207835359,0.031318363,27,39.09557303,6341,3.833333333,66.76813277,14,45,157.5,3,6.156728696,13.75245093,4.584858073,-181.1628395
35,0.073170732,0.001219512,-0.083333333,6,30.51532142,15.46359726,1.404620932,0.020161307,9,33,0.013087448,0.089052751,0.333333333,6,19.20901857,14.66666667,36,53.65440667,33,34,0.00308642,89,0.071428571,3.818181818,3,2.572158365,0.519795658,1,6.2,0.003413391,63.77128664,18.07,-0.468641975,282.2590776,0.196295992,0.030720521,27,39.09557303,6392,4.2,66.93795019,14,45,157.5,3,6.155026544,12.85440498,4.677062473,-183.0787278
38,0.12195122,0.269257609,0.104040404,10,48.3574368,28.5497971,3.757831188,0.029014735,15,63,0.038072576,0.068633012,0.1,30.41269841,39.08337892,23.1,65.25,173.4843821,105,72,0.005524862,254,0.1,11.53409091,3.8,8.91954023,1.637292465,20,11.4,0.227962895,229.8287042,40.51,-0.248711111,1310.072766,0.460507399,3.419443422,55,67.12679807,29124,6.166666667,165.7309874,26,88.5,356.25,3,29.96917084,82.66526183,8.329348262,-98.41272834
11,0.097560976,0.061422764,0.007936508,4,39.78884478,21.90847802,2.482647849,0.023731213,12,48,0.025580012,0.044809983,0.166666667,15.14761905,29.87880802,18.66666667,51.75,108.6580433,64,52,0.003984064,165,0.076923077,7.318181818,3.7,8.252873563,1.615581098,25,8.8,0.221310029,139.6694846,35.05,-0.31265625,795.8734394,0.375486504,2.655720346,45,54.30846601,16588,4.966666667,123.1507234,20,69.75,291,3,23.34021024,38.89924915,6.255396427,-137.6969759
37,0.097560976,0.053770325,-0.042063492,4,43.01303454,23.8543226,2.710732086,0.023527919,12,54,0.025580012,0.072036302,0.166666667,16.44285714,34.2373104,21,56.25,124.5082853,72,56,0.004484305,214,0.083333333,7.954545455,3.7,8.232439336,1.647509579,24,9.6,0.238736652,181.1470891,36.14,-0.321180556,861.6472329,0.371978703,2.864839819,55,60.11582515,21084,5.233333333,133.946751,22,81.75,304.5,3,26.96421552,47.41258749,6.527054211,-126.6001011
24,0.146341463,0.19203252,0.226262626,12,46.77217954,29.49312179,4.334625256,0.033831116,18,69,0.05056514,0.077708452,0.2,27.58730159,40.1368382,27.6,72,208.762428,138,88,0.004545455,261,0.083333333,15.27272727,4.2,11.71264368,1.925925926,25,12.8,0.336326921,213.6887266,55.27,-0.272445988,1346.357741,0.570510297,6.053884575,56,65.3548669,38192,7.8,194.5737209,29,93.75,453.75,4,42.7446425,74.33427139,10.80960661,-121.9487031
25,0.097560976,0.035345528,-0.06984127,4,39.52033442,21.9507547,2.495297515,0.023404325,12,57,0.025580012,0.10493477,0.5,8.142857143,32.04045774,28.5,51.75,116.5191544,76,58,0.003968254,194,0.076923077,7.318181818,3.7,8.88633461,1.756066411,26,10,0.259374282,117.666948,33.01,-0.464236111,824.1144144,0.330571268,3.112491386,44,55.50004678,20242,5.466666667,126.9530746,23,75.75,293.25,3,26.02996794,20.54782839,8.133010699,-146.177899
22,0.097560976,0.231585366,-0.042063492,4,44.85703813,24.84487639,2.820358963,0.023516146,12,54,0.025580012,0.065229722,0.166666667,16.44285714,34.94849833,21,54,127.0946097,72,56,0.005,205,0.090909091,7.636363636,3.7,8.074074074,1.573435504,22,9.6,0.229993241,173.5287536,39.66,-0.321180556,913.8682774,0.409164601,2.759918895,51,62.39613696,20748,5.133333333,143.4139696,22,78.75,327,3,25.19868789,49.37590438,6.510907207,-115.0030981
30,0.097560976,0.181738326,-0.042063492,4,46.20935394,25.54806203,2.898143487,0.023611957,12,54,0.025580012,0.061826432,0.166666667,16.63928571,35.50567122,21,56.25,129.120839,72,56,0.005464481,220,0.1,7.954545455,3.7,7.634738186,1.49936143,20,9.6,0.202160038,186.2259795,32.78,-0.326111111,883.3913894,0.359960605,2.425920455,53,63.89753666,20860,5.166666667,137.598327,22,80.25,298.5,3,23.86167948,50.15833215,6.715877361,-107.9529277
5,0.097560976,0.033150407,0.035714286,4,41.16008059,22.40887708,2.528964014,0.024761595,12,45,0.025580012,0.041406693,0,21.1,27.76243467,15,47.25,100.9615854,60,50,0.005025126,149,0.111111111,6.681818182,3.1,4.982120051,0.988505747,9,8.4,0.042210728,149,28.52,-0.25,700.9207048,0.384161425,0.506528732,34,54.09121976,12625,4.166666667,114.8535769,19,59.25,248.25,3,10.95685763,72.42427998,5.961735879,-105.9660375
32,0.073170732,0.025134236,-0.178571429,0,40.00804329,20.4916212,1.873843663,0.019153747,9,39,0.013087448,0.031196824,0,10.46666667,26.17497266,13,40.5,73.1116284,39,38,0.005208333,133,0.125,4.295454545,3,4.247765006,0.922094508,10,7,0.043330099,133,21.8,-0.333333333,419.1708167,0.294256687,0.389970891,36,53.26094738,9177,3.1,90.54147589,16,56.25,194.25,3,9.042682096,49.88493161,4.433708974,-111.2000936
34,0.097560976,0.157621951,0.035714286,4,39.58528478,21.538659,2.430762704,0.024902713,12,45,0.025580012,0.077708452,0.333333333,10.51666667,27.33444016,20,47.25,99.40512955,60,50,0.004329004,141,0.090909091,6.681818182,3.7,4.349936143,0.877394636,6,8.4,0.011592016,101.0309148,30.36,-0.3984375,614.3019394,0.361233086,0.139104187,35,51.92776461,12850,4.666666667,109.5766695,19,60,250.5,3,9.646350596,30.99057676,6.435744473,-139.7216099
2,0.097560976,0.066158537,0.035714286,4,35.24613773,19.12469808,2.154685757,0.02520302,12,45,0.025580012,0.007373795,0.166666667,15.13333333,24.86246789,17.5,47.25,90.41549149,60,50,0.003460208,127,0.076923077,6.681818182,3.4,3.908045977,0.803320562,4,8.4,0.006199921,107.5031791,28.14,-0.333767361,644.5983452,0.317359588,0.074399055,34,45.77247878,12550,5,98.97224062,19,59.25,234.75,3,9.322219456,33.74479933,6.286821914,-164.6606925
27,0.097560976,0.002845528,0.043650794,8,32.12638357,17.43290476,1.96191499,0.025516893,12,45,0.025580012,0.030062394,0.333333333,8.647619048,22.69664631,20,42.75,82.5392089,60,50,0.003095975,125,0.071428571,6.045454545,3.4,3.621966794,0.766283525,3,8.4,0.00489991,89.56641382,25.23,-0.409878472,557.5339619,0.279499673,0.058798916,26,41.68747106,11075,5.366666667,91.80041808,19,53.25,216.75,3,8.358735741,21.2901628,6.783462278,-174.2692143
23,0.073170732,0.00101626,-0.206349206,0,39.79091024,20.61236949,1.891739176,0.0183606,9,42,0.013087448,0.087918321,0.666666667,4.066666667,28.68808124,23.33333333,42.75,80.131214,42,40,0.004405286,167,0.083333333,4.534090909,3,6.584929757,1.438058748,23,7.4,0.192985583,85.74065888,30.78,-0.552469136,427.0410342,0.323483599,1.736870244,44,54.94225617,12180,3.533333333,109.3226469,17,64.5,254.25,3,18.03346171,11.74518272,5.331660445,-134.0324096
20,0.073170732,0.002845528,-0.158730159,3,41.01815369,21.0830805,1.926863771,0.019022887,9,39,0.013087448,0.030062394,0.333333333,6.295238095,27.15170259,17.33333333,40.5,75.83981907,39,38,0.005319149,148,0.111111111,4.295454545,3,5.237547893,1.144316731,16,7,0.102224358,106.046634,25.77,-0.43595679,386.6941088,0.307906757,0.920019223,37,55.14733919,9823,3.3,102.1706665,16,57,218.25,3,11.81511444,23.13421417,4.753916653,-110.6999441
17,0.073170732,0.183231707,-0.142857143,0,39.34827499,20.06605945,1.832303403,0.019465373,9,36,0.013087448,0.058423142,0,10.2,25.17565359,12,40.5,70.32034203,36,36,0.004761905,116,0.1,4.295454545,3,3.556832695,0.776500639,7,6.6,0.019280631,116,21.27,-0.333333333,386.9269077,0.276435664,0.173525679,36,51.63496799,8208,3.333333333,85.41112556,15,54,184.5,3,7.77618559,44.32068497,4.061721973,-124.4593438
6,0.097560976,0.068710206,0.071428571,8,42.87726826,23.38900876,2.638950246,0.024659913,12,42,0.025580012,0.126488939,0,20.2,28.68975596,14,49.5,104.3339059,56,48,0.005405405,150,0.125,7,3.4,5.614303959,1.102171137,13,8,0.075743439,150,30.88,-0.25,665.0958687,0.373092724,0.908921271,40,56.66817686,13128,4.666666667,119.7078321,18,61.5,262.5,3,13.2198677,61.051733,5.365151039,-97.27509524
31,0.073170732,0.034639656,-0.206349206,0,42.36070548,21.80793378,1.995962392,0.01888613,9,42,0.013087448,0.030062394,0.333333333,6.695238095,29.210282,18.66666667,45,81.58981907,42,40,0.005405405,158,0.111111111,4.772727273,3,5.19284802,1.141762452,15,7.4,0.096057238,113.2119471,24.81,-0.43595679,425.4928488,0.301667332,0.86451514,44,57.29542205,11540,3.3,101.4445212,17,64.5,217.5,3,12.79611076,26.54822953,4.718088023,-106.6753361
40,0.097560976,0.038117797,-0.027777778,0,42.42463651,23.26573671,2.636064897,0.024282864,12,51,0.025580012,0.019852524,0.166666667,16.04761905,30.60191885,19.83333333,49.5,111.2877268,68,54,0.005291005,177,0.125,7,3.4,5.736909323,1.168582375,12,9.2,0.063914722,149.8272653,31.32,-0.31265625,771.0023944,0.402898059,0.766976669,39,57.20242406,15714,4.266666667,124.1541798,21,67.5,270.75,4,13.00387367,55.96941993,6.422771262,-99.43464676
26,0.073170732,0.000304878,-0.214285714,0,33.29128754,17.26456018,1.58652269,0.018378091,9,42,0.013087448,0.053885423,0.666666667,4.333333333,24.00440723,23.33333333,36,67.04883038,42,40,0.003484321,134,0.071428571,3.818181818,3,6.960408685,1.54916986,26,7.4,0.194340792,68.79789395,24.99,-0.565,453.5513971,0.245980834,1.749067131,31,46.1741248,10100,4.1,94.85228689,17,54.75,220.5,3,15.42771098,7.312624397,5.94479099,-157.9108821
33,0.097560976,0.205792683,0.043650794,8,42.71744067,23.27380161,2.626013756,0.024944109,12,45,0.025580012,0.031196824,0,20.84285714,29.0383427,15,49.5,105.6015854,60,50,0.005235602,149,0.111111111,7,3.4,4.727969349,0.95146871,8,8.4,0.03441706,149,27.59,-0.25,642.510646,0.380036092,0.413004723,38,56.25439716,13200,4.1,112.2030271,19,62.25,240.75,3,11.10951061,73.2142025,5.776710707,-109.9460244
