Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
18,0.036585366,0.13881361,0.166666667,3,20.75814827,15.09858803,0.817507345,0.017142097,3,8,0.021544715,7,12.80295712,7,4.25,37.0453886,21,26,0.001203369,41,0.052631579,3.818181818,2.4,3.689393939,1.060606061,5,4.6,0.102362367,12.6,-0.333333333,73.08619368,0.169233493,0.307087102,16,31.86692882,2080,3,34.02656638,10,9.25,23.5,2,5.859956581,27.75,3.139269205,-426.2589658,1
19,0.012195122,0,-0.333333333,0,16.13714706,10.99104018,0.20567003,0.007076263,1,2,0.000948509,1,5.919009727,2,1.25,5.848124236,2,6,0.001084599,10,0.05,0.397727273,1,0.886363636,0.295454545,1,1.4,0.028593695,2.8,-1,2.943035529,0.04183529,0.028593695,5,23.8291587,126,1,9.260040594,3,2.75,5.5,1,0.791661747,2.75,1.592294297,-492.0576246,1
20,0.036585366,0.306233062,0.133333333,0,23.94690742,15.37308552,0.803932735,0.015413416,6,13,0.021544715,7.666666667,13.08653167,7,15.5,37.86591228,21,26,0.001041667,42,0.038461538,3.818181818,2.4,5.045454545,1.378787879,12,4.6,0.009137582,13.3,-0.333333333,90.28294513,0.179286453,0.054825492,17,31.5488547,2132,3,35.73477532,10,19,50.5,2,5.63512637,28.5,3.141071317,-474.3998892,2
21,0.024390244,0.270099368,-0.2,0,22.16856376,13.9924344,0.506383032,0.010592458,4,12,0.010298103,3.333333333,11.98311852,6,12,23.39563962,12,18,0.000985222,38,0.037037037,1.909090909,2,3.75,1.166666667,11,3.6,0.005097673,9.1,-0.5,47.30939146,0.121915798,0.02039069,15,30.14995918,1269,2,24.97443615,8,16.5,36,2,3.67693087,16.5,2.389677194,-511.4442833,2
22,0.036585366,0.035983138,0.166666667,3,21.45596297,14.1766175,0.735795553,0.016346473,5,13,0.021544715,7,11.76912468,7,13.5,34.05399184,21,26,0.000968054,42,0.037037037,3.818181818,2.1,4.159090909,1.242424242,9,4.6,0.007975735,11.2,-0.333333333,64.48781795,0.15520166,0.039878675,14,28.62899835,1911,3,31.1271977,10,17.5,39,2,5.046202285,26.25,3.13935536,-488.5358277,2
23,0.036585366,0.253989762,0.2,0,22.40207069,14.48925475,0.753507886,0.015590596,6,12,0.021544715,7,11.88790448,6,15,34.39768147,18,24,0.000932836,38,0.035714286,3.579545455,2.1,4.606060606,1.204545455,10,4.2,0.003968112,13.3,-0.333333333,81.68456941,0.179286453,0.023808675,16,29.32369269,1848,3,35.19542859,9,17,51,2,5.101625228,25.5,3.087089267,-547.1958104,2
24,0.024390244,0.096507076,-0.2,0,19.92678376,12.84416994,0.463504927,0.010920179,4,11,0.010298103,3.333333333,11.05483454,6,11.5,21.58327356,12,18,0.000877963,37,0.034482759,1.909090909,2,3.393939394,1.075757576,9,3.6,0.002425291,8.4,-0.5,40.03102354,0.114741311,0.009701163,14,27.48746611,1206,2,22.90336281,8,16,33.5,2,3.490737101,16,2.391421463,-581.0363628,2
25,0.024390244,0.118036736,-0.266666667,0,20.18288102,13.12803427,0.47490687,0.010921479,4,12,0.010298103,3.416666667,12.15747553,7,12,23.73605134,14,20,0.000879507,43,0.034482759,2.068181818,2,3.643939394,1.159090909,9,4,0.002671443,9.1,-0.5,46.7028608,0.121915798,0.010685772,16,28.42648941,1590,2,23.7073146,9,18.5,35,2,3.87421963,18.5,2.447238718,-580.6553093,2
26,0.036585366,0.045919904,0.233333333,3,21.44487781,14.17354028,0.73298131,0.01658247,5,11,0.021544715,6.333333333,10.85098886,6,12.5,31.39736353,18,24,0.001014199,34,0.038461538,3.579545455,2.4,3.856060606,1.113636364,8,4.2,0.008274512,11.2,-0.333333333,53.73984829,0.15520166,0.041372558,13,28.32981975,1596,3,29.96790163,9,15.5,37.75,2,4.575651378,23.25,3.085253435,-486.3790582,2
27,0.012195122,0,-0.5,0,17.52090497,10.71845918,0.201291359,0.006505977,2,5,0.000948509,1,7.026479354,3,3,6.942330912,3,8,0.000937207,16,0.037037037,0.477272727,1,1.537878788,0.424242424,2,1.8,0.003216939,4.2,-1,5.518191618,0.057370655,0.006433879,8,23.66723329,280,1,10.85098886,4,4.25,15.5,1,0.944005907,4.25,1.643137054,-538.8400396,1
28,0.012195122,0,-0.5,0,21.18695189,13.13941691,0.248813748,0.006165556,2,5,0.000948509,1,8.781168187,3,3,8.67600576,3,8,0.00127551,20,0.055555556,0.477272727,1,2.212121212,0.424242424,2,1.8,0.101803425,4.9,-1,6.621829941,0.064545142,0.203606849,9,29.58019512,324,1,14.71069532,4,4.5,19.5,1,2.525245326,4.5,1.644854917,-384.5917622,1
29,0.036585366,0.312355716,0,0,27.24444958,17.71107513,0.94127508,0.01465491,6,16,0.021544715,9,16.46624013,9,17,47.6451072,27,30,0.001404494,62,0.055555556,4.295454545,2.4,7.454545455,2,22,5.4,0.32715673,14.7,-0.333333333,122.5268541,0.193635426,1.962940382,21,37.90239195,3165,3,43.84521813,12,24,59.5,3,19.35825501,36,3.2566763,-300.6117293,2
30,0.036585366,0.079795242,0.233333333,3,19.50140014,13.35536215,0.689988674,0.016570116,5,11,0.021544715,6.333333333,11.01545834,6,12.5,31.87325637,18,24,0.000831947,37,0.033333333,3.579545455,2.4,3.977272727,1.113636364,8,4.2,0.002259498,12.6,-0.333333333,64.48781795,0.16863908,0.011297488,15,26.66294276,1800,3,31.62816874,9,16.5,43.25,2,4.58634442,24.75,3.088831935,-598.9495707,2
31,0.036585366,0.096507076,0.019047619,0,19.17116239,13.48686891,0.704758636,0.01622053,5,14,0.021544715,8.733333333,13.63107073,9,14,39.44153742,27,30,0.000789266,55,0.032258065,4.295454545,2.4,4.696969697,1.363636364,8,5.4,0.002492324,13.3,-0.333333333,103.1805087,0.179286453,0.012461621,19,27.77188448,2925,3,33.15694458,12,23,42.75,2,5.849642332,34.5,3.252853982,-603.4594062,2
32,0.012195122,0,-0.5,0,15.88833851,9.982742195,0.187362592,0.006502463,2,5,0.000948509,1,6.942263463,3,3,6.859123583,3,8,0.000779423,18,0.032258065,0.477272727,1,1.537878788,0.424242424,2,1.8,0.000880609,4.2,-1,5.518191618,0.057370655,0.001761219,8,22.03320674,288,1,11.01545834,4,4.25,16.5,1,0.916489577,4.25,1.643195256,-642.2807706,1
33,0.012195122,0,-0.5,0,18.59490009,11.38169402,0.214167946,0.006425944,2,5,0.000948509,1,7.442193559,3,3,7.353066564,3,8,0.001057082,16,0.041666667,0.477272727,1,1.666666667,0.424242424,2,1.8,0.015896948,4.9,-1,6.621829941,0.064545142,0.031793897,9,25.23989154,308,1,12.10086405,4,4.5,17.5,1,1.134659402,4.5,1.644738763,-452.5519361,1
34,0.036585366,0.231054903,0.166666667,3,25.95474198,17.09438388,0.901491875,0.015405492,5,14,0.021544715,7,14.44778352,7,14,41.80469791,21,26,0.001371742,49,0.052631579,3.818181818,2.4,6.257575758,1.833333333,22,4.6,0.28812968,14.7,-0.333333333,90.28294513,0.189250988,1.4406484,19,35.93582295,2444,3,41.04544579,10,20,52.5,2,15.5833531,30,3.148267859,-324.9620792,2
35,0.012195122,0,-0.5,0,20.76946812,12.75396961,0.241669064,0.006172458,2,5,0.000948509,1,8.58171067,3,3,8.478936927,3,8,0.001234568,21,0.05,0.477272727,1,2.257575758,0.424242424,2,1.8,0.111970758,4.9,-1,6.621829941,0.064545142,0.223941515,9,28.78840641,328,1,14.44778352,4,4.5,20,1,2.72613871,4.5,1.644883878,-399.2296995,1
36,0.036585366,0.218659038,0,0,26.46167405,17.11378987,0.908387657,0.014825187,6,16,0.021544715,9,15.99749498,9,17,46.28879193,27,30,0.001336898,61,0.05,4.295454545,2.4,7.454545455,2,22,5.4,0.302304535,14.7,-0.333333333,122.5268541,0.193635426,1.813827208,21,36.53780211,3150,3,42.33643655,12,24,59,3,18.13019717,36,3.256644467,-322.5492211,2
37,0.036585366,0.412175048,0.133333333,0,25.70223951,16.47603411,0.866390858,0.015096143,6,13,0.021544715,7.666666667,13.6988672,7,15.5,39.63770665,21,26,0.001239157,44,0.043478261,3.818181818,2.4,6.636363636,1.742424242,20,4.6,0.172973548,13.3,-0.333333333,90.28294513,0.179286453,1.037841288,17,34.23241731,2158,3,38.36556499,10,19,51.5,2,10.94220232,28.5,3.141193154,-343.3286883,2
38,0.024390244,0.397470641,-0.2,0,24.16891071,15.14471942,0.550505244,0.010389352,4,12,0.010298103,3.333333333,12.52545777,6,12,24.45449368,12,18,0.001184834,37,0.041666667,1.909090909,2,4.659090909,1.53030303,19,3.6,0.093104817,9.1,-0.5,47.30939146,0.121915798,0.372419268,15,32.89204654,1260,2,26.12312676,8,16.5,35.5,2,5.939463028,16.5,2.389648903,-377.4156704,2
39,0.036585366,0.116832279,0.166666667,3,24.27875294,15.97388703,0.836205026,0.015972164,5,13,0.021544715,7,12.98886891,7,13.5,37.58332483,21,26,0.001243781,45,0.045454545,3.818181818,2.4,5.696969697,1.742424242,20,4.6,0.180293579,11.9,-0.333333333,68.78700582,0.162376146,0.901467895,15,32.94627019,2041,3,35.13602732,10,18,42.5,2,10.54462419,27,3.1412221,-359.8852214,2
40,0.024390244,0.3152163,-0.2,0,24.67298751,15.4884866,0.564806495,0.010233021,4,12,0.010298103,3.333333333,12.85123831,6,12,25.09054215,12,18,0.001282051,40,0.045454545,1.909090909,2,5.196969697,1.621212121,21,3.6,0.171707309,9.8,-0.5,50.94857542,0.129090284,0.686829235,16,33.92879517,1350,2,28.06408663,8,17,39,2,8.511673857,17,2.394826999,-345.2431368,2
41,0.036585366,0.388136104,0.2,0,24.80048322,15.81053751,0.827331505,0.015191345,6,12,0.021544715,7,12.42425957,6,15,35.94962627,18,24,0.001132503,38,0.04,3.579545455,2.1,5.25,1.386363636,14,4.2,0.06660898,12.6,-0.333333333,77.38538154,0.172111966,0.399653879,15,32.35839338,1752,3,36.26267577,9,16.5,49,2,6.753063372,24.75,3.08531386,-410.2908581,2
42,0.024390244,0.084311954,-0.2,0,21.87098819,13.92994542,0.504676857,0.010709563,4,11,0.010298103,3.333333333,11.4896941,6,11.5,22.43228607,12,18,0.001052632,35,0.038461538,1.909090909,2,3.575757576,1.075757576,9,3.6,0.038596201,8.4,-0.5,40.03102354,0.114741311,0.154384805,14,29.99979912,1188,2,23.9118618,8,16,32.5,2,4.334817854,16,2.391304426,-450.0384297,2
43,0.024390244,0.272508281,-0.2,0,23.20472647,14.59876066,0.530621464,0.010395419,4,12,0.010298103,3.333333333,12.2475239,6,12,23.91186027,12,18,0.001075269,38,0.038461538,1.909090909,2,4.022727273,1.257575758,13,3.6,0.039700462,9.1,-0.5,47.30939146,0.121915798,0.158801849,15,31.66239881,1269,2,26.06270896,8,16.5,36,2,4.502186003,16.5,2.392991113,-445.0931606,2
44,0.012195122,0,-0.5,0,17.39408696,10.63995619,0.199994524,0.00643834,2,5,0.000948509,1,7.189677168,3,3,7.103574285,3,8,0.000897666,16,0.035714286,0.477272727,1,1.666666667,0.424242424,2,1.8,0.003101118,4.9,-1,6.621829941,0.064545142,0.006202236,9,23.55529834,308,1,11.76912468,4,4.5,17.5,1,0.974472615,4.5,1.644738763,-540.7876246,1
45,0.048780488,0.103733815,0.419047619,8,20.18432617,14.40967235,0.953298188,0.022099602,6,13,0.032791328,9.85,11.81941012,7,14.5,45.05323072,28,34,0.000833333,46,0.033333333,6.045454545,2.8,5.272727273,1.28030303,8,5.2,0.002890749,16.8,-0.25,93.45609397,0.226198286,0.017344492,15,27.16102149,2941,4,41.85194493,11,18,52.5,2,6.172468675,36,3.945319878,-598.2100425,2
46,0.012195122,0,-0.6,0,16.14136878,10.25652958,0.193063563,0.006503764,2,6,0.000948509,1,8.031699331,4,3.25,7.935512472,4,10,0.00078064,24,0.032258065,0.556818182,1,2.015151515,0.734848485,7,2.2,0.001126762,4.9,-1,7.357588823,0.064545142,0.002253523,10,22.96098439,490,1,11.81941012,5,5.5,18,1,1.108152435,5.5,1.695696406,-641.5911899,1
47,0.012195122,0,-0.6,0,16.14136878,10.25652958,0.193063563,0.006503764,2,6,0.000948509,1,8.031699331,4,3.25,7.935512472,4,10,0.00078064,24,0.032258065,0.556818182,1,2.015151515,0.734848485,7,2.2,0.001126762,4.9,-1,7.357588823,0.064545142,0.002253523,10,22.96098439,490,1,11.81941012,5,5.5,18,1,1.108152435,5.5,1.695696406,-641.5911899,1
48,0.024390244,0.071364047,-0.2,0,16.6639516,11.23836442,0.412973924,0.011814567,3,8,0.010298103,3.333333333,10.32207612,6,4.5,20.15264831,12,18,0.000745156,31,0.03125,1.909090909,2,3.022727273,0.939393939,6,3.6,0.00124359,9.1,-0.5,47.30939146,0.119817853,0.003730769,15,24.31354242,1233,2,20.67196375,8,8.25,27.75,2,2.413370163,16.5,2.389592226,-643.3997629,1
49,0.036585366,0.048479374,0.4,6,14.69060006,10.60364213,0.550995466,0.019101887,3,5,0.021544715,4.333333333,7.040893021,4,3.5,20.37284165,12,20,0.000704722,21,0.03030303,3.102272727,2.1,2.507575758,0.71969697,3,3.4,0.00069715,8.4,-0.333333333,34.39350291,0.12394238,0.00209145,7,20.27568353,830,3,21.410802,7,4.75,15.75,1,2.07427897,14.25,2.970336501,-681.9759929,1
50,0.012195122,0,-0.5,0,12.0802361,8.380124344,0.156248873,0.007219108,1,3,0.000948509,1,5.544362937,3,1.5,5.47796418,3,8,0.000666667,12,0.029411765,0.477272727,1,1.143939394,0.424242424,2,1.8,0.000271945,2.8,-1,4.414553294,0.04183529,0.000271945,6,18.09233136,212,1,7.040893021,4,3.75,4.75,1,0.658988257,3.75,1.639821898,-720.3299625,1
51,0.012195122,0,-0.5,0,12.0802361,8.380124344,0.156248873,0.007219108,1,3,0.000948509,1,5.544362937,3,1.5,5.47796418,3,8,0.000666667,12,0.029411765,0.477272727,1,1.143939394,0.424242424,2,1.8,0.000271945,2.8,-1,4.414553294,0.04183529,0.000271945,6,18.09233136,212,1,7.040893021,4,3.75,4.75,1,0.658988257,3.75,1.639821898,-720.3299625,1
52,0.036585366,0.074375188,0.233333333,3,21.87280337,14.63398086,0.761015882,0.016226504,5,11,0.021544715,6.333333333,11.48760223,6,12.5,33.23940591,18,24,0.001005025,37,0.037037037,3.579545455,2.4,3.939393939,1.113636364,8,4.2,0.032708412,11.9,-0.333333333,60.9051614,0.162059007,0.16354206,14,29.5490912,1704,3,32.50379227,9,16,41.25,2,5.278797205,24,3.086998326,-468.7087812,2
53,0.036585366,0.103282144,0.066666667,0,22.18314677,14.9667216,0.786540642,0.015615221,5,14,0.021544715,8.333333333,13.68171472,8,14,39.58807591,24,28,0.000959693,49,0.035714286,4.056818182,2.1,4.757575758,1.325757576,9,5,0.032859142,13.3,-0.333333333,103.1805087,0.179286453,0.164295711,18,30.9496779,2478,3,35.88819075,11,21,43.5,2,6.379992541,31.5,3.19520218,-470.2409895,2
54,0.012195122,0,-0.5,0,17.79951636,11.0047937,0.207351928,0.006405026,2,5,0.000948509,1,7.332383455,3,3,7.244571535,3,8,0.000929368,17,0.035714286,0.477272727,1,1.537878788,0.424242424,2,1.8,0.012711027,4.2,-1,5.518191618,0.057370655,0.025422053,8,24.42043112,284,1,11.48760223,4,4.25,16,1,1.05996759,4.25,1.643165688,-522.9454289,1
55,0.036585366,0.283649503,0.133333333,0,24.265077,15.71376416,0.825728479,0.015117511,6,13,0.021544715,7.666666667,13.63844939,7,15.5,39.46288759,21,26,0.001025641,45,0.037037037,3.818181818,2.4,5.128787879,1.378787879,12,4.6,0.035549859,14,-0.333333333,100.3143835,0.1861438,0.213299156,18,32.5048104,2249,3,38.01973331,10,19.5,54,2,6.457720205,29.25,3.142816516,-459.167277,2
56,0.024390244,0.216802168,-0.2,0,22.21607356,14.03923162,0.509561418,0.010515285,4,12,0.010298103,3.333333333,12.09049469,6,12,23.60527906,12,18,0.000965251,38,0.035714286,1.909090909,2,3.75,1.166666667,11,3.6,0.018918298,9.1,-0.5,47.30939146,0.121915798,0.075673194,15,30.34610098,1269,2,25.25326118,8,16.5,36,2,3.99658461,16.5,2.389676558,-501.3368012,2
57,0.036585366,0.198735321,0.2,0,22.2009946,14.26645083,0.743060898,0.015613605,6,12,0.021544715,7,11.61481179,6,15,33.6074871,18,24,0.000909918,37,0.034482759,3.579545455,2.1,4.522727273,1.204545455,10,4.2,0.013130981,12.6,-0.333333333,77.38538154,0.172111966,0.078785886,15,28.83801467,1740,3,33.75038469,9,16.5,48.5,2,5.260036868,24.75,3.085284253,-541.4522954,2
58,0.024390244,0.078289672,-0.2,0,19.66472558,12.56598765,0.454092784,0.010987075,4,11,0.010298103,3.333333333,10.829945,6,11.5,21.14420298,12,18,0.000854701,35,0.033333333,1.909090909,2,3.393939394,1.075757576,9,3.6,0.007435093,8.4,-0.5,40.03102354,0.114741311,0.029740371,14,26.89562288,1188,2,22.01534542,8,16,32.5,2,3.602282226,16,2.391302535,-577.1665747,2
59,0.024390244,0.078289672,-0.2,0,19.66472558,12.56598765,0.454092784,0.010987075,4,11,0.010298103,3.333333333,10.829945,6,11.5,21.14420298,12,18,0.000854701,35,0.033333333,1.909090909,2,3.393939394,1.075757576,9,3.6,0.007435093,8.4,-0.5,40.03102354,0.114741311,0.029740371,14,26.89562288,1188,2,22.01534542,8,16,32.5,2,3.602282226,16,2.391302535,-577.1665747,2
60,0.012195122,0,-0.5,0,16.82876312,11.70899465,0.221064018,0.006664631,1,3,0.000948509,1,7.746169394,3,1.5,7.653402013,3,8,0.001096491,18,0.05,0.477272727,1,1.484848485,0.424242424,2,1.8,0.039779359,4.9,-1,6.621829941,0.064545142,0.039779359,9,25.97148162,316,1,12.80295712,4,4.5,9.25,1,1.233093831,4.5,1.644737849,-485.2635427,1
61,0.036585366,0.094850949,0.166666667,3,18.6843184,13.92268179,0.748241918,0.017985236,3,7,0.021544715,7,11.49191078,7,4,33.25187271,21,26,0.001106195,38,0.05,3.818181818,2.4,3.303030303,1.015151515,4,4.6,0.062881709,10.5,-0.333333333,60.18863009,0.147656715,0.188645128,13,28.8513138,1794,3,28.50714002,10,8.5,19.75,2,4.522781518,25.5,3.134151553,-479.7590081,1
62,0.012195122,0,-0.5,0,15.35342352,10.87178014,0.204627771,0.006902532,1,3,0.000948509,1,7.103069232,3,1.5,7.018003558,3,8,0.001015228,15,0.047619048,0.477272727,1,1.439393939,0.424242424,2,1.8,0.024436655,4.9,-1,6.621829941,0.064545142,0.024436655,9,23.9328821,304,1,11.49191078,4,4.5,8.5,1,1.032829941,4.5,1.64465318,-532.872129,1
63,0.036585366,0.048479374,0.333333333,6,16.70291828,12.52329982,0.661230949,0.019243715,3,5,0.021544715,5,8.601113667,5,3.5,24.88734401,15,22,0.001019368,25,0.047619048,3.340909091,2.4,2.666666667,0.803030303,3,3.8,0.035011552,9.1,-0.333333333,42.99187863,0.131116866,0.105034656,9,24.86218426,1111,3,23.87217331,8,6,16.5,1,3.041285652,18,3.025977586,-530.3741188,1
