Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,MCGM Values,GGC Values,Subgraph centrality,Second order centrality
10,0.096774194,0.011827957,-0.095238095,3,28.90153073,16.07473447,1.630633606,0.027786679,9,33,0.026171637,0.005422933,0.666666667,3.866666667,18.31996649,18.33333333,33.75,50.04155794,33,34,0.005181347,76,0.076923077,3.579545455,3,5.046153846,1.161538462,6,6.2,0.239225275,39.01970105,19.05,-0.625771605,229.4500397,0.382429067,2.153027472,22,33.22145228,5525,4.5,63.21170423,14,41.25,144.75,15.24201147,4.266297593,4.915312599,-114.0478748
21,0.129032258,0.451612903,0.071428571,8,32.46311254,19.68771237,2.418613011,0.035477496,12,42,0.045648205,0.06803824,0.333333333,8.266666667,22.67211395,18.66666667,45,80.03228134,56,48,0.005434783,97,0.076923077,6.363636364,2.8,6.919230769,1.438461538,7,8,0.332556795,69.50353713,24,-0.417534722,470.2893954,0.473414617,3.990681536,28,37.64848001,9888,6.333333333,82.65742406,18,52.5,188.25,25.09438895,11.91396875,6.134941768,-112.0257778
14,0.096774194,0.101075269,-0.095238095,3,28.64677283,15.94622466,1.618108585,0.027806715,9,33,0.026171637,0.021412199,0.666666667,3.866666667,18.34453506,18.33333333,33.75,50.10866773,33,34,0.004672897,73,0.066666667,3.579545455,3,6.176923077,1.469230769,10,6.2,0.254124582,37.47944969,17.15,-0.625771605,217.683371,0.36596256,2.287121241,21,33.01376375,5287,4.333333333,59.98667493,14,40.5,135,15.75145421,4.41219278,4.939586152,-135.0553839
1,0.096774194,0,-0.083333333,6,22.88980734,12.69835865,1.282510871,0.028423155,9,33,0.026171637,0.024990216,1,3,15.4226301,22,31.5,42.1273935,33,34,0.003267974,63,0.052631579,3.340909091,3,7.1,1.7,13,6.2,0.006139097,23.17640479,14.84,-0.831111111,177.2749779,0.27207103,0.055251876,17,26.00202363,4964,5.4,51.44262052,14,37.5,123,5.689384975,1.402365409,5.62505516,-185.2289796
26,0.096774194,0,-0.083333333,6,22.88980734,12.69835865,1.282510871,0.028423155,9,33,0.026171637,0.024990216,1,3,15.4226301,22,31.5,42.1273935,33,34,0.003267974,63,0.052631579,3.340909091,3,7.1,1.7,13,6.2,0.006139097,23.17640479,14.84,-0.831111111,177.2749779,0.27207103,0.055251876,17,26.00202363,4964,5.4,51.44262052,14,37.5,123,5.689384975,1.402365409,5.62505516,-185.2289796
19,0.096774194,0,-0.095238095,3,22.04520085,12.2711675,1.245177166,0.028001227,9,33,0.026171637,0.021412199,1,3,14.79520129,22,29.25,40.41355223,33,34,0.003257329,54,0.052631579,3.102272727,3,7.1,1.7,13,6.2,0.185431627,19.86548982,12.6,-0.807098765,181.5832852,0.245136579,1.668884646,14,25.40390499,4573,5.333333333,50.66715571,14,35.25,117.75,10.9996886,1.177354356,5.833571792,-184.2053014
6,0.096774194,0.503225806,0,9,29.17539799,15.8499358,1.594461968,0.030621664,9,27,0.026171637,0.085928328,0.333333333,5.666666667,15.64003142,12,33.75,42.72123199,27,30,0.005747126,52,0.090909091,3.579545455,3,2.707692308,0.676923077,1,5.4,0.032264893,37.25962815,13.4,-0.50617284,146.4799566,0.29863685,0.290384039,18,31.12877656,3405,4.666666667,46.38607296,12,33.75,97.5,6.475766728,6.010511677,3.975336314,-106.159196
23,0.096774194,0,-0.083333333,6,22.88980734,12.69835865,1.282510871,0.028423155,9,33,0.026171637,0.024990216,1,3,15.4226301,22,31.5,42.1273935,33,34,0.003267974,63,0.052631579,3.340909091,3,7.1,1.7,13,6.2,0.006139097,23.17640479,14.84,-0.831111111,177.2749779,0.27207103,0.055251876,17,26.00202363,4964,5.4,51.44262052,14,37.5,123,5.689384975,1.402365409,5.62505516,-185.2289796
15,0.096774194,0.279569892,-0.047619048,6,28.18727509,15.6181389,1.582327496,0.028122405,9,30,0.026171637,0.076983284,0.333333333,5.866666667,17.72145759,13.33333333,36,48.40671226,30,32,0.004310345,64,0.0625,3.818181818,3,6.207692308,1.496153846,11,5.8,0.221187718,45.85800388,16.4,-0.482253086,216.0867761,0.345383445,1.990689461,25,32.02423279,5056,4.5,56.47725431,13,41.25,127.5,15.09335433,7.540041921,4.173261195,-139.755476
22,0.096774194,0.019354839,-0.095238095,3,28.87586568,16.01438419,1.622876097,0.028016857,9,33,0.026171637,0.005422933,0.666666667,3.866666667,17.99866679,18.33333333,33.75,49.16391781,33,34,0.005376344,75,0.083333333,3.579545455,3,4.765384615,1.084615385,5,6.2,0.211841855,38.50628393,18.1,-0.625771605,223.5667054,0.369819949,1.906576699,21,32.8977605,5304,4.5,61.79093093,14,40.5,139.5,13.64133904,4.131719454,4.909968425,-111.2066444
11,0.096774194,0.11827957,-0.142857143,0,29.77651984,16.65191956,1.692367771,0.027377616,9,36,0.026171637,0.003522111,0.666666667,4.066666667,19.8746054,20,36,54.28810244,36,36,0.005050505,82,0.071428571,3.818181818,3,6.015384615,1.365384615,8,6.6,0.286200412,42.10020376,18,-0.597222222,270.7664102,0.378571679,2.575803705,25,34.80456649,6444,4.333333333,64.93733129,15,45.75,146.25,18.46415947,4.859446449,5.075741984,-126.1454874
