Subgraph centrality,Degree Centrality,GSM,PageRank Centrality,GGC Values,Extended Coreness,Local Gravity Model Centrality,Centrality Values,Improved Gravity Index Values,Clustered Local Degree,Closeness Centrality,MDD Value,Local-Global Centrality,H Values,Density Centrality,Eigenvector Centrality,Constraint Coefficients,Global Relative Change in Avg Clustering,HCC Value,Node H-Index,Eccentricity Centrality,Laplacian Centrality,Global Relative Change in Avg Degree,Extended Degree,EHCC Value
14546.48408,0.868421053,220.4328622,0.089719063,2645.091494,1380,7854,1011.096485,1531.5,270.0037879,0.023255814,23.1,83.97737269,68.08054088,359.625,0.384635824,-0.076524288,0.067816504,1.962962963,9,0.5,1598,0.172910217,115.0,35.93193932
4805.07207,0.342105263,162.1172902,0.035667984,659.3548548,953,2210,395.5882339,1255.5,237.5641026,0.015873016,10.3,26.01803709,17.01311852,79.625,0.220949591,-0.168589102,0.017857972,1.527128605,8,0.5,522,0.052167183,75.8,19.25898592
3412.916112,0.263157895,152.203643,0.027999842,440.356184,834,1500,305.2599117,1170.0,216.6666667,0.015151515,9.1,19.04681566,11.1681111,54.09090909,0.186135185,-0.179152613,0.00822057,1.442257756,7,0.5,410,0.034055728,66.0,16.17903512
56.8381693,0.078947368,92.87647395,0.012911525,38.39760418,96,57,78.66703369,150.75,25.33333333,0.010309278,3.0,3.729221609,0.274679222,5.488636364,0.022889935,-0.416953627,0.030212372,0.118217849,3,0.333333333,50,0.008204334,9.4,2.118764521
168.7668416,0.105263158,100.7961733,0.01557945,76.94508784,170,132,106.0971947,223.5,44.0,0.010989011,3.7,5.422479379,0.728122234,9.863636364,0.040451235,-0.333760331,0.011871315,0.210605439,3,0.333333333,86,0.002167183,15.6,3.797867979
1215.95497,0.131578947,131.2988021,0.015776389,107.7601441,529,485,157.2207765,778.75,164.9,0.013888889,5.0,8.491352556,3.328777889,20.68181818,0.110959263,-0.300853171,0.010202766,0.746754134,5,0.333333333,224,0.003869969,41.8,8.852261856
996.4140083,0.105263158,124.6509367,0.013173238,185.1347311,510,372,120.5880725,608.0,124.0,0.013513514,4.0,6.646534695,2.413639144,15.27272727,0.100568298,-0.281163468,0.010796954,0.691266913,4,0.333333333,206,0.002167183,39.6,7.3133798
1256.613516,0.131578947,130.7304091,0.015676399,168.9967,551,500,150.6844179,785.0,150.0,0.01369863,5.0,8.469368705,3.38753146,20.28409091,0.112917715,-0.268644145,0.002023225,0.794861282,5,0.333333333,230,0.003869969,43.0,8.652316523
996.4140083,0.105263158,124.6509367,0.013173238,185.1347311,510,372,120.5880725,608.0,124.0,0.013513514,4.0,6.646534695,2.413639144,15.27272727,0.100568298,-0.281163468,0.010796954,0.691266913,4,0.333333333,206,0.002167183,39.6,7.3133798
4989.483972,0.473684211,172.2253227,0.049446744,1045.472339,787,2394,550.3188526,1036.5,150.3856209,0.015384615,12.6,35.63367403,22.95000847,121.7045455,0.225000083,-0.095802954,0.082459099,1.372010387,7,0.333333333,608,0.082352941,64.0,21.57769578
2421.129774,0.236842105,146.9552415,0.025872119,408.0243767,710,1134,272.7566497,1053.0,175.0,0.014492754,7.5,16.38938766,8.303459367,45.10227273,0.156669045,-0.188095178,0.020082257,1.238895722,7,0.333333333,342,0.028018576,55.8,13.06423398
11760.44455,0.763157895,209.3529036,0.078529774,2160.567032,1232,6119,885.7135268,1411.5,240.1034483,0.020833333,20.3,69.75373114,54.96979122,286.0454545,0.345721957,-0.080201562,0.009293247,1.774497745,9,0.333333333,1292,0.14876161,101.8,32.13024464
1793.915299,0.184210526,140.5405286,0.020676424,288.2652573,645,805,211.0153873,1006.5,164.2857143,0.014084507,6.7,12.33776891,5.657889238,31.73863636,0.134711649,-0.20703084,0.010387746,1.079814131,7,0.333333333,286,0.015944272,50.2,10.53792538
2509.573761,0.236842105,146.9552415,0.02586208,394.0642074,733,1170,271.185038,1071.0,184.1666667,0.014492754,7.5,16.45628625,8.443401485,45.10227273,0.159309462,-0.192412806,0.009630385,1.179581796,7,0.333333333,350,0.028018576,57.4,12.41588083
1575.29565,0.157894737,137.0415943,0.018131598,225.8441749,615,660,180.8783825,985.5,161.3333333,0.013888889,6.0,10.39822462,4.546946433,25.77272727,0.126304068,-0.225849532,0.00652131,0.983599836,6,0.333333333,262,0.009907121,47.6,9.439251059
1727.437064,0.157894737,137.0415943,0.017948561,152.2798653,628,672,182.4652873,994.5,186.6666667,0.013888889,6.0,10.4232165,4.765448477,25.77272727,0.132373569,-0.255060505,0.011784292,1.139128058,6,0.333333333,266,0.009907121,48.4,10.39756731
1295.730701,0.131578947,130.7304091,0.015631855,113.4688,556,500,150.6844179,785.0,170.0,0.01369863,5.0,8.469368705,3.43814871,20.28409091,0.114604957,-0.299708155,0.015488905,0.831898319,5,0.333333333,230,0.003869969,43.0,8.629766298
1965.41788,0.184210526,139.9573729,0.020635234,217.0126854,658,819,212.5313947,1015.5,183.8571429,0.014084507,6.7,12.35391584,5.788388469,31.73863636,0.141180207,-0.242654806,0.014468929,1.161268279,6,0.333333333,290,0.015944272,51.0,11.11480115
1986.370743,0.184210526,139.9573729,0.020614444,218.0279771,658,819,212.5913947,1015.5,183.8571429,0.014084507,6.7,12.35391584,5.820623574,31.73863636,0.141966429,-0.238028493,0.014152276,1.235342353,6,0.333333333,290,0.015944272,51.0,11.34795681
352.2640114,0.105263158,118.7954899,0.015268419,131.2105312,290,220,106.0768538,362.25,73.33333333,0.01369863,3.7,6.360348077,1.068722806,15.59090909,0.059373489,-0.333021407,0.048628648,0.328823288,3,0.333333333,130,0.002167183,24.4,4.351373514
541.9233208,0.105263158,118.7954899,0.014794592,154.2620457,374,280,108.8730875,396.0,93.33333333,0.01369863,3.7,6.449828998,1.33226512,15.59090909,0.074014729,-0.328673049,0.02714757,0.458247916,4,0.333333333,160,0.002167183,30.4,4.912669127
1337.568664,0.184210526,134.1407676,0.021677053,222.5223436,538,679,213.5115778,748.75,143.1904762,0.013888889,6.4,11.94733383,4.40672851,31.18181818,0.11596654,-0.247527741,0.009543617,0.680060134,5,0.333333333,250,0.015944272,43.0,8.384447178
1704.945038,0.210526316,143.4563072,0.02378863,298.8123135,577,824,242.9448281,951.0,147.1428571,0.014285714,6.8,14.05598313,6.158031699,38.18181818,0.131021951,-0.218726654,0.01103389,0.85403854,6,0.333333333,278,0.021981424,46.0,10.30408637
2077.180424,0.236842105,146.9552415,0.026231973,375.9886545,630,1008,273.0959355,990.0,155.5555556,0.014492754,7.5,16.14938209,7.666467199,45.10227273,0.144650325,-0.197530858,0.015400212,0.965012983,6,0.333333333,314,0.028018576,50.2,11.65395654
1012.58111,0.131578947,130.162016,0.015976665,125.820466,480,435,152.5334106,736.25,139.2,0.01369863,5.0,8.353280035,2.932074656,20.28409091,0.101106023,-0.285127587,2.4e-05,0.598742654,5,0.333333333,204,0.003869969,37.8,7.434741014
635.1102985,0.105263158,119.3354694,0.014234748,80.36010437,392,292,123.2680875,400.5,121.6666667,0.013513514,3.7,6.449505043,1.601160444,15.27272727,0.080058022,-0.384227475,0.028233705,0.506355064,4,0.333333333,166,0.002167183,31.6,5.382123821
2112.649336,0.236842105,146.9552415,0.026169135,375.5945064,635,1017,273.0645069,994.5,156.9444444,0.014492754,7.5,16.17120168,7.735050406,45.10227273,0.145944347,-0.195183966,0.019018467,1.042777094,7,0.333333333,316,0.028018576,50.6,11.90938909
1421.545143,0.157894737,137.0415943,0.018271121,254.3185733,591,636,179.2809466,967.5,148.4,0.013888889,6.0,10.35268404,4.312061234,25.77272727,0.119779479,-0.223092271,0.011600249,0.894765614,6,0.333333333,254,0.009907121,46.0,8.866065327
1421.545143,0.157894737,137.0415943,0.018271121,254.3185733,591,636,179.2809466,967.5,148.4,0.013888889,6.0,10.35268404,4.312061234,25.77272727,0.119779479,-0.223092271,0.011600249,0.894765614,6,0.333333333,254,0.009907121,46.0,8.866065327
